,Date,High,Low,Open,Close,Volume,Adj Close
0,05/04/2023,15000,15000,15000,15000,-,13900
1,06/04/2023,15000,15000,15000,15000,-,13900
2,07/04/2023,15000,15000,15000,15000,-,13900
3,10/04/2023,15000,15000,15000,15000,2,13900
4,11/04/2023,15000,15000,15000,15000,12,13900
5,12/04/2023,15000,15000,15000,15000,-,13900
6,13/04/2023,15000,15000,15000,15000,-,13900
7,14/04/2023,15000,15000,15000,15000,100,13900
8,17/04/2023,15000,15000,15000,15000,-,13900
9,18/04/2023,15000,15000,15000,15000,1000,13900
10,19/04/2023,15000,15000,15000,15000,8,13900
11,20/04/2023,15600,15600,15600,15600,100,14500
12,21/04/2023,15600,15600,15600,15600,100,14500
13,24/04/2023,15600,15500,15500,15600,1000,14500
14,25/04/2023,15600,15600,15600,15600,500,14500
15,26/04/2023,15000,15000,15000,15000,110,13900
16,27/04/2023,15000,15000,15000,15000,-,13900
17,28/04/2023,15500,15500,15500,15500,100,14400
18,04/05/2023,16500,16000,16000,16500,4200,15300
19,05/05/2023,16200,16200,16200,16200,137,15000
20,08/05/2023,15300,15300,15300,15300,100,14200
21,09/05/2023,16300,16300,16300,16300,2300,15100
22,10/05/2023,16300,16300,16300,16300,2,15100
23,11/05/2023,16300,16300,16300,16300,-,15100
24,12/05/2023,16400,16400,16400,16400,1600,15200
25,15/05/2023,16400,16400,16400,16400,2700,15200
26,16/05/2023,16500,16500,16500,16500,4500,15300
27,17/05/2023,16500,16500,16500,16500,3100,15300
28,18/05/2023,16500,16500,16500,16500,3200,15300
29,19/05/2023,17000,16900,16900,17000,1200,15800
30,22/05/2023,18000,16700,17900,16700,6000,15500
31,23/05/2023,16700,16700,16700,16700,-,15500
32,24/05/2023,18000,18000,18000,18000,401,16700
33,25/05/2023,18000,18000,18000,18000,200,16700
34,26/05/2023,18000,18000,18000,18000,-,16700
35,29/05/2023,17500,16200,16200,17500,1300,16200
36,30/05/2023,17500,17000,17500,17000,1420,15800
37,31/05/2023,17000,17000,17000,17000,1000,15800
38,01/06/2023,17000,16500,17000,16500,4500,15300
39,02/06/2023,17000,17000,17000,17000,700,15800
40,05/06/2023,17100,17000,17100,17000,2002,15800
41,06/06/2023,17100,17000,17000,17100,300,15900
42,07/06/2023,17100,17100,17100,17100,-,15900
43,08/06/2023,17100,17100,17100,17100,-,15900
44,09/06/2023,17200,17100,17100,17100,3100,15900
45,12/06/2023,17000,16900,17000,17000,8000,15800
46,13/06/2023,17000,17000,17000,17000,-,15800
47,14/06/2023,17000,17000,17000,17000,1800,15800
48,15/06/2023,17100,16900,17000,17000,6903,15800
49,16/06/2023,17100,17000,17000,17100,2100,15900
50,19/06/2023,16900,16900,16900,16900,500,15700
51,20/06/2023,16900,16900,16900,16900,-,15700
52,21/06/2023,17000,17000,17000,17000,500,15800
53,22/06/2023,17000,17000,17000,17000,200,15800
54,23/06/2023,17000,16600,17000,16600,1501,15400
55,26/06/2023,16700,16700,16700,16700,700,15500
56,27/06/2023,16700,16700,16700,16700,-,15500
57,28/06/2023,16700,16700,16700,16700,-,15500
58,29/06/2023,16700,16700,16700,16700,-,15500
59,30/06/2023,18300,18300,18300,18300,500,17000
60,03/07/2023,18300,18300,18300,18300,-,17000
61,04/07/2023,18000,17700,18000,17700,201,16400
62,05/07/2023,17000,17000,17000,17000,200,15800
63,06/07/2023,17000,17000,17000,17000,6,15800
64,07/07/2023,17000,17000,17000,17000,100,15800
65,10/07/2023,17000,17000,17000,17000,100,15800
66,11/07/2023,16600,16600,16600,16600,1500,15400
67,12/07/2023,16600,16600,16600,16600,-,15400
68,13/07/2023,16600,16600,16600,16600,5,15400
69,14/07/2023,16600,16600,16600,16600,-,15400
70,17/07/2023,18000,18000,18000,18000,100,16700
71,18/07/2023,17500,17000,17500,17000,200,15800
72,19/07/2023,16700,16700,16700,16700,509,15500
73,20/07/2023,16700,16700,16700,16700,-,15500
74,21/07/2023,17000,17000,17000,17000,1209,15800
75,24/07/2023,17100,17000,17100,17000,1601,15800
76,25/07/2023,17000,17000,17000,17000,300,15800
77,26/07/2023,17000,17000,17000,17000,-,15800
78,27/07/2023,17000,17000,17000,17000,200,15800
79,28/07/2023,17000,17000,17000,17000,-,15800
80,31/07/2023,17200,17200,17200,17200,110,16000
81,01/08/2023,17600,17100,17100,17600,600,16300
82,02/08/2023,18000,17600,17600,18000,400,16700
83,03/08/2023,18000,18000,18000,18000,-,16700
84,04/08/2023,17600,17600,17600,17600,1002,16300
85,07/08/2023,17600,17600,17600,17600,1,16300
86,08/08/2023,17600,17600,17600,17600,1000,16300
87,09/08/2023,17600,17600,17600,17600,2,16300
88,10/08/2023,17600,17600,17600,17600,-,16300
89,11/08/2023,17600,17600,17600,17600,700,16300
90,14/08/2023,17400,17400,17400,17400,200,16200
91,15/08/2023,17400,17400,17400,17400,-,16200
92,16/08/2023,17500,17400,17500,17400,400,16200
93,17/08/2023,17400,17400,17400,17400,1,16200
94,18/08/2023,17400,17400,17400,17400,4700,16200
95,21/08/2023,17400,17200,17400,17300,1700,16100
96,22/08/2023,17300,17200,17200,17300,1300,16100
97,23/08/2023,17300,17300,17300,17300,1000,16100
98,24/08/2023,17300,17300,17300,17300,-,16100
99,25/08/2023,17300,17300,17300,17300,-,16100
100,28/08/2023,19000,19000,19000,19000,105,17600
101,29/08/2023,18000,18000,18000,18000,140,16700
102,30/08/2023,19600,19600,19600,19600,102,18200
103,31/08/2023,19600,19600,19600,19600,4,18200
104,05/09/2023,19600,19600,19600,19600,-,18200
105,06/09/2023,19500,19000,19000,19500,900,18100
106,07/09/2023,19500,19500,19500,19500,-,18100
107,08/09/2023,19000,19000,19000,19000,800,17600
108,11/09/2023,19000,19000,19000,19000,-,17600
