,Date,High,Low,Open,Close,Volume,Adj Close
0,28/03/2024,8300,8300,8300,8300,-,8300
1,29/03/2024,8300,8300,8300,8300,-,8300
2,01/04/2024,8300,8300,8300,8300,-,8300
3,02/04/2024,8300,8300,8300,8300,-,8300
4,03/04/2024,8100,7500,7800,8100,13300,8100
5,04/04/2024,8100,8100,8100,8100,-,8100
6,05/04/2024,8100,8100,8100,8100,-,8100
7,08/04/2024,7500,7300,7500,7500,6863,7500
8,09/04/2024,7500,7500,7500,7500,11100,7500
9,10/04/2024,7500,7500,7500,7500,-,7500
10,11/04/2024,7500,7500,7500,7500,-,7500
11,12/04/2024,7500,7500,7500,7500,-,7500
12,15/04/2024,7500,7500,7500,7500,1,7500
13,16/04/2024,6900,6900,6900,6900,100,6900
14,17/04/2024,6900,6900,6900,6900,-,6900
15,19/04/2024,6900,6900,6900,6900,-,6900
16,22/04/2024,6900,6900,6900,6900,-,6900
17,23/04/2024,6900,6900,6900,6900,-,6900
18,24/04/2024,7400,7400,7400,7400,100,7400
19,25/04/2024,7400,7400,7400,7400,-,7400
20,26/04/2024,7200,6900,6900,7200,200,7200
21,02/05/2024,7200,7200,7200,7200,-,7200
22,03/05/2024,7600,7600,7600,7600,100,7600
23,06/05/2024,7600,7600,7600,7600,100,7600
24,07/05/2024,7600,7600,7600,7600,-,7600
25,08/05/2024,7500,7000,7000,7500,1100,7500
26,09/05/2024,7500,7500,7500,7500,-,7500
27,10/05/2024,7500,7500,7500,7500,-,7500
28,13/05/2024,7500,7500,7500,7500,-,7500
29,14/05/2024,7500,7500,7500,7500,-,7500
30,15/05/2024,7500,7500,7500,7500,-,7500
31,16/05/2024,7500,7500,7500,7500,-,7500
32,17/05/2024,7500,7500,7500,7500,-,7500
33,20/05/2024,7500,7500,7500,7500,-,7500
34,21/05/2024,7500,7500,7500,7500,-,7500
35,22/05/2024,6900,6800,6800,6900,401,6900
36,23/05/2024,6900,6900,6900,6900,-,6900
37,24/05/2024,7300,6500,7300,6500,1300,6500
38,27/05/2024,7100,6600,6600,7100,700,7100
39,28/05/2024,7800,7800,7800,7800,1000,7800
40,29/05/2024,7800,7800,7800,7800,-,7800
41,30/05/2024,7800,7800,7800,7800,-,7800
42,31/05/2024,7800,7800,7800,7800,-,7800
43,03/06/2024,7700,7100,7100,7700,920,7700
44,04/06/2024,7700,7700,7700,7700,-,7700
45,05/06/2024,7700,7700,7700,7700,-,7700
46,06/06/2024,7700,7700,7700,7700,-,7700
47,07/06/2024,7700,7700,7700,7700,1,7700
48,10/06/2024,7200,7000,7000,7200,3400,7200
49,11/06/2024,7200,7100,7100,7200,300,7200
50,12/06/2024,7200,6500,6700,7200,1600,7200
51,13/06/2024,7200,7100,7200,7100,300,7100
52,14/06/2024,7100,6500,6900,7100,1000,7100
53,17/06/2024,7100,7100,7100,7100,-,7100
54,18/06/2024,6800,6500,6500,6800,300,6800
55,19/06/2024,6600,6600,6600,6600,400,6600
56,20/06/2024,6500,6000,6500,6200,2400,6200
57,21/06/2024,6800,6800,6800,6800,4000,6800
58,24/06/2024,7100,6800,6800,7100,1900,7100
59,25/06/2024,7100,7100,7100,7100,200,7100
60,26/06/2024,7800,6900,7500,6900,4400,6900
61,27/06/2024,6900,6900,6900,6900,200,6900
62,28/06/2024,6900,6900,6900,6900,400,6900
63,01/07/2024,6900,6900,6900,6900,-,6900
64,02/07/2024,6900,6900,6900,6900,-,6900
65,03/07/2024,6900,6900,6900,6900,-,6900
66,04/07/2024,6900,6900,6900,6900,-,6900
67,05/07/2024,6900,6900,6900,6900,-,6900
68,08/07/2024,6800,6800,6800,6800,4000,6800
69,09/07/2024,6800,6800,6800,6800,200,6800
70,10/07/2024,6800,6800,6800,6800,-,6800
71,11/07/2024,7000,6800,6800,7000,1800,7000
72,12/07/2024,6900,6900,6900,6900,5500,6900
73,15/07/2024,6400,6400,6400,6400,100,6400
74,16/07/2024,6500,6400,6400,6500,3000,6500
75,17/07/2024,6500,6500,6500,6500,-,6500
76,18/07/2024,6500,6500,6500,6500,-,6500
77,19/07/2024,6500,6500,6500,6500,-,6500
78,22/07/2024,6400,5900,6000,6400,400,6400
79,23/07/2024,6400,6400,6400,6400,-,6400
80,24/07/2024,5900,5800,5900,5800,200,5800
81,25/07/2024,5800,5800,5800,5800,700,5800
82,26/07/2024,6300,6200,6200,6300,1100,6300
83,29/07/2024,6100,6100,6100,6100,700,6100
84,30/07/2024,6100,6100,6100,6100,-,6100
85,31/07/2024,6100,6100,6100,6100,-,6100
86,01/08/2024,5900,5700,5700,5900,1600,5900
87,02/08/2024,5900,5900,5900,5900,-,5900
88,05/08/2024,5700,5500,5700,5500,500,5500
89,06/08/2024,5900,5600,5600,5900,201,5900
90,07/08/2024,5900,5900,5900,5900,-,5900
91,08/08/2024,5900,5900,5900,5900,-,5900
92,09/08/2024,5900,5900,5900,5900,1,5900
93,12/08/2024,6000,5400,5400,6000,300,6000
94,13/08/2024,6000,6000,6000,6000,-,6000
95,14/08/2024,6000,6000,6000,6000,-,6000
96,15/08/2024,6000,6000,6000,6000,-,6000
97,16/08/2024,6000,5500,6000,6000,2700,6000
98,19/08/2024,5600,5500,5600,5500,200,5500
99,20/08/2024,5600,5500,5600,5500,800,5500
100,21/08/2024,5600,5500,5500,5600,4800,5600
101,22/08/2024,5600,5600,5600,5600,61,5600
102,23/08/2024,5600,5600,5600,5600,-,5600
103,26/08/2024,5600,5600,5600,5600,10,5600
104,27/08/2024,5600,5500,5600,5600,4800,5600
105,28/08/2024,5600,5600,5600,5600,200,5600
106,29/08/2024,5900,5900,5900,5900,110,5900
107,30/08/2024,5700,5700,5700,5700,100,5700
108,04/09/2024,5700,5700,5700,5700,4,5700
109,05/09/2024,5700,5700,5700,5700,-,5700
110,06/09/2024,5700,5300,5300,5700,300,5700
111,09/09/2024,5500,5500,5500,5500,100,5500
112,10/09/2024,5500,5500,5500,5500,100,5500
113,11/09/2024,5500,5500,5500,5500,-,5500
114,12/09/2024,5500,5500,5500,5500,-,5500
115,13/09/2024,5900,5700,5900,5700,203,5700
116,16/09/2024,5700,5700,5700,5700,-,5700
117,17/09/2024,5600,5600,5600,5600,100,5600
118,18/09/2024,5600,5600,5600,5600,-,5600
119,19/09/2024,5600,5600,5600,5600,3,5600
120,20/09/2024,5600,5600,5600,5600,200,5600
121,23/09/2024,5500,5200,5300,5500,2300,5500
122,24/09/2024,5600,5600,5600,5600,100,5600
123,25/09/2024,5600,5600,5600,5600,-,5600
124,26/09/2024,5600,5600,5600,5600,-,5600
125,27/09/2024,5600,5600,5600,5600,-,5600
126,30/09/2024,5500,5500,5500,5500,2200,5500
127,01/10/2024,5300,5300,5300,5300,100,5300
128,02/10/2024,5400,5300,5300,5400,200,5400
129,03/10/2024,5400,5400,5400,5400,100,5400
130,04/10/2024,5500,5200,5200,5500,400,5500
131,07/10/2024,5500,5500,5500,5500,100,5500
132,08/10/2024,5500,5500,5500,5500,-,5500
133,09/10/2024,5500,5500,5500,5500,-,5500
134,10/10/2024,5500,5500,5500,5500,-,5500
135,11/10/2024,5500,5500,5500,5500,-,5500
136,14/10/2024,5400,5400,5400,5400,901,5400
137,15/10/2024,5500,5500,5500,5500,100,5500
138,16/10/2024,5500,5500,5500,5500,-,5500
139,17/10/2024,5400,5200,5200,5400,400,5400
140,18/10/2024,5400,5400,5400,5400,-,5400
141,21/10/2024,5400,5400,5400,5400,-,5400
142,22/10/2024,5400,5400,5400,5400,-,5400
143,23/10/2024,5400,5400,5400,5400,-,5400
144,24/10/2024,5100,5000,5100,5100,5100,5100
145,25/10/2024,5100,5100,5100,5100,100,5100
