,Date,High,Low,Open,Close,Volume,Adj Close
0,08/12/2022,11000,11000,11000,11000,200,9900
1,09/12/2022,11000,11000,11000,11000,-,9900
2,12/12/2022,11000,11000,11000,11000,-,9900
3,13/12/2022,11000,11000,11000,11000,-,9900
4,14/12/2022,11000,11000,11000,11000,-,9900
5,15/12/2022,11000,11000,11000,11000,-,9900
6,16/12/2022,11000,11000,11000,11000,-,9900
7,19/12/2022,11000,11000,11000,11000,-,9900
8,20/12/2022,11000,11000,11000,11000,-,9900
9,21/12/2022,11000,11000,11000,11000,-,9900
10,22/12/2022,11000,11000,11000,11000,-,9900
11,23/12/2022,11000,11000,11000,11000,-,9900
12,26/12/2022,11000,11000,11000,11000,-,9900
13,27/12/2022,10500,10500,10500,10500,712,9400
14,28/12/2022,10500,10500,10500,10500,-,9400
15,29/12/2022,10500,10500,10500,10500,-,9400
16,30/12/2022,10500,10500,10500,10500,-,9400
17,03/01/2023,10500,10500,10500,10500,-,9400
18,04/01/2023,10500,10500,10500,10500,-,9400
19,05/01/2023,10500,10500,10500,10500,-,9400
20,06/01/2023,10500,10500,10500,10500,-,9400
21,09/01/2023,10500,10500,10500,10500,-,9400
22,10/01/2023,10500,10500,10500,10500,-,9400
23,11/01/2023,10500,10500,10500,10500,-,9400
24,12/01/2023,10500,10500,10500,10500,-,9400
25,13/01/2023,10500,10500,10500,10500,-,9400
26,16/01/2023,10500,10400,10500,10500,1502,9400
27,17/01/2023,10500,10500,10500,10500,-,9400
28,18/01/2023,10500,10500,10500,10500,-,9400
29,19/01/2023,10500,10500,10500,10500,-,9400
30,27/01/2023,10500,10500,10500,10500,1300,9400
31,30/01/2023,10500,10500,10500,10500,-,9400
32,31/01/2023,10500,10500,10500,10500,-,9400
33,01/02/2023,10500,10500,10500,10500,-,9400
34,02/02/2023,10500,10500,10500,10500,-,9400
35,03/02/2023,11000,11000,11000,11000,300,9900
36,06/02/2023,11000,11000,11000,11000,1,9900
37,07/02/2023,11000,11000,11000,11000,-,9900
38,08/02/2023,11000,11000,11000,11000,-,9900
39,09/02/2023,10500,10500,10500,10500,300,9400
40,10/02/2023,10500,10500,10500,10500,-,9400
41,13/02/2023,10500,10500,10500,10500,-,9400
42,14/02/2023,10500,10500,10500,10500,-,9400
43,15/02/2023,10500,10500,10500,10500,-,9400
44,16/02/2023,10500,10500,10500,10500,5,9400
45,17/02/2023,10500,10500,10500,10500,-,9400
46,20/02/2023,10500,10500,10500,10500,-,9400
47,21/02/2023,10500,10500,10500,10500,-,9400
48,22/02/2023,10500,10500,10500,10500,-,9400
49,23/02/2023,10500,10500,10500,10500,-,9400
50,24/02/2023,10500,10500,10500,10500,-,9400
51,27/02/2023,10500,10500,10500,10500,-,9400
52,28/02/2023,11500,11500,11500,11500,500,10300
53,01/03/2023,11500,11500,11500,11500,-,10300
54,02/03/2023,11500,11500,11500,11500,-,10300
55,03/03/2023,11500,11500,11500,11500,-,10300
56,06/03/2023,12500,11000,12500,11000,160300,9900
57,07/03/2023,11000,11000,11000,11000,1102200,9900
58,08/03/2023,11000,11000,11000,11000,-,9900
59,09/03/2023,11000,11000,11000,11000,142000,9900
60,10/03/2023,11000,11000,11000,11000,-,9900
61,13/03/2023,11000,11000,11000,11000,-,9900
62,14/03/2023,11000,11000,11000,11000,7,9900
63,15/03/2023,11000,11000,11000,11000,-,9900
64,16/03/2023,11000,11000,11000,11000,1,9900
65,17/03/2023,11000,11000,11000,11000,-,9900
66,20/03/2023,11000,11000,11000,11000,-,9900
67,21/03/2023,11000,11000,11000,11000,-,9900
68,22/03/2023,11000,11000,11000,11000,-,9900
69,23/03/2023,11000,11000,11000,11000,-,9900
70,24/03/2023,11000,11000,11000,11000,-,9900
71,27/03/2023,11000,11000,11000,11000,-,9900
72,28/03/2023,11000,11000,11000,11000,-,9900
73,29/03/2023,11000,11000,11000,11000,-,9900
74,30/03/2023,11000,11000,11000,11000,-,9900
75,31/03/2023,11000,11000,11000,11000,-,9900
76,03/04/2023,11000,11000,11000,11000,-,9900
77,04/04/2023,11000,11000,11000,11000,1,9900
78,05/04/2023,11000,11000,11000,11000,6,9900
79,06/04/2023,11000,11000,11000,11000,-,9900
80,07/04/2023,11000,11000,11000,11000,-,9900
81,10/04/2023,11000,11000,11000,11000,-,9900
82,11/04/2023,11000,11000,11000,11000,-,9900
83,12/04/2023,11000,11000,11000,11000,-,9900
84,13/04/2023,11000,11000,11000,11000,-,9900
85,14/04/2023,11000,11000,11000,11000,-,9900
86,17/04/2023,11000,11000,11000,11000,-,9900
87,18/04/2023,11000,11000,11000,11000,-,9900
88,19/04/2023,11000,11000,11000,11000,-,9900
89,20/04/2023,11000,11000,11000,11000,-,9900
90,21/04/2023,11000,11000,11000,11000,-,9900
91,24/04/2023,11000,11000,11000,11000,-,9900
92,25/04/2023,11000,11000,11000,11000,-,9900
93,26/04/2023,11000,11000,11000,11000,-,9900
94,27/04/2023,11000,11000,11000,11000,-,9900
95,28/04/2023,11000,11000,11000,11000,-,9900
96,04/05/2023,11000,11000,11000,11000,-,9900
97,05/05/2023,11000,11000,11000,11000,-,9900
98,08/05/2023,11000,11000,11000,11000,300,9900
99,09/05/2023,11000,11000,11000,11000,-,9900
100,10/05/2023,11000,11000,11000,11000,-,9900
101,11/05/2023,11000,11000,11000,11000,-,9900
102,12/05/2023,11000,11000,11000,11000,1700,9900
103,15/05/2023,11000,11000,11000,11000,19,9900
104,16/05/2023,11000,11000,11000,11000,-,9900
105,17/05/2023,11000,11000,11000,11000,-,9900
106,18/05/2023,11000,11000,11000,11000,-,9900
107,19/05/2023,11000,11000,11000,11000,19,9900
108,22/05/2023,11000,11000,11000,11000,-,9900
109,23/05/2023,11000,11000,11000,11000,1801,9900
110,24/05/2023,11000,11000,11000,11000,4,9900
111,25/05/2023,11000,11000,11000,11000,4005,9900
112,26/05/2023,11000,11000,11000,11000,-,9900
113,29/05/2023,11000,11000,11000,11000,-,9900
114,30/05/2023,11000,11000,11000,11000,-,9900
115,31/05/2023,11000,11000,11000,11000,-,9900
116,01/06/2023,11000,11000,11000,11000,-,9900
117,02/06/2023,11000,11000,11000,11000,-,9900
118,05/06/2023,11000,11000,11000,11000,-,9900
119,06/06/2023,11000,11000,11000,11000,700,9900
120,07/06/2023,10000,10000,10000,10000,100,9000
121,08/06/2023,10100,10100,10100,10100,100,9100
122,09/06/2023,10100,10100,10100,10100,-,9100
123,12/06/2023,11000,11000,11000,11000,400,9900
124,13/06/2023,11000,11000,11000,11000,-,9900
125,14/06/2023,11000,11000,11000,11000,-,9900
126,15/06/2023,11000,11000,11000,11000,-,9900
127,16/06/2023,11000,11000,11000,11000,-,9900
128,19/06/2023,11000,11000,11000,11000,-,9900
129,20/06/2023,11000,11000,11000,11000,-,9900
130,21/06/2023,11000,11000,11000,11000,-,9900
131,22/06/2023,11000,11000,11000,11000,-,9900
132,23/06/2023,11000,11000,11000,11000,-,9900
133,26/06/2023,11000,11000,11000,11000,-,9900
134,27/06/2023,11000,11000,11000,11000,149,9900
135,28/06/2023,11000,11000,11000,11000,-,9900
136,29/06/2023,11000,11000,11000,11000,-,9900
137,30/06/2023,11000,11000,11000,11000,-,9900
138,03/07/2023,11000,11000,11000,11000,-,9900
139,04/07/2023,11100,11100,11100,11100,1000,10000
140,05/07/2023,11100,11100,11100,11100,-,10000
141,06/07/2023,11100,11100,11100,11100,-,10000
142,07/07/2023,11100,11100,11100,11100,-,10000
143,10/07/2023,12000,12000,12000,12000,100,10800
144,11/07/2023,12000,12000,12000,12000,-,10800
145,12/07/2023,12000,12000,12000,12000,-,10800
146,13/07/2023,12000,12000,12000,12000,-,10800
147,14/07/2023,12000,12000,12000,12000,-,10800
148,17/07/2023,12000,12000,12000,12000,-,10800
149,18/07/2023,12100,12100,12100,12100,100,10900
150,19/07/2023,12100,12100,12100,12100,-,10900
151,20/07/2023,12100,12100,12100,12100,-,10900
152,21/07/2023,12100,12100,12100,12100,-,10900
153,24/07/2023,12100,12100,12100,12100,6,10900
154,25/07/2023,12100,12100,12100,12100,-,10900
155,26/07/2023,11000,10900,11000,11000,991,9900
156,27/07/2023,11000,11000,11000,11000,-,9900
157,28/07/2023,11000,11000,11000,11000,-,9900
158,31/07/2023,11000,11000,11000,11000,66,9900
159,01/08/2023,11200,11200,11200,11200,800,10100
160,02/08/2023,11200,11200,11200,11200,-,10100
161,03/08/2023,11200,11200,11200,11200,-,10100
