,Date,High,Low,Open,Close,Volume,Adj Close
0,16/08/2023,9600,9600,9600,9600,-,9400
1,17/08/2023,9600,9600,9600,9600,-,9400
2,18/08/2023,9800,9000,9800,9000,11400,8800
3,21/08/2023,8300,8200,8300,8200,950,8000
4,22/08/2023,8200,8200,8200,8200,-,8000
5,23/08/2023,9000,9000,9000,9000,1100,8800
6,24/08/2023,9000,9000,9000,9000,-,8800
7,25/08/2023,9000,9000,9000,9000,-,8800
8,28/08/2023,9000,9000,9000,9000,-,8800
9,29/08/2023,9000,9000,9000,9000,3001,8800
10,30/08/2023,9000,9000,9000,9000,-,8800
11,31/08/2023,9000,9000,9000,9000,-,8800
12,05/09/2023,9000,9000,9000,9000,-,8800
13,06/09/2023,9000,9000,9000,9000,1,8800
14,07/09/2023,9500,8600,8600,9500,15100,9500
15,08/09/2023,9500,9500,9500,9500,-,9500
16,11/09/2023,9500,9500,9500,9500,-,9500
17,12/09/2023,9500,9500,9500,9500,-,9500
18,13/09/2023,10000,8800,8800,10000,8805,10000
19,14/09/2023,10000,10000,10000,10000,-,10000
20,15/09/2023,10000,10000,10000,10000,-,10000
21,18/09/2023,9000,9000,9000,9000,12900,9000
22,19/09/2023,9300,8500,8600,9300,1301,9300
23,20/09/2023,9300,8600,8600,9300,3100,9300
24,21/09/2023,9300,9300,9300,9300,-,9300
25,22/09/2023,9300,9300,9300,9300,-,9300
26,25/09/2023,8800,8800,8800,8800,100,8800
27,26/09/2023,9000,8800,8800,8800,5305,8800
28,27/09/2023,8800,8800,8800,8800,-,8800
29,28/09/2023,8800,8800,8800,8800,99,8800
30,29/09/2023,9300,9300,9300,9300,101,9300
31,02/10/2023,9300,9300,9300,9300,-,9300
32,03/10/2023,9300,9300,9300,9300,-,9300
33,04/10/2023,9300,9300,9300,9300,1,9300
34,05/10/2023,9300,9300,9300,9300,-,9300
35,06/10/2023,9300,9300,9300,9300,-,9300
36,09/10/2023,9000,8600,8600,9000,3133,9000
37,10/10/2023,9000,9000,9000,9000,-,9000
38,11/10/2023,9000,9000,9000,9000,-,9000
39,12/10/2023,9900,9300,9300,9900,1900,9900
40,13/10/2023,9900,9900,9900,9900,-,9900
41,16/10/2023,9900,9900,9900,9900,-,9900
42,17/10/2023,9900,9900,9900,9900,12,9900
43,18/10/2023,9900,9900,9900,9900,-,9900
44,19/10/2023,9900,9900,9900,9900,46,9900
45,20/10/2023,9900,9900,9900,9900,10,9900
46,23/10/2023,9900,9900,9900,9900,-,9900
47,24/10/2023,9800,9500,9800,9500,2100,9500
48,25/10/2023,9800,9800,9800,9800,100,9800
49,26/10/2023,9800,9500,9800,9500,300,9500
50,27/10/2023,9300,9300,9300,9300,2000,9300
51,30/10/2023,8800,8800,8800,8800,200,8800
52,31/10/2023,8800,8800,8800,8800,-,8800
53,01/11/2023,8600,8600,8600,8600,100,8600
