,Date,High,Low,Open,Close,Volume,Adj Close
0,08/06/2021,20500,20000,20000,20500,5000,19500
1,09/06/2021,20500,20500,20500,20500,-,19500
2,10/06/2021,20500,20500,20500,20500,-,19500
3,11/06/2021,20500,20500,20500,20500,-,19500
4,14/06/2021,20300,20100,20300,20100,200,19100
5,15/06/2021,20000,19900,19900,20000,10000,19000
6,16/06/2021,20100,20000,20000,20100,4600,19100
7,17/06/2021,20000,20000,20000,20000,5320,19000
8,18/06/2021,20000,20000,20000,20000,-,19000
9,21/06/2021,20000,20000,20000,20000,600,19000
10,22/06/2021,20000,20000,20000,20000,2000,19000
11,23/06/2021,21000,20000,20000,21000,800,20000
12,24/06/2021,21000,20000,21000,20300,6200,19300
13,25/06/2021,20300,20300,20300,20300,-,19300
14,28/06/2021,20700,20000,20500,20000,5300,19000
15,29/06/2021,20300,20300,20300,20300,3000,19300
16,30/06/2021,20500,20500,20500,20500,200,19500
17,01/07/2021,20500,20500,20500,20500,-,19500
18,02/07/2021,20000,20000,20000,20000,3400,19000
19,05/07/2021,20000,20000,20000,20000,-,19000
20,06/07/2021,20400,20400,20400,20400,100,19400
21,07/07/2021,20000,19000,19000,20000,1000,19000
22,08/07/2021,20300,18200,18200,20200,300,19200
23,09/07/2021,20200,19100,20200,20100,400,19100
24,12/07/2021,20400,20400,20400,20400,100,19400
25,13/07/2021,20400,20400,20400,20400,-,19400
26,14/07/2021,20400,20400,20400,20400,-,19400
27,15/07/2021,20000,18400,18400,20000,200,19000
28,16/07/2021,20000,20000,20000,20000,-,19000
29,19/07/2021,22000,18600,22000,20000,300,19000
30,20/07/2021,20000,20000,20000,20000,-,19000
31,21/07/2021,20500,20500,20500,20500,200,19500
32,22/07/2021,20400,20400,20400,20400,100,19400
33,23/07/2021,20400,20400,20400,20400,-,19400
34,26/07/2021,20400,20400,20400,20400,-,19400
35,27/07/2021,19000,19000,19000,19000,500,18100
36,28/07/2021,19000,19000,19000,19000,200,18100
37,29/07/2021,19000,19000,19000,19000,-,18100
38,30/07/2021,20400,17100,17200,19000,1221,18100
39,02/08/2021,19700,17400,17400,19700,5000,18800
40,03/08/2021,19700,19700,19700,19700,-,18800
41,04/08/2021,19400,18600,18900,18800,915,17900
42,05/08/2021,19000,18700,18700,18800,1400,17900
43,06/08/2021,18800,18800,18800,18800,-,17900
44,09/08/2021,18800,18800,18800,18800,-,17900
45,10/08/2021,18600,18100,18100,18600,300,17700
