,Date,High,Low,Open,Close,Volume,Adj Close
0,10/06/2021,10300,10300,10300,10300,12000,9500
1,11/06/2021,10400,10300,10300,10400,2500,9600
2,14/06/2021,10400,10400,10400,10400,-,9600
3,15/06/2021,10400,10400,10400,10400,-,9600
4,16/06/2021,10400,10400,10400,10400,-,9600
5,17/06/2021,11300,11100,11300,11100,200,10300
6,18/06/2021,11100,11100,11100,11100,-,10300
7,21/06/2021,11100,11100,11100,11100,-,10300
8,22/06/2021,10000,10000,10000,10000,100,9300
9,23/06/2021,10800,10800,10800,10800,100,10000
10,24/06/2021,10800,10800,10800,10800,400,10000
11,25/06/2021,10800,10800,10800,10800,500,10000
12,28/06/2021,10800,10800,10800,10800,-,10000
13,29/06/2021,10800,10800,10800,10800,-,10000
14,30/06/2021,10800,10800,10800,10800,-,10000
15,01/07/2021,10800,10800,10800,10800,-,10000
16,02/07/2021,10800,10800,10800,10800,-,10000
17,05/07/2021,10800,10800,10800,10800,-,10000
18,06/07/2021,10800,10800,10800,10800,-,10000
19,07/07/2021,10800,10000,10000,10800,1600,10000
20,08/07/2021,10000,10000,10000,10000,7900,9300
21,09/07/2021,10400,10000,10000,10400,10100,9600
22,12/07/2021,11400,10000,11400,10000,5800,9300
23,13/07/2021,10000,10000,10000,10000,-,9300
24,14/07/2021,10200,9000,10000,10200,12000,9500
25,15/07/2021,10200,10000,10000,10200,10100,9500
26,16/07/2021,10000,10000,10000,10000,10500,9300
27,19/07/2021,10100,10000,10000,10000,22100,9300
28,20/07/2021,10100,10000,10000,10000,20000,9300
29,21/07/2021,10200,10100,10100,10100,5700,9400
30,22/07/2021,10200,10200,10200,10200,100,9500
31,23/07/2021,10200,10200,10200,10200,-,9500
32,26/07/2021,10000,10000,10000,10000,10500,9300
33,27/07/2021,10200,10000,10000,10200,10100,9500
34,28/07/2021,10000,10000,10000,10000,500,9300
35,29/07/2021,10200,10100,10100,10200,7000,9500
36,30/07/2021,10300,10300,10300,10300,100,9500
37,02/08/2021,10300,10300,10300,10300,-,9500
38,03/08/2021,10300,10300,10300,10300,500,9500
39,04/08/2021,10300,10300,10300,10300,-,9500
40,05/08/2021,10100,10100,10100,10100,5000,9400
41,06/08/2021,10400,10100,10100,10400,5100,9600
42,09/08/2021,10400,10400,10400,10400,-,9600
43,10/08/2021,10400,10400,10400,10400,-,9600
44,11/08/2021,10800,10400,10400,10600,26500,9800
45,12/08/2021,10600,10500,10600,10500,6200,9700
46,13/08/2021,10700,10700,10700,10700,400,9900
47,16/08/2021,10700,10700,10700,10700,100,9900
48,17/08/2021,10800,10800,10800,10800,1000,10000
49,18/08/2021,10600,10400,10600,10400,2000,9600
50,19/08/2021,10500,10500,10500,10500,2000,9700
51,20/08/2021,10200,10100,10200,10100,2000,9400
52,23/08/2021,10100,10100,10100,10100,5000,9400
53,24/08/2021,10200,10100,10200,10100,16500,9400
54,25/08/2021,10200,10100,10100,10200,15100,9500
55,26/08/2021,10500,10500,10500,10500,100,9700
56,27/08/2021,10500,10500,10500,10500,-,9700
57,30/08/2021,10300,10000,10000,10300,24500,9500
58,31/08/2021,10500,10300,10300,10500,21900,9700
59,01/09/2021,10500,10500,10500,10500,-,9700
60,06/09/2021,10600,10600,10600,10600,300,9800
61,07/09/2021,10600,10600,10600,10600,700,9800
62,08/09/2021,10600,10600,10600,10600,-,9800
63,09/09/2021,10800,10800,10800,10800,600,10000
64,10/09/2021,10800,10800,10800,10800,100,10000
65,13/09/2021,10900,10800,10900,10800,1000,10000
66,14/09/2021,10800,10200,10800,10200,20100,9500
67,15/09/2021,10900,10400,10400,10800,400,10000
68,16/09/2021,10900,10800,10900,10800,1201,10000
69,17/09/2021,10700,10700,10700,10700,700,9900
70,20/09/2021,10900,10900,10900,10900,500,10100
71,21/09/2021,10900,10600,10900,10600,37100,9800
72,22/09/2021,11000,10600,10600,10900,2355,10100
73,23/09/2021,11000,11000,11000,11000,9800,10200
74,24/09/2021,11000,10600,11000,11000,8900,10200
75,27/09/2021,11200,11200,11200,11200,400,10400
76,28/09/2021,11200,11200,11200,11200,100,10400
77,29/09/2021,11100,11100,11100,11100,100,10300
78,30/09/2021,11100,11100,11100,11100,-,10300
79,01/10/2021,11200,11200,11200,11200,2000,10400
80,04/10/2021,11000,10900,11000,10900,12800,10100
81,05/10/2021,11200,11000,11000,11200,21200,10400
82,06/10/2021,11200,11000,11000,11200,9700,10400
83,07/10/2021,11100,11100,11100,11100,5010,10300
84,08/10/2021,11200,11100,11200,11100,7000,10300
85,11/10/2021,11200,11200,11200,11200,600,10400
86,12/10/2021,12200,11600,11600,12000,3800,11100
87,13/10/2021,12000,12000,12000,12000,600,11100
88,14/10/2021,12500,12000,12000,12500,1400,11600
89,15/10/2021,13000,12000,12000,13000,2000,12000
90,18/10/2021,13500,12000,13500,12000,1000,11100
91,19/10/2021,12000,12000,12000,12000,200,11100
92,20/10/2021,13000,12000,12000,13000,2100,12000
93,21/10/2021,13000,13000,13000,13000,-,12000
94,22/10/2021,12100,12000,12000,12000,6200,11100
95,25/10/2021,12000,11500,11600,12000,4445,11100
96,26/10/2021,12000,12000,12000,12000,3000,11100
97,27/10/2021,12000,12000,12000,12000,200,11100
98,28/10/2021,12000,12000,12000,12000,900,11100
99,29/10/2021,12500,12000,12000,12400,2000,11500
100,01/11/2021,12000,12000,12000,12000,1000,11100
101,02/11/2021,12100,12100,12100,12100,7700,11200
102,03/11/2021,12100,12000,12100,12000,2800,11100
103,04/11/2021,12500,12500,12500,12500,200,11600
104,05/11/2021,12300,11900,12000,12300,6100,11400
105,08/11/2021,12400,12200,12300,12400,4600,11500
106,09/11/2021,12600,12500,12500,12600,2600,11700
107,10/11/2021,12600,12400,12400,12600,4200,11700
108,11/11/2021,12600,12400,12500,12600,11800,11700
109,12/11/2021,12900,12400,12400,12900,1500,12000
110,15/11/2021,13000,12800,12900,12800,3100,11900
111,16/11/2021,13000,12800,13000,13000,11200,12000
112,17/11/2021,13000,12800,13000,12800,1200,11900
113,18/11/2021,12800,12800,12800,12800,23600,11900
114,19/11/2021,13000,12800,12800,12800,13600,11900
115,22/11/2021,13200,12800,13000,12800,17800,11900
116,23/11/2021,13000,12800,13000,12800,400,11900
117,24/11/2021,13000,12800,12800,12800,600,11900
118,25/11/2021,12800,12800,12800,12800,300,11900
119,26/11/2021,12900,12600,12800,12900,6400,12000
120,29/11/2021,12900,12000,12600,12900,22900,12000
121,30/11/2021,13000,12600,12900,13000,4300,12000
122,01/12/2021,13000,12800,13000,13000,7200,12000
123,02/12/2021,13500,13000,13500,13100,1542,12100
124,03/12/2021,13000,12600,12700,13000,3200,12000
125,06/12/2021,12400,12400,12400,12400,1000,11500
126,07/12/2021,12800,12100,12800,12800,3500,11900
127,08/12/2021,12900,12300,12900,12600,6100,11700
128,09/12/2021,12900,12600,12600,12900,1300,12000
129,10/12/2021,12600,12500,12500,12600,2400,11700
130,13/12/2021,12600,12600,12600,12600,1600,11700
131,14/12/2021,12700,12700,12700,12700,1300,11800
132,15/12/2021,12700,12700,12700,12700,-,11800
133,16/12/2021,13000,12800,13000,12900,3600,12000
134,17/12/2021,13000,12600,12600,13000,5400,12000
135,20/12/2021,13100,13000,13000,13000,7300,12000
136,21/12/2021,13200,13000,13000,13200,3100,12200
137,22/12/2021,13200,13000,13100,13000,2000,12000
138,23/12/2021,13200,13000,13000,13200,8742,12200
139,24/12/2021,13100,13000,13000,13000,4000,12000
140,27/12/2021,13400,13000,13400,13100,5300,12100
141,28/12/2021,13300,13200,13200,13200,6000,12200
142,29/12/2021,14000,13300,13300,13400,1000,12400
143,30/12/2021,13500,13400,13400,13400,1400,12400
144,31/12/2021,13500,13400,13500,13500,4300,12500
145,04/01/2022,14000,13500,13600,13600,9042,12600
146,05/01/2022,13100,13000,13000,13100,900,12600
147,06/01/2022,13100,13100,13100,13100,-,12600
148,07/01/2022,13100,12500,12500,13100,1010,12600
149,10/01/2022,13000,12700,13000,12700,3300,12200
150,11/01/2022,12800,12700,12700,12700,5400,12200
151,12/01/2022,12600,12600,12600,12600,1900,12100
152,13/01/2022,12400,12200,12400,12200,1400,11700
153,14/01/2022,12300,12200,12200,12300,3500,11800
154,17/01/2022,13000,12200,12900,12200,900,11700
155,18/01/2022,12200,12200,12200,12200,-,11700
156,19/01/2022,12200,12200,12200,12200,-,11700
157,20/01/2022,12200,12200,12200,12200,-,11700
158,21/01/2022,12000,12000,12000,12000,1300,11500
159,24/01/2022,12000,12000,12000,12000,-,11500
160,25/01/2022,12000,12000,12000,12000,-,11500
161,26/01/2022,12000,12000,12000,12000,100,11500
162,27/01/2022,12000,12000,12000,12000,-,11500
163,28/01/2022,12000,12000,12000,12000,200,11500
164,07/02/2022,11900,11900,11900,11900,3000,11400
165,08/02/2022,11900,11900,11900,11900,-,11400
166,09/02/2022,12900,12900,12900,12900,100,12400
167,10/02/2022,12000,12000,12000,12000,110,11500
168,11/02/2022,12000,12000,12000,12000,800,11500
169,14/02/2022,12000,12000,12000,12000,-,11500
170,15/02/2022,12000,12000,12000,12000,-,11500
171,16/02/2022,12000,12000,12000,12000,-,11500
172,17/02/2022,12000,12000,12000,12000,-,11500
173,18/02/2022,12000,12000,12000,12000,-,11500
174,21/02/2022,12000,12000,12000,12000,-,11500
175,22/02/2022,12300,12000,12000,12300,500,11800
176,23/02/2022,12300,12300,12300,12300,-,11800
177,24/02/2022,12300,12300,12300,12300,-,11800
178,25/02/2022,12300,12300,12300,12300,-,11800
179,28/02/2022,12300,12300,12300,12300,1100,11800
180,01/03/2022,12600,12500,12500,12500,2000,12000
181,02/03/2022,12600,12600,12600,12600,300,12100
182,03/03/2022,12600,12600,12600,12600,-,12100
183,04/03/2022,12400,12400,12400,12400,1105,11900
184,07/03/2022,13500,12400,12400,13500,3600,13000
185,08/03/2022,12500,12500,12500,12500,500,12000
186,09/03/2022,12500,12500,12500,12500,1000,12000
187,10/03/2022,12500,12500,12500,12500,-,12000
188,11/03/2022,12800,12500,12500,12800,1400,12300
189,14/03/2022,12800,12500,12800,12500,2205,12000
190,15/03/2022,12600,12500,12500,12600,200,12100
191,16/03/2022,12700,12700,12700,12700,100,12200
192,17/03/2022,12800,12700,12700,12800,1000,12300
193,18/03/2022,12500,12500,12500,12500,1600,12000
194,21/03/2022,12700,12500,12500,12500,15500,12000
195,22/03/2022,12700,12500,12500,12700,38400,12200
196,23/03/2022,12700,12700,12700,12700,2005,12200
197,24/03/2022,12800,12500,12500,12800,52700,12300
198,25/03/2022,12800,12800,12800,12800,-,12300
199,28/03/2022,12800,12800,12800,12800,1600,12300
200,29/03/2022,12800,12800,12800,12800,2700,12300
201,30/03/2022,12800,12800,12800,12800,-,12300
202,31/03/2022,12900,12800,12900,12800,2200,12300
203,01/04/2022,12800,12800,12800,12800,-,12300
204,04/04/2022,12800,12800,12800,12800,1105,12300
205,05/04/2022,12800,12800,12800,12800,-,12300
206,06/04/2022,12800,12800,12800,12800,100,12300
207,07/04/2022,13500,13400,13500,13400,500,12900
208,08/04/2022,13400,13400,13400,13400,-,12900
209,12/04/2022,13100,12100,12100,13100,1300,12600
210,13/04/2022,13100,13100,13100,13100,-,12600
211,14/04/2022,13100,13100,13100,13100,-,12600
212,15/04/2022,13100,13100,13100,13100,-,12600
213,18/04/2022,13100,13100,13100,13100,12200,12600
214,19/04/2022,13100,13100,13100,13100,-,12600
215,20/04/2022,13100,13000,13100,13000,17900,12500
216,21/04/2022,13000,13000,13000,13000,-,12500
217,22/04/2022,13000,13000,13000,13000,-,12500
218,25/04/2022,13000,13000,13000,13000,-,12500
219,26/04/2022,13000,13000,13000,13000,-,12500
220,27/04/2022,13000,13000,13000,13000,-,12500
221,28/04/2022,13000,13000,13000,13000,-,12500
222,29/04/2022,13000,13000,13000,13000,-,12500
223,04/05/2022,12500,12500,12500,12500,100,12000
224,05/05/2022,12500,12500,12500,12500,-,12000
225,06/05/2022,12500,12500,12500,12500,300,12000
226,09/05/2022,12500,12500,12500,12500,-,12000
227,10/05/2022,12300,12300,12300,12300,700,11800
228,11/05/2022,12300,12300,12300,12300,-,11800
229,12/05/2022,12300,12300,12300,12300,-,11800
230,13/05/2022,12300,12300,12300,12300,-,11800
231,16/05/2022,12300,12300,12300,12300,-,11800
232,17/05/2022,12300,12300,12300,12300,-,11800
233,18/05/2022,12300,12300,12300,12300,100,11800
234,19/05/2022,12300,12300,12300,12300,1000,11800
235,20/05/2022,12300,12300,12300,12300,-,11800
236,23/05/2022,12300,12300,12300,12300,-,11800
237,24/05/2022,12300,12300,12300,12300,-,11800
238,25/05/2022,12300,12300,12300,12300,-,11800
239,26/05/2022,11800,11800,11800,11800,100,11300
240,27/05/2022,12900,12900,12900,12900,1000,12400
241,30/05/2022,11700,11700,11700,11700,100,11300
242,31/05/2022,12500,12500,12500,12500,100,12000
