,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,22000,22000,22000,22000,-,21900
1,10/06/2021,23000,22000,23000,22000,3300,21900
2,11/06/2021,22000,22000,22000,22000,6200,21900
3,14/06/2021,23000,22100,23000,23000,7300,22900
4,15/06/2021,23000,23000,23000,23000,-,22900
5,16/06/2021,23000,23000,23000,23000,100,22900
6,17/06/2021,22200,22200,22200,22200,1200,22100
7,18/06/2021,23500,22800,23400,22800,2300,22700
8,21/06/2021,23000,23000,23000,23000,4800,22900
9,22/06/2021,23500,23000,23000,23400,2300,23300
10,23/06/2021,23500,23300,23500,23500,10600,23400
11,24/06/2021,23500,23500,23500,23500,-,23400
12,25/06/2021,23500,23500,23500,23500,-,23400
13,28/06/2021,23500,23500,23500,23500,32,23400
14,29/06/2021,22600,22000,22500,22100,10100,22000
15,30/06/2021,22100,22100,22100,22100,-,22000
16,01/07/2021,23700,23700,23700,23700,100,23600
17,02/07/2021,23500,22900,22900,23400,1100,23300
18,05/07/2021,23400,23400,23400,23400,-,23300
19,06/07/2021,23000,22100,22500,22100,4800,22000
20,07/07/2021,22800,21600,22000,22800,2600,22700
21,08/07/2021,22800,22800,22800,22800,-,22700
22,09/07/2021,22300,20700,21100,22300,4000,22200
23,12/07/2021,22300,21900,22300,21900,1200,21800
24,13/07/2021,22900,22900,22900,22900,100,22800
25,14/07/2021,21900,21900,21900,21900,400,21800
26,15/07/2021,21900,21900,21900,21900,100,21800
27,16/07/2021,23000,21200,21200,23000,200,22900
28,19/07/2021,23000,20700,22800,22800,2500,22700
29,20/07/2021,22800,22800,22800,22800,-,22700
30,21/07/2021,22800,22800,22800,22800,-,22700
31,22/07/2021,21900,21000,21500,21900,3600,21800
32,23/07/2021,21700,21100,21300,21700,6600,21600
33,26/07/2021,21700,21700,21700,21700,-,21600
34,27/07/2021,21700,21700,21700,21700,1100,21600
35,28/07/2021,21700,21600,21700,21600,1000,21500
36,29/07/2021,21600,21600,21600,21600,-,21500
37,30/07/2021,21600,21600,21600,21600,2400,21500
38,02/08/2021,21600,21500,21600,21600,3000,21500
