,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,58300,58300,58300,58300,-,56000
1,10/06/2021,58300,58300,58300,58300,500,56000
2,11/06/2021,58300,58300,58300,58300,-,56000
3,14/06/2021,52500,52500,52500,52500,200,50400
4,15/06/2021,57600,57600,57600,57600,100,55300
5,16/06/2021,57500,51900,57500,51900,300,49800
6,17/06/2021,56900,56800,56900,56800,1200,54600
7,18/06/2021,56800,56800,56800,56800,-,54600
8,21/06/2021,51200,51200,51200,51200,100,49200
9,22/06/2021,56200,51000,56200,51000,1800,49000
10,23/06/2021,50000,50000,50000,50000,200,48000
11,24/06/2021,50000,50000,50000,50000,-,48000
12,25/06/2021,50000,50000,50000,50000,-,48000
13,28/06/2021,49000,49000,49000,49000,1000,47100
14,29/06/2021,49000,49000,49000,49000,-,47100
15,30/06/2021,53800,53800,53800,53800,100,51700
16,01/07/2021,53800,53800,53800,53800,-,51700
17,02/07/2021,53800,53800,53800,53800,-,51700
18,05/07/2021,53800,53800,53800,53800,-,51700
19,06/07/2021,48500,48500,48500,48500,100,46600
20,07/07/2021,53200,53200,53200,53200,100,51100
21,08/07/2021,53200,53200,53200,53200,-,51100
22,09/07/2021,58500,52000,58500,52000,300,49900
23,12/07/2021,57100,57100,57100,57100,100,54800
24,13/07/2021,57000,57000,57000,57000,1700,54700
25,14/07/2021,57000,57000,57000,57000,-,54700
26,15/07/2021,57000,57000,57000,57000,-,54700
27,16/07/2021,57000,57000,57000,57000,86,54700
28,19/07/2021,57000,57000,57000,57000,-,54700
29,20/07/2021,57000,57000,57000,57000,-,54700
30,21/07/2021,57000,57000,57000,57000,-,54700
31,22/07/2021,57000,57000,57000,57000,-,54700
32,23/07/2021,57000,57000,57000,57000,-,54700
33,26/07/2021,57000,57000,57000,57000,-,54700
34,27/07/2021,57000,57000,57000,57000,-,54700
35,28/07/2021,57000,57000,57000,57000,-,54700
36,29/07/2021,57000,57000,57000,57000,-,54700
37,30/07/2021,57000,57000,57000,57000,-,54700
38,02/08/2021,57000,57000,57000,57000,-,54700
39,03/08/2021,57000,57000,57000,57000,-,54700
40,04/08/2021,57000,57000,57000,57000,-,54700
41,05/08/2021,57000,57000,57000,57000,-,54700
42,06/08/2021,57000,57000,57000,57000,-,54700
43,09/08/2021,57000,57000,57000,57000,-,54700
44,10/08/2021,57000,57000,57000,57000,-,54700
45,11/08/2021,52000,52000,52000,52000,1100,49900
46,12/08/2021,52000,52000,52000,52000,-,49900
47,13/08/2021,52000,51900,51900,52000,6400,49900
48,16/08/2021,52000,52000,52000,52000,3300,49900
49,17/08/2021,52000,52000,52000,52000,1000,49900
50,18/08/2021,52000,52000,52000,52000,6410,49900
51,19/08/2021,52000,52000,52000,52000,-,49900
52,20/08/2021,52000,52000,52000,52000,-,49900
53,23/08/2021,52000,52000,52000,52000,-,49900
54,24/08/2021,52000,52000,52000,52000,-,49900
55,25/08/2021,52000,52000,52000,52000,-,49900
56,26/08/2021,52000,52000,52000,52000,-,49900
