,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,23300,22000,23000,22000,34300,22000
1,16/06/2021,21800,21000,21500,21000,8100,21000
2,17/06/2021,23100,21000,21000,23100,20100,23100
3,18/06/2021,23100,23000,23100,23000,1600,23000
4,21/06/2021,23000,22800,22800,23000,523000,23000
5,22/06/2021,23000,21300,21600,23000,5250,23000
6,23/06/2021,23000,22000,23000,22100,103100,22100
7,24/06/2021,23000,22700,22700,23000,102400,23000
8,25/06/2021,22900,21500,21500,21600,16000,21600
9,28/06/2021,22000,22000,22000,22000,60100,22000
10,29/06/2021,22000,21500,22000,21500,52130,21500
11,30/06/2021,21800,21300,21500,21800,11502,21800
12,01/07/2021,21800,21700,21800,21700,6200,21700
13,02/07/2021,21600,21300,21600,21300,4448575,21300
14,05/07/2021,21000,20600,20600,20600,104100,20600
15,06/07/2021,20700,20700,20700,20700,4600200,20700
16,07/07/2021,21000,20700,21000,20700,375,20700
17,08/07/2021,21600,21600,21600,21600,100,21600
18,09/07/2021,20700,20000,20700,20100,1000,20100
19,12/07/2021,21400,19100,19100,20500,2300,20500
20,13/07/2021,20500,20500,20500,20500,200000,20500
21,14/07/2021,20500,20500,20500,20500,633,20500
22,15/07/2021,20400,20400,20400,20400,474,20400
23,16/07/2021,20400,20400,20400,20400,10,20400
24,19/07/2021,19500,19500,19500,19500,1720,19500
25,20/07/2021,19500,19500,19500,19500,-,19500
26,21/07/2021,21300,18500,18500,21000,11300,21000
27,22/07/2021,20500,19900,19900,20000,103515,20000
28,23/07/2021,21900,19400,19400,21400,1000,21400
29,26/07/2021,21400,19900,21000,21200,11800,21200
30,27/07/2021,21100,20000,20000,21100,1200,21100
31,28/07/2021,20900,20900,20900,20900,199500,20900
32,29/07/2021,20900,20000,20900,20900,2400,20900
33,30/07/2021,20900,19500,20000,20900,111500,20900
34,02/08/2021,20900,20900,20900,20900,122,20900
35,03/08/2021,20100,20000,20000,20100,660,20100
36,04/08/2021,21000,20100,20100,21000,7030,21000
37,05/08/2021,21000,21000,21000,21000,257,21000
38,06/08/2021,20300,19800,19800,20300,1560,20300
39,09/08/2021,20900,20300,20900,20300,2100,20300
40,10/08/2021,22000,20300,20300,21000,23300,21000
41,11/08/2021,21000,20900,20900,21000,25700,21000
42,12/08/2021,22000,22000,22000,22000,400,22000
43,13/08/2021,20700,20700,20700,20700,840,20700
44,16/08/2021,20700,20100,20500,20700,5002,20700
45,17/08/2021,20700,20500,20700,20500,1300,20500
46,18/08/2021,20500,20500,20500,20500,1200,20500
47,19/08/2021,20500,20300,20500,20300,1500,20300
48,20/08/2021,20500,19500,20000,19500,1400,19500
49,23/08/2021,20500,19500,19500,20500,1500,20500
50,24/08/2021,20500,19500,20500,19500,1700,19500
51,25/08/2021,20400,20000,20400,20000,1200,20000
52,26/08/2021,20300,20000,20000,20300,27200,20300
53,27/08/2021,20200,19600,20200,19600,400,19600
54,30/08/2021,20100,20000,20100,20000,200700,20000
55,31/08/2021,20000,19900,19900,20000,1302,20000
56,01/09/2021,20000,20000,20000,20000,201,20000
57,06/09/2021,20300,20000,20000,20000,401600,20000
58,07/09/2021,20300,20000,20000,20300,114500,20300
59,08/09/2021,21000,19500,20300,19500,11200,19500
60,09/09/2021,21000,19600,21000,19600,105093,19600
61,10/09/2021,20500,19500,19600,20500,78200,20500
62,13/09/2021,20400,20200,20400,20200,103500,20200
63,14/09/2021,20500,20200,20200,20400,106500,20400
64,15/09/2021,21000,20300,20400,20500,15900,20500
65,16/09/2021,20500,20500,20500,20500,448,20500
66,17/09/2021,20500,20400,20400,20500,204000,20500
67,20/09/2021,20500,20300,20400,20300,3277,20300
68,21/09/2021,20300,20000,20300,20000,3450,20000
69,22/09/2021,21000,20000,20000,20300,318250,20300
70,23/09/2021,20300,20000,20300,20100,6400,20100
71,24/09/2021,20100,20000,20100,20000,3533,20000
72,27/09/2021,20000,19800,20000,19800,2553218,19800
73,28/09/2021,19900,19300,19900,19400,10900,19400
74,29/09/2021,19800,19400,19400,19700,3194,19700
75,30/09/2021,19700,19400,19400,19700,2782200,19700
76,01/10/2021,19800,19800,19800,19800,200,19800
77,04/10/2021,19800,19000,19800,19000,1701100,19000
78,05/10/2021,20000,19300,19300,20000,5400,20000
