,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,9500,9500,9500,9500,1000,8800
1,18/06/2021,9500,9500,9500,9500,-,8800
2,21/06/2021,9500,9500,9500,9500,-,8800
3,22/06/2021,9500,9500,9500,9500,109,8800
4,23/06/2021,9500,9500,9500,9500,-,8800
5,24/06/2021,9500,9500,9500,9500,-,8800
6,25/06/2021,9500,9200,9500,9200,5200,8600
7,28/06/2021,9500,9500,9500,9500,322,8800
8,29/06/2021,9500,9500,9500,9500,-,8800
9,30/06/2021,9400,9200,9400,9200,3600,8600
10,01/07/2021,9200,9200,9200,9200,7000,8600
11,02/07/2021,9200,9200,9200,9200,2400,8600
12,05/07/2021,9200,9200,9200,9200,13900,8600
13,06/07/2021,9200,9200,9200,9200,2000,8600
14,07/07/2021,9200,9200,9200,9200,13000,8600
15,08/07/2021,9400,9200,9400,9200,600,8600
16,09/07/2021,9200,9200,9200,9200,8000,8600
17,12/07/2021,9300,9100,9200,9100,9200,8500
18,13/07/2021,9100,9100,9100,9100,-,8500
19,14/07/2021,9100,9100,9100,9100,-,8500
20,15/07/2021,9100,9100,9100,9100,600,8500
21,16/07/2021,9100,9100,9100,9100,-,8500
22,19/07/2021,9100,9000,9100,9000,17100,8400
23,20/07/2021,9300,9000,9300,9000,200,8400
24,21/07/2021,9000,9000,9000,9000,-,8400
25,22/07/2021,9000,9000,9000,9000,-,8400
26,23/07/2021,9000,9000,9000,9000,-,8400
27,26/07/2021,9000,9000,9000,9000,-,8400
28,27/07/2021,9000,9000,9000,9000,1500,8400
29,28/07/2021,9000,9000,9000,9000,-,8400
30,29/07/2021,9000,9000,9000,9000,1600,8400
31,30/07/2021,9000,9000,9000,9000,-,8400
32,02/08/2021,9000,9000,9000,9000,1100,8400
33,03/08/2021,9000,9000,9000,9000,10,8400
34,04/08/2021,9000,9000,9000,9000,8000,8400
35,05/08/2021,9300,9200,9200,9300,1101,8700
36,06/08/2021,9100,9100,9100,9100,600,8500
37,09/08/2021,9200,9000,9000,9200,4900,8600
38,10/08/2021,9200,9200,9200,9200,-,8600
39,11/08/2021,9300,9100,9300,9100,6400,8500
40,12/08/2021,9100,9100,9100,9100,-,8500
41,13/08/2021,9100,9100,9100,9100,-,8500
42,16/08/2021,9300,9300,9300,9300,4600,8700
43,17/08/2021,9500,9500,9500,9500,725,8800
44,18/08/2021,9500,9500,9500,9500,-,8800
45,19/08/2021,9500,9500,9500,9500,-,8800
46,20/08/2021,9200,9200,9200,9200,100,8600
47,23/08/2021,9000,9000,9000,9000,200,8400
48,24/08/2021,9500,9400,9400,9500,6500,8800
49,25/08/2021,9600,9600,9600,9600,4010,8900
50,26/08/2021,9600,9200,9600,9200,2518,8600
51,27/08/2021,9200,9200,9200,9200,100,8600
52,30/08/2021,9200,9200,9200,9200,7725,8600
53,31/08/2021,9200,9200,9200,9200,10,8600
54,01/09/2021,9200,9200,9200,9200,2007,8600
55,06/09/2021,9200,9200,9200,9200,100,8600
56,07/09/2021,9200,9200,9200,9200,-,8600
57,08/09/2021,9200,9200,9200,9200,5500,8600
58,09/09/2021,9200,9200,9200,9200,-,8600
59,10/09/2021,9700,9500,9500,9700,1100,9000
60,13/09/2021,9700,9600,9700,9600,1000,8900
61,14/09/2021,9600,9300,9600,9300,1700,8700
62,15/09/2021,9600,9300,9300,9600,800,8900
63,16/09/2021,9700,9400,9700,9400,1200,8700
64,17/09/2021,10000,9400,9400,9900,1400,9200
65,20/09/2021,9500,9500,9500,9500,1000,8800
66,21/09/2021,9700,9500,9500,9700,1000,9000
67,22/09/2021,9700,9500,9500,9700,2108,9000
68,23/09/2021,9700,9700,9700,9700,-,9000
69,24/09/2021,9600,9600,9600,9600,1000,8900
70,27/09/2021,9600,9600,9600,9600,-,8900
71,28/09/2021,9500,9500,9500,9500,2400,8800
72,29/09/2021,9500,9500,9500,9500,2400,8800
73,30/09/2021,9500,9500,9500,9500,-,8800
74,01/10/2021,9500,9500,9500,9500,27,8800
75,04/10/2021,9500,9500,9500,9500,-,8800
76,05/10/2021,9500,9500,9500,9500,-,8800
77,06/10/2021,9500,9500,9500,9500,-,8800
78,07/10/2021,9500,9500,9500,9500,200,8800
79,08/10/2021,9800,9700,9700,9800,1400,9100
80,11/10/2021,10200,9400,9500,10200,9930,9500
81,12/10/2021,10000,9200,9200,10000,1900,9300
82,13/10/2021,10000,9500,9500,10000,1800,9300
83,14/10/2021,10000,10000,10000,10000,-,9300
84,15/10/2021,9900,9600,9600,9900,1505,9200
85,18/10/2021,10000,10000,10000,10000,200,9300
86,19/10/2021,10000,9700,10000,10000,600,9300
87,20/10/2021,9900,9900,9900,9900,305,9200
88,21/10/2021,9900,9900,9900,9900,-,9200
89,22/10/2021,10000,9800,10000,9800,1100,9100
90,25/10/2021,10000,9700,9700,9800,500,9100
91,26/10/2021,9800,9700,9700,9700,1100,9000
92,27/10/2021,9900,9800,9900,9900,1200,9200
93,28/10/2021,9800,9300,9800,9800,21700,9100
94,29/10/2021,10500,9900,9900,10500,7314,9800
95,01/11/2021,10500,10500,10500,10500,-,9800
96,02/11/2021,10400,9700,9800,10400,3600,9700
97,03/11/2021,10000,10000,10000,10000,300,9300
98,04/11/2021,10400,10200,10400,10200,3400,9500
99,05/11/2021,10200,10100,10100,10200,11400,9500
100,08/11/2021,10600,10200,10300,10600,9200,9900
101,09/11/2021,10500,10200,10200,10500,6500,9800
102,10/11/2021,10800,10400,10500,10600,11044,9900
103,11/11/2021,11000,10600,10600,11000,4300,10200
104,12/11/2021,11100,11000,11000,11100,2200,10300
105,15/11/2021,11100,11100,11100,11100,900,10300
106,16/11/2021,11200,11100,11100,11200,6200,10400
107,17/11/2021,11600,11300,11600,11300,3110,10500
108,18/11/2021,11500,11100,11100,11400,6600,10600
109,19/11/2021,11400,11100,11400,11100,13600,10300
110,22/11/2021,11300,11000,11300,11000,19900,10200
111,23/11/2021,11200,11000,11000,11200,4600,10400
