,Date,High,Low,Open,Close,Volume,Adj Close
0,07/06/2021,21100,21100,21100,21100,-,19300
1,08/06/2021,21100,21100,21100,21100,-,19300
2,09/06/2021,20000,20000,20000,20000,100,18300
3,10/06/2021,20700,20100,20100,20700,8600,19000
4,11/06/2021,21000,21000,21000,21000,3000,19300
5,14/06/2021,20100,20000,20100,20000,3600,18300
6,15/06/2021,20500,20000,20000,20500,3400,18800
7,16/06/2021,20500,20500,20500,20500,-,18800
8,17/06/2021,20500,20400,20400,20500,4500,18800
9,18/06/2021,22100,21000,21000,21900,3100,20100
10,21/06/2021,21900,21900,21900,21900,-,20100
11,22/06/2021,21900,21900,21900,21900,-,20100
12,23/06/2021,20000,19800,20000,20000,1400,18300
13,24/06/2021,20800,20700,20700,20800,4100,19100
14,25/06/2021,21000,20800,20800,21000,4010,19300
15,28/06/2021,20900,20900,20900,20900,600,19200
16,29/06/2021,20900,20900,20900,20900,1,19200
17,30/06/2021,20900,20900,20900,20900,-,19200
18,01/07/2021,20900,20900,20900,20900,-,19200
19,02/07/2021,20900,20900,20900,20900,-,19200
20,05/07/2021,20600,20600,20600,20600,100,18900
21,06/07/2021,20600,20600,20600,20600,700,18900
22,07/07/2021,20500,20500,20500,20500,200,18800
23,08/07/2021,20500,20500,20500,20500,200,18800
24,09/07/2021,19600,19600,19600,19600,500,18000
25,12/07/2021,20000,20000,20000,20000,6200,18300
26,13/07/2021,20000,20000,20000,20000,-,18300
27,14/07/2021,19500,19500,19500,19500,2000,17900
28,15/07/2021,20800,20800,20800,20800,100,19100
29,16/07/2021,20800,20800,20800,20800,-,19100
30,19/07/2021,19500,19500,19500,19500,100,17900
31,20/07/2021,19500,19500,19500,19500,-,17900
32,21/07/2021,19500,19500,19500,19500,2000,17900
33,22/07/2021,19500,19500,19500,19500,-,17900
34,23/07/2021,19500,19500,19500,19500,-,17900
35,26/07/2021,19500,19500,19500,19500,-,17900
36,27/07/2021,19500,19500,19500,19500,-,17900
37,28/07/2021,19500,19500,19500,19500,-,17900
38,29/07/2021,19500,19000,19500,19000,2500,17400
39,30/07/2021,19400,19400,19400,19400,5000,17800
40,02/08/2021,19000,19000,19000,19000,800,17400
41,03/08/2021,18500,18000,18500,18000,8700,16500
42,04/08/2021,18000,18000,18000,18000,100,16500
43,05/08/2021,19000,18100,18100,19000,2100,17400
44,06/08/2021,18800,18700,18800,18800,4410,17200
45,09/08/2021,18900,18500,18800,18900,2002,17300
46,10/08/2021,19100,18900,18900,19100,1806,17500
47,11/08/2021,19000,18500,18500,18700,3300,17100
