,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2021,10900,10600,10800,10700,31300,7100
1,23/06/2021,10800,10500,10700,10600,16800,7100
2,24/06/2021,10700,10200,10600,10500,39100,7000
3,25/06/2021,10800,10300,10500,10600,38100,7100
4,28/06/2021,11000,10700,10700,10700,55000,7100
5,29/06/2021,10900,10700,10700,10900,19200,7300
6,30/06/2021,11300,10400,10900,11000,158400,7300
7,01/07/2021,11200,10800,11000,10900,39500,7300
8,02/07/2021,11900,10800,10800,11100,266000,7400
9,05/07/2021,12000,10900,10900,11000,33900,7300
10,06/07/2021,12000,11000,11000,11800,614000,7900
11,07/07/2021,12900,12900,12900,12900,594001,8600
12,08/07/2021,14100,14100,14100,14100,26238,9400
13,09/07/2021,15500,15500,15500,15500,4910,10300
14,12/07/2021,17000,15100,17000,16800,513201,11200
15,13/07/2021,17300,16100,16100,16900,92737,11300
16,14/07/2021,16900,16300,16800,16700,113800,11100
17,15/07/2021,16700,15600,16700,16700,227300,11100
18,16/07/2021,17200,16100,16700,17100,615100,11400
19,19/07/2021,17700,16400,17100,17600,397500,11700
20,20/07/2021,17900,17500,17600,17500,99100,11700
21,21/07/2021,17700,16900,16900,17500,119737,11700
22,22/07/2021,17900,17300,17500,17900,253800,11900
23,23/07/2021,18500,17300,17900,18500,226200,12300
24,26/07/2021,18800,17900,18500,18800,151300,12500
25,27/07/2021,19000,18500,18800,18600,107400,12400
26,28/07/2021,18800,18300,18400,18800,128400,12500
27,29/07/2021,19000,18400,18600,18600,186700,12400
28,30/07/2021,19200,18500,18600,19200,183600,12800
29,02/08/2021,21100,18900,19200,21100,845249,14100
30,03/08/2021,21700,21100,21100,21600,114400,14400
31,04/08/2021,21700,20000,20000,21300,149601,14200
32,05/08/2021,21400,20800,21300,21200,148900,14100
33,06/08/2021,22200,21200,21200,22100,232400,14700
34,09/08/2021,22200,21800,22100,21900,101400,14600
35,10/08/2021,22100,21500,21900,21700,113700,14500
36,11/08/2021,21700,21200,21600,21500,155000,14300
37,12/08/2021,21900,21300,21400,21700,174800,14500
38,13/08/2021,22200,21100,21200,21200,349200,14500
39,16/08/2021,22000,21000,21200,21600,208000,14700
40,17/08/2021,21600,21200,21600,21200,111800,14500
41,18/08/2021,21300,20900,21200,20900,113500,14300
42,19/08/2021,22000,20600,20900,21900,458001,14900
43,20/08/2021,22600,21700,21800,22000,482400,15000
44,23/08/2021,22200,21800,22000,21800,155212,14900
45,24/08/2021,21800,21200,21700,21400,180600,14600
46,25/08/2021,21400,20700,21300,21000,102400,14300
47,26/08/2021,21500,20700,21000,20900,82100,14300
48,27/08/2021,21800,19100,20900,21800,301600,14900
49,30/08/2021,23000,21700,21800,21900,331510,14900
50,31/08/2021,23300,21900,21900,23000,267000,15700
51,01/09/2021,23200,21600,21700,23200,118820,15800
52,06/09/2021,23900,22600,23200,23900,132900,16300
53,07/09/2021,24400,23500,24000,24400,117640,16700
54,08/09/2021,24400,24000,24200,24200,118700,16500
55,09/09/2021,24500,23700,24200,23900,103100,16300
56,10/09/2021,24300,23500,23600,23800,130753,16200
57,13/09/2021,24000,23400,23800,23900,177200,16300
58,14/09/2021,24300,23800,23900,23800,107001,16200
59,15/09/2021,24500,23800,23800,24300,100700,16600
60,16/09/2021,24400,23900,24200,24100,122612,16400
61,17/09/2021,24200,23800,24000,24100,110700,16400
62,20/09/2021,24300,23900,24000,23900,195201,16300
63,21/09/2021,24000,23300,23800,24000,130100,16400
64,22/09/2021,24100,23700,24000,23900,87114,16300
65,23/09/2021,23900,23400,23900,23700,95101,16200
66,24/09/2021,23900,21500,21500,23900,218112,16300
67,27/09/2021,23900,22900,23800,23600,102134,16100
68,28/09/2021,23900,23000,23500,23900,69006,16300
69,29/09/2021,23900,23500,23900,23500,64660,16000
70,30/09/2021,23900,23500,23500,23900,125000,16300
71,01/10/2021,23800,23500,23800,23800,102700,16200
72,04/10/2021,23900,23500,23800,23600,91500,16100
73,05/10/2021,23900,23200,23500,23900,133634,16300
74,06/10/2021,25500,23900,23900,25200,286401,17200
75,07/10/2021,25600,25000,25200,25300,140200,17300
76,08/10/2021,25300,25000,25300,25000,203100,17100
77,11/10/2021,25600,24900,24900,25500,463150,17400
78,12/10/2021,25400,25000,25400,25200,135512,17200
79,13/10/2021,25600,25000,25200,25600,116500,17500
80,14/10/2021,25500,25100,25500,25400,134700,17300
81,15/10/2021,25700,25100,25300,25600,147400,17500
82,18/10/2021,25800,25400,25600,25500,154000,17400
83,19/10/2021,25800,25000,25400,25800,196000,17600
84,20/10/2021,26100,25600,25700,26100,124606,17800
85,21/10/2021,26000,25700,26000,25900,92900,17700
86,22/10/2021,25900,25500,25900,25800,117400,17600
87,25/10/2021,25700,25300,25700,25600,99400,17500
88,26/10/2021,25600,25100,25600,25600,82200,17500
89,27/10/2021,25600,25200,25500,25500,141400,17400
90,28/10/2021,25500,25000,25400,25500,134700,17400
91,29/10/2021,26500,25400,25500,26500,220600,18100
92,01/11/2021,28300,26300,26500,28000,523506,19100
93,02/11/2021,28500,28000,28000,28300,185851,19300
94,03/11/2021,29200,28100,28500,28100,368300,19200
95,04/11/2021,28100,27600,28000,27900,118600,19000
96,05/11/2021,28100,27400,27800,28100,150000,19200
97,08/11/2021,28100,27500,28000,28000,139000,19100
98,09/11/2021,27900,27600,27900,27900,107700,19000
99,10/11/2021,28100,27700,27900,28100,103000,19200
