,Date,High,Low,Open,Close,Volume,Adj Close
0,07/06/2021,4400,4200,4300,4300,260500,4300
1,08/06/2021,4400,4200,4300,4200,347800,4200
2,09/06/2021,4400,4000,4200,4300,418067,4300
3,10/06/2021,4300,4100,4300,4200,177806,4200
4,11/06/2021,4300,4200,4300,4200,164003,4200
5,14/06/2021,4300,4100,4200,4100,235663,4100
6,15/06/2021,4200,4000,4100,4100,233021,4100
7,16/06/2021,4200,4000,4100,4100,295800,4100
8,17/06/2021,4100,4000,4100,4100,385310,4100
9,18/06/2021,4100,4000,4100,4100,301700,4100
10,21/06/2021,4500,4000,4100,4500,1887095,4500
11,22/06/2021,4700,4400,4500,4400,736740,4400
12,23/06/2021,4500,4300,4400,4400,268540,4400
13,24/06/2021,4400,4100,4300,4200,403776,4200
14,25/06/2021,4300,4000,4300,4200,513405,4200
15,28/06/2021,4300,4100,4200,4100,616080,4100
16,29/06/2021,4200,4000,4100,4200,403900,4200
17,30/06/2021,4300,4100,4100,4100,545963,4100
18,01/07/2021,4200,4000,4100,4100,468700,4100
19,02/07/2021,4200,4000,4100,4100,253473,4100
20,05/07/2021,4100,3900,4100,4000,403000,4000
21,06/07/2021,4000,3800,4000,3800,427727,3800
22,07/07/2021,3800,3500,3700,3600,718399,3600
23,08/07/2021,3900,3500,3600,3800,515900,3800
24,09/07/2021,3900,3500,3900,3500,520243,3500
25,12/07/2021,3600,3200,3500,3200,402900,3200
26,13/07/2021,3300,3000,3300,3200,436500,3200
27,14/07/2021,3400,3200,3300,3300,161600,3300
28,15/07/2021,3300,3200,3300,3300,152905,3300
29,16/07/2021,3300,3000,3200,3100,376112,3100
30,19/07/2021,3100,2800,3000,2800,411331,2800
31,20/07/2021,2900,2600,2800,2800,339900,2800
32,21/07/2021,2900,2600,2900,2700,229200,2700
33,22/07/2021,2800,2500,2600,2700,705100,2700
34,23/07/2021,2800,2700,2700,2800,141500,2800
35,26/07/2021,2800,2600,2700,2700,308699,2700
36,27/07/2021,2800,2500,2800,2600,397890,2600
37,28/07/2021,2700,2500,2600,2600,201900,2600
38,29/07/2021,2700,2500,2700,2600,151700,2600
39,30/07/2021,2700,2500,2700,2600,255700,2600
