,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,28300,27700,27700,28300,14900,27200
1,16/06/2021,28300,28000,28300,28100,17200,27000
2,17/06/2021,28500,27800,28000,28300,14300,27200
3,18/06/2021,29300,28300,28300,29200,48300,28100
4,21/06/2021,32100,29200,29200,31300,136086,30100
5,22/06/2021,31400,31000,31300,31300,53700,30100
6,23/06/2021,31100,30000,31100,30000,28000,28900
7,24/06/2021,31000,29500,29500,30000,13100,28900
8,25/06/2021,30500,30000,30000,30500,19400,29300
9,28/06/2021,30600,30100,30500,30600,15000,29400
10,29/06/2021,30600,28600,28600,30500,8100,29300
11,30/06/2021,30900,29700,29700,30200,39600,29100
12,01/07/2021,31000,30100,30100,31000,26100,29800
13,02/07/2021,31400,30400,31000,31000,18900,29800
14,05/07/2021,31100,30600,31000,31000,39500,29800
15,06/07/2021,32200,30400,31000,31300,91100,30100
16,07/07/2021,31700,30300,31000,31700,23900,30500
17,08/07/2021,31500,30500,30500,31100,17100,29900
18,09/07/2021,31600,31100,31100,31100,11110,29900
19,12/07/2021,31500,30700,31500,31100,108695,29900
20,13/07/2021,32000,30900,31200,31200,38200,30000
21,14/07/2021,32000,31000,31100,31000,22500,29800
22,15/07/2021,31700,31000,31700,31600,6300,30400
23,16/07/2021,32400,31600,31600,32200,25350,31000
24,19/07/2021,32000,31500,32000,31500,6285,30300
25,20/07/2021,32500,30200,31500,32200,8800,31000
26,21/07/2021,32500,31000,31600,32500,10600,31300
27,22/07/2021,32900,32000,32500,32500,4100,31300
28,23/07/2021,32100,31600,32000,32000,37900,30800
29,26/07/2021,31900,31500,31700,31900,6214,30700
30,27/07/2021,31700,31700,31700,31700,810,30500
31,28/07/2021,31700,31700,31700,31700,7000,30500
32,29/07/2021,32500,31700,31700,32500,6100,31300
33,30/07/2021,32500,31600,31800,32500,26600,31300
34,02/08/2021,32400,30500,32000,31700,59822,30500
35,03/08/2021,32000,30600,31000,31700,27300,30500
36,04/08/2021,32200,31200,31600,32200,12110,31000
37,05/08/2021,32200,31200,31200,31700,1900,30500
38,06/08/2021,32200,31000,31000,32200,18700,31000
39,09/08/2021,32200,31800,31800,32200,4137,31000
40,10/08/2021,32500,31500,32000,32500,31200,31300
