,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,29800,28000,28200,29800,15000,14900
1,10/06/2021,30000,26000,29000,26000,14000,13000
2,11/06/2021,29000,27100,28000,29000,32200,14500
3,14/06/2021,31500,27700,29000,31500,56710,15800
4,15/06/2021,33100,33100,33100,33100,800,16600
5,16/06/2021,38000,38000,38000,38000,6400,19000
6,17/06/2021,43700,40200,43700,43600,106162,21800
7,18/06/2021,43800,42900,43800,42900,32410,21500
8,21/06/2021,49900,42000,49900,43500,25000,21800
9,22/06/2021,43400,40000,42000,42000,25900,21000
10,23/06/2021,45000,41000,43500,42400,21900,21200
11,24/06/2021,42500,41800,42100,41800,10618,20900
12,25/06/2021,42100,40000,42100,41200,8300,20600
13,28/06/2021,41200,39000,41200,41000,20110,20500
14,29/06/2021,41000,39000,40600,39000,17100,19500
15,30/06/2021,40400,40300,40300,40400,4100,20200
16,01/07/2021,41000,40400,41000,40600,5000,20300
17,02/07/2021,42000,40000,41000,41900,19500,21000
18,05/07/2021,42000,41000,42000,41100,6600,20600
19,06/07/2021,42000,41200,41300,41500,18400,20800
20,07/07/2021,41400,41200,41400,41300,2500,20700
21,08/07/2021,41000,40900,40900,40900,4100,20500
22,09/07/2021,41000,40500,40900,40500,7500,20300
23,12/07/2021,40500,38100,40500,39900,35600,20000
24,13/07/2021,39800,39800,39800,39800,1500800,19900
25,14/07/2021,39500,37800,39000,38000,6000,19000
26,15/07/2021,41500,39500,41500,39800,11700,19900
27,16/07/2021,39700,39500,39600,39600,21310,19800
28,19/07/2021,39600,39600,39600,39600,-,19800
29,20/07/2021,39000,34000,34000,38900,15000,19500
30,21/07/2021,39000,38000,39000,38000,3000,19000
31,22/07/2021,39500,37000,38500,38900,18300,19500
32,23/07/2021,39000,37000,39000,37100,21000,18600
33,26/07/2021,39500,37200,39500,38000,3800,19000
34,27/07/2021,39000,38000,38000,39000,4050,19500
35,28/07/2021,39000,38800,38800,39000,2600,19500
36,29/07/2021,38100,38000,38000,38000,3900,19000
37,30/07/2021,39000,36200,39000,38000,25500,19000
38,02/08/2021,41700,36000,38800,41700,75200,20900
39,03/08/2021,45400,42800,45000,44000,44950,22000
40,04/08/2021,45200,43300,44000,44000,107800,22000
41,05/08/2021,48500,44000,44000,48000,100277,24000
42,06/08/2021,53700,49500,49500,53600,366912,26800
43,09/08/2021,61500,54000,54000,58400,202427,29200
44,10/08/2021,60300,58600,59000,59300,252600,29700
45,11/08/2021,63000,59500,59500,61300,270922,30700
46,12/08/2021,63000,59200,62500,60000,322317,30000
47,13/08/2021,63000,60800,60800,61500,110700,30800
48,16/08/2021,68000,61300,61800,66900,293300,33500
49,17/08/2021,68000,65800,67000,66100,280000,33100
50,18/08/2021,68500,66000,66600,66000,376603,33000
51,19/08/2021,68000,61800,67000,63000,418560,31500
52,20/08/2021,63100,59300,62000,59600,368110,29800
53,23/08/2021,61900,57200,59000,59000,225400,29500
54,24/08/2021,60500,57000,59000,57500,219680,28800
55,25/08/2021,59300,56500,59300,58000,234048,29000
56,26/08/2021,59900,57400,58500,58000,164210,29000
57,27/08/2021,59200,57600,59200,58500,107200,29300
58,30/08/2021,60100,58000,59000,58200,186310,29100
59,31/08/2021,59000,57000,59000,57700,221410,28900
60,01/09/2021,57700,55800,57700,56100,131800,28100
61,06/09/2021,58000,56200,57000,56300,227400,28200
62,07/09/2021,58500,56000,57600,57400,194810,28700
63,08/09/2021,65000,57500,58000,60500,1049608,30300
64,09/09/2021,64000,60000,62700,61400,420402,30700
65,10/09/2021,61500,59600,61500,60000,414840,30000
66,13/09/2021,60000,56500,60000,57900,457000,29000
67,14/09/2021,58100,56500,57000,56600,357605,28300
68,15/09/2021,57000,55200,57000,56500,247611,28300
69,16/09/2021,59000,55900,55900,56200,492600,28100
70,17/09/2021,57400,56500,56900,57300,339700,28700
71,20/09/2021,59600,57300,57300,59100,771360,29600
72,21/09/2021,62900,57100,59200,62100,916190,31100
73,22/09/2021,68500,60600,61100,68500,1579204,34300
74,23/09/2021,74000,65300,65300,69600,691950,34800
75,24/09/2021,70800,67000,69100,68000,441560,34000
76,27/09/2021,67800,63100,67800,63400,717521,31700
77,28/09/2021,68600,61200,63200,65600,407854,32800
78,29/09/2021,68000,65200,65600,67500,338900,33800
