,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,5200,5000,5100,5100,3241568,5100
1,16/06/2021,5300,5100,5100,5100,6122754,5100
2,17/06/2021,5600,5000,5100,5500,15849139,5500
3,18/06/2021,5700,5300,5500,5400,6325642,5400
4,21/06/2021,5400,5200,5400,5300,4446878,5300
5,22/06/2021,5400,5100,5300,5200,6433512,5200
6,23/06/2021,5300,5100,5300,5200,6032288,5200
7,24/06/2021,5400,5200,5200,5200,5101668,5200
8,25/06/2021,5300,5100,5200,5200,4305604,5200
9,28/06/2021,5500,5200,5200,5300,10212065,5300
10,29/06/2021,5400,5200,5400,5200,3344838,5200
11,30/06/2021,5400,5100,5200,5100,5012954,5100
12,01/07/2021,5200,5000,5100,5100,8996884,5100
13,02/07/2021,5200,5100,5200,5100,3978925,5100
14,05/07/2021,5100,4800,5100,4800,8395585,4800
15,06/07/2021,5000,4700,4800,4700,6065687,4700
16,07/07/2021,4800,4400,4700,4400,7721017,4400
17,08/07/2021,4600,4300,4400,4400,5228765,4400
18,09/07/2021,4500,4000,4500,4000,8283800,4000
19,12/07/2021,4000,3600,4000,3600,6126094,3600
20,13/07/2021,3900,3300,3500,3900,9867647,3900
21,14/07/2021,4200,3900,4000,4100,8095081,4100
22,15/07/2021,4300,3900,4100,4100,3209499,4100
23,16/07/2021,4100,3800,4100,3800,4264844,3800
24,19/07/2021,3800,3500,3700,3500,7800988,3500
25,20/07/2021,3800,3300,3400,3700,5974176,3700
26,21/07/2021,3800,3600,3700,3600,2253643,3600
27,22/07/2021,3900,3600,3700,3700,4581891,3700
28,23/07/2021,3800,3600,3800,3600,2878816,3600
29,26/07/2021,3700,3500,3600,3600,3148136,3600
30,27/07/2021,3800,3600,3600,3700,3583823,3700
31,28/07/2021,3800,3600,3700,3700,1361739,3700
32,29/07/2021,3800,3600,3700,3700,1932439,3700
33,30/07/2021,3800,3600,3700,3700,2777511,3700
34,02/08/2021,3900,3600,3700,3700,4201852,3700
35,03/08/2021,4000,3700,3700,3900,7280588,3900
36,04/08/2021,4200,3900,4000,4200,5907759,4200
37,05/08/2021,4400,4100,4400,4200,4363653,4200
38,06/08/2021,4200,4000,4200,4100,4916488,4100
39,09/08/2021,4100,4000,4000,4000,3728356,4000
40,10/08/2021,4300,4000,4000,4200,6196324,4200
41,11/08/2021,4500,4200,4200,4300,7138512,4300
42,12/08/2021,4400,4200,4300,4200,5373879,4200
43,13/08/2021,4300,4000,4200,4000,4951089,4000
44,16/08/2021,4200,4000,4000,4100,2195702,4100
45,17/08/2021,4200,4100,4100,4100,3797154,4100
46,18/08/2021,4200,4000,4100,4100,3642545,4100
47,19/08/2021,4100,4000,4100,4000,2766861,4000
48,20/08/2021,4100,3800,4000,3800,6108933,3800
49,23/08/2021,4000,3800,3800,3900,3850055,3900
50,24/08/2021,4000,3800,3900,3900,2572687,3900
51,25/08/2021,4000,3800,3900,3900,1846253,3900
52,26/08/2021,4000,3800,3900,3800,2376850,3800
53,27/08/2021,3900,3700,3800,3800,3046014,3800
54,30/08/2021,4000,3800,3800,4000,2140018,4000
55,31/08/2021,4100,3900,4000,4000,4928003,4000
56,01/09/2021,4100,3900,4000,4000,4032089,4000
57,06/09/2021,4400,4000,4000,4400,10533314,4400
58,07/09/2021,4500,4100,4500,4100,5066598,4100
59,08/09/2021,4200,4000,4100,4000,3452125,4000
60,09/09/2021,4200,4000,4000,4100,2707074,4100
61,10/09/2021,4200,4000,4100,4100,3582668,4100
62,13/09/2021,4300,4100,4200,4200,6692843,4200
63,14/09/2021,4500,4200,4200,4500,14257927,4500
64,15/09/2021,4600,4400,4500,4400,6276741,4400
65,16/09/2021,4500,4200,4400,4200,5841372,4200
66,17/09/2021,4500,4200,4200,4400,7369645,4400
67,20/09/2021,4800,4300,4500,4600,12644634,4600
68,21/09/2021,4800,4400,4600,4800,8453525,4800
69,22/09/2021,5200,4800,4800,5200,10464179,5200
70,23/09/2021,5700,4900,5700,4900,19718556,4900
71,24/09/2021,5100,4800,4800,4900,8297038,4900
72,27/09/2021,5100,4700,4900,4700,7726971,4700
73,28/09/2021,4800,4400,4700,4700,7398517,4700
74,29/09/2021,4700,4500,4700,4500,4189541,4500
75,30/09/2021,4700,4500,4500,4600,3628814,4600
76,01/10/2021,4700,4500,4600,4500,5434429,4500
77,04/10/2021,4800,4500,4500,4700,5695702,4700
78,05/10/2021,4800,4600,4800,4700,3429851,4700
79,06/10/2021,4800,4600,4600,4700,3232736,4700
80,07/10/2021,4800,4600,4800,4700,3430312,4700
81,08/10/2021,5000,4700,4800,4700,6110473,4700
82,11/10/2021,5000,4700,4800,4900,6879645,4900
83,12/10/2021,5000,4800,4900,4800,4108368,4800
84,13/10/2021,4900,4700,4900,4800,4309094,4800
85,14/10/2021,4900,4700,4800,4800,3983567,4800
86,15/10/2021,5000,4800,4800,4800,4746634,4800
87,18/10/2021,4900,4700,4800,4700,4348300,4700
88,19/10/2021,4800,4600,4800,4700,4554141,4700
89,20/10/2021,4900,4700,4800,4800,6737800,4800
90,21/10/2021,5200,4800,4800,5000,11295956,5000
91,22/10/2021,5100,4900,5000,4900,4865704,4900
92,25/10/2021,5000,4900,4900,4900,3280549,4900
93,26/10/2021,5100,4800,4900,5000,7403821,5000
94,27/10/2021,5100,4900,5000,5000,4380128,5000
95,28/10/2021,5100,4900,5100,5000,6405001,5000
96,29/10/2021,5100,4900,5100,4900,4234844,4900
97,01/11/2021,5200,4900,4900,5100,6951314,5100
98,02/11/2021,5400,5000,5100,5200,10418186,5200
99,03/11/2021,5400,5000,5300,5100,8773860,5100
100,04/11/2021,5200,5000,5100,5100,5826554,5100
101,05/11/2021,5600,5100,5100,5400,14466795,5400
