,Date,High,Low,Open,Close,Volume,Adj Close
0,23/06/2021,4500,4200,4200,4500,2000,4500
1,24/06/2021,4900,4900,4900,4900,1500,4900
2,25/06/2021,5300,4900,4900,5300,37800,5300
3,28/06/2021,5800,5700,5800,5700,22155,5700
4,29/06/2021,5700,5400,5600,5400,1300,5400
5,30/06/2021,5800,4900,5400,4900,4300,4900
6,01/07/2021,4900,4500,4900,4500,4200,4500
7,02/07/2021,4800,4700,4800,4700,2900,4700
8,05/07/2021,4500,4500,4500,4500,1100,4500
9,06/07/2021,4800,4200,4300,4800,600,4800
10,07/07/2021,4800,4800,4800,4800,-,4800
11,08/07/2021,4800,4800,4800,4800,-,4800
12,09/07/2021,5200,5100,5200,5100,500,5100
13,12/07/2021,5600,5600,5600,5600,100,5600
14,13/07/2021,5600,5600,5600,5600,200,5600
15,14/07/2021,5600,5600,5600,5600,-,5600
16,15/07/2021,5600,5600,5600,5600,-,5600
17,16/07/2021,5600,5600,5600,5600,-,5600
18,19/07/2021,5600,5600,5600,5600,-,5600
19,20/07/2021,5600,5600,5600,5600,-,5600
20,21/07/2021,6000,5100,5100,6000,510,6000
21,22/07/2021,6000,6000,6000,6000,-,6000
22,23/07/2021,6000,6000,6000,6000,-,6000
23,26/07/2021,6000,6000,6000,6000,-,6000
24,27/07/2021,6000,6000,6000,6000,-,6000
25,28/07/2021,5400,5400,5400,5400,1100,5400
26,29/07/2021,4900,4900,4900,4900,1900,4900
27,30/07/2021,4500,4500,4500,4500,300,4500
28,02/08/2021,4500,4100,4500,4100,5500,4100
29,03/08/2021,4100,3700,3700,4100,5000,4100
30,04/08/2021,4500,3700,3800,4500,16510,4500
31,05/08/2021,4200,4100,4100,4200,1400,4200
32,06/08/2021,4300,3800,3800,4200,31600,4200
33,09/08/2021,4100,3800,3800,3900,6800,3900
34,10/08/2021,4000,3800,4000,3900,11800,3900
35,11/08/2021,3900,3700,3800,3900,18400,3900
36,12/08/2021,4000,3900,3900,3900,11300,3900
37,13/08/2021,3800,3800,3800,3800,200,3800
38,16/08/2021,3800,3700,3800,3800,1900,3800
39,17/08/2021,3900,3700,3700,3900,13800,3900
40,18/08/2021,4100,3900,3900,4100,9900,4100
41,19/08/2021,4100,4000,4100,4000,300,4000
42,20/08/2021,3800,3700,3800,3700,20300,3700
43,23/08/2021,3900,3700,3700,3900,1910,3900
44,24/08/2021,3900,3900,3900,3900,200,3900
45,25/08/2021,3800,3700,3800,3700,2500,3700
46,26/08/2021,3700,3700,3700,3700,5200,3700
47,27/08/2021,3800,3800,3800,3800,300,3800
48,30/08/2021,3800,3700,3700,3800,14800,3800
49,31/08/2021,3800,3700,3800,3800,9800,3800
50,01/09/2021,3900,3800,3900,3900,9300,3900
51,06/09/2021,4200,3900,3900,4200,49700,4200
52,07/09/2021,4600,4200,4200,4300,7400,4300
53,08/09/2021,4700,4100,4100,4600,15900,4600
54,09/09/2021,4600,4200,4500,4400,22000,4400
55,10/09/2021,4500,4100,4500,4500,4210,4500
56,13/09/2021,4500,4100,4100,4200,13100,4200
57,14/09/2021,4600,4100,4200,4600,59300,4600
58,15/09/2021,5000,4600,4600,5000,23310,5000
59,16/09/2021,5200,4700,5200,4700,8800,4700
60,17/09/2021,4600,4300,4500,4600,10300,4600
61,20/09/2021,4500,4300,4500,4500,20800,4500
62,21/09/2021,4900,4400,4500,4900,31300,4900
63,22/09/2021,5300,4500,4700,5300,58400,5300
64,23/09/2021,5800,5300,5300,5800,38355,5800
65,24/09/2021,6000,5300,5800,6000,24500,6000
66,27/09/2021,6100,5400,6000,5600,24605,5600
67,28/09/2021,5100,5100,5100,5100,7800,5100
68,29/09/2021,5100,4700,4700,5100,10800,5100
69,30/09/2021,5400,5300,5400,5400,3005,5400
70,01/10/2021,5400,5100,5400,5400,1200,5400
71,04/10/2021,5400,5400,5400,5400,100,5400
72,05/10/2021,5300,4900,4900,5300,13000,5300
73,06/10/2021,5000,4900,5000,5000,3300,5000
74,07/10/2021,5300,4600,4600,5200,6400,5200
75,08/10/2021,5300,5000,5200,5000,10400,5000
76,11/10/2021,4700,4700,4700,4700,4500,4700
77,12/10/2021,5000,4700,4700,4700,22000,4700
78,13/10/2021,5000,4700,4700,4800,6800,4800
79,14/10/2021,4800,4800,4800,4800,1500,4800
80,15/10/2021,5100,4800,4800,5100,3100,5100
81,18/10/2021,5200,4900,5200,5200,16545,5200
82,19/10/2021,5400,5100,5200,5400,1800,5400
83,20/10/2021,5500,5000,5000,5400,16100,5400
84,21/10/2021,5700,5600,5700,5600,1300,5600
