,Date,High,Low,Open,Close,Volume,Adj Close
0,14/06/2021,38000,38000,38000,38000,255,38000
1,15/06/2021,41800,35100,38200,35100,142200,35100
2,16/06/2021,38600,38600,38600,38600,500,38600
3,17/06/2021,38700,38700,38700,38700,101,38700
4,18/06/2021,38600,38500,38600,38500,300,38500
5,21/06/2021,38600,38500,38500,38600,1300,38600
6,22/06/2021,39000,36500,39000,36500,341,36500
7,23/06/2021,36500,36500,36500,36500,-,36500
8,24/06/2021,36600,36600,36600,36600,300,36600
9,25/06/2021,36600,36600,36600,36600,3,36600
10,28/06/2021,40200,39800,39800,40200,1175,40200
11,29/06/2021,44200,40000,40200,44000,4800,44000
12,30/06/2021,44200,39600,39900,44000,13650,44000
13,01/07/2021,48000,44000,45000,44000,6300,44000
14,02/07/2021,48400,44000,44000,48400,11700,48400
15,05/07/2021,53200,48400,48400,53200,8700,53200
16,06/07/2021,58000,54000,58000,55000,12400,55000
17,07/07/2021,49500,49500,49500,49500,5020,49500
18,08/07/2021,44600,44600,44600,44600,2410,44600
19,09/07/2021,45000,45000,45000,45000,310,45000
20,12/07/2021,45000,45000,45000,45000,-,45000
21,13/07/2021,45000,45000,45000,45000,-,45000
22,14/07/2021,45000,45000,45000,45000,-,45000
23,15/07/2021,45000,45000,45000,45000,2,45000
24,16/07/2021,45000,40500,40500,45000,320,45000
25,19/07/2021,45000,45000,45000,45000,-,45000
26,20/07/2021,45000,45000,45000,45000,7,45000
27,21/07/2021,45000,45000,45000,45000,-,45000
28,22/07/2021,45000,45000,45000,45000,-,45000
29,23/07/2021,45000,45000,45000,45000,-,45000
30,26/07/2021,45000,45000,45000,45000,-,45000
31,27/07/2021,45000,45000,45000,45000,-,45000
32,28/07/2021,40500,40500,40500,40500,610,40500
33,29/07/2021,36800,36800,36800,36800,119,36800
34,30/07/2021,36800,36800,36800,36800,-,36800
35,02/08/2021,36800,36800,36800,36800,-,36800
36,03/08/2021,36800,36800,36800,36800,2300,36800
37,04/08/2021,36800,36800,36800,36800,-,36800
38,05/08/2021,36800,36800,36800,36800,-,36800
39,06/08/2021,36800,36800,36800,36800,11,36800
40,09/08/2021,36800,36800,36800,36800,-,36800
41,10/08/2021,36800,36800,36800,36800,100,36800
42,11/08/2021,36800,36800,36800,36800,45,36800
43,12/08/2021,36800,36800,36800,36800,-,36800
44,13/08/2021,36800,36800,36800,36800,10,36800
45,16/08/2021,40400,40400,40400,40400,100,40400
46,17/08/2021,40400,40400,40400,40400,200,40400
47,18/08/2021,44400,44400,44400,44400,160,44400
48,19/08/2021,44300,44300,44300,44300,110,44300
49,20/08/2021,44300,39900,44300,39900,610,39900
50,23/08/2021,39900,39900,39900,39900,-,39900
51,24/08/2021,39900,39900,39900,39900,-,39900
52,25/08/2021,39900,39900,39900,39900,-,39900
53,26/08/2021,39900,39900,39900,39900,-,39900
54,27/08/2021,39900,39900,39900,39900,-,39900
55,30/08/2021,39900,39900,39900,39900,100,39900
56,31/08/2021,39900,39900,39900,39900,-,39900
57,01/09/2021,39900,39900,39900,39900,59,39900
58,06/09/2021,39900,39900,39900,39900,41,39900
59,07/09/2021,39900,39900,39900,39900,1000,39900
60,08/09/2021,39900,39900,39900,39900,40,39900
61,09/09/2021,39900,39900,39900,39900,100,39900
62,10/09/2021,43800,43800,43800,43800,729,43800
63,13/09/2021,43800,43800,43800,43800,-,43800
64,14/09/2021,44000,44000,44000,44000,209,44000
65,15/09/2021,39600,39600,39600,39600,200,39600
66,16/09/2021,39600,39600,39600,39600,-,39600
67,17/09/2021,42500,42000,42000,42500,1306,42500
68,20/09/2021,46600,46500,46600,46500,700,46500
69,21/09/2021,46500,46500,46500,46500,101,46500
70,22/09/2021,46400,46400,46400,46400,100,46400
71,23/09/2021,46400,46400,46400,46400,2,46400
72,24/09/2021,46400,46400,46400,46400,20,46400
73,27/09/2021,46400,46400,46400,46400,-,46400
74,28/09/2021,46400,46400,46400,46400,-,46400
75,29/09/2021,46400,46400,46400,46400,-,46400
76,30/09/2021,46400,46200,46200,46400,200,46400
77,01/10/2021,46400,46400,46400,46400,24300,46400
78,04/10/2021,46400,46400,46400,46400,-,46400
79,05/10/2021,46400,46400,46400,46400,200,46400
80,06/10/2021,41800,41800,41800,41800,200,41800
81,07/10/2021,41800,41800,41800,41800,-,41800
82,08/10/2021,41800,41800,41800,41800,-,41800
83,11/10/2021,45000,45000,45000,45000,205,45000
84,12/10/2021,44400,44400,44400,44400,386,44400
85,13/10/2021,44400,44400,44400,44400,-,44400
86,14/10/2021,44400,44400,44400,44400,-,44400
87,15/10/2021,44000,41000,41000,44000,600,44000
88,18/10/2021,45800,41500,41500,45800,900,45800
89,19/10/2021,42000,42000,42000,42000,430,42000
90,20/10/2021,42000,42000,42000,42000,210,42000
91,21/10/2021,42000,42000,42000,42000,1,42000
92,22/10/2021,42000,42000,42000,42000,2500,42000
93,25/10/2021,42000,42000,42000,42000,25,42000
94,26/10/2021,42000,42000,42000,42000,-,42000
95,27/10/2021,44000,44000,44000,44000,700,44000
96,28/10/2021,44000,44000,44000,44000,-,44000
97,29/10/2021,42500,41000,42500,41000,2100,41000
98,01/11/2021,41000,41000,41000,41000,300,41000
99,02/11/2021,45000,43500,43500,44000,316,44000
100,03/11/2021,44000,44000,44000,44000,-,44000
101,04/11/2021,44000,44000,44000,44000,-,44000
102,05/11/2021,43000,42000,43000,42000,1110,42000
103,08/11/2021,42100,42000,42000,42000,2800,42000
104,09/11/2021,42500,42000,42500,42000,1125,42000
105,10/11/2021,42000,42000,42000,42000,100,42000
106,11/11/2021,42000,42000,42000,42000,100,42000
107,12/11/2021,42000,42000,42000,42000,56,42000
108,15/11/2021,42000,42000,42000,42000,700,42000
109,16/11/2021,41300,41300,41300,41300,100,41300
110,17/11/2021,41300,41300,41300,41300,10,41300
111,18/11/2021,43000,43000,43000,43000,250,43000
112,19/11/2021,41500,41500,41500,41500,500,41500
113,22/11/2021,41500,41500,41500,41500,2,41500
114,23/11/2021,41600,41300,41600,41300,401,41300
115,24/11/2021,41500,41000,41500,41500,900,41500
116,25/11/2021,39600,39600,39600,39600,200,39600
117,26/11/2021,40100,40100,40100,40100,300,40100
118,29/11/2021,43900,43900,43900,43900,100,43900
119,30/11/2021,40000,40000,40000,40000,400,40000
120,01/12/2021,40000,40000,40000,40000,-,40000
121,02/12/2021,41900,41900,41900,41900,600,41900
122,03/12/2021,41900,41900,41900,41900,-,41900
123,06/12/2021,41900,41900,41900,41900,-,41900
124,07/12/2021,41900,41900,41900,41900,-,41900
125,08/12/2021,41900,41900,41900,41900,1,41900
126,09/12/2021,41900,41900,41900,41900,-,41900
127,10/12/2021,41900,41900,41900,41900,25,41900
128,13/12/2021,41900,41900,41900,41900,-,41900
129,14/12/2021,43500,43200,43200,43500,500,43500
130,15/12/2021,43500,43500,43500,43500,-,43500
131,16/12/2021,47000,44000,44000,46500,486,46500
132,17/12/2021,48000,46500,46500,48000,2400,48000
133,20/12/2021,48000,48000,48000,48000,-,48000
134,21/12/2021,48000,48000,48000,48000,-,48000
135,22/12/2021,48000,48000,48000,48000,-,48000
136,23/12/2021,48000,48000,48000,48000,-,48000
137,24/12/2021,47000,47000,47000,47000,200,47000
