,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2021,10300,9500,9500,10200,13100,9600
1,23/06/2021,10000,9200,10000,9900,24220,9300
2,24/06/2021,9900,8500,8500,8800,20160,8800
3,25/06/2021,8600,8500,8500,8500,13718,8500
4,28/06/2021,9300,8600,8800,9300,12800,9300
5,29/06/2021,10200,9300,10200,10200,36203,10200
6,30/06/2021,11200,10500,11200,11100,46299,11100
7,01/07/2021,11100,10100,11100,10100,24044,10100
8,02/07/2021,10900,10300,10300,10300,8804,10300
9,05/07/2021,10200,9500,10200,10000,13835,10000
10,06/07/2021,9500,9000,9000,9300,8462,9300
11,07/07/2021,9300,8400,8700,8600,12530,8600
12,08/07/2021,9000,8800,8800,9000,7400,9000
13,09/07/2021,8400,8200,8200,8300,9903,8300
14,12/07/2021,8300,7600,8300,7600,10700,7600
15,13/07/2021,8300,7700,7900,8300,8400,8300
16,14/07/2021,8800,8600,8700,8600,5300,8600
17,15/07/2021,8700,8400,8400,8700,152953,8700
18,16/07/2021,9200,8700,8700,8800,2200,8800
19,19/07/2021,9100,8400,9000,8400,31700,8400
20,20/07/2021,8700,8700,8700,8700,3100,8700
21,21/07/2021,8500,8500,8500,8500,700,8500
22,22/07/2021,8500,8400,8400,8500,3300,8500
23,23/07/2021,8500,8500,8500,8500,100,8500
24,26/07/2021,9000,8400,9000,8400,25000,8400
25,27/07/2021,8400,8400,8400,8400,400,8400
26,28/07/2021,9100,8800,8800,8800,5609,8800
27,29/07/2021,9100,9000,9000,9100,3700,9100
28,30/07/2021,9200,9000,9200,9000,12440,9000
29,02/08/2021,8500,8400,8400,8500,201,8500
30,03/08/2021,8500,8400,8500,8400,900,8400
31,04/08/2021,8500,8500,8500,8500,500,8500
32,05/08/2021,8900,8500,8500,8900,5266,8900
33,06/08/2021,9000,8900,9000,8900,400,8900
34,09/08/2021,8700,8300,8300,8700,2700,8700
35,10/08/2021,9500,9000,9000,9500,33010,9500
36,11/08/2021,10400,10100,10300,10100,22730,10100
37,12/08/2021,10400,9300,10400,9500,2220,9500
38,13/08/2021,8800,8800,8800,8800,1709,8800
39,16/08/2021,9600,8900,8900,9600,12310,9600
40,17/08/2021,9600,9200,9600,9200,1500,9200
41,18/08/2021,9500,9200,9200,9500,2902,9500
42,19/08/2021,9600,9300,9300,9600,24477,9600
43,20/08/2021,9900,8800,9900,9600,6700,9600
44,23/08/2021,9300,8800,8800,9200,2702,9200
45,24/08/2021,9400,8400,8400,9400,1820,9400
46,25/08/2021,10300,9500,9500,10300,50738,10300
47,26/08/2021,11000,10200,10200,10500,24059,10500
48,27/08/2021,10600,10600,10600,10600,100,10600
49,30/08/2021,10800,9600,10800,10400,31858,10400
50,31/08/2021,10500,9800,10400,10000,22548,10000
51,01/09/2021,11000,10200,10500,11000,92643,11000
