,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,23900,22700,23000,23500,528050,16500
1,10/06/2021,23600,22700,23600,23000,505560,16100
2,11/06/2021,23400,22800,23000,23100,443724,16200
3,14/06/2021,23900,22800,23100,23500,936570,16500
4,15/06/2021,24900,23400,24200,23600,524406,16500
5,16/06/2021,24200,23500,24000,23900,620345,16800
6,17/06/2021,24700,23400,23800,24400,963050,17100
7,18/06/2021,24800,24300,24400,24300,875380,17000
8,21/06/2021,24400,23800,24300,23800,700189,16700
9,22/06/2021,24200,23600,23800,23700,748640,16600
10,23/06/2021,23700,23100,23700,23200,494277,16300
11,24/06/2021,23300,22900,23200,23000,440605,16100
12,25/06/2021,23200,22900,23000,23000,340239,16100
13,28/06/2021,23400,23000,23000,23200,330130,16300
14,29/06/2021,23200,22700,23000,22900,600610,16000
15,30/06/2021,23400,22700,22900,23000,533200,16100
16,01/07/2021,23300,23000,23000,23300,362640,16300
17,02/07/2021,23400,23100,23400,23300,392649,16300
18,05/07/2021,23300,22800,23300,22900,498970,16000
19,06/07/2021,23100,21000,22900,21000,612056,14700
20,07/07/2021,22000,20800,21000,21500,607900,15100
21,08/07/2021,22500,21700,21700,22400,564405,15700
22,09/07/2021,22600,21500,22500,21500,366900,15100
23,12/07/2021,21700,20000,21500,21000,713590,14700
24,13/07/2021,21700,21000,21000,21600,314000,15100
25,14/07/2021,22500,21500,21800,22500,665837,15800
26,15/07/2021,23300,22500,22700,23200,654187,16300
27,16/07/2021,23500,22700,23500,22800,488330,16000
28,19/07/2021,22800,21500,22700,21700,497036,15200
29,20/07/2021,22400,21000,21700,22400,461832,15700
30,21/07/2021,22800,22400,22800,22600,250769,15800
31,22/07/2021,23200,22300,22600,23000,679907,16100
32,23/07/2021,23700,23000,23000,23500,1471615,16500
33,26/07/2021,24500,23000,23600,24300,1545705,17000
34,27/07/2021,24700,23600,24300,23900,1175022,16800
35,28/07/2021,20700,19000,20600,19400,628978,16700
36,29/07/2021,19500,18800,19500,18800,972723,16100
37,30/07/2021,19500,18600,18800,19300,1069090,16600
38,02/08/2021,19800,18900,19300,19100,774200,16400
39,03/08/2021,19400,19000,19100,19400,616018,16700
40,04/08/2021,20400,19400,19500,20200,3485090,17400
41,05/08/2021,20700,20000,20100,20400,1678247,17500
42,06/08/2021,22400,20300,20400,21600,3265213,18600
43,09/08/2021,22600,21200,21600,22300,3064595,19200
44,10/08/2021,22700,22000,22400,22300,2423752,19200
45,11/08/2021,23500,22100,22300,22600,3733683,19400
46,12/08/2021,23500,22000,22000,23200,4029043,19900
47,13/08/2021,23800,22300,23200,23500,2550845,20200
48,16/08/2021,24300,23100,23500,23100,2801062,19800
49,17/08/2021,23200,22600,23100,23100,2115417,19800
50,18/08/2021,23500,22900,23000,23200,2405501,19900
51,19/08/2021,23900,23000,23300,23800,1801161,20400
