,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,20000,20000,20000,20000,-,18800
1,10/06/2021,20000,19700,20000,19800,1200,18600
2,11/06/2021,19800,19800,19800,19800,-,18600
3,14/06/2021,20500,20200,20500,20200,500,19000
4,15/06/2021,20200,20200,20200,20200,10,19000
5,16/06/2021,20200,20200,20200,20200,60,19000
6,17/06/2021,20200,20200,20200,20200,100,19000
7,18/06/2021,19900,19800,19900,19800,200,18600
8,21/06/2021,19800,19800,19800,19800,-,18600
9,22/06/2021,20000,20000,20000,20000,506,18800
10,23/06/2021,20000,20000,20000,20000,300,18800
11,24/06/2021,19800,19800,19800,19800,399,18600
12,25/06/2021,19800,19800,19800,19800,-,18600
13,28/06/2021,19800,19800,19800,19800,-,18600
14,29/06/2021,20000,20000,20000,20000,3600,18800
15,30/06/2021,19600,19600,19600,19600,1021,18400
16,01/07/2021,19600,19600,19600,19600,-,18400
17,02/07/2021,19600,19600,19600,19600,-,18400
18,05/07/2021,20000,20000,20000,20000,2500,18800
19,06/07/2021,20000,20000,20000,20000,2400,18800
20,07/07/2021,20000,20000,20000,20000,-,18800
21,08/07/2021,20000,20000,20000,20000,25,18800
22,09/07/2021,20000,20000,20000,20000,2025,18800
23,12/07/2021,20000,19000,20000,19000,700,17800
24,13/07/2021,19000,19000,19000,19000,-,17800
25,14/07/2021,19700,19000,19000,19500,2700,18300
26,15/07/2021,19500,19500,19500,19500,-,18300
27,16/07/2021,21300,20000,20000,21300,1200,20000
28,19/07/2021,21300,21300,21300,21300,-,20000
29,20/07/2021,21300,21300,21300,21300,-,20000
30,21/07/2021,19400,19400,19400,19400,81193,18200
31,22/07/2021,19500,19500,19500,19500,200,18300
32,23/07/2021,19500,19500,19500,19500,-,18300
33,26/07/2021,19500,19100,19500,19100,81493,17900
34,27/07/2021,19100,19100,19100,19100,62,17900
35,28/07/2021,19500,19500,19500,19500,1410,18300
36,29/07/2021,19500,19500,19500,19500,-,18300
37,30/07/2021,19600,19600,19600,19600,100,18400
38,02/08/2021,19600,19600,19600,19600,-,18400
39,03/08/2021,20000,19600,19600,20000,1600,18800
40,04/08/2021,19200,19200,19200,19200,200,18000
41,05/08/2021,19900,19900,19900,19900,100,18700
42,06/08/2021,19900,19900,19900,19900,-,18700
43,09/08/2021,19900,19900,19900,19900,-,18700
44,10/08/2021,19800,19800,19800,19800,700,18600
45,11/08/2021,21500,19800,19800,21500,712,20200
46,12/08/2021,21400,19500,19500,21400,725,20100
47,13/08/2021,19800,19800,19800,19800,600,18600
48,16/08/2021,20200,20000,20000,20200,1700,19000
49,17/08/2021,20200,20200,20200,20200,1000,19000
50,18/08/2021,20200,20200,20200,20200,-,19000
51,19/08/2021,20200,20200,20200,20200,200,19000
52,20/08/2021,21000,20200,20200,21000,700,19700
53,23/08/2021,21000,21000,21000,21000,900,19700
54,24/08/2021,22500,22500,22500,22500,100,21100
55,25/08/2021,22500,22500,22500,22500,-,21100
56,26/08/2021,22500,22500,22500,22500,25,21100
57,27/08/2021,20300,20300,20300,20300,300,19100
58,30/08/2021,21400,21000,21400,21000,212,19700
59,31/08/2021,21000,21000,21000,21000,-,19700
60,01/09/2021,21000,21000,21000,21000,3030,19700
61,06/09/2021,21000,21000,21000,21000,-,19700
62,07/09/2021,22000,22000,22000,22000,100,20700
63,08/09/2021,22000,19900,19900,22000,2205,20700
64,09/09/2021,22000,22000,22000,22000,100,20700
65,10/09/2021,22000,22000,22000,22000,-,20700
66,13/09/2021,22000,22000,22000,22000,915,20700
67,14/09/2021,22000,21900,21900,22000,3010,20700
68,15/09/2021,22500,21200,22500,21200,3502,19900
69,16/09/2021,21500,20300,20600,21500,1925,20200
70,17/09/2021,21500,21500,21500,21500,1600,20200
71,20/09/2021,22500,22400,22400,22500,600,21100
72,21/09/2021,22000,22000,22000,22000,100,20700
73,22/09/2021,22000,22000,22000,22000,-,20700
74,23/09/2021,22000,22000,22000,22000,-,20700
75,24/09/2021,23000,23000,23000,23000,200,21600
76,27/09/2021,23000,23000,23000,23000,-,21600
77,28/09/2021,20800,20800,20800,20800,100,19500
78,29/09/2021,21000,21000,21000,21000,200,19700
79,30/09/2021,21100,21100,21100,21100,100,19800
80,01/10/2021,21100,21100,21100,21100,-,19800
81,04/10/2021,21100,21100,21100,21100,-,19800
82,05/10/2021,21100,21100,21100,21100,100,19800
83,06/10/2021,21100,21100,21100,21100,2100,19800
84,07/10/2021,21100,21100,21100,21100,-,19800
85,08/10/2021,21100,21100,21100,21100,-,19800
86,11/10/2021,22000,21900,21900,22000,2060,20700
87,12/10/2021,21900,21100,21100,21900,8300,20600
88,13/10/2021,23000,21500,21600,21600,4300,20300
89,14/10/2021,22900,22900,22900,22900,146,21500
90,15/10/2021,22900,22900,22900,22900,-,21500
91,18/10/2021,22900,22900,22900,22900,-,21500
92,19/10/2021,22900,22900,22900,22900,-,21500
93,20/10/2021,22900,22900,22900,22900,-,21500
94,21/10/2021,22900,22900,22900,22900,-,21500
95,22/10/2021,22800,22600,22800,22600,1400,21200
96,25/10/2021,22600,22000,22600,22500,2600,21100
97,26/10/2021,22800,22000,22000,22800,1300,21400
98,27/10/2021,22800,22800,22800,22800,112,21400
99,28/10/2021,23200,23200,23200,23200,100,21800
100,29/10/2021,23100,23100,23100,23100,1000,21700
101,01/11/2021,22100,21900,21900,22100,1200,20800
102,02/11/2021,23800,23000,23000,23700,2500,22300
103,03/11/2021,23700,23700,23700,23700,-,22300
104,04/11/2021,23700,23700,23700,23700,-,22300
