,Date,High,Low,Open,Close,Volume,Adj Close
0,08/06/2021,12500,12500,12500,12500,-,11800
1,09/06/2021,12500,12500,12500,12500,-,11800
2,10/06/2021,12500,12500,12500,12500,-,11800
3,11/06/2021,12500,12500,12500,12500,-,11800
4,14/06/2021,12500,12500,12500,12500,-,11800
5,15/06/2021,12500,12500,12500,12500,-,11800
6,16/06/2021,12500,12500,12500,12500,-,11800
7,17/06/2021,12500,12500,12500,12500,-,11800
8,18/06/2021,12500,12500,12500,12500,-,11800
9,21/06/2021,12500,12500,12500,12500,-,11800
10,22/06/2021,12500,12500,12500,12500,-,11800
11,23/06/2021,12500,12500,12500,12500,-,11800
12,24/06/2021,12500,12500,12500,12500,-,11800
13,25/06/2021,12500,12500,12500,12500,-,11800
14,28/06/2021,12500,12500,12500,12500,-,11800
15,29/06/2021,12500,12500,12500,12500,-,11800
16,30/06/2021,12500,12500,12500,12500,-,11800
17,01/07/2021,12500,12500,12500,12500,-,11800
18,02/07/2021,12500,12500,12500,12500,-,11800
19,05/07/2021,12500,12500,12500,12500,-,11800
20,06/07/2021,12500,12500,12500,12500,-,11800
21,07/07/2021,12500,12500,12500,12500,-,11800
22,08/07/2021,12500,12500,12500,12500,-,11800
23,09/07/2021,12500,12500,12500,12500,-,11800
24,12/07/2021,12500,12500,12500,12500,-,11800
25,13/07/2021,12500,12500,12500,12500,-,11800
26,14/07/2021,12500,12500,12500,12500,-,11800
27,15/07/2021,12500,12500,12500,12500,-,11800
28,16/07/2021,12500,12500,12500,12500,-,11800
29,19/07/2021,12500,12500,12500,12500,-,11800
30,20/07/2021,12500,12500,12500,12500,-,11800
31,21/07/2021,12500,12500,12500,12500,-,11800
32,22/07/2021,12500,12500,12500,12500,-,11800
33,23/07/2021,12500,12500,12500,12500,-,11800
34,26/07/2021,12500,12500,12500,12500,-,11800
35,27/07/2021,12500,12500,12500,12500,-,11800
36,28/07/2021,12500,12500,12500,12500,-,11800
37,29/07/2021,12500,12500,12500,12500,-,11800
38,30/07/2021,12500,12500,12500,12500,-,11800
39,02/08/2021,12500,12500,12500,12500,-,11800
40,03/08/2021,12500,12500,12500,12500,-,11800
41,04/08/2021,12500,12500,12500,12500,-,11800
42,05/08/2021,12500,12500,12500,12500,-,11800
43,06/08/2021,12500,12500,12500,12500,400,11800
44,09/08/2021,12500,12500,12500,12500,-,11800
45,10/08/2021,12500,12500,12500,12500,-,11800
46,11/08/2021,12500,12500,12500,12500,-,11800
47,12/08/2021,12500,12500,12500,12500,-,11800
48,13/08/2021,12500,12500,12500,12500,-,11800
49,16/08/2021,12500,12500,12500,12500,-,11800
50,17/08/2021,12500,12500,12500,12500,-,11800
51,18/08/2021,12500,12500,12500,12500,-,11800
52,19/08/2021,12500,12500,12500,12500,-,11800
53,20/08/2021,12500,12500,12500,12500,-,11800
54,23/08/2021,12500,12500,12500,12500,-,11800
55,24/08/2021,12500,12500,12500,12500,-,11800
56,25/08/2021,12500,12500,12500,12500,-,11800
57,26/08/2021,12500,12500,12500,12500,-,11800
58,27/08/2021,12500,12500,12500,12500,-,11800
59,30/08/2021,12500,12500,12500,12500,-,11800
60,31/08/2021,12500,12500,12500,12500,-,11800
61,01/09/2021,13700,13700,13700,13700,100,12900
62,06/09/2021,15000,15000,15000,15000,300,14100
63,07/09/2021,16500,15100,15100,16500,1100,15600
64,08/09/2021,16500,16500,16500,16500,-,15600
65,09/09/2021,16500,16500,16500,16500,-,15600
66,10/09/2021,18100,18000,18100,18000,200,17000
67,13/09/2021,18000,18000,18000,18000,100,17000
68,14/09/2021,19800,16300,18500,19800,12300,18700
69,15/09/2021,19800,19800,19800,19800,100,18700
70,16/09/2021,19800,19800,19800,19800,-,18700
71,17/09/2021,21600,21600,21600,21600,100,20400
72,20/09/2021,21600,21600,21600,21600,-,20400
73,21/09/2021,21600,21600,21600,21600,-,20400
74,22/09/2021,21600,21600,21600,21600,-,20400
75,23/09/2021,21600,21600,21600,21600,-,20400
76,24/09/2021,21600,21600,21600,21600,-,20400
77,27/09/2021,21600,21600,21600,21600,-,20400
78,28/09/2021,21600,21600,21600,21600,-,20400
79,29/09/2021,21600,21600,21600,21600,-,20400
80,30/09/2021,21600,21600,21600,21600,-,20400
81,01/10/2021,21600,21600,21600,21600,-,20400
82,04/10/2021,21600,21600,21600,21600,-,20400
83,05/10/2021,21600,21600,21600,21600,-,20400
84,06/10/2021,21600,21600,21600,21600,-,20400
85,07/10/2021,19500,19500,19500,19500,2000,18400
86,08/10/2021,19500,19500,19500,19500,-,18400
87,11/10/2021,19500,19500,19500,19500,-,18400
88,12/10/2021,19500,19500,19500,19500,-,18400
89,13/10/2021,19500,19500,19500,19500,-,18400
90,14/10/2021,19500,19500,19500,19500,-,18400
91,15/10/2021,19500,19500,19500,19500,-,18400
92,18/10/2021,19500,19500,19500,19500,-,18400
93,19/10/2021,19500,19500,19500,19500,-,18400
94,20/10/2021,19500,19500,19500,19500,-,18400
95,21/10/2021,19500,19500,19500,19500,-,18400
96,22/10/2021,19500,19500,19500,19500,-,18400
97,25/10/2021,19500,19500,19500,19500,-,18400
98,26/10/2021,19500,19500,19500,19500,-,18400
99,27/10/2021,19500,19500,19500,19500,-,18400
100,28/10/2021,19500,19500,19500,19500,-,18400
101,29/10/2021,19500,19500,19500,19500,-,18400
102,01/11/2021,19500,19500,19500,19500,-,18400
103,02/11/2021,19500,19500,19500,19500,-,18400
104,03/11/2021,19500,19500,19500,19500,-,18400
105,04/11/2021,19500,19500,19500,19500,-,18400
106,05/11/2021,19500,19500,19500,19500,-,18400
107,08/11/2021,19500,19500,19500,19500,-,18400
108,09/11/2021,19500,19500,19500,19500,-,18400
109,10/11/2021,19500,19500,19500,19500,-,18400
110,11/11/2021,19500,19500,19500,19500,-,18400
111,12/11/2021,19500,19500,19500,19500,-,18400
112,15/11/2021,19500,19500,19500,19500,-,18400
113,16/11/2021,19000,19000,19000,19000,100,17900
114,17/11/2021,19000,19000,19000,19000,-,17900
115,18/11/2021,19000,19000,19000,19000,-,17900
116,19/11/2021,19000,19000,19000,19000,-,17900
117,22/11/2021,19000,19000,19000,19000,-,17900
118,23/11/2021,19000,19000,19000,19000,-,17900
119,24/11/2021,19000,19000,19000,19000,-,17900
120,25/11/2021,17100,17100,17100,17100,100,16100
121,26/11/2021,17000,15400,17000,15400,800,14500
122,29/11/2021,15400,15400,15400,15400,-,14500
123,30/11/2021,15400,15400,15400,15400,300,14500
124,01/12/2021,15400,15400,15400,15400,-,14500
125,02/12/2021,15400,15400,15400,15400,-,14500
126,03/12/2021,15400,15400,15400,15400,-,14500
127,06/12/2021,15400,15400,15400,15400,-,14500
128,07/12/2021,15400,15400,15400,15400,100,14500
129,08/12/2021,15400,15400,15400,15400,-,14500
130,09/12/2021,15400,15400,15400,15400,-,14500
131,10/12/2021,15400,15400,15400,15400,-,14500
132,13/12/2021,15400,15400,15400,15400,-,14500
133,14/12/2021,15400,15400,15400,15400,-,14500
134,15/12/2021,15400,15400,15400,15400,-,14500
135,16/12/2021,15400,15400,15400,15400,-,14500
136,17/12/2021,15400,15400,15400,15400,-,14500
137,20/12/2021,15400,15400,15400,15400,-,14500
138,21/12/2021,15400,15400,15400,15400,-,14500
139,22/12/2021,15400,15400,15400,15400,-,14500
140,23/12/2021,15400,15400,15400,15400,-,14500
141,24/12/2021,15400,15400,15400,15400,-,14500
142,27/12/2021,15400,15400,15400,15400,-,14500
143,28/12/2021,15400,15400,15400,15400,-,14500
144,29/12/2021,15400,15400,15400,15400,-,14500
