,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,18200,17600,18100,18100,10800,16700
1,18/06/2021,18200,17900,18100,18200,13200,16700
2,21/06/2021,18200,17900,18200,18200,6000,16700
3,22/06/2021,18100,17900,18100,17900,3900,16500
4,23/06/2021,18000,17800,18000,17800,6100,16400
5,24/06/2021,17900,17600,17800,17800,29400,16400
6,25/06/2021,18000,17600,17600,17800,6700,16400
7,28/06/2021,18300,18000,18000,18100,28800,16700
8,29/06/2021,18100,17800,18100,17800,1900,16400
9,30/06/2021,17800,17600,17700,17700,3000,16300
10,01/07/2021,17900,17600,17600,17700,3400,16300
11,02/07/2021,17600,17400,17600,17600,2900,16200
12,05/07/2021,17700,17600,17600,17700,12300,16300
13,06/07/2021,17900,17900,17900,17900,200,16500
14,07/07/2021,17800,17100,17500,17800,18500,16400
15,08/07/2021,17800,17500,17500,17800,11300,16400
16,09/07/2021,17600,17500,17500,17600,5000,16200
17,12/07/2021,17800,17000,17200,17800,30000,16400
18,13/07/2021,17800,17800,17800,17800,-,16400
19,14/07/2021,17800,17300,17700,17800,21500,16400
20,15/07/2021,17800,17400,17500,17800,17600,16400
21,16/07/2021,17800,17500,17700,17800,5900,16400
22,19/07/2021,17700,16900,17000,17700,16800,16300
23,20/07/2021,17700,17000,17000,17700,700,16300
24,21/07/2021,17700,17700,17700,17700,-,16300
25,22/07/2021,17700,17700,17700,17700,9700,16300
26,23/07/2021,18200,18000,18200,18000,2600,16600
27,26/07/2021,18000,17100,17100,18000,800,16600
28,27/07/2021,18000,18000,18000,18000,-,16600
29,28/07/2021,18000,18000,18000,18000,-,16600
30,29/07/2021,17400,17300,17300,17400,400,16000
31,30/07/2021,17800,17500,17800,17800,7000,16400
32,02/08/2021,17800,17800,17800,17800,-,16400
33,03/08/2021,17800,17800,17800,17800,-,16400
34,04/08/2021,17800,17800,17800,17800,5,16400
35,05/08/2021,17800,17800,17800,17800,1100,16400
36,06/08/2021,17800,17800,17800,17800,-,16400
37,09/08/2021,17800,17000,17800,17800,2000,16400
38,10/08/2021,17500,17200,17200,17400,1700,16000
39,11/08/2021,17800,17600,17700,17800,5300,16400
40,12/08/2021,18300,17700,17700,18200,2500,16700
41,13/08/2021,18200,18100,18200,18100,400,16700
42,16/08/2021,18300,18200,18200,18300,1600,16800
43,17/08/2021,18300,17700,18000,17700,6200,16300
44,18/08/2021,18000,18000,18000,18000,1100,16600
45,19/08/2021,17900,17000,17100,17900,5200,17100
46,20/08/2021,17200,17100,17100,17200,8500,16500
47,23/08/2021,17900,16500,17900,16500,3800,15800
48,24/08/2021,17000,16700,16700,17000,8500,16300
49,25/08/2021,17000,16900,17000,16900,4200,16200
50,26/08/2021,17200,17000,17000,17200,1700,16500
51,27/08/2021,17500,17200,17200,17500,1500,16800
52,30/08/2021,17800,17400,17800,17500,6300,16800
53,31/08/2021,17500,17300,17500,17500,500,16800
54,01/09/2021,17500,17300,17300,17500,400,16800
55,06/09/2021,17900,17500,17500,17900,3700,17100
56,07/09/2021,17900,17400,17900,17400,4900,16700
57,08/09/2021,17300,17000,17300,17300,8900,16600
58,09/09/2021,17500,17100,17100,17100,4200,16400
