,Date,High,Low,Open,Close,Volume,Adj Close
0,21/06/2021,17500,17300,17500,17300,81300,16700
1,22/06/2021,17800,17200,17500,17200,36200,16600
2,23/06/2021,17400,16900,17400,16900,68100,16300
3,24/06/2021,17100,16700,16900,16900,49600,16300
4,25/06/2021,16900,16600,16800,16800,51180,16200
5,28/06/2021,17100,16800,17000,17000,43000,16400
6,29/06/2021,17500,16800,17000,16900,28700,16300
7,30/06/2021,16900,16600,16900,16700,41000,16100
8,01/07/2021,16700,16600,16700,16700,18200,16100
9,02/07/2021,16700,16500,16600,16700,22900,16100
10,05/07/2021,16900,16500,16700,16700,64900,16100
11,06/07/2021,16800,16200,16800,16200,40700,15600
12,07/07/2021,16300,15900,16300,16200,48703,15600
13,08/07/2021,16200,16000,16000,16100,45306,15500
14,09/07/2021,16400,15900,16100,16100,52610,15500
15,12/07/2021,15900,14600,15800,15500,41600,14900
16,13/07/2021,15500,15000,15200,15500,13100,14900
17,14/07/2021,15500,15100,15500,15500,21800,14900
18,15/07/2021,15600,15300,15500,15500,35600,14900
19,16/07/2021,16000,15600,15600,16000,23300,15400
20,19/07/2021,16600,16000,16100,16400,98700,15800
21,20/07/2021,16400,16300,16300,16400,23600,15800
22,21/07/2021,16500,16000,16500,16200,41100,15600
23,22/07/2021,16400,16000,16300,16400,40800,15800
24,23/07/2021,16400,16000,16200,16200,41600,15600
25,26/07/2021,16200,15900,16000,16200,12400,15600
26,27/07/2021,16500,16200,16300,16300,29400,15700
27,28/07/2021,16300,16100,16300,16300,16800,15700
28,29/07/2021,16600,16200,16300,16600,67800,16000
29,30/07/2021,16400,16300,16400,16400,29600,15800
30,02/08/2021,16600,16400,16400,16600,43600,16000
31,03/08/2021,16400,16300,16400,16400,29800,15800
32,04/08/2021,16800,16300,16400,16600,29000,16000
33,05/08/2021,17400,16700,16700,17100,92200,16500
34,06/08/2021,17100,16700,17000,16700,44416,16100
35,09/08/2021,16800,16600,16700,16800,28500,16200
36,10/08/2021,18400,16600,16600,18400,376778,17700
37,11/08/2021,19400,18400,19000,18900,209000,18200
38,12/08/2021,19900,18700,19000,19300,183325,18600
39,13/08/2021,19300,17800,19300,18800,307336,18100
40,16/08/2021,18800,18300,18800,18500,162550,17800
41,17/08/2021,18600,17200,18500,17900,148124,17200
42,18/08/2021,18300,17600,17700,18000,147246,17300
43,19/08/2021,19000,17900,18000,18200,84000,17500
44,20/08/2021,18400,17200,18300,18100,145820,17400
45,23/08/2021,17900,17300,17500,17300,67500,16700
46,24/08/2021,17400,17100,17100,17200,67900,16600
47,25/08/2021,17400,17100,17200,17400,48700,16800
48,26/08/2021,17800,17400,17500,17500,190305,16900
49,27/08/2021,17800,17400,17500,17800,58000,17200
50,30/08/2021,19500,17800,18000,18800,168720,18100
51,31/08/2021,19200,18600,19100,18900,123005,18200
52,01/09/2021,19700,18800,18900,19500,158106,18800
53,06/09/2021,21400,19500,19500,21400,204508,20600
54,07/09/2021,23400,21700,23400,22200,386320,21400
55,08/09/2021,22700,22000,22000,22500,185820,21700
56,09/09/2021,24600,22500,22600,24300,228720,23400
57,10/09/2021,25900,24400,25700,25900,174124,25000
58,13/09/2021,28400,26000,26000,28400,363482,27400
59,14/09/2021,31000,29000,29000,30400,537255,29300
60,15/09/2021,31400,29300,31000,29900,226800,28800
61,16/09/2021,30000,28300,30000,29200,260860,28100
62,17/09/2021,31200,28800,29200,30900,181756,29800
63,20/09/2021,32500,29000,31500,29000,180500,27900
64,21/09/2021,30200,28200,29000,29700,198310,28600
65,22/09/2021,30100,29400,29700,29800,122466,28700
66,23/09/2021,30000,29000,29800,29700,221900,28600
67,24/09/2021,29700,28000,29700,29200,111900,28100
68,27/09/2021,28700,27300,28100,27600,166606,26600
69,28/09/2021,28800,27100,27600,28700,196506,27700
70,29/09/2021,28700,27500,28700,28200,86400,27200
71,30/09/2021,30500,27600,28200,30400,355360,29300
72,01/10/2021,33400,30000,30300,33400,491247,32200
73,04/10/2021,35700,33400,33400,34800,157336,33500
74,05/10/2021,34500,32800,34500,33800,234500,32600
75,06/10/2021,37100,31100,31200,37000,357608,35700
76,07/10/2021,38000,35400,37000,37500,217260,36100
77,08/10/2021,38000,36200,37800,37000,83320,35700
78,11/10/2021,37900,35000,37000,37600,431818,36200
79,12/10/2021,37700,35500,37700,37000,293415,35700
80,13/10/2021,37000,35400,37000,36500,115476,35200
81,14/10/2021,36000,33000,35800,33500,646838,32300
82,15/10/2021,34800,32800,33600,34800,248620,33500
83,18/10/2021,35200,33600,34800,34800,146520,33500
84,19/10/2021,36000,34800,34800,35100,262400,33800
85,20/10/2021,35000,33300,35000,34300,193741,33100
86,21/10/2021,34200,32900,34000,33900,178160,32700
87,22/10/2021,34200,32900,33000,34200,121703,33000
88,25/10/2021,34500,33200,34500,33200,113305,32000
89,26/10/2021,34000,32800,33200,34000,130949,32800
90,27/10/2021,34400,33700,34000,33900,110500,32700
91,28/10/2021,34900,33300,34000,33800,154100,32600
92,29/10/2021,33800,33000,33800,33100,125300,31900
93,01/11/2021,33000,32000,32900,32000,178906,30800
94,02/11/2021,33800,31500,32000,32900,191004,31700
95,03/11/2021,33100,31900,33100,31900,197607,30700
96,04/11/2021,32000,31500,31500,31800,88606,30600
97,05/11/2021,33000,31900,31900,32500,109601,31300
98,08/11/2021,33000,32300,32500,32500,103767,31300
99,09/11/2021,32900,32000,32500,32000,133760,30800
100,10/11/2021,35200,31800,32000,35100,360834,33800
101,11/11/2021,35100,33500,35100,34200,142202,33000
102,12/11/2021,34200,33200,33600,33500,47300,32300
103,15/11/2021,33500,32300,33500,32900,240209,31700
104,16/11/2021,34000,32500,32900,33800,88737,32600
105,17/11/2021,35500,33200,33800,34100,151206,32900
