,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2021,10000,10000,10000,10000,803,10000
1,23/06/2021,10000,10000,10000,10000,-,10000
2,24/06/2021,10000,10000,10000,10000,-,10000
3,25/06/2021,9000,9000,9000,9000,900,9000
4,28/06/2021,9000,9000,9000,9000,-,9000
5,29/06/2021,8100,8100,8100,8100,100,8100
6,30/06/2021,8100,8100,8100,8100,-,8100
7,01/07/2021,8100,8100,8100,8100,-,8100
8,02/07/2021,8100,8100,8100,8100,-,8100
9,05/07/2021,8100,8100,8100,8100,-,8100
10,06/07/2021,8900,8900,8900,8900,100,8900
11,07/07/2021,8900,8900,8900,8900,-,8900
12,08/07/2021,8900,8900,8900,8900,-,8900
13,09/07/2021,8900,8900,8900,8900,-,8900
14,12/07/2021,8900,8900,8900,8900,-,8900
15,13/07/2021,8900,8900,8900,8900,-,8900
16,14/07/2021,8900,8900,8900,8900,-,8900
17,15/07/2021,9000,9000,9000,9000,1500,9000
18,16/07/2021,9000,9000,9000,9000,-,9000
19,19/07/2021,9000,9000,9000,9000,-,9000
20,20/07/2021,9000,9000,9000,9000,200,9000
21,21/07/2021,9000,9000,9000,9000,-,9000
22,22/07/2021,9000,9000,9000,9000,-,9000
23,23/07/2021,9000,9000,9000,9000,-,9000
24,26/07/2021,9000,9000,9000,9000,-,9000
25,27/07/2021,9000,9000,9000,9000,-,9000
26,28/07/2021,9000,9000,9000,9000,-,9000
27,29/07/2021,9000,9000,9000,9000,-,9000
28,30/07/2021,9900,9000,9000,9900,400,9900
29,02/08/2021,9900,9900,9900,9900,-,9900
30,03/08/2021,9900,9900,9900,9900,-,9900
31,04/08/2021,9900,9900,9900,9900,-,9900
32,05/08/2021,9900,9900,9900,9900,-,9900
33,06/08/2021,9900,9900,9900,9900,-,9900
34,09/08/2021,9900,9900,9900,9900,-,9900
35,10/08/2021,9500,9500,9500,9500,100,9500
36,11/08/2021,9500,9500,9500,9500,-,9500
37,12/08/2021,9500,9500,9500,9500,-,9500
38,13/08/2021,9000,9000,9000,9000,100,9000
39,16/08/2021,9000,9000,9000,9000,-,9000
40,17/08/2021,9000,9000,9000,9000,-,9000
41,18/08/2021,9000,9000,9000,9000,-,9000
42,19/08/2021,9000,9000,9000,9000,-,9000
43,20/08/2021,9000,9000,9000,9000,1000,9000
44,23/08/2021,9000,9000,9000,9000,1500,9000
45,24/08/2021,9000,9000,9000,9000,-,9000
46,25/08/2021,9000,9000,9000,9000,-,9000
47,26/08/2021,9000,9000,9000,9000,-,9000
48,27/08/2021,9000,9000,9000,9000,-,9000
49,30/08/2021,9000,9000,9000,9000,-,9000
50,31/08/2021,9000,9000,9000,9000,-,9000
51,01/09/2021,9000,9000,9000,9000,-,9000
52,06/09/2021,9000,9000,9000,9000,-,9000
53,07/09/2021,9000,9000,9000,9000,-,9000
54,08/09/2021,9000,9000,9000,9000,-,9000
55,09/09/2021,9000,9000,9000,9000,-,9000
56,10/09/2021,9000,9000,9000,9000,-,9000
57,13/09/2021,9000,9000,9000,9000,-,9000
58,14/09/2021,9000,9000,9000,9000,-,9000
59,15/09/2021,9000,9000,9000,9000,-,9000
60,16/09/2021,9000,9000,9000,9000,-,9000
61,17/09/2021,9000,9000,9000,9000,-,9000
62,20/09/2021,9000,9000,9000,9000,-,9000
63,21/09/2021,9900,9900,9900,9900,5000,9900
64,22/09/2021,9900,9900,9900,9900,-,9900
65,23/09/2021,9900,9900,9900,9900,-,9900
66,24/09/2021,9900,9900,9900,9900,-,9900
67,27/09/2021,10300,10300,10300,10300,3100,10300
68,28/09/2021,10300,10300,10300,10300,-,10300
69,29/09/2021,10300,10300,10300,10300,-,10300
70,30/09/2021,10300,10300,10300,10300,-,10300
71,01/10/2021,10300,10300,10300,10300,-,10300
72,04/10/2021,10300,10300,10300,10300,-,10300
73,05/10/2021,10300,10300,10300,10300,-,10300
74,06/10/2021,11000,11000,11000,11000,500,11000
75,07/10/2021,11000,11000,11000,11000,-,11000
76,08/10/2021,11000,11000,11000,11000,-,11000
77,11/10/2021,11000,11000,11000,11000,-,11000
78,12/10/2021,10000,10000,10000,10000,1000,10000
79,13/10/2021,10000,10000,10000,10000,-,10000
80,14/10/2021,10000,10000,10000,10000,1000,10000
81,15/10/2021,10000,9200,9200,9200,2600,9200
82,18/10/2021,9100,9100,9100,9100,500,9100
83,19/10/2021,9100,9100,9100,9100,-,9100
84,20/10/2021,9100,9100,9100,9100,100,9100
85,21/10/2021,9100,9100,9100,9100,-,9100
86,22/10/2021,9100,9100,9100,9100,-,9100
87,25/10/2021,9100,9100,9100,9100,500,9100
88,26/10/2021,9100,9100,9100,9100,100,9100
89,27/10/2021,9000,9000,9000,9000,2200,9000
90,28/10/2021,9900,9000,9000,9900,9000,9900
91,29/10/2021,10800,10400,10500,10800,2100,10800
92,01/11/2021,10800,10800,10800,10800,-,10800
93,02/11/2021,10800,10800,10800,10800,1000,10800
94,03/11/2021,11000,10800,10800,10800,1300,10800
95,04/11/2021,10800,10800,10800,10800,-,10800
96,05/11/2021,11000,10800,10800,11000,3300,11000
