,Date,High,Low,Open,Close,Volume,Adj Close
0,07/06/2021,20300,20300,20300,20300,-,19400
1,08/06/2021,20300,20300,20300,20300,1000,19400
2,09/06/2021,20300,20300,20300,20300,-,19400
3,10/06/2021,22900,22900,22900,22900,10000,21900
4,11/06/2021,20500,20500,20500,20500,1000,19600
5,14/06/2021,20500,20500,20500,20500,-,19600
6,15/06/2021,21000,21000,21000,21000,1108,20100
7,16/06/2021,21000,21000,21000,21000,-,20100
8,17/06/2021,21000,21000,21000,21000,-,20100
9,18/06/2021,21000,21000,21000,21000,7540,20100
10,21/06/2021,21000,21000,21000,21000,-,20100
11,22/06/2021,21000,21000,21000,21000,2000,20100
12,23/06/2021,21000,21000,21000,21000,-,20100
13,24/06/2021,21000,21000,21000,21000,100,20100
14,25/06/2021,21000,21000,21000,21000,-,20100
15,28/06/2021,21000,21000,21000,21000,-,20100
16,29/06/2021,21000,21000,21000,21000,1000,20100
17,30/06/2021,18000,18000,18000,18000,100,17200
18,01/07/2021,18000,18000,18000,18000,-,17200
19,02/07/2021,20000,15300,18100,20000,3000,19100
20,05/07/2021,17100,17100,17100,17100,-,16400
21,06/07/2021,17200,17200,17200,17200,200,16500
22,07/07/2021,17500,17200,17200,17500,800,16800
23,08/07/2021,17200,17200,17200,17200,-,16500
24,09/07/2021,19700,19700,19700,19700,300,18900
25,12/07/2021,19500,16800,16800,19500,800,18700
26,13/07/2021,16500,16500,16500,16500,100,15800
27,14/07/2021,16500,16500,16500,16500,-,15800
28,15/07/2021,16500,16500,16500,16500,-,15800
29,16/07/2021,18900,18900,18900,18900,1100,18100
30,19/07/2021,18900,18500,18900,18500,200,17700
31,20/07/2021,18500,18500,18500,18500,500,17700
32,21/07/2021,18500,18500,18500,18500,-,17700
33,22/07/2021,15900,15900,15900,15900,100,15200
34,23/07/2021,15900,15900,15900,15900,600,15200
35,26/07/2021,14000,14000,14000,14000,100,13400
36,27/07/2021,14400,12000,14000,14400,500,13800
37,28/07/2021,13800,12000,13800,12000,400,11500
38,29/07/2021,11000,11000,11000,11000,200,10500
39,30/07/2021,11000,11000,11000,11000,-,10500
40,02/08/2021,11000,11000,11000,11000,-,10500
41,03/08/2021,12600,12600,12600,12600,100,12100
42,04/08/2021,14400,14400,14400,14400,100,13800
43,05/08/2021,16500,16500,16500,16500,100,15800
44,06/08/2021,18800,18000,18500,18500,1500,17700
45,09/08/2021,18600,18500,18600,18500,400,17700
46,10/08/2021,19000,18800,18800,19000,1100,18200
47,11/08/2021,20000,20000,20000,20000,200,19100
48,12/08/2021,20500,20500,20500,20500,300,19600
49,13/08/2021,18100,18100,18100,18100,100,17300
50,16/08/2021,20800,19700,20800,20300,700,19400
51,17/08/2021,20300,20100,20100,20300,1500,19400
52,18/08/2021,18100,18100,18100,18100,100,17300
53,19/08/2021,20400,20400,20400,20400,100,19500
54,20/08/2021,20500,20500,20500,20500,100,19600
55,23/08/2021,20400,20400,20400,20400,300,19500
56,24/08/2021,20400,20400,20400,20400,-,19500
57,25/08/2021,20500,20400,20400,20500,400,19600
58,26/08/2021,20400,20400,20400,20400,300,19500
59,27/08/2021,20400,20400,20400,20400,-,19500
60,30/08/2021,20400,20400,20400,20400,100,19500
61,31/08/2021,20600,20400,20400,20400,2700,19500
62,01/09/2021,23300,20600,20600,20600,3600,19700
63,06/09/2021,21000,21000,21000,21000,2300,20100
64,07/09/2021,21000,20000,21000,20000,800,19100
65,08/09/2021,20100,20100,20100,20100,2100,19200
66,09/09/2021,21200,21000,21200,21200,1000,20300
67,10/09/2021,21500,21500,21500,21500,100,20600
68,13/09/2021,21200,21000,21000,21200,2000,20300
69,14/09/2021,22300,21100,21100,22300,5200,21300
70,15/09/2021,22200,22000,22200,22000,3400,21100
71,16/09/2021,21500,21200,21500,21200,2000,20300
72,17/09/2021,22200,21500,21500,22200,1000,21300
73,20/09/2021,25100,22000,22200,25000,7800,23900
74,21/09/2021,25000,25000,25000,25000,200,23900
75,22/09/2021,22000,21500,21500,22000,200,21100
76,23/09/2021,22900,21100,22000,21500,1000,20600
77,24/09/2021,22200,22200,22200,22200,-,21300
78,27/09/2021,21600,21600,21600,21600,100,20700
79,28/09/2021,19800,19000,19000,19500,5000,18700
80,29/09/2021,22100,19800,22100,20700,6700,19800
81,30/09/2021,21000,20800,20800,21000,2200,20100
82,01/10/2021,21000,19800,20900,21000,1200,20100
83,04/10/2021,20900,18100,20900,18100,1400,17300
84,05/10/2021,20700,20700,20700,20700,300,19800
85,06/10/2021,20900,20700,20700,20700,1300,19800
86,07/10/2021,23000,21800,22000,21800,7100,20900
87,08/10/2021,22000,22000,22000,22000,6700,21100
88,11/10/2021,22000,22000,22000,22000,-,21100
89,12/10/2021,22000,22000,22000,22000,-,21100
90,13/10/2021,22000,22000,22000,22000,-,21100
91,14/10/2021,23000,20500,20500,20600,1400,19700
92,15/10/2021,22500,22000,22000,22500,300,21500
93,18/10/2021,22200,22200,22200,22200,-,21300
94,19/10/2021,22200,22200,22200,22200,-,21300
95,20/10/2021,21900,21900,21900,21900,200,21000
96,21/10/2021,22000,21900,21900,22000,2000,21100
97,22/10/2021,20300,20300,20300,20300,100,19400
98,25/10/2021,23300,21100,22000,21200,9300,20300
99,26/10/2021,22000,21700,22000,21700,1200,20800
100,27/10/2021,22000,22000,22000,22000,2400,21100
101,28/10/2021,22000,22000,22000,22000,-,21100
102,29/10/2021,22000,20700,22000,20700,4000,19800
103,01/11/2021,22500,21700,21700,22500,5400,21500
104,02/11/2021,22300,22300,22300,22300,-,21300
105,03/11/2021,22000,20600,20600,22000,1100,21100
106,04/11/2021,21900,21900,21900,21900,-,21000
107,05/11/2021,22000,20700,22000,20700,12200,19800
108,08/11/2021,22300,22100,22100,22300,2500,21300
109,09/11/2021,22200,22200,22200,22200,400,21300
110,10/11/2021,22500,22200,22400,22400,5000,21400
111,11/11/2021,25000,22500,22500,23500,17900,22500
112,12/11/2021,24100,24000,24000,24100,4100,23100
113,15/11/2021,25800,22100,25800,22100,10100,21200
114,16/11/2021,23200,22400,22400,23200,700,22200
115,17/11/2021,24100,22500,23200,22500,3900,21500
116,18/11/2021,24500,23800,24000,23800,9200,22800
117,19/11/2021,24700,24100,24100,24700,400,23600
118,22/11/2021,24300,22500,23500,22700,6300,21700
119,23/11/2021,22900,22900,22900,22900,800,21900
120,24/11/2021,24300,22100,23100,22800,2200,21800
121,25/11/2021,23400,22400,22400,23400,400,23400
122,26/11/2021,22300,22200,22300,22300,1200,22300
123,29/11/2021,23000,22200,23000,23000,6500,23000
124,30/11/2021,22600,22600,22600,22600,100,22600
125,01/12/2021,22400,22300,22400,22300,1600,22300
126,02/12/2021,22600,22500,22500,22600,3100,22600
127,03/12/2021,22600,22500,22600,22500,4300,22500
