,Date,High,Low,Open,Close,Volume,Adj Close
0,02/06/2021,29000,29000,29000,29000,500,28100
1,03/06/2021,28000,26100,28000,27000,6870,26200
2,04/06/2021,24300,24300,24300,24300,3120,23600
3,07/06/2021,24300,24300,24300,24300,-,23600
4,08/06/2021,21900,21900,21900,21900,200,21200
5,09/06/2021,19900,19800,19800,19900,3550,19300
6,10/06/2021,21800,21800,21800,21800,37995,21100
7,11/06/2021,21800,21800,21800,21800,-,21100
8,14/06/2021,23900,23900,23900,23900,700,23200
9,15/06/2021,26200,26200,26200,26200,1900,25400
10,16/06/2021,26200,26200,26200,26200,49,25400
11,17/06/2021,26200,26200,26200,26200,-,25400
12,18/06/2021,26200,26200,26200,26200,-,25400
13,21/06/2021,26200,26200,26200,26200,-,25400
14,22/06/2021,26200,26200,26200,26200,-,25400
15,23/06/2021,23600,23600,23600,23600,3000,22900
16,24/06/2021,23600,21300,23600,21300,7170,20700
17,25/06/2021,19300,19300,19300,19300,900,18700
18,28/06/2021,21200,21200,21200,21200,22660,20600
19,29/06/2021,21200,21200,21200,21200,-,20600
20,30/06/2021,19100,19100,19100,19100,100,18500
21,01/07/2021,19100,19100,19100,19100,32070,18500
22,02/07/2021,21000,21000,21000,21000,143650,20400
23,05/07/2021,21000,21000,21000,21000,-,20400
24,06/07/2021,21000,21000,21000,21000,-,20400
25,07/07/2021,21000,21000,21000,21000,-,20400
26,08/07/2021,21000,21000,21000,21000,-,20400
27,09/07/2021,21000,21000,21000,21000,-,20400
28,12/07/2021,21000,21000,21000,21000,-,20400
29,13/07/2021,21000,21000,21000,21000,-,20400
30,14/07/2021,23100,23100,23100,23100,400,22400
31,15/07/2021,25400,25400,25400,25400,300,24600
32,16/07/2021,25400,25400,25400,25400,-,24600
33,19/07/2021,25400,25400,25400,25400,-,24600
34,20/07/2021,25400,25400,25400,25400,400,24600
35,21/07/2021,25400,25400,25400,25400,-,24600
36,22/07/2021,25400,25400,25400,25400,-,24600
37,23/07/2021,25400,25400,25400,25400,-,24600
38,26/07/2021,25400,25400,25400,25400,700,24600
39,27/07/2021,25400,25400,25400,25400,-,24600
40,28/07/2021,25400,25400,25400,25400,-,24600
41,29/07/2021,25400,25400,25400,25400,-,24600
42,30/07/2021,25400,25400,25400,25400,-,24600
43,02/08/2021,25400,25400,25400,25400,-,24600
44,03/08/2021,25400,25400,25400,25400,100,24600
45,04/08/2021,25400,25400,25400,25400,-,24600
46,05/08/2021,25400,25400,25400,25400,-,24600
47,06/08/2021,25400,25400,25400,25400,-,24600
48,09/08/2021,25400,25400,25400,25400,-,24600
49,10/08/2021,25400,25400,25400,25400,-,24600
50,11/08/2021,25400,25400,25400,25400,-,24600
51,12/08/2021,25400,25400,25400,25400,-,24600
52,13/08/2021,25400,25400,25400,25400,-,24600
53,16/08/2021,25400,25400,25400,25400,-,24600
54,17/08/2021,25400,25400,25400,25400,-,24600
55,18/08/2021,25400,25400,25400,25400,-,24600
56,19/08/2021,25400,25400,25400,25400,210000,24600
57,20/08/2021,25400,25400,25400,25400,-,24600
58,23/08/2021,25400,25400,25400,25400,-,24600
59,24/08/2021,25400,25400,25400,25400,-,24600
60,25/08/2021,25400,25400,25400,25400,-,24600
61,26/08/2021,25400,25400,25400,25400,-,24600
62,27/08/2021,25400,25400,25400,25400,-,24600
63,30/08/2021,25400,25400,25400,25400,-,24600
64,31/08/2021,25400,25400,25400,25400,-,24600
65,01/09/2021,25400,25400,25400,25400,-,24600
66,06/09/2021,25400,25400,25400,25400,-,24600
67,07/09/2021,25400,25400,25400,25400,-,24600
68,08/09/2021,25400,25400,25400,25400,-,24600
69,09/09/2021,25400,25400,25400,25400,-,24600
70,10/09/2021,25400,25400,25400,25400,-,24600
71,13/09/2021,25400,25400,25400,25400,-,24600
72,14/09/2021,26500,26500,26500,26500,400,25700
73,15/09/2021,26500,26500,26500,26500,-,25700
74,16/09/2021,26500,26500,26500,26500,-,25700
75,17/09/2021,26500,26500,26500,26500,-,25700
76,20/09/2021,26500,26500,26500,26500,-,25700
77,21/09/2021,26500,26500,26500,26500,-,25700
78,22/09/2021,26500,26500,26500,26500,-,25700
79,23/09/2021,26500,26500,26500,26500,-,25700
80,24/09/2021,26500,26500,26500,26500,-,25700
81,27/09/2021,26500,26500,26500,26500,-,25700
82,28/09/2021,26500,26500,26500,26500,-,25700
83,29/09/2021,26500,26500,26500,26500,-,25700
84,30/09/2021,26500,26500,26500,26500,-,25700
85,01/10/2021,26500,26500,26500,26500,-,25700
86,04/10/2021,26500,26500,26500,26500,-,25700
87,05/10/2021,26500,26500,26500,26500,42158,25700
88,06/10/2021,26500,26500,26500,26500,-,25700
89,07/10/2021,26500,26500,26500,26500,-,25700
