,Date,High,Low,Open,Close,Volume,Adj Close
0,10/06/2021,19000,19000,19000,19000,-,15000
1,11/06/2021,20900,20000,20900,20000,755,15800
2,14/06/2021,20000,20000,20000,20000,-,15800
3,15/06/2021,20000,20000,20000,20000,-,15800
4,16/06/2021,20000,20000,20000,20000,-,15800
5,17/06/2021,20000,20000,20000,20000,55,15800
6,18/06/2021,19400,19400,19400,19400,100,15400
7,21/06/2021,19400,19400,19400,19400,-,15400
8,22/06/2021,19500,19500,19500,19500,4900,15400
9,23/06/2021,19500,19500,19500,19500,300,15400
10,24/06/2021,19500,19500,19500,19500,-,15400
11,25/06/2021,19500,19500,19500,19500,-,15400
12,28/06/2021,21000,21000,21000,21000,100,16600
13,29/06/2021,21000,21000,21000,21000,-,16600
14,30/06/2021,21000,21000,21000,21000,-,16600
15,01/07/2021,19000,19000,19000,19000,200,15000
16,02/07/2021,20900,19500,19500,20900,9578,16600
17,05/07/2021,20900,20900,20900,20900,1029,16600
18,06/07/2021,20900,20900,20900,20900,500,16600
19,07/07/2021,20500,20000,20000,20000,4200,15800
20,08/07/2021,20000,20000,20000,20000,-,15800
21,09/07/2021,20000,20000,20000,20000,-,15800
22,12/07/2021,18500,18200,18500,18200,4800,14400
23,13/07/2021,20000,18500,18500,20000,600,15800
24,14/07/2021,21600,21600,21600,21600,100,17100
25,15/07/2021,19500,19500,19500,19500,5500,15400
26,16/07/2021,19500,19500,19500,19500,-,15400
27,19/07/2021,19500,19500,19500,19500,-,15400
28,20/07/2021,20000,20000,20000,20000,1000,15800
29,21/07/2021,20000,20000,20000,20000,-,15800
30,22/07/2021,20000,20000,20000,20000,-,15800
31,23/07/2021,20000,20000,20000,20000,-,15800
32,26/07/2021,20000,20000,20000,20000,-,15800
33,27/07/2021,19900,18300,18300,19900,1100,15800
34,28/07/2021,19900,19900,19900,19900,258,15800
35,29/07/2021,19900,19900,19900,19900,9,15800
36,30/07/2021,19900,19900,19900,19900,-,15800
37,02/08/2021,19900,19900,19900,19900,-,15800
38,03/08/2021,19500,18300,18300,19500,1100,15400
39,04/08/2021,20000,20000,20000,20000,100,15800
40,05/08/2021,20000,20000,20000,20000,-,15800
41,06/08/2021,19000,19000,19000,19000,100,15000
42,09/08/2021,19800,18700,19800,19000,9800,15000
43,10/08/2021,20900,18800,20900,20000,1178,15800
44,11/08/2021,19800,18800,18900,19800,2382,15700
45,12/08/2021,19900,18800,18900,19900,3300,15800
46,13/08/2021,20500,19500,19500,20500,2200,16200
47,16/08/2021,20800,20500,20500,20500,16700,16200
48,17/08/2021,20300,20100,20300,20300,1600,16100
49,18/08/2021,22300,20000,20000,22000,40734,17400
50,19/08/2021,23000,22500,23000,22800,30050,18100
51,20/08/2021,23100,22800,23100,22800,10100,18100
52,23/08/2021,22800,21500,22800,22300,4900,17700
53,24/08/2021,22000,21500,22000,22000,13700,17400
54,25/08/2021,22600,21700,21700,22500,6800,17800
55,26/08/2021,23500,22900,22900,23000,27000,18200
56,27/08/2021,23000,23000,23000,23000,200,18200
57,30/08/2021,24500,23000,23000,24500,36647,19400
58,31/08/2021,26500,24500,24500,26000,25956,20600
59,01/09/2021,28500,27000,27000,28400,85829,22500
60,06/09/2021,31200,29900,29900,31200,28680,24700
61,07/09/2021,34300,33400,34300,34300,27950,27200
62,08/09/2021,37500,31000,35300,34400,26631,27200
63,09/09/2021,35000,32200,32500,34900,15100,27600
64,10/09/2021,34900,33600,33800,34600,31136,27400
65,13/09/2021,38000,37000,37000,38000,63931,30100
66,14/09/2021,41800,41800,41800,41800,9100,33100
67,15/09/2021,45900,45000,45900,45900,49836,36400
68,16/09/2021,50400,50400,50400,50400,65813,39900
69,17/09/2021,55400,47000,55000,47700,54065,37800
70,20/09/2021,47700,44600,47700,46000,46850,36400
