,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2021,3200,3100,3100,3100,20800,3100
1,23/06/2021,3100,3100,3100,3100,128900,3100
2,24/06/2021,3100,3000,3000,3100,30200,3100
3,25/06/2021,3100,3000,3000,3100,60300,3100
4,28/06/2021,3100,3000,3100,3000,61100,3000
5,29/06/2021,3300,3000,3000,3300,381800,3300
6,30/06/2021,3400,3200,3300,3300,155110,3300
7,01/07/2021,3300,3100,3200,3300,117300,3300
8,02/07/2021,3300,3100,3300,3200,71800,3200
9,05/07/2021,3300,3000,3300,3200,25979,3200
10,06/07/2021,3200,3100,3200,3100,70400,3100
11,07/07/2021,3200,3000,3100,3200,60400,3200
12,08/07/2021,3200,3100,3100,3100,47100,3100
13,09/07/2021,3100,3000,3100,3000,34500,3000
14,12/07/2021,3000,2700,3000,2800,151220,2800
15,13/07/2021,2900,2700,2700,2800,25000,2800
16,14/07/2021,2900,2800,2900,2800,13000,2800
17,15/07/2021,2900,2800,2900,2800,8200,2800
18,16/07/2021,3000,2800,2800,3000,42200,3000
19,19/07/2021,3000,2800,3000,2800,44300,2800
20,20/07/2021,2900,2700,2800,2900,105900,2900
21,21/07/2021,2900,2800,2800,2800,102700,2800
22,22/07/2021,2900,2700,2800,2800,110605,2800
23,23/07/2021,2900,2800,2900,2900,302800,2900
24,26/07/2021,2900,2800,2800,2900,5400,2900
25,27/07/2021,2900,2800,2900,2800,156200,2800
26,28/07/2021,3000,2900,2900,2900,43400,2900
27,29/07/2021,3000,2800,2900,2900,81705,2900
28,30/07/2021,3100,2900,2900,3100,267200,3100
29,02/08/2021,3200,3000,3200,3100,72900,3100
30,03/08/2021,3200,3000,3000,3100,157300,3100
31,04/08/2021,3100,3000,3000,3000,144300,3000
32,05/08/2021,3200,3000,3000,3100,119200,3100
33,06/08/2021,3200,3100,3200,3200,176800,3200
34,09/08/2021,3200,3100,3200,3200,39700,3200
35,10/08/2021,3500,3200,3200,3500,294300,3500
36,11/08/2021,3700,3400,3700,3400,167400,3400
37,12/08/2021,3400,3300,3300,3300,113200,3300
38,13/08/2021,3300,3200,3300,3200,23015,3200
39,16/08/2021,3400,3200,3300,3200,93300,3200
40,17/08/2021,3200,3100,3200,3100,187700,3100
41,18/08/2021,3400,3200,3200,3400,241977,3400
42,19/08/2021,3700,3400,3600,3700,364100,3700
43,20/08/2021,3700,3400,3700,3500,162600,3500
44,23/08/2021,3800,3200,3800,3700,416900,3700
45,24/08/2021,4000,3400,4000,3600,326800,3600
46,25/08/2021,3900,3400,3900,3400,58700,3400
47,26/08/2021,3400,3300,3300,3300,78100,3300
48,27/08/2021,3400,3300,3300,3300,69145,3300
49,30/08/2021,3500,3300,3400,3400,115300,3400
50,31/08/2021,3500,3400,3400,3500,56110,3500
51,01/09/2021,3600,3500,3500,3500,55300,3500
52,06/09/2021,3700,3500,3500,3600,101632,3600
53,07/09/2021,3700,3500,3700,3500,68900,3500
54,08/09/2021,3500,3400,3400,3500,38500,3500
55,09/09/2021,3500,3400,3500,3500,47000,3500
56,10/09/2021,3600,3400,3500,3600,187800,3600
57,13/09/2021,3900,3600,3600,3900,496745,3900
58,14/09/2021,4200,4000,4000,4200,283210,4200
59,15/09/2021,4400,4000,4400,4000,132000,4000
60,16/09/2021,4400,3900,4000,4100,371200,4100
61,17/09/2021,4300,4000,4000,4200,152702,4200
62,20/09/2021,4500,4200,4200,4400,250400,4400
63,21/09/2021,4800,4300,4300,4800,474002,4800
64,22/09/2021,5200,5100,5100,5200,70242,5200
65,23/09/2021,5700,5300,5700,5700,1287053,5700
66,24/09/2021,6100,5200,6100,5200,341200,5200
67,27/09/2021,5300,4700,4700,4700,231625,4700
68,28/09/2021,5100,4300,4500,5000,403153,5000
69,29/09/2021,5000,4600,5000,4800,50100,4800
70,30/09/2021,5100,4700,4800,5000,39108,5000
71,01/10/2021,4900,4700,4900,4900,34200,4900
72,04/10/2021,4800,4500,4700,4500,160610,4500
73,05/10/2021,4700,4500,4700,4700,31300,4700
74,06/10/2021,4700,4500,4600,4700,103500,4700
75,07/10/2021,5100,4600,4700,5000,82503,5000
76,08/10/2021,5100,4800,5100,4800,50900,4800
77,11/10/2021,4800,4700,4800,4800,58108,4800
78,12/10/2021,4900,4700,4800,4800,69800,4800
79,13/10/2021,4800,4700,4700,4700,136310,4700
80,14/10/2021,4900,4700,4700,4800,46012,4800
81,15/10/2021,5100,4800,4900,5000,99100,5000
82,18/10/2021,5000,4900,4900,4900,14800,4900
83,19/10/2021,5100,4800,4900,5100,83800,5100
84,20/10/2021,5600,5000,5000,5500,192037,5500
85,21/10/2021,6000,5600,5700,6000,207600,6000
86,22/10/2021,6600,6000,6500,6200,182500,6200
87,25/10/2021,6100,5600,6100,5600,363125,5600
88,26/10/2021,5800,5300,5500,5800,103900,5800
89,27/10/2021,6000,5500,6000,5700,176000,5700
90,28/10/2021,5800,5500,5700,5800,87200,5800
