,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,5900,4900,5000,5900,162800,5900
1,10/06/2021,5900,5900,5900,5900,700,5900
2,11/06/2021,6400,6000,6400,6000,400,6000
3,14/06/2021,5800,5500,5500,5800,300,5800
4,15/06/2021,5800,5400,5800,5400,2800,5400
5,16/06/2021,5300,5300,5300,5300,400,5300
6,17/06/2021,5700,5700,5700,5700,1749,5700
7,18/06/2021,5700,5700,5700,5700,100,5700
8,21/06/2021,5700,5700,5700,5700,-,5700
9,22/06/2021,5700,5300,5300,5700,600,5700
10,23/06/2021,6000,6000,6000,6000,100,6000
11,24/06/2021,6000,5400,5400,5900,210849,5900
12,25/06/2021,5400,5400,5400,5400,3400,5400
13,28/06/2021,5900,5100,5400,5900,1800,5900
14,29/06/2021,5700,5400,5400,5700,6000,5700
15,30/06/2021,5700,5600,5600,5700,400,5700
16,01/07/2021,5700,5600,5700,5700,2300,5700
17,02/07/2021,5800,5600,5600,5800,3800,5800
18,05/07/2021,5500,5400,5400,5500,2400,5500
19,06/07/2021,5400,5200,5400,5300,7500,5300
20,07/07/2021,5300,5300,5300,5300,100,5300
21,08/07/2021,5300,5300,5300,5300,-,5300
22,09/07/2021,5600,5600,5600,5600,300,5600
23,12/07/2021,5800,5500,5800,5500,400,5500
24,13/07/2021,5400,5400,5400,5400,600,5400
25,14/07/2021,5500,5500,5500,5500,100,5500
26,15/07/2021,5500,5500,5500,5500,-,5500
27,16/07/2021,5900,5400,5900,5400,900,5400
28,19/07/2021,5600,5300,5300,5300,800,5300
29,20/07/2021,5300,5200,5300,5200,600,5200
30,21/07/2021,5600,5300,5300,5300,1800,5300
31,22/07/2021,5400,5300,5300,5400,1200,5400
32,23/07/2021,5600,5400,5400,5400,600,5400
33,26/07/2021,5400,5200,5400,5200,5500,5200
34,27/07/2021,5600,5300,5600,5300,1200,5300
35,28/07/2021,5500,5400,5400,5500,2000,5500
36,29/07/2021,5400,5400,5400,5400,1400,5400
37,30/07/2021,5400,5400,5400,5400,700,5400
38,02/08/2021,5400,5300,5400,5300,1900,5300
39,03/08/2021,5300,5300,5300,5300,4200,5300
40,04/08/2021,5300,5200,5300,5300,7900,5300
41,05/08/2021,5500,5300,5300,5500,6400,5500
42,06/08/2021,5600,5100,5400,5300,5200,5300
43,09/08/2021,5400,5400,5400,5400,100,5400
44,10/08/2021,5400,5400,5400,5400,-,5400
45,11/08/2021,5400,5400,5400,5400,7700,5400
46,12/08/2021,5900,5500,5600,5900,40600,5900
47,13/08/2021,6400,6000,6000,6400,4800,6400
48,16/08/2021,7000,7000,7000,7000,700,7000
49,17/08/2021,7700,7700,7700,7700,8500,7700
50,18/08/2021,8400,7500,8400,8000,35980,8000
51,19/08/2021,8000,7500,8000,7500,6100,7500
52,20/08/2021,7700,7000,7500,7600,31100,7600
53,23/08/2021,8200,7200,7200,7600,19408,7600
54,24/08/2021,7800,7300,7600,7600,5200,7600
55,25/08/2021,7700,7700,7700,7700,100,7700
56,26/08/2021,7400,7000,7400,7000,4300,7000
57,27/08/2021,7500,7000,7000,7500,600,7500
58,30/08/2021,7400,6900,7100,7400,7700,7400
59,31/08/2021,7000,6800,7000,7000,11301,7000
60,01/09/2021,7000,6900,7000,7000,48600,7000
61,06/09/2021,7100,6900,7000,7000,50000,7000
62,07/09/2021,7700,7000,7000,7000,20280,7000
63,08/09/2021,7000,6800,7000,7000,16600,7000
64,09/09/2021,7000,6600,6700,7000,3600,7000
65,10/09/2021,7000,6300,6600,6900,5700,6900
66,13/09/2021,7000,6700,6900,7000,21600,7000
67,14/09/2021,7000,6700,7000,7000,22000,7000
68,15/09/2021,7700,6800,6900,7700,231402,7700
69,16/09/2021,8400,7700,7700,8400,65960,8400
70,17/09/2021,9200,9100,9200,9200,48400,9200
71,20/09/2021,10100,8300,9200,10100,66194,10100
72,21/09/2021,11100,9100,9800,11100,56100,11100
73,22/09/2021,12200,10300,12000,10300,55137,10300
74,23/09/2021,11300,9300,11300,9300,198700,9300
75,24/09/2021,9700,8400,9300,8700,83300,8700
76,27/09/2021,9300,8300,8700,9100,21210,9100
77,28/09/2021,9700,9000,9400,9400,10100,9400
78,29/09/2021,9300,8800,9300,9200,58810,9200
79,30/09/2021,9400,8900,9200,9200,34400,9200
80,01/10/2021,9400,8900,9300,8900,36600,8900
81,04/10/2021,9000,8800,8900,9000,46900,9000
82,05/10/2021,9200,8900,9000,9200,13300,9200
83,06/10/2021,9500,9100,9400,9400,50409,9400
84,07/10/2021,9800,9200,9400,9700,59738,9700
