,Date,High,Low,Open,Close,Volume,Adj Close
0,08/06/2021,13100,12900,13000,13000,33600,11000
1,09/06/2021,13100,13000,13000,13000,6900,11000
2,10/06/2021,14300,13100,13100,14300,65318,12100
3,11/06/2021,15000,13600,13600,15000,29423,12700
4,14/06/2021,15500,15000,15000,15200,40241,12900
5,15/06/2021,15400,15200,15300,15200,24500,12900
6,16/06/2021,15100,14700,15000,15100,16673,12800
7,17/06/2021,15500,15100,15100,15200,18100,12900
8,18/06/2021,15400,15100,15100,15400,3600,13100
9,21/06/2021,15700,15300,15400,15500,15599,13100
10,22/06/2021,15700,14000,14600,15700,17100,13300
11,23/06/2021,16200,14300,15000,16200,26905,13700
12,24/06/2021,17800,16200,16200,17800,77100,15100
13,25/06/2021,18600,17900,17900,18500,36700,15700
14,28/06/2021,18400,17000,17000,18300,27000,15500
15,29/06/2021,18600,16500,16600,18000,23300,15300
16,30/06/2021,18100,17000,17300,18100,15925,15300
17,01/07/2021,18000,18000,18000,18000,1150,15300
18,02/07/2021,18500,18000,18000,18500,21998,15700
19,05/07/2021,18300,17900,18300,18200,13400,15400
20,06/07/2021,18500,18000,18000,18400,668010,15600
21,07/07/2021,18500,18000,18000,18500,24600,15700
22,08/07/2021,18500,17900,18500,18400,16008,15600
23,09/07/2021,18300,17800,17800,18100,899200,15300
24,12/07/2021,18500,17500,18000,18500,1233800,15700
25,13/07/2021,20300,18400,18500,20200,63700,17100
26,14/07/2021,20200,19200,20200,20200,6600,17100
27,15/07/2021,20300,20200,20200,20300,1509200,17200
28,16/07/2021,20500,19700,19900,20500,12200,17400
29,19/07/2021,20400,18600,19500,20400,34900,17300
30,20/07/2021,21000,19600,21000,20500,1129501,17400
31,21/07/2021,20500,20000,20400,20500,14900,17400
32,22/07/2021,20800,20000,20000,20800,41400,17600
33,23/07/2021,21700,20100,20100,21200,849047,18000
34,26/07/2021,21500,20700,21200,21500,723900,18200
35,27/07/2021,23500,21700,21700,22900,59970,19400
36,28/07/2021,24800,22800,22800,24700,19150,20900
37,29/07/2021,27100,23700,23700,27100,56700,23000
38,30/07/2021,29800,27300,29800,29800,922100,25300
39,02/08/2021,32300,29600,29800,29600,56306,25100
40,03/08/2021,31000,26700,29400,28500,32100,24200
41,04/08/2021,29700,28500,28500,29600,31398,25100
42,05/08/2021,32000,29700,29800,29700,60000,25200
43,06/08/2021,30900,29400,29600,30500,33426,25800
44,09/08/2021,32000,29600,30500,30500,100839,25800
45,10/08/2021,31000,30400,30500,31000,123200,26300
46,11/08/2021,31400,30600,31400,30900,14100,26200
47,12/08/2021,31000,30600,30900,30600,56551,25900
48,13/08/2021,30600,28700,28700,29500,75465,25000
49,16/08/2021,30600,29600,30500,30600,66700,25900
50,17/08/2021,30600,27600,30000,30600,18439,25900
51,18/08/2021,30200,29000,29000,30200,16519,25600
52,19/08/2021,30100,27200,27600,30100,15380,25500
53,20/08/2021,30900,30000,30000,30900,22720,26200
54,23/08/2021,30900,30400,30900,30700,30304,26000
55,24/08/2021,30700,30000,30700,30700,9952,26000
56,25/08/2021,30700,30000,30000,30500,8800,25800
57,26/08/2021,30500,30000,30500,30000,5100,25400
58,27/08/2021,32000,30000,30000,30800,48172,26100
59,30/08/2021,32000,30500,32000,30900,13828,26200
60,31/08/2021,33900,31000,31000,33900,152776,28700
61,01/09/2021,37200,33900,33900,36800,141100,31200
62,06/09/2021,37900,33300,36000,36400,1119620,30800
63,07/09/2021,36400,33500,35000,33900,1236288,28700
64,08/09/2021,33900,30600,33900,31300,1268500,26500
65,09/09/2021,34400,31800,31800,34400,805350,29200
66,10/09/2021,37700,35500,36000,37000,63130,31400
67,13/09/2021,36400,35700,36000,35800,49150,30300
68,14/09/2021,36500,34000,35500,36000,46545,30500
69,15/09/2021,37000,34100,37000,35600,473194,30200
70,16/09/2021,36000,33100,35600,34600,493655,29300
71,17/09/2021,36100,33500,33500,35900,531535,30400
72,20/09/2021,36500,35200,36500,35400,16805,30000
73,21/09/2021,36000,34300,35400,35900,1193678,30400
74,22/09/2021,36300,34600,34600,36300,1176950,30800
75,23/09/2021,37000,35100,37000,36400,20500,30800
76,24/09/2021,37000,35000,37000,36800,86000,31200
77,27/09/2021,36700,35300,35500,36700,66600,31100
78,28/09/2021,36800,35300,36700,36800,61500,31200
79,29/09/2021,37000,35400,36800,37000,84616,31400
