,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,7700,7300,7400,7700,1800,7700
1,18/06/2021,7600,7200,7200,7600,300,7600
2,21/06/2021,7800,7400,7600,7800,6600,7800
3,22/06/2021,8000,7200,7200,8000,1400,8000
4,23/06/2021,8200,7500,7700,8200,5200,8200
5,24/06/2021,9000,8500,8500,9000,155200,9000
6,25/06/2021,9900,8800,9900,9500,13900,9500
7,28/06/2021,9400,8600,8700,9400,5700,9400
8,29/06/2021,8500,8500,8500,8500,8000,8500
9,30/06/2021,8000,7700,8000,7700,19100,7700
10,01/07/2021,8000,7200,7200,7500,2000,7500
11,02/07/2021,7800,7300,7500,7500,5800,7500
12,05/07/2021,7800,7500,7500,7500,7300,7500
13,06/07/2021,7700,7300,7300,7500,5800,7500
14,07/07/2021,7500,7300,7300,7300,6800,7300
15,08/07/2021,7600,7300,7500,7300,2100,7300
16,09/07/2021,7600,7500,7500,7600,10100,7600
17,12/07/2021,7500,7300,7400,7300,5200,7300
18,13/07/2021,7300,7300,7300,7300,400,7300
19,14/07/2021,7500,7300,7500,7300,400,7300
20,15/07/2021,8000,7500,7500,8000,8300,8000
21,16/07/2021,8400,8400,8400,8400,300,8400
22,19/07/2021,8800,8800,8800,8800,200,8800
23,20/07/2021,8800,8800,8800,8800,-,8800
24,21/07/2021,8000,8000,8000,8000,600,8000
25,22/07/2021,8200,7300,8200,8200,6500,8200
26,23/07/2021,8100,7500,7500,8100,4200,8100
27,26/07/2021,8100,8100,8100,8100,-,8100
28,27/07/2021,8000,7500,7500,8000,2200,8000
29,28/07/2021,8100,7600,8100,7600,700,7600
30,29/07/2021,7900,7300,7900,7900,6200,7900
31,30/07/2021,7900,7200,7400,7900,10300,7900
32,02/08/2021,7900,7900,7900,7900,-,7900
33,03/08/2021,8100,7400,7500,7400,8100,7400
34,04/08/2021,7400,7300,7400,7300,1000,7300
35,05/08/2021,8000,7500,7500,8000,57000,8000
36,06/08/2021,8400,7600,8400,8200,34600,8200
37,09/08/2021,8000,7700,7700,8000,1300,8000
38,10/08/2021,7900,7300,7300,7500,23800,7500
39,11/08/2021,7800,7200,7800,7200,12300,7200
40,12/08/2021,7900,7300,7300,7500,44400,7500
41,13/08/2021,7600,7500,7500,7500,11600,7500
42,16/08/2021,7600,7300,7300,7400,4100,7400
43,17/08/2021,7400,7300,7300,7300,8400,7300
44,18/08/2021,7700,7400,7400,7500,25500,7500
45,19/08/2021,7400,7400,7400,7400,1400,7400
46,20/08/2021,7400,7200,7300,7300,12100,7300
47,23/08/2021,7500,7300,7400,7300,9300,7300
48,24/08/2021,7300,7200,7300,7200,9300,7200
49,25/08/2021,7300,7100,7300,7200,1800,7200
50,26/08/2021,7200,7000,7000,7000,1100,7000
51,27/08/2021,7300,7200,7200,7300,1400,7300
52,30/08/2021,7300,7200,7200,7300,200,7300
53,31/08/2021,7400,7300,7400,7300,2100,7300
54,01/09/2021,7300,7300,7300,7300,-,7300
55,06/09/2021,7500,7400,7400,7500,3810,7500
56,07/09/2021,7600,7400,7500,7400,7050,7400
57,08/09/2021,7400,7300,7400,7400,500,7400
58,09/09/2021,7500,7300,7300,7500,600,7500
59,10/09/2021,7500,7300,7300,7500,500,7500
60,13/09/2021,7600,7300,7300,7600,11400,7600
61,14/09/2021,8300,7500,7500,7800,21910,7800
62,15/09/2021,7900,7800,7800,7800,5900,7800
63,16/09/2021,7900,7800,7800,7800,2500,7800
