,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,7400,7400,7400,7400,-,7400
1,18/06/2021,8100,7800,7800,8100,11300,8100
2,21/06/2021,8100,8100,8100,8100,-,8100
3,22/06/2021,8100,8100,8100,8100,-,8100
4,23/06/2021,8100,8100,8100,8100,-,8100
5,24/06/2021,8100,8100,8100,8100,-,8100
6,25/06/2021,8900,8900,8900,8900,6010,8900
7,28/06/2021,8900,8900,8900,8900,-,8900
8,29/06/2021,8900,8900,8900,8900,-,8900
9,30/06/2021,8900,8900,8900,8900,-,8900
10,01/07/2021,8900,8900,8900,8900,-,8900
11,02/07/2021,9700,9700,9700,9700,4000,9700
12,05/07/2021,9700,9700,9700,9700,-,9700
13,06/07/2021,9700,9700,9700,9700,-,9700
14,07/07/2021,9700,9700,9700,9700,-,9700
15,08/07/2021,9700,9700,9700,9700,-,9700
16,09/07/2021,9700,9700,9700,9700,-,9700
17,12/07/2021,9700,9700,9700,9700,-,9700
18,13/07/2021,9700,9700,9700,9700,-,9700
19,14/07/2021,9700,9700,9700,9700,-,9700
20,15/07/2021,9700,9700,9700,9700,-,9700
21,16/07/2021,9700,9700,9700,9700,-,9700
22,19/07/2021,9700,9700,9700,9700,-,9700
23,20/07/2021,9700,9700,9700,9700,-,9700
24,21/07/2021,9700,9700,9700,9700,-,9700
25,22/07/2021,9700,9700,9700,9700,-,9700
26,23/07/2021,9700,9700,9700,9700,-,9700
27,26/07/2021,9700,9700,9700,9700,-,9700
28,27/07/2021,9700,9700,9700,9700,-,9700
29,28/07/2021,9700,9700,9700,9700,-,9700
30,29/07/2021,9700,9700,9700,9700,-,9700
31,30/07/2021,9700,9700,9700,9700,-,9700
32,02/08/2021,9700,9700,9700,9700,-,9700
33,03/08/2021,9700,9700,9700,9700,-,9700
34,04/08/2021,9700,9700,9700,9700,-,9700
35,05/08/2021,9700,9700,9700,9700,-,9700
36,06/08/2021,8800,8800,8800,8800,1000,8800
37,09/08/2021,8800,8800,8800,8800,-,8800
38,10/08/2021,8800,8800,8800,8800,-,8800
39,11/08/2021,8800,8800,8800,8800,-,8800
40,12/08/2021,8800,8800,8800,8800,-,8800
41,13/08/2021,8800,8000,8000,8800,500,8800
42,16/08/2021,8800,8800,8800,8800,-,8800
43,17/08/2021,8800,8800,8800,8800,-,8800
44,18/08/2021,8800,8800,8800,8800,-,8800
45,19/08/2021,8800,8800,8800,8800,-,8800
46,20/08/2021,8000,8000,8000,8000,8800,8000
47,23/08/2021,8000,8000,8000,8000,-,8000
48,24/08/2021,8000,8000,8000,8000,-,8000
49,25/08/2021,8000,8000,8000,8000,-,8000
50,26/08/2021,8000,8000,8000,8000,-,8000
51,27/08/2021,8000,8000,8000,8000,-,8000
52,30/08/2021,8000,8000,8000,8000,-,8000
53,31/08/2021,8000,8000,8000,8000,-,8000
54,01/09/2021,8000,8000,8000,8000,-,8000
55,06/09/2021,8000,8000,8000,8000,-,8000
56,07/09/2021,8000,8000,8000,8000,-,8000
57,08/09/2021,8000,8000,8000,8000,-,8000
58,09/09/2021,8000,8000,8000,8000,-,8000
59,10/09/2021,8800,8000,8000,8800,6720,8800
