,Date,High,Low,Open,Close,Volume,Adj Close
0,09/11/2022,35700,35700,35700,35700,100,32700
1,10/11/2022,35700,35700,35700,35700,-,32700
2,11/11/2022,35700,35700,35700,35700,-,32700
3,14/11/2022,35700,35700,35700,35700,-,32700
4,15/11/2022,33350,33350,33350,33350,100,30500
5,16/11/2022,33300,31050,31050,33000,2000,30200
6,17/11/2022,33000,33000,33000,33000,-,30200
7,18/11/2022,33000,33000,33000,33000,-,30200
8,21/11/2022,33000,33000,33000,33000,-,30200
9,22/11/2022,30700,30700,30700,30700,200,28100
10,23/11/2022,30650,30600,30650,30650,500,28100
11,24/11/2022,30600,30600,30600,30600,300,28000
12,25/11/2022,30600,30600,30600,30600,-,28000
13,28/11/2022,32600,32600,32600,32600,200,29800
14,29/11/2022,32600,32600,32600,32600,-,29800
15,30/11/2022,32650,32650,32650,32650,100,29900
16,01/12/2022,32700,32700,32700,32700,600,29900
17,02/12/2022,34000,30450,32650,34000,3700,31100
18,05/12/2022,34050,34050,34050,34050,100,31200
19,06/12/2022,36400,33950,36350,36350,800,33300
20,07/12/2022,36350,36350,36350,36350,-,33300
21,08/12/2022,37450,36350,36350,37450,400,34300
22,09/12/2022,37450,37450,37450,37450,-,34300
23,12/12/2022,37700,34850,37700,34850,200,31900
24,13/12/2022,34850,34850,34850,34850,-,31900
25,14/12/2022,37250,34000,34000,37250,400,34100
26,15/12/2022,37250,37250,37250,37250,-,34100
27,16/12/2022,37250,37250,37250,37250,-,34100
28,19/12/2022,37250,37250,37250,37250,-,34100
29,20/12/2022,37450,34700,37450,34700,7700,31800
30,21/12/2022,34700,34700,34700,34700,100,31800
31,22/12/2022,34700,34700,34700,34700,-,31800
32,23/12/2022,34700,34700,34700,34700,-,31800
33,26/12/2022,34700,34700,34700,34700,-,31800
34,27/12/2022,34700,34700,34700,34700,-,31800
35,28/12/2022,34700,34700,34700,34700,-,31800
36,29/12/2022,34700,34700,34700,34700,-,31800
37,30/12/2022,34700,34700,34700,34700,-,31800
38,03/01/2023,34700,34700,34700,34700,-,31800
39,04/01/2023,34700,34700,34700,34700,-,31800
40,05/01/2023,34700,34700,34700,34700,100,31800
41,06/01/2023,34700,34700,34700,34700,-,31800
42,09/01/2023,34700,34700,34700,34700,-,31800
43,10/01/2023,34700,34700,34700,34700,-,31800
44,11/01/2023,37000,34700,34700,36900,300,33800
45,12/01/2023,36900,36900,36900,36900,-,33800
46,13/01/2023,36900,36900,36900,36900,-,33800
47,16/01/2023,36900,36900,36900,36900,-,33800
48,17/01/2023,36900,36900,36900,36900,-,33800
49,18/01/2023,36900,36900,36900,36900,-,33800
50,19/01/2023,39400,36900,36900,37150,700,34000
51,27/01/2023,37150,37150,37150,37150,-,34000
52,30/01/2023,37150,37150,37150,37150,-,34000
53,31/01/2023,37150,37100,37100,37150,1000,34000
54,01/02/2023,37150,37150,37150,37150,-,34000
55,02/02/2023,37150,37150,37150,37150,-,34000
56,03/02/2023,34550,34550,34550,34550,1100,31600
57,06/02/2023,34550,34550,34550,34550,-,31600
58,07/02/2023,34550,34550,34550,34550,-,31600
59,08/02/2023,36900,35600,35600,36900,300,33800
60,09/02/2023,36750,34400,34400,36750,2100,33600
61,10/02/2023,36750,36750,36750,36750,-,33600
62,13/02/2023,36750,36750,36750,36750,-,33600
63,14/02/2023,36750,36750,36750,36750,-,33600
64,15/02/2023,36750,36750,36750,36750,-,33600
65,16/02/2023,36750,36750,36750,36750,-,33600
66,17/02/2023,36750,36750,36750,36750,-,33600
67,20/02/2023,36800,36700,36700,36800,200,33700
68,21/02/2023,36800,34300,34300,36800,1200,33700
69,22/02/2023,36800,36800,36800,36800,-,33700
70,23/02/2023,36300,36250,36250,36300,200,33200
71,24/02/2023,35950,35950,35950,35950,100,32900
72,27/02/2023,37150,33450,35950,33450,400,30600
73,28/02/2023,35750,33650,35750,35750,600,32700
74,01/03/2023,35750,35750,35750,35750,-,32700
75,02/03/2023,37000,37000,37000,37000,300,33900
76,03/03/2023,36950,34600,36900,34600,400,31700
77,06/03/2023,37000,33000,33050,37000,2100,33900
78,07/03/2023,36600,36600,36600,36600,100,33500
79,08/03/2023,36600,36550,36600,36550,500,33500
80,09/03/2023,36550,36550,36550,36550,-,33500
81,10/03/2023,36600,36550,36550,36600,1100,33500
82,13/03/2023,37500,36500,36500,37000,1800,33900
83,14/03/2023,33150,32600,33150,32600,1000,31500
84,15/03/2023,34800,34800,34800,34800,100,33700
85,16/03/2023,34800,33500,34800,33500,1200,32400
86,17/03/2023,33500,33500,33500,33500,-,32400
87,20/03/2023,33500,33500,33500,33500,-,32400
88,21/03/2023,33950,33950,33950,33950,100,32900
89,22/03/2023,33950,33950,33950,33950,-,32900
90,23/03/2023,33950,33950,33950,33950,-,32900
91,24/03/2023,33950,33950,33950,33950,200,32900
92,27/03/2023,32450,31650,31650,32100,1100,31100
93,28/03/2023,32150,32150,32150,32150,100,31100
94,29/03/2023,32200,32050,32050,32200,800,31200
95,30/03/2023,33000,33000,33000,33000,100,31900
96,31/03/2023,33050,32950,33050,32950,300,31900
97,03/04/2023,32950,32950,32950,32950,-,31900
98,04/04/2023,33000,33000,33000,33000,100,31900
99,05/04/2023,33000,32450,33000,32450,900,31400
100,06/04/2023,32500,32450,32500,32450,600,31400
101,07/04/2023,32450,32450,32450,32450,-,31400
102,10/04/2023,32450,32450,32450,32450,-,31400
103,11/04/2023,32450,32450,32450,32450,-,31400
104,12/04/2023,33200,32200,32200,33200,600,32100
105,13/04/2023,33200,33200,33200,33200,300,32100
106,14/04/2023,33200,33200,33200,33200,-,32100
107,17/04/2023,33200,33200,33200,33200,400,32100
108,18/04/2023,33200,33200,33200,33200,2600,32100
109,19/04/2023,33200,33200,33200,33200,-,32100
110,20/04/2023,33200,33200,33200,33200,-,32100
111,21/04/2023,33200,33200,33200,33200,-,32100
112,24/04/2023,33100,33100,33100,33100,100,32000
113,25/04/2023,33100,33100,33100,33100,-,32000
114,26/04/2023,35350,31700,32200,35200,1200,34100
115,27/04/2023,35200,35200,35200,35200,-,34100
116,28/04/2023,35050,32750,35000,32750,700,31700
117,04/05/2023,32750,32750,32750,32750,900,31700
118,05/05/2023,32600,32600,32600,32600,100,31500
119,08/05/2023,33000,32000,32050,33000,600,31900
120,09/05/2023,33000,32950,32950,33000,200,31900
121,10/05/2023,33950,33000,33000,33950,1500,32900
122,11/05/2023,33950,33950,33950,33950,-,32900
123,12/05/2023,33950,33950,33950,33950,-,32900
124,15/05/2023,36300,31800,31800,32250,1800,31200
125,16/05/2023,32250,32250,32250,32250,-,31200
126,17/05/2023,32250,32250,32250,32250,-,31200
127,18/05/2023,32250,32250,32250,32250,-,31200
128,19/05/2023,32600,31600,31800,32600,600,31500
129,22/05/2023,32600,31700,32550,32600,42300,31500
130,23/05/2023,30350,30350,30350,30350,2200,29400
131,24/05/2023,32300,32150,32150,32300,400,31300
132,25/05/2023,31900,31900,31900,31900,100,30900
133,26/05/2023,31700,30100,30100,31700,600,30700
134,29/05/2023,31700,30150,31650,31700,2100,30700
135,30/05/2023,31700,31700,31700,31700,-,30700
136,31/05/2023,31500,31200,31500,31200,300,30200
137,01/06/2023,31200,31200,31200,31200,-,30200
138,02/06/2023,31200,31200,31200,31200,-,30200
139,05/06/2023,31400,31200,31200,31400,300,30400
140,06/06/2023,31400,31400,31400,31400,200,30400
141,07/06/2023,31400,31400,31400,31400,2300,30400
142,08/06/2023,31900,31400,31400,31900,300,30900
143,09/06/2023,31900,31900,31900,31900,-,30900
144,12/06/2023,31900,31900,31900,31900,-,30900
145,13/06/2023,31900,31900,31900,31900,-,30900
146,14/06/2023,31900,31900,31900,31900,200,30900
147,15/06/2023,31800,31000,31000,31800,600,30800
148,16/06/2023,31800,31800,31800,31800,-,30800
149,19/06/2023,31000,31000,31000,31000,1100,30000
150,20/06/2023,32200,30800,30800,32200,400,31200
151,21/06/2023,32200,32200,32200,32200,-,31200
152,22/06/2023,30200,30200,30200,30200,1100,29200
153,23/06/2023,31950,30300,30300,31950,200,30900
154,26/06/2023,31950,31950,31950,31950,300,30900
155,27/06/2023,31950,31950,31950,31950,-,30900
156,28/06/2023,31950,30300,31850,31950,900,30900
157,29/06/2023,31950,31950,31950,31950,-,30900
158,30/06/2023,31950,31950,31950,31950,-,30900
159,03/07/2023,32100,30450,30450,30550,600,29600
160,04/07/2023,31950,31950,31950,31950,100,30900
161,05/07/2023,31950,31950,31950,31950,-,30900
162,06/07/2023,31950,31900,31900,31950,300,30900
163,07/07/2023,31950,31950,31950,31950,200,30900
164,10/07/2023,31950,31950,31950,31950,100,30900
165,11/07/2023,31950,31950,31950,31950,-,30900
166,12/07/2023,31950,31500,31500,31950,500,30900
167,13/07/2023,32000,32000,32000,32000,100,31000
168,14/07/2023,32400,32000,32000,32400,1100,31400
169,17/07/2023,32850,32500,32500,32600,2900,31500
170,18/07/2023,30650,30550,30650,30550,600,29600
171,19/07/2023,32600,30900,32500,30900,500,29900
172,20/07/2023,31750,29900,30200,31750,500,31800
173,21/07/2023,31750,30200,30250,31750,400,31800
174,24/07/2023,31750,31750,31750,31750,-,31800
175,25/07/2023,31950,31750,31750,31950,1300,32000
176,26/07/2023,32000,32000,32000,32000,6800,32000
177,27/07/2023,32000,32000,32000,32000,100,32000
