,Date,High,Low,Open,Close,Volume,Adj Close
0,08/12/2022,32650,32600,32650,32600,200,30700
1,09/12/2022,34850,30650,30650,34750,800,32700
2,12/12/2022,36800,32400,32400,36800,200,34700
3,13/12/2022,34250,34250,34250,34250,300,32300
4,14/12/2022,36450,31900,32000,36400,600,34300
5,15/12/2022,38750,33950,33950,38500,1700,36300
6,16/12/2022,38500,38500,38500,38500,-,36300
7,19/12/2022,39900,39900,39900,39900,100,37600
8,20/12/2022,39900,39900,39900,39900,-,37600
9,21/12/2022,39900,39900,39900,39900,-,37600
10,22/12/2022,39900,39900,39900,39900,-,37600
11,23/12/2022,37150,37150,37150,37150,300,35000
12,26/12/2022,39750,34550,34550,39650,400,37400
13,27/12/2022,39650,39650,39650,39650,-,37400
14,28/12/2022,39650,39650,39650,39650,-,37400
15,29/12/2022,39650,39650,39650,39650,-,37400
16,30/12/2022,39650,39650,39650,39650,-,37400
17,03/01/2023,39650,39650,39650,39650,-,37400
18,04/01/2023,36900,36900,36900,36900,100,34800
19,05/01/2023,34350,34350,34350,34350,500,32400
20,06/01/2023,35800,32100,35800,32100,300,30300
21,09/01/2023,30150,30150,30150,30150,100,28400
22,10/01/2023,30550,28150,28150,30550,300,28800
23,11/01/2023,30100,30100,30100,30100,400,28400
24,12/01/2023,32150,29050,29050,32150,300,30300
25,13/01/2023,33900,33900,33900,33900,100,31900
26,16/01/2023,33900,33900,33900,33900,-,31900
27,17/01/2023,34400,31650,31650,34400,300,32400
28,18/01/2023,33950,33500,33500,33950,400,32000
29,19/01/2023,35950,31750,35950,31750,200,29900
30,27/01/2023,33850,33850,33850,33850,200,31900
31,30/01/2023,31700,31700,31700,31700,100,29900
32,31/01/2023,33900,31700,31700,33900,2500,31900
33,01/02/2023,35750,31700,31900,35750,400,33700
34,02/02/2023,35650,33250,33250,35650,900,33600
35,03/02/2023,35650,35650,35650,35650,-,33600
36,06/02/2023,36950,33200,36950,33200,1900,31300
37,07/02/2023,33200,31300,33200,31300,200,29500
38,08/02/2023,30050,30050,30050,30050,100,28300
39,09/02/2023,30050,30050,30050,30050,-,28300
40,10/02/2023,32150,28300,28300,30250,1300,28500
41,13/02/2023,32150,32150,32150,32150,100,30300
42,14/02/2023,34400,32500,32500,34400,200,32400
43,15/02/2023,36650,32000,32000,36650,300,34500
44,16/02/2023,37850,34100,34100,37600,1800,35400
45,17/02/2023,35000,35000,35000,35000,100,33000
46,20/02/2023,35000,35000,35000,35000,-,33000
47,21/02/2023,35000,35000,35000,35000,200,33000
48,22/02/2023,35000,35000,35000,35000,-,33000
49,23/02/2023,35000,35000,35000,35000,-,33000
50,24/02/2023,35000,35000,35000,35000,-,33000
51,27/02/2023,35000,35000,35000,35000,-,33000
52,28/02/2023,35000,35000,35000,35000,-,33000
53,01/03/2023,35000,35000,35000,35000,-,33000
54,02/03/2023,35000,35000,35000,35000,-,33000
55,03/03/2023,35000,35000,35000,35000,-,33000
56,06/03/2023,32550,32550,32550,32550,100,30700
57,07/03/2023,32550,32550,32550,32550,-,30700
58,08/03/2023,32500,32500,32500,32500,100,30600
59,09/03/2023,32500,32500,32500,32500,-,30600
60,10/03/2023,32500,32500,32500,32500,-,30600
61,13/03/2023,32500,32500,32500,32500,-,30600
62,14/03/2023,30400,30400,30400,30400,100,28700
63,15/03/2023,30350,30350,30350,30350,100,28600
64,16/03/2023,30350,30350,30350,30350,-,28600
65,17/03/2023,30300,30300,30300,30300,100,28600
66,20/03/2023,30300,30300,30300,30300,-,28600
67,21/03/2023,30300,30300,30300,30300,-,28600
68,22/03/2023,28450,28450,28450,28450,100,26800
69,23/03/2023,30400,30400,30400,30400,200,28700
70,24/03/2023,30400,30400,30400,30400,-,28700
71,27/03/2023,29050,29050,29050,29050,100,27400
72,28/03/2023,29050,29050,29050,29050,-,27400
73,29/03/2023,28050,28050,28050,28050,100,26400
74,30/03/2023,28050,28050,28050,28050,-,26400
75,31/03/2023,28050,28050,28050,28050,-,26400
76,03/04/2023,28050,28050,28050,28050,-,26400
77,04/04/2023,28050,28050,28050,28050,-,26400
78,05/04/2023,30000,28100,30000,30000,800,28300
79,06/04/2023,30000,30000,30000,30000,-,28300
80,07/04/2023,28050,28050,28050,28050,100,26400
81,10/04/2023,28050,28050,28050,28050,-,26400
82,11/04/2023,30000,30000,30000,30000,1400,28300
83,12/04/2023,31850,31850,31850,31850,100,30000
84,13/04/2023,33950,33950,33950,33950,100,32000
85,14/04/2023,35950,34000,35950,34950,800,32900
86,17/04/2023,35850,32550,35850,32550,300,30700
87,18/04/2023,32950,30400,30400,30600,1300,28800
88,19/04/2023,32550,32550,32550,32550,100,30700
89,20/04/2023,34750,30350,34750,33950,300,32000
90,21/04/2023,35850,31700,35850,32450,1500,30600
91,24/04/2023,32950,32500,32950,32500,200,30600
92,25/04/2023,32500,32500,32500,32500,-,30600
93,26/04/2023,31850,30300,30300,31850,300,30000
94,27/04/2023,32950,32950,32950,32950,100,31100
95,28/04/2023,32950,32950,32950,32950,-,31100
96,04/05/2023,30700,30700,30700,30700,100,28900
97,05/05/2023,32350,28700,28700,32350,200,30500
98,08/05/2023,32350,32350,32350,32350,-,30500
99,09/05/2023,34550,34550,34550,34550,100,32600
100,10/05/2023,34550,34550,34550,34550,-,32600
101,11/05/2023,34550,34550,34550,34550,-,32600
102,12/05/2023,34550,34550,34550,34550,-,32600
103,15/05/2023,34550,34550,34550,34550,-,32600
104,16/05/2023,34550,34550,34550,34550,-,32600
105,17/05/2023,34550,34550,34550,34550,-,32600
106,18/05/2023,34550,34550,34550,34550,-,32600
107,19/05/2023,34550,34550,34550,34550,-,32600
108,22/05/2023,34550,34550,34550,34550,-,32600
109,23/05/2023,32150,32150,32150,32150,300,30300
110,24/05/2023,34150,29900,34150,30100,2400,28400
111,25/05/2023,30100,30100,30100,30100,-,28400
112,26/05/2023,30100,30100,30100,30100,100,28400
113,29/05/2023,29150,29150,29150,29150,100,27500
114,30/05/2023,31100,29050,31100,29050,600,27400
115,31/05/2023,30600,30600,30600,30600,200,28800
116,01/06/2023,30200,29250,30200,29250,400,27600
117,02/06/2023,29150,29150,29150,29150,100,27500
118,05/06/2023,30200,30000,30000,30200,500,28500
119,06/06/2023,30200,30150,30150,30200,200,28500
120,07/06/2023,30000,30000,30000,30000,1000,28300
121,08/06/2023,30000,30000,30000,30000,100,28300
122,09/06/2023,32000,30000,32000,30000,1600,28300
123,12/06/2023,30000,30000,30000,30000,-,28300
124,13/06/2023,30000,30000,30000,30000,2100,28300
125,14/06/2023,30000,30000,30000,30000,400,28300
126,15/06/2023,30000,30000,30000,30000,-,28300
127,16/06/2023,31500,31500,31500,31500,200,29700
128,19/06/2023,30500,30000,30000,30500,200,28700
129,20/06/2023,32600,32450,32600,32450,1400,30600
130,21/06/2023,31000,31000,31000,31000,1500,29200
131,22/06/2023,33000,33000,33000,33000,400,31100
132,23/06/2023,31200,30700,31200,30700,300,28900
133,26/06/2023,30700,30700,30700,30700,100,28900
134,27/06/2023,30700,30700,30700,30700,-,28900
135,28/06/2023,30800,30700,30800,30700,2700,28900
136,29/06/2023,30500,30500,30500,30500,900,28700
137,30/06/2023,30700,30700,30700,30700,700,28900
138,03/07/2023,30700,30700,30700,30700,-,28900
139,04/07/2023,32500,32500,32500,32500,100,30600
140,05/07/2023,32500,32500,32500,32500,-,30600
141,06/07/2023,32500,30700,32500,30800,1800,29000
142,07/07/2023,32900,30800,30800,32900,1000,31000
143,10/07/2023,34900,32700,32900,34900,2300,32900
144,11/07/2023,34750,32500,34750,34700,2300,32700
145,12/07/2023,33000,33000,33000,33000,100,31100
146,13/07/2023,33000,33000,33000,33000,100,31100
147,14/07/2023,33000,33000,33000,33000,200,31100
148,17/07/2023,34900,33000,33000,34900,900,32900
149,18/07/2023,34900,34000,34900,34000,1100,32000
150,19/07/2023,34750,34000,34000,34750,200,32700
151,20/07/2023,32750,32750,34750,32750,-,32800
152,21/07/2023,32750,32750,32750,32750,-,32800
153,24/07/2023,33900,32600,32750,33900,1100,33900
154,25/07/2023,32100,32100,32100,32100,500,32100
155,26/07/2023,32100,32100,32100,32100,-,32100
156,27/07/2023,32100,32100,32100,32100,-,32100
157,28/07/2023,32100,32100,32100,32100,-,32100
158,31/07/2023,32100,32100,32100,32100,-,32100
159,01/08/2023,32100,32100,32100,32100,-,32100
160,02/08/2023,32100,32100,32100,32100,-,32100
161,03/08/2023,30150,30150,30150,30150,200,30200
162,04/08/2023,30150,30150,30150,30150,-,30200
163,07/08/2023,31000,31000,31000,31000,100,31000
164,08/08/2023,32200,31000,31000,32200,5000,32200
165,09/08/2023,32200,31100,32100,31100,1500,31100
166,10/08/2023,32000,32000,32000,32000,3700,32000
167,11/08/2023,32000,32000,32000,32000,100,32000
168,14/08/2023,32000,32000,32000,32000,1000,32000
169,15/08/2023,32000,32000,32000,32000,-,32000
170,16/08/2023,32000,32000,32000,32000,-,32000
171,17/08/2023,32000,32000,32000,32000,100,32000
172,18/08/2023,32000,32000,32000,32000,-,32000
173,21/08/2023,32000,32000,32000,32000,-,32000
174,22/08/2023,32000,32000,32000,32000,-,32000
175,23/08/2023,32000,32000,32000,32000,-,32000
176,24/08/2023,31200,31200,31200,31200,1900,31200
177,25/08/2023,31200,31200,31200,31200,-,31200
178,28/08/2023,31200,31200,31200,31200,1100,31200
179,29/08/2023,31200,31200,31200,31200,-,31200
180,30/08/2023,31200,31200,31200,31200,100,31200
181,31/08/2023,31200,31200,31200,31200,-,31200
182,05/09/2023,31200,31200,31200,31200,-,31200
183,06/09/2023,32000,32000,32000,32000,100,32000
184,07/09/2023,32000,32000,32000,32000,600,32000
185,08/09/2023,32000,32000,32000,32000,-,32000
