,Date,High,Low,Open,Close,Volume,Adj Close
0,09/06/2021,16150,15500,15600,16000,2980600,15100
1,10/06/2021,16000,15600,16000,15700,1856700,14800
2,11/06/2021,16500,15550,15600,15900,2096300,15000
3,14/06/2021,16800,15900,16150,16600,2997800,15700
4,15/06/2021,16800,16300,16800,16450,976500,15500
5,16/06/2021,17300,16250,16250,17150,5027200,16200
6,17/06/2021,17450,16700,16900,17150,2000300,16200
7,18/06/2021,17300,17100,17300,17150,1916000,16200
8,21/06/2021,17250,16750,17200,16900,2577100,16000
9,22/06/2021,17200,16800,16900,16900,2294600,16000
10,23/06/2021,16900,16400,16900,16400,2449700,15500
11,24/06/2021,16900,16400,16400,16600,2949000,15700
12,25/06/2021,16900,16600,16900,16850,1355300,15900
13,28/06/2021,18000,16950,17000,18000,6031700,17000
14,29/06/2021,18250,17650,18100,17750,3297200,16800
15,30/06/2021,17750,17550,17600,17650,1537700,16700
16,01/07/2021,18500,17650,17650,18400,3607600,17400
17,02/07/2021,18500,18000,18500,18100,2022900,17100
18,05/07/2021,18700,17900,18100,18200,2984500,17200
19,06/07/2021,18500,16950,18200,16950,4315800,16000
20,07/07/2021,17500,16350,17000,17300,2260100,16400
21,08/07/2021,17300,16950,17100,17150,1571900,16200
22,09/07/2021,17150,16100,17000,16400,2415500,15500
23,12/07/2021,16750,15300,16400,15400,3512300,14600
24,13/07/2021,16100,15400,15900,15850,1332400,15000
25,14/07/2021,16150,15500,16150,16000,1211100,15100
26,15/07/2021,16600,15900,15950,16550,1606000,15600
27,16/07/2021,16750,16400,16700,16400,1833000,15500
28,19/07/2021,15750,15000,15000,15200,1448500,15200
29,20/07/2021,16000,15100,15250,16000,1846600,16000
30,21/07/2021,16250,15900,16000,16150,1792500,16200
31,22/07/2021,16600,16000,16000,16600,1619800,16600
32,23/07/2021,16750,16150,16600,16550,1592800,16600
33,26/07/2021,17200,16250,16250,17100,1837500,17100
34,27/07/2021,17450,16900,17150,17000,1688700,17000
35,28/07/2021,17100,16700,17000,16800,1408600,16800
36,29/07/2021,17100,16700,16800,16950,1031600,17000
37,30/07/2021,17700,17050,17100,17200,2799400,17200
38,02/08/2021,17400,16850,17000,17400,2167700,17400
39,03/08/2021,18600,17500,17700,18600,8515200,18600
40,04/08/2021,19300,18600,19300,18750,2878800,18800
41,05/08/2021,18900,18300,18300,18800,2025400,18800
42,06/08/2021,19300,18650,18800,18800,4273000,18800
43,09/08/2021,19300,18600,18650,19000,2837100,19000
44,10/08/2021,19400,18500,19200,19200,7416200,19200
45,11/08/2021,19500,18700,19250,18700,6884500,18700
46,12/08/2021,19500,18550,18650,19000,5117200,19000
47,13/08/2021,20300,18800,18900,20250,5713100,20300
48,16/08/2021,21000,19800,20650,20200,4212500,20200
49,17/08/2021,20200,19650,20000,20000,3881900,20000
50,18/08/2021,20500,19750,19800,20150,3180100,20200
51,19/08/2021,21200,20000,20300,20900,2961300,20900
52,20/08/2021,22000,19800,21000,21400,8442200,21400
53,23/08/2021,21500,20600,21000,20700,2769800,20700
54,24/08/2021,21050,20150,20750,20700,4690100,20700
55,25/08/2021,21800,20600,20700,21650,3149900,21700
