,Date,High,Low,Open,Close,Volume,Adj Close
0,23/06/2021,6990,6710,6990,6710,10600,6000
1,24/06/2021,6810,6640,6800,6700,16200,6000
2,25/06/2021,6700,6630,6630,6700,3900,6000
3,28/06/2021,6780,6650,6700,6700,28900,6000
4,29/06/2021,6720,6680,6700,6680,8500,5900
5,30/06/2021,6890,6680,6700,6810,51000,6000
6,01/07/2021,7000,6810,6820,6960,66600,6200
7,02/07/2021,6960,6820,6960,6900,33700,6100
8,05/07/2021,6880,6720,6840,6800,19300,6000
9,06/07/2021,6790,6500,6500,6790,10800,6000
10,07/07/2021,6720,6410,6500,6710,22700,6000
11,08/07/2021,6720,6600,6700,6720,7800,6000
12,09/07/2021,6710,6500,6710,6690,18500,5900
13,12/07/2021,6600,6240,6600,6440,32000,5700
14,13/07/2021,6660,6000,6660,6380,71700,5700
15,14/07/2021,6310,6100,6310,6150,20700,5500
16,15/07/2021,6190,6020,6150,6190,18500,5500
17,16/07/2021,6620,6000,6100,6360,8000,5600
18,19/07/2021,6280,5950,6100,6280,10600,5600
19,20/07/2021,6250,6000,6010,6250,8200,5600
20,21/07/2021,6240,6060,6060,6230,9900,5500
21,22/07/2021,6300,6160,6200,6300,8800,5600
22,23/07/2021,6300,6150,6300,6280,6000,5600
23,26/07/2021,6200,6110,6130,6170,8200,5500
24,27/07/2021,6340,6170,6300,6170,9900,5500
25,28/07/2021,6170,6120,6120,6160,14100,5500
26,29/07/2021,6200,6090,6090,6200,4700,5500
27,30/07/2021,6200,5910,5910,6200,17200,5500
28,02/08/2021,6600,6190,6200,6400,21700,5700
29,03/08/2021,6550,6310,6400,6450,7500,5700
30,04/08/2021,6490,6200,6490,6450,65200,5700
31,05/08/2021,6450,6400,6450,6400,4200,5700
32,06/08/2021,6390,6300,6390,6380,5700,5700
33,09/08/2021,6440,6300,6310,6410,15400,5700
34,10/08/2021,6400,6300,6400,6350,26500,5600
35,11/08/2021,6540,6400,6400,6490,32500,5800
36,12/08/2021,6800,6400,6410,6680,50600,5900
37,13/08/2021,6970,6500,6970,6710,32900,6000
38,16/08/2021,6820,6700,6720,6810,46500,6000
39,17/08/2021,6900,6760,6810,6760,59700,6000
40,18/08/2021,6800,6590,6590,6760,26100,6000
41,19/08/2021,6700,6660,6680,6700,18300,6000
42,20/08/2021,6720,6510,6700,6550,74500,5800
43,23/08/2021,6600,6450,6550,6450,16300,5700
44,24/08/2021,6860,6460,6790,6680,30500,5900
45,25/08/2021,6790,6520,6790,6670,18300,5900
