,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,194500,194400,194500,194400,200,180000
1,18/06/2021,194400,194200,194400,194200,200,179900
2,21/06/2021,194800,194100,194100,194800,1680100,180400
3,22/06/2021,195500,194600,194600,195500,840200,181100
4,23/06/2021,195500,195400,195500,195500,300,181100
5,24/06/2021,195400,195300,195400,195300,200,180900
6,25/06/2021,195200,195200,195200,195200,200,180800
7,28/06/2021,195200,195100,195200,195100,200,180700
8,29/06/2021,195100,195000,195100,195000,200,180600
9,30/06/2021,195500,195000,195500,195000,200,180600
10,01/07/2021,195000,194900,195000,194900,200,180500
11,02/07/2021,194900,194800,194900,194800,300,180400
12,05/07/2021,195500,194700,194800,195500,300,181100
13,06/07/2021,195500,195400,195500,195400,200,181000
14,07/07/2021,195400,195100,195400,195200,1300,180800
15,08/07/2021,195100,195100,195100,195100,100,180700
16,09/07/2021,195100,195100,195100,195100,100,180700
17,12/07/2021,195100,194900,195100,194900,400,180500
18,13/07/2021,194900,194700,194900,194700,300,180300
19,14/07/2021,194600,194600,194600,194600,291100,180200
20,15/07/2021,194600,194500,194500,194600,206500,180200
21,16/07/2021,194600,194500,194600,194500,1100,180100
22,19/07/2021,194400,194300,194400,194300,500,180000
23,20/07/2021,194200,194200,194200,194200,200,179900
24,21/07/2021,194100,194000,194100,194000,300,179700
25,22/07/2021,193900,193900,193900,193900,100,179600
26,23/07/2021,193800,193700,193800,193700,200,179400
27,26/07/2021,195200,193500,193600,195200,700,180800
28,27/07/2021,195100,195100,195100,195100,200,180700
29,28/07/2021,195000,194900,195000,194900,300,180500
30,29/07/2021,195300,194800,195300,194800,300,180400
31,30/07/2021,194800,194700,194800,194700,200,180300
32,02/08/2021,194500,194500,194500,194500,300,180100
33,03/08/2021,194400,194300,194400,194300,200,180000
34,04/08/2021,194300,194200,194300,194200,200,179900
35,05/08/2021,194000,194000,194000,194000,200,179700
36,06/08/2021,194000,193800,194000,193800,300,179500
37,09/08/2021,193600,193600,193600,193600,200,179300
38,10/08/2021,195600,193500,193600,195600,300,181200
39,11/08/2021,195500,195400,195500,195400,200,181000
40,12/08/2021,195400,195200,195400,195400,300,181000
41,13/08/2021,195300,195200,195300,195200,511200,180800
42,16/08/2021,195200,195100,195200,195100,300,180700
43,17/08/2021,195100,195000,195100,195000,200,180600
44,18/08/2021,195000,194900,195000,194900,200,180500
45,19/08/2021,194900,194800,194900,194800,200,180400
46,20/08/2021,194800,194600,194800,194600,200,180200
47,23/08/2021,194500,194400,194500,194400,200,180000
48,24/08/2021,194300,194200,194300,194200,300,179900
