,Date,High,Low,Open,Close,Volume,Adj Close
0,14/06/2021,34600,34000,34500,34100,4570000,27300
1,15/06/2021,35600,34000,34100,34750,5603100,27800
2,16/06/2021,34750,33100,34200,33800,3846900,27100
3,17/06/2021,33850,32700,32700,33600,4396000,26900
4,18/06/2021,34550,33800,34100,34250,3838700,27400
5,21/06/2021,34050,33500,33950,33650,2916200,26900
6,22/06/2021,34600,33600,33800,34350,4849100,27500
7,23/06/2021,34700,34250,34700,34250,3058700,27400
8,24/06/2021,34750,34050,34250,34250,2880700,27400
9,25/06/2021,35300,34250,34450,35300,4996600,28300
10,28/06/2021,36100,35700,35950,36000,9548200,28800
11,29/06/2021,36200,35500,35850,35900,4712300,28700
12,30/06/2021,36000,35500,35900,35500,3412100,28400
13,01/07/2021,36450,35300,35300,36450,7146400,29200
14,02/07/2021,37300,36500,36500,37200,4656100,29800
15,05/07/2021,37800,36500,37800,37400,5016800,29900
16,06/07/2021,37900,34800,37600,35000,5052000,28000
17,07/07/2021,36500,34600,35500,36500,6200500,29200
18,08/07/2021,36700,35800,36400,35950,3761000,28800
19,09/07/2021,36100,34900,35200,35000,3486500,28000
20,12/07/2021,35200,32550,34800,33800,6482700,27100
21,13/07/2021,34200,32800,34100,33950,2913100,27200
22,14/07/2021,34000,32100,33950,32650,2836700,26100
23,15/07/2021,33550,32300,32300,33200,2865600,26600
24,16/07/2021,33800,33150,33800,33450,2882400,26800
25,19/07/2021,32850,31200,32850,31900,3417800,25500
26,20/07/2021,33500,31300,31900,33400,2367200,26700
27,21/07/2021,33500,32050,33300,32200,2639416,25800
28,22/07/2021,32600,32000,32000,32400,2413500,25900
29,23/07/2021,33200,32250,32300,32350,4678800,25900
30,26/07/2021,32600,31700,32350,32500,1469100,26000
31,27/07/2021,32900,32200,32600,32500,3511000,26000
32,28/07/2021,33000,32550,32800,32900,3266600,26300
33,29/07/2021,33450,33000,33300,33400,2044800,26700
34,30/07/2021,33900,33300,33500,33700,3336400,27000
35,02/08/2021,34450,33400,33700,34200,3844500,27400
36,03/08/2021,34900,34050,34200,34900,3680900,27900
37,04/08/2021,35300,34800,35000,35050,3243000,28100
38,05/08/2021,35550,34600,34750,35500,3369900,28400
39,06/08/2021,35600,34850,35500,35000,2688800,28000
40,09/08/2021,35500,34600,34900,35500,2588600,28400
41,10/08/2021,36000,35250,35900,35550,3089700,28500
42,11/08/2021,35850,35400,35600,35450,2101700,28400
43,12/08/2021,35500,35000,35300,35050,2057200,28100
44,13/08/2021,35350,34250,35000,34750,2766100,27800
45,16/08/2021,35750,34600,34750,35750,3287100,28600
46,17/08/2021,36500,35500,35950,35750,2284000,28600
47,18/08/2021,35950,35500,35750,35600,1655200,28500
48,19/08/2021,36000,35150,35600,36000,2429400,28800
49,20/08/2021,35700,34000,35100,34500,3131500,27600
50,23/08/2021,34300,33400,34300,33600,2670700,26900
51,24/08/2021,34150,33250,33600,33700,2542400,27000
52,25/08/2021,34000,33650,34000,33800,3519700,27100
53,26/08/2021,27900,26850,27250,26850,2801300,26900
54,27/08/2021,26800,25700,26700,26500,2571400,26500
55,30/08/2021,26750,26450,26600,26700,2303422,26700
56,31/08/2021,26750,25950,26700,25950,1949100,26000
57,01/09/2021,26300,25600,25900,25650,3120000,25700
58,06/09/2021,26600,25650,25700,26350,4075800,26400
59,07/09/2021,26700,26350,26600,26700,1952300,26700
60,08/09/2021,27000,26600,27000,26750,2319700,26800
61,09/09/2021,26750,26100,26600,26400,1965900,26400
62,10/09/2021,26400,25900,26300,25900,2605000,25900
63,13/09/2021,25950,25200,25950,25200,3080800,25200
64,14/09/2021,25450,24800,25100,24800,2116200,24800
65,15/09/2021,25000,24700,24800,24750,1936900,24800
66,16/09/2021,25200,24800,25000,25100,1698800,25100
67,17/09/2021,25450,25200,25200,25450,3111500,25500
68,20/09/2021,26000,25700,25800,25700,1862600,25700
69,21/09/2021,25650,25300,25650,25550,1870000,25600
70,22/09/2021,25550,25100,25550,25450,1509200,25500
71,23/09/2021,25650,25200,25500,25400,1697000,25400
72,24/09/2021,25650,25300,25450,25500,1608800,25500
73,27/09/2021,25950,25500,25600,25500,2164500,25500
74,28/09/2021,25600,25250,25500,25450,3032800,25500
75,29/09/2021,25650,25200,25500,25400,2055500,25400
76,30/09/2021,25500,25200,25250,25400,2452100,25400
77,01/10/2021,25450,24800,25350,24850,2925550,24900
78,04/10/2021,24900,24050,24700,24100,2358700,24100
79,05/10/2021,24600,24000,24150,24500,1150700,24500
80,06/10/2021,24750,24200,24700,24250,1221300,24300
81,07/10/2021,24400,24050,24400,24100,1458700,24100
82,08/10/2021,24350,24050,24200,24350,1393200,24400
83,11/10/2021,25700,24500,24500,25650,3705000,25700
84,12/10/2021,25750,25350,25650,25550,2506400,25600
85,13/10/2021,26100,25550,25700,25700,2856800,25700
86,14/10/2021,26100,25400,25600,25950,2589000,26000
87,15/10/2021,26000,25600,25950,25650,2792100,25700
88,18/10/2021,25850,25550,25700,25700,3820900,25700
89,19/10/2021,25850,25300,25800,25450,2729900,25500
90,20/10/2021,25700,25050,25400,25050,2493600,25100
91,21/10/2021,25300,24600,25100,24600,2785600,24600
92,22/10/2021,25100,24550,25000,24550,2476900,24600
93,25/10/2021,24900,24450,24900,24500,2215300,24500
94,26/10/2021,24700,24300,24550,24700,2018200,24700
95,27/10/2021,25500,24600,24700,25200,3190200,25200
96,28/10/2021,25600,25250,25400,25550,9976190,25600
97,29/10/2021,25550,25250,25550,25250,2942400,25300
98,01/11/2021,25500,25250,25450,25300,3126200,25300
99,02/11/2021,25600,25300,25300,25600,5427500,25600
100,03/11/2021,27350,25600,25650,27200,13981900,27200
101,04/11/2021,27400,26950,27350,27050,5519100,27100
102,05/11/2021,27100,26500,27050,26700,3229100,26700
103,08/11/2021,27200,26450,26800,27000,5302700,27000
104,09/11/2021,27900,27200,27200,27700,7774000,27700
105,10/11/2021,28300,27750,27800,28000,4861000,28000
106,11/11/2021,28100,27200,28000,27700,5559400,27700
107,12/11/2021,28150,27450,27700,28000,4342900,28000
108,15/11/2021,29450,28200,28400,28850,9087600,28900
