,Date,High,Low,Open,Close,Volume,Adj Close
0,14/06/2021,4540,4450,4540,4480,923100,4500
1,15/06/2021,4500,4400,4500,4420,719800,4400
2,16/06/2021,4550,4350,4400,4480,957400,4500
3,17/06/2021,4550,4430,4460,4520,771300,4500
4,18/06/2021,4660,4500,4520,4590,1208000,4600
5,21/06/2021,4600,4510,4600,4530,548400,4500
6,22/06/2021,4550,4500,4520,4530,567300,4500
7,23/06/2021,4550,4450,4510,4460,639600,4500
8,24/06/2021,4480,4390,4410,4400,776800,4400
9,25/06/2021,4470,4360,4400,4380,501700,4400
10,28/06/2021,4500,4360,4380,4410,814100,4400
11,29/06/2021,4450,4360,4390,4380,523100,4400
12,30/06/2021,4370,4230,4350,4240,1617200,4200
13,01/07/2021,4200,3950,4120,4020,3228000,4000
14,02/07/2021,4200,3860,4000,4200,2220200,4200
15,05/07/2021,4100,3940,4050,3940,600300,3900
16,06/07/2021,3940,3670,3700,3670,1193800,3700
17,07/07/2021,3670,3420,3670,3420,1711300,3400
18,08/07/2021,3650,3300,3420,3650,458000,3700
19,09/07/2021,3900,3680,3700,3700,744800,3700
20,12/07/2021,3550,3450,3500,3450,594600,3500
21,13/07/2021,3600,3410,3450,3500,380100,3500
22,14/07/2021,3700,3500,3640,3560,528700,3600
23,15/07/2021,3680,3560,3680,3600,395400,3600
24,16/07/2021,3640,3500,3590,3520,489200,3500
25,19/07/2021,3760,3350,3430,3760,2048200,3800
26,20/07/2021,4020,3880,3950,4020,1766500,4000
27,21/07/2021,4300,4050,4300,4140,2768400,4100
28,22/07/2021,4100,3880,3930,4060,1228400,4100
29,23/07/2021,4000,3830,4000,3880,1163200,3900
30,26/07/2021,3860,3650,3700,3730,1011200,3700
31,27/07/2021,3960,3750,3750,3860,952600,3900
32,28/07/2021,3900,3780,3890,3890,376600,3900
33,29/07/2021,3870,3820,3870,3840,386200,3800
34,30/07/2021,4100,3790,3830,4100,1909300,4100
35,02/08/2021,4360,4120,4190,4120,2233300,4100
36,03/08/2021,4250,4100,4150,4170,886100,4200
37,04/08/2021,4200,4050,4170,4140,972200,4100
38,05/08/2021,4290,4060,4130,4200,1109100,4200
39,06/08/2021,4270,4100,4200,4110,1061900,4100
40,09/08/2021,4350,4110,4180,4280,2266300,4300
41,10/08/2021,4360,4190,4280,4200,772400,4200
42,11/08/2021,4270,4160,4200,4220,1076900,4200
43,12/08/2021,4260,4170,4220,4210,888100,4200
44,13/08/2021,4280,4150,4250,4200,766300,4200
45,16/08/2021,4220,4160,4200,4190,1299200,4200
46,17/08/2021,4480,4200,4200,4480,3977300,4500
47,18/08/2021,4790,4750,4790,4790,2227100,4800
48,19/08/2021,5120,5120,5120,5120,2300600,5100
49,20/08/2021,5470,5000,5470,5470,14871900,5500
50,23/08/2021,5630,5470,5600,5580,5811000,5600
51,24/08/2021,5490,5190,5490,5190,3245600,5200
52,25/08/2021,4830,4830,4830,4830,1266600,4800
53,26/08/2021,5150,4700,4700,5000,4932500,5000
54,27/08/2021,5290,4810,4810,5150,4044800,5200
55,30/08/2021,5510,5210,5220,5510,7763500,5500
56,31/08/2021,5800,5400,5700,5450,5610400,5500
57,01/09/2021,5350,5180,5230,5250,4789900,5300
58,06/09/2021,5550,5050,5200,5250,4544200,5300
59,07/09/2021,5290,4990,5260,5050,4515400,5100
60,08/09/2021,5400,4990,5050,5400,6725200,5400
61,09/09/2021,5770,5450,5770,5500,7811800,5500
62,10/09/2021,5700,5400,5460,5470,2824000,5500
63,13/09/2021,5690,5330,5440,5490,6127300,5500
64,14/09/2021,5680,5450,5450,5490,4557300,5500
65,15/09/2021,5870,5550,5690,5870,6808700,5900
66,16/09/2021,6280,6280,6280,6280,1534700,6300
67,17/09/2021,6710,6280,6710,6710,18045700,6700
68,20/09/2021,7170,6780,6830,7170,9677500,7200
69,21/09/2021,7670,7190,7300,7670,6319200,7700
70,22/09/2021,8200,7700,7880,8200,3362300,8200
71,23/09/2021,8770,7630,8770,7630,15707100,7600
72,24/09/2021,7630,7100,7300,7100,7783700,7100
73,27/09/2021,7100,6610,6610,6610,4717500,6600
74,28/09/2021,6900,6150,6150,6850,7646400,6900
75,29/09/2021,6850,6420,6850,6610,2324500,6600
76,30/09/2021,6850,6620,6620,6730,1726000,6700
77,01/10/2021,6680,6300,6610,6300,2965230,6300
78,04/10/2021,6570,6220,6350,6300,2638100,6300
79,05/10/2021,6740,6350,6380,6740,1592800,6700
80,06/10/2021,7160,6850,7100,6920,2812900,6900
81,07/10/2021,7100,6620,6910,6910,2738000,6900
82,08/10/2021,6990,6700,6910,6790,2089400,6800
83,11/10/2021,6770,6500,6750,6560,2062900,6600
84,12/10/2021,6700,6460,6700,6490,1832600,6500
85,13/10/2021,6750,6460,6500,6500,3878400,6500
86,14/10/2021,6750,6500,6520,6700,2628100,6700
87,15/10/2021,6850,6510,6850,6600,1730000,6600
88,18/10/2021,6740,6510,6720,6510,2075100,6500
89,19/10/2021,6720,6450,6520,6590,2927410,6600
90,20/10/2021,7050,6690,6740,7050,6267700,7100
91,21/10/2021,7460,7080,7460,7130,2592900,7100
92,22/10/2021,7130,6900,7050,6990,2564500,7000
93,25/10/2021,7350,6750,6900,7100,3789900,7100
94,26/10/2021,7290,7040,7250,7070,2158800,7100
95,27/10/2021,7450,7070,7150,7150,2704500,7200
96,28/10/2021,7340,7090,7200,7090,2330300,7100
97,29/10/2021,7400,7050,7100,7320,3558200,7300
98,01/11/2021,7780,7210,7220,7410,4643400,7400
99,02/11/2021,7550,7360,7400,7490,4276600,7500
100,03/11/2021,7650,6970,7510,7000,4459500,7000
101,04/11/2021,7120,6800,7000,7040,2416100,7000
102,05/11/2021,7200,7000,7140,7190,2273000,7200
103,08/11/2021,7370,7200,7220,7240,2090200,7200
104,09/11/2021,7380,7110,7380,7150,2739700,7200
105,10/11/2021,7650,7070,7150,7650,5465000,7700
106,11/11/2021,8150,7570,7900,7790,5231300,7800
107,12/11/2021,8190,7720,7750,8040,4705800,8000
108,15/11/2021,8550,7900,8050,8380,5843500,8400
109,16/11/2021,8300,7840,8220,7990,4294200,8000
110,17/11/2021,8300,7810,7810,8060,3345200,8100
111,18/11/2021,8620,8090,8200,8620,6603800,8600
112,19/11/2021,9220,8550,9220,9180,10493600,9200
113,22/11/2021,9490,8540,9410,8540,6202400,8500
114,23/11/2021,8500,7950,8110,8500,4183800,8500
115,24/11/2021,8900,8490,8500,8500,3195300,8500
116,25/11/2021,8580,8190,8400,8300,4933200,8300
117,26/11/2021,8690,8230,8250,8380,2885400,8400
118,29/11/2021,8960,8250,8300,8960,2049800,9000
119,30/11/2021,9580,9580,9580,9580,1807900,9600
120,01/12/2021,10250,9600,10250,9800,9137200,9800
121,02/12/2021,10300,9200,9590,9880,7744400,9900
122,03/12/2021,10350,9500,9700,9500,3247900,9500
123,06/12/2021,9690,8840,9500,8860,4117700,8900
124,07/12/2021,9300,8800,9000,9160,2882300,9200
125,08/12/2021,9300,9000,9170,9000,2248800,9000
126,09/12/2021,9210,8800,8800,9120,2367500,9100
127,10/12/2021,9120,8900,9120,8920,2220000,8900
128,13/12/2021,9290,8930,8930,9150,2844000,9200
129,14/12/2021,9220,9000,9160,9100,2755600,9100
130,15/12/2021,9130,8950,9020,9000,2434700,9000
131,16/12/2021,9460,8990,9000,9200,4175600,9200
132,17/12/2021,9450,9140,9350,9160,3464100,9200
133,20/12/2021,9280,8980,9150,8990,3379100,9000
134,21/12/2021,9610,8950,8970,9610,6579200,9600
135,22/12/2021,10250,10250,10250,10250,2399200,10300
136,23/12/2021,10300,9600,10250,9890,8213500,9900
137,24/12/2021,10200,9410,9800,9560,4369400,9600
138,27/12/2021,9900,9300,9560,9590,4903500,9600
139,28/12/2021,10250,9450,9510,10250,11696300,10300
140,29/12/2021,10800,9900,10500,10000,10867200,10000
141,30/12/2021,10450,10000,10200,10150,3395100,10200
142,31/12/2021,10400,10000,10100,10150,4669200,10200
143,04/01/2022,10800,10000,10150,10350,4562800,10400
144,05/01/2022,11050,10300,10500,11050,11788000,11100
145,06/01/2022,11800,11150,11250,11800,6945500,11800
146,07/01/2022,12600,12200,12600,12400,11981600,12400
147,10/01/2022,13250,12050,12100,12600,9698900,12600
148,11/01/2022,12650,11750,12500,11750,13078200,11800
149,12/01/2022,11500,10950,10950,10950,7177200,11000
150,13/01/2022,11400,10200,10450,10200,7585100,10200
151,14/01/2022,10650,9490,9490,9980,22963600,10000
152,17/01/2022,10300,9290,10300,9290,3476400,9300
153,18/01/2022,9200,8640,9200,8640,3922100,8600
154,19/01/2022,8900,8040,8350,8040,4008300,8000
155,20/01/2022,8600,7680,7900,8600,2626500,8600
156,21/01/2022,9160,8900,9000,9060,2714000,9100
157,24/01/2022,9000,8430,8900,8430,1854700,8400
158,25/01/2022,8700,8020,8100,8450,1437200,8500
159,26/01/2022,8650,7860,8300,7860,2226400,7900
160,27/01/2022,8000,7310,7860,7320,2651100,7300
161,28/01/2022,7830,7330,7330,7830,1252800,7800
162,07/02/2022,8370,8000,8300,8370,1074600,8400
163,08/02/2022,8850,8390,8450,8460,1638400,8500
164,09/02/2022,8690,8300,8450,8550,1047400,8600
165,10/02/2022,8700,8500,8600,8520,1158400,8500
166,11/02/2022,8520,8370,8520,8430,1101800,8400
167,14/02/2022,8420,8000,8000,8160,959800,8200
168,15/02/2022,8210,7990,8160,8180,1253100,8200
169,16/02/2022,8600,8210,8400,8400,1407200,8400
170,17/02/2022,8580,8370,8500,8400,872300,8400
171,18/02/2022,8840,8300,8390,8840,3239900,8800
172,21/02/2022,9400,9100,9150,9280,3358700,9300
173,22/02/2022,9800,8900,9280,9500,4128500,9500
174,23/02/2022,9800,9210,9580,9640,2887600,9600
175,24/02/2022,9700,8970,9700,9160,3250600,9200
176,25/02/2022,9490,9180,9210,9290,2013300,9300
177,28/02/2022,9860,9150,9160,9750,3768900,9800
178,01/03/2022,10400,9800,9810,10400,5016100,10400
179,02/03/2022,10800,10150,10800,10400,4785500,10400
180,03/03/2022,10800,10100,10400,10650,4213300,10700
181,04/03/2022,11000,10350,10500,10650,3938500,10700
182,07/03/2022,10800,10350,10600,10600,3573000,10600
183,08/03/2022,11300,10400,10550,11000,10124300,11000
184,09/03/2022,11450,10550,11000,11050,5295300,11100
185,10/03/2022,11500,11000,11300,11050,3313200,11100
186,11/03/2022,11100,10500,10900,10700,5488400,10700
187,14/03/2022,10900,10150,10700,10400,4149100,10400
188,15/03/2022,10700,10200,10500,10450,2561300,10500
189,16/03/2022,11150,10650,10700,11150,5427200,11200
190,17/03/2022,11900,11900,11900,11900,3874200,11900
191,18/03/2022,12700,11800,12700,11900,15109100,11900
192,21/03/2022,12700,12000,12000,12700,3470600,12700
193,22/03/2022,13550,13000,13550,13300,13817800,13300
194,23/03/2022,13500,12550,13300,12700,11263200,12700
195,24/03/2022,13200,12200,12200,12950,5603000,13000
196,25/03/2022,13500,12900,12900,13250,3668200,13300
197,28/03/2022,13200,12350,12500,12600,13250800,12600
198,29/03/2022,13450,12650,12650,13450,5817100,13500
199,30/03/2022,14200,12600,13100,12900,6328600,12900
