,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,20750,19950,19950,20500,919900,18700
1,16/06/2021,20900,20500,20600,20800,775500,19000
2,17/06/2021,20800,20300,20500,20700,368200,18900
3,18/06/2021,21200,20350,20600,20950,588600,19100
4,21/06/2021,21450,20700,21000,21300,988100,19500
5,22/06/2021,21500,21100,21400,21250,492300,19400
6,23/06/2021,21200,20750,21000,20900,497700,19100
7,24/06/2021,21200,20700,20900,20900,292300,19100
8,25/06/2021,20900,20450,20900,20700,297500,18900
9,28/06/2021,20800,20550,20700,20600,294600,18800
10,29/06/2021,20750,20500,20600,20550,216100,18800
11,30/06/2021,20600,20500,20600,20500,290800,18700
12,01/07/2021,21200,20500,20550,20950,478200,19100
13,02/07/2021,21100,20800,20950,20900,256600,19100
14,05/07/2021,20850,20350,20750,20500,323400,18700
15,06/07/2021,20750,20000,20750,20200,369600,18400
16,07/07/2021,20200,19800,20000,19850,437900,18100
17,08/07/2021,20000,19850,20000,19850,201200,18100
18,09/07/2021,19850,19400,19850,19400,340000,17700
19,12/07/2021,19300,18700,19300,18900,994900,17300
20,13/07/2021,19100,18700,19000,18900,290800,17300
21,14/07/2021,19000,18750,18900,18800,165600,17200
22,15/07/2021,19200,18800,18900,19200,333800,17500
23,16/07/2021,19450,18950,19250,19150,163400,17500
24,19/07/2021,19000,18650,18950,18650,282400,17000
25,20/07/2021,18750,18250,18650,18600,405400,17000
26,21/07/2021,18700,18350,18700,18350,559800,16800
27,22/07/2021,18600,18400,18400,18550,384000,16900
28,23/07/2021,18800,18400,18650,18400,238300,16800
29,26/07/2021,18550,18350,18500,18500,931700,16900
30,27/07/2021,18600,18350,18500,18400,848500,16800
31,28/07/2021,18500,18300,18500,18350,523700,16800
32,29/07/2021,18400,18300,18350,18350,340700,16800
33,30/07/2021,18600,18250,18300,18500,353100,16900
34,02/08/2021,18600,18400,18500,18600,450600,17000
35,03/08/2021,18600,18400,18500,18500,301500,16900
36,04/08/2021,18700,18500,18550,18700,404200,17100
37,05/08/2021,19300,18700,18700,19100,438900,17400
38,06/08/2021,19200,18900,19100,18900,211600,17300
39,09/08/2021,19100,18900,19100,19050,265200,17400
40,10/08/2021,19300,18950,19100,19300,499300,17600
41,11/08/2021,19500,19150,19500,19150,280200,17500
42,12/08/2021,19250,18950,19150,19200,294900,17500
43,13/08/2021,19150,18700,19100,19000,463700,17400
44,16/08/2021,19400,19000,19000,19250,519500,17600
45,17/08/2021,19250,19100,19250,19150,319600,17500
46,18/08/2021,19350,19000,19000,19300,390300,17600
47,19/08/2021,19350,19100,19300,19300,325300,17600
48,20/08/2021,19600,19150,19300,19400,844400,17700
49,23/08/2021,19450,19050,19450,19300,578200,17600
50,24/08/2021,19300,18800,19300,19050,412000,17400
51,25/08/2021,19750,18850,18900,19450,552200,17800
52,26/08/2021,19600,19150,19300,19150,423600,17500
53,27/08/2021,20450,19100,19300,20450,2177500,18700
54,30/08/2021,21200,20500,20800,20850,1278568,19000
55,31/08/2021,21150,20500,20800,20600,932300,18800
56,01/09/2021,21950,20400,20450,21950,1966900,20000
57,06/09/2021,22200,21550,22000,22000,1619600,20100
58,07/09/2021,22450,21400,22000,21500,1373200,19600
59,08/09/2021,21700,20800,21400,21400,922900,19500
60,09/09/2021,21650,21350,21400,21650,682800,19800
61,10/09/2021,21850,21400,21800,21450,543600,19600
62,13/09/2021,21550,21000,21300,21400,727800,19500
63,14/09/2021,21500,20500,21400,21100,1099100,19300
64,15/09/2021,21150,20400,21100,20550,1048900,18800
65,16/09/2021,21500,20700,20750,21400,782100,19500
66,17/09/2021,21500,20900,21400,21150,470600,19300
67,20/09/2021,21350,20550,21150,20550,896000,18800
68,21/09/2021,21400,20550,20900,21350,1470500,19500
69,22/09/2021,21500,20800,21500,21100,1175600,19300
70,23/09/2021,21500,20850,21500,21200,767700,19400
71,24/09/2021,21200,20750,21000,21000,751200,19200
72,27/09/2021,21150,20550,21100,20600,989100,18800
73,28/09/2021,21300,20650,20650,21000,878500,19200
74,29/09/2021,21000,20000,20450,20800,4603400,19900
75,30/09/2021,20950,20400,20900,20600,573800,19800
76,01/10/2021,20750,20400,20700,20600,2743178,19800
77,04/10/2021,22000,21000,21000,22000,3639400,21100
78,05/10/2021,22250,21700,22250,21800,1003700,20900
79,06/10/2021,22100,21700,21700,21950,868600,21000
80,07/10/2021,22500,21800,21800,22350,1981400,21400
81,08/10/2021,22500,21800,22500,21950,1335000,21000
82,11/10/2021,22200,21400,22150,21700,1264000,20800
83,12/10/2021,22200,21350,21750,22000,1248600,21100
84,13/10/2021,22500,22000,22300,22150,1004200,21200
85,14/10/2021,22500,22100,22500,22150,724200,21200
86,15/10/2021,22300,21850,22100,22200,1154600,21300
87,18/10/2021,22400,22000,22250,22200,1103500,21300
88,19/10/2021,22900,22200,22400,22450,969100,21500
89,20/10/2021,23200,22600,22850,23050,1995800,22100
90,21/10/2021,23400,22700,23000,23250,1180000,22300
91,22/10/2021,23250,22750,23250,23200,753200,22200
92,25/10/2021,23700,23000,23000,23550,1480100,22600
93,26/10/2021,23500,23100,23300,23400,718600,22400
94,27/10/2021,23450,23150,23450,23300,1093200,22300
95,28/10/2021,23750,23200,23350,23700,1048700,22700
96,29/10/2021,23800,23100,23700,23450,1094200,22500
97,01/11/2021,23750,23000,23750,23200,1200700,22200
98,02/11/2021,23500,22950,23350,23100,1365900,22200
99,03/11/2021,23500,22600,23450,22600,1508500,21700
100,04/11/2021,22800,22500,22500,22500,748800,21600
101,05/11/2021,23150,22500,22600,23100,1033800,22200
102,08/11/2021,23300,22900,23200,23200,1270400,22200
103,09/11/2021,23650,23000,23200,23500,1639200,22500
104,10/11/2021,24500,23750,23900,24450,2690800,23400
105,11/11/2021,24500,23600,24450,24100,1135700,23100
106,12/11/2021,24300,23800,24050,24000,821900,23000
107,15/11/2021,24500,23800,24000,24200,2108600,23200
108,16/11/2021,24800,23800,24300,24250,1618800,23300
