,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,53500,51500,52000,52000,14842900,35600
1,16/06/2021,51700,48950,50800,49400,22110612,33900
2,17/06/2021,51400,48100,48100,50500,11052100,34600
3,18/06/2021,51500,50100,51500,50500,8130000,34600
4,21/06/2021,50500,48900,50100,49000,12614400,33600
5,22/06/2021,49900,49100,49900,49500,9176700,33900
6,23/06/2021,50800,49200,49500,49900,9637700,34200
7,24/06/2021,50500,49700,50000,50200,9698300,34400
8,25/06/2021,53700,50400,50500,53700,23685000,36800
9,28/06/2021,54800,53200,54800,53900,9698500,36900
10,29/06/2021,55800,53600,53900,54600,10464100,37400
11,30/06/2021,55300,54000,54100,55000,11623300,37700
12,01/07/2021,58200,55400,56000,57500,13724500,39400
13,02/07/2021,59000,57000,57900,57900,12668600,39700
14,05/07/2021,57600,54800,57300,56500,19598800,38700
15,06/07/2021,57800,52600,56500,52600,13319200,36100
16,07/07/2021,54500,50500,53000,54500,18452600,37400
17,08/07/2021,55500,53500,54800,54400,10311700,37300
18,09/07/2021,55000,52100,53700,52600,13645400,36100
19,12/07/2021,52500,48950,51500,49500,23911200,33900
20,13/07/2021,51800,49250,50400,51800,12517000,35500
21,14/07/2021,52100,49050,51800,51000,12060700,35000
22,15/07/2021,53700,50000,50000,53700,14294900,36800
23,16/07/2021,53900,52700,53700,52800,11205600,36200
24,19/07/2021,51800,49300,51000,49300,16575100,33800
25,20/07/2021,52700,48800,50100,52700,15305500,36100
26,21/07/2021,53000,51400,52600,51500,9507600,35300
27,22/07/2021,53000,51100,51200,52200,10124900,35800
28,23/07/2021,52400,50600,51800,50600,12478600,34700
29,26/07/2021,51600,50000,50600,50800,9710400,34800
30,27/07/2021,53400,51600,51800,52000,14898900,35600
31,28/07/2021,53000,51800,51900,52400,7034200,35900
32,29/07/2021,54000,52700,53000,54000,12969400,37000
33,30/07/2021,55000,53600,54000,54600,15168400,37400
34,02/08/2021,55600,54000,54100,55000,15465800,37700
35,03/08/2021,56500,54500,54800,56500,18144400,38700
36,04/08/2021,57300,56200,57300,56800,11942000,38900
37,05/08/2021,57800,56100,56300,57500,12213800,39400
38,06/08/2021,57700,56400,57200,56400,16492800,38700
39,09/08/2021,60200,56100,56100,59300,22821200,40600
40,10/08/2021,60300,59000,60200,59400,12566600,40700
41,11/08/2021,59800,57700,59700,57700,17749000,39500
42,12/08/2021,58900,57400,57400,57700,13641400,39500
43,13/08/2021,59700,57700,58000,59000,21481600,40400
