,Date,High,Low,Open,Close,Volume,Adj Close
0,07/06/2021,37000,35100,35800,36500,117200,34200
1,08/06/2021,37000,36500,36600,36900,121200,34600
2,09/06/2021,37400,34350,34350,36400,81600,34100
3,10/06/2021,37500,35800,37000,37450,128400,35100
4,11/06/2021,39000,37450,39000,38400,107400,36000
5,14/06/2021,39000,38100,38100,38500,62800,36100
6,15/06/2021,39000,37700,38500,38000,95400,35600
7,16/06/2021,38150,37100,38000,37700,72700,35300
8,17/06/2021,38350,36500,36500,38300,32800,35900
9,18/06/2021,40500,38450,39900,40300,153000,37800
10,21/06/2021,40350,39000,40300,39000,39400,36600
11,22/06/2021,39500,39000,39000,39000,38300,36600
12,23/06/2021,39500,37500,39000,39500,216600,37000
13,24/06/2021,41000,39650,41000,39800,48400,37300
14,25/06/2021,40800,39000,40800,39950,22800,37500
15,28/06/2021,39900,38600,38600,39800,28600,37300
16,29/06/2021,40400,39800,39800,40200,47500,37700
17,30/06/2021,42000,40000,42000,40000,69500,37500
18,01/07/2021,42000,39700,42000,39700,54100,37200
19,02/07/2021,40950,40000,40000,40900,21200,38300
20,05/07/2021,40950,39500,40950,40200,14100,37700
21,06/07/2021,40900,39600,40200,39800,34900,37300
22,07/07/2021,39900,38900,39000,38900,22300,36500
23,08/07/2021,39000,38900,38900,38950,9200,36500
24,09/07/2021,39400,38500,39400,38900,24000,36500
25,12/07/2021,38500,36200,38500,37800,45700,35400
26,13/07/2021,38000,36300,37000,38000,35400,37100
27,14/07/2021,39000,36000,36000,39000,41600,38100
28,15/07/2021,39400,39000,39000,39000,252600,38100
29,16/07/2021,39700,38500,38500,39700,33300,38800
30,19/07/2021,39500,38000,39500,38000,11800,37100
31,20/07/2021,38700,37700,38000,38700,3900,37800
32,21/07/2021,39900,38700,38700,38800,9400,37900
33,22/07/2021,39950,38800,38800,39800,46100,38900
34,23/07/2021,42550,39800,41000,42100,94000,41100
35,26/07/2021,43000,40750,43000,41500,36800,40500
36,27/07/2021,43000,41000,43000,41000,7600,40000
37,28/07/2021,42450,41000,41000,42000,154400,41000
38,29/07/2021,43900,41000,41000,42100,14300,41100
39,30/07/2021,42200,41000,42100,42200,12200,41200
40,02/08/2021,44900,41700,41700,44500,98800,43400
41,03/08/2021,45000,44050,44500,44300,42000,43200
42,04/08/2021,46800,44000,44000,45200,51300,44100
43,05/08/2021,45500,45000,45000,45000,53700,43900
44,06/08/2021,45900,44000,45000,45000,22900,43900
45,09/08/2021,45500,44000,45000,44000,44600,43000
46,10/08/2021,47050,44500,44500,47050,152600,45900
47,11/08/2021,50200,47300,50200,48650,53700,47500
48,12/08/2021,48500,47000,47000,48000,19200,46900
49,13/08/2021,48900,46500,47500,48000,44900,46900
50,16/08/2021,49000,47000,49000,48000,112100,46900
51,17/08/2021,48000,47600,48000,47800,56300,46700
52,18/08/2021,49100,47900,47900,48800,69400,47600
53,19/08/2021,49100,48000,49000,49100,73000,47900
54,20/08/2021,49100,47000,49100,47600,62900,46500
55,23/08/2021,47600,45000,47600,45000,64700,43900
56,24/08/2021,44150,42100,42100,43000,68200,42000
57,25/08/2021,46000,42500,42600,46000,11100,44900
58,26/08/2021,47500,46000,47500,46500,29100,45400
59,27/08/2021,48500,46500,47500,46600,40000,45500
60,30/08/2021,48600,46200,47700,48600,69700,47400
61,31/08/2021,49000,47800,49000,47900,44700,46800
62,01/09/2021,48500,44800,44800,47200,36800,46100
63,06/09/2021,47900,46050,47200,47300,44000,46200
64,07/09/2021,48000,46300,48000,47000,70100,45900
65,08/09/2021,47900,46000,47800,46700,49600,45600
66,09/09/2021,47400,46000,47400,46750,25300,45600
67,10/09/2021,48900,47200,47400,48400,37100,47200
68,13/09/2021,49000,48450,48900,48450,19400,47300
69,14/09/2021,50500,48400,48500,50500,90100,49300
70,15/09/2021,52500,50000,50500,51500,40600,50300
71,16/09/2021,52000,50700,51500,52000,49300,50800
72,17/09/2021,51400,50200,50500,50900,23800,49700
73,20/09/2021,51700,48100,51400,51500,38600,50300
74,21/09/2021,51500,49100,51500,49500,23200,48300
75,22/09/2021,51000,49000,49600,49500,18200,48300
76,23/09/2021,49100,48500,48500,49050,7700,47900
77,24/09/2021,50000,49100,50000,49100,20400,47900
78,27/09/2021,49850,48800,49100,48800,18700,47600
79,28/09/2021,49800,46200,46200,49200,14300,48000
80,29/09/2021,48250,48100,48100,48200,4200,47100
81,30/09/2021,48600,47000,48600,48200,24200,47100
82,01/10/2021,49750,48500,48500,49750,2400148,48600
83,04/10/2021,49900,48500,49900,49000,10400,47800
84,05/10/2021,51000,49000,49100,51000,36300,49800
85,06/10/2021,51500,50600,51000,51500,30400,50300
86,07/10/2021,55100,51500,51500,54400,58100,53100
87,08/10/2021,55800,51000,55800,55200,31100,53900
88,11/10/2021,55800,53000,55700,53000,15500,51700
89,12/10/2021,55400,50000,53500,55000,100900,53700
90,13/10/2021,56000,53100,56000,54400,32900,53100
91,14/10/2021,55000,53600,54000,54200,23400,52900
92,15/10/2021,55000,54200,54200,54500,28400,53200
93,18/10/2021,55900,54100,55900,54500,27100,53200
94,19/10/2021,56000,55100,56000,55500,40300,54200
95,20/10/2021,55900,54000,55900,54100,26000,52800
