,Date,High,Low,Open,Close,Volume,Adj Close
0,15/06/2021,35500,35500.0,35500,35500,5500,33000
1,16/06/2021,35500,35500.0,35500,35500,-,33000
2,17/06/2021,33500,33500.0,33500,33500,100,31200
3,18/06/2021,33500,33500.0,33500,33500,-,31200
4,21/06/2021,33500,33500.0,33500,33500,-,31200
5,22/06/2021,33500,33500.0,33500,33500,-,31200
6,23/06/2021,32500,32500.0,32500,32500,100,30200
7,24/06/2021,34750,32500.0,34500,33500,400,31200
8,25/06/2021,33500,33500.0,33500,33500,-,31200
9,28/06/2021,33500,33500.0,33500,33500,-,31200
10,29/06/2021,33500,33500.0,33500,33500,-,31200
11,30/06/2021,33500,33500.0,33500,33500,-,31200
12,01/07/2021,33500,33500.0,33500,33500,-,31200
13,02/07/2021,33500,33500.0,33500,33500,-,31200
14,05/07/2021,32500,32400.0,32400,32500,500,30200
15,06/07/2021,32500,32500.0,32500,32500,-,30200
16,07/07/2021,32500,32500.0,32500,32500,-,30200
17,08/07/2021,32500,-,32500,32500,-,30200
18,09/07/2021,32500,32500.0,32500,32500,-,30200
19,12/07/2021,32500,32500.0,32500,32500,-,30200
20,13/07/2021,33000,32500.0,33000,32500,2200,30200
21,14/07/2021,32500,32500.0,32500,32500,-,30200
22,15/07/2021,32500,32500.0,32500,32500,-,30200
23,16/07/2021,33500,33500.0,33500,33500,100,31200
24,19/07/2021,33500,33500.0,33500,33500,200,31200
25,20/07/2021,33500,33500.0,33500,33500,-,31200
26,21/07/2021,33500,33500.0,33500,33500,-,31200
27,22/07/2021,33500,33500.0,33500,33500,-,31200
28,23/07/2021,31200,31200.0,31200,31200,100,29000
29,26/07/2021,31200,31200.0,31200,31200,-,29000
30,27/07/2021,31200,31200.0,31200,31200,-,29000
31,28/07/2021,31200,31200.0,31200,31200,-,29000
32,29/07/2021,31200,31200.0,31200,31200,-,29000
33,30/07/2021,31200,31200.0,31200,31200,-,29000
34,02/08/2021,31200,31200.0,31200,31200,-,29000
35,03/08/2021,31200,31200.0,31200,31200,-,29000
36,04/08/2021,31200,31200.0,31200,31200,-,29000
37,05/08/2021,31200,31200.0,31200,31200,1000,29000
38,06/08/2021,31200,31200.0,31200,31200,1000,29000
39,09/08/2021,31200,30000.0,31200,30300,7100,28200
40,10/08/2021,30300,30300.0,30300,30300,-,28200
41,11/08/2021,30300,30200.0,30200,30300,3900,28200
42,12/08/2021,32400,30200.0,30200,30300,10000,28200
43,13/08/2021,30300,30300.0,30300,30300,-,28200
44,16/08/2021,30300,30300.0,30300,30300,2500,28200
45,17/08/2021,30300,30300.0,30300,30300,-,28200
46,18/08/2021,32400,32400.0,32400,32400,100,30100
47,19/08/2021,34300,30250.0,30250,34300,900,31900
48,20/08/2021,34300,31900.0,31900,34300,1500,31900
49,23/08/2021,32000,32000.0,32000,32000,1000,29800
50,24/08/2021,34200,30000.0,31000,31000,13000,28800
51,25/08/2021,31000,31000.0,31000,31000,-,28800
52,26/08/2021,33100,33100.0,33100,33100,100,30800
53,27/08/2021,32500,32000.0,32500,32000,300,29800
54,30/08/2021,33900,33900.0,33900,33900,100,31500
55,31/08/2021,33700,31550.0,33500,33700,8000,31300
56,01/09/2021,34500,31350.0,31750,34500,22400,32100
57,06/09/2021,34450,32100.0,34450,32100,5700,29900
58,07/09/2021,33800,32050.0,33800,33700,13600,31300
59,08/09/2021,32900,31800.0,32500,31900,21700,29700
60,09/09/2021,32700,31100.0,31900,32600,24600,30300
61,10/09/2021,31600,31000.0,31500,31500,256700,29300
62,13/09/2021,32150,30800.0,31500,32100,15400,29900
63,14/09/2021,32500,31000.0,32500,32000,776800,29800
64,15/09/2021,32600,31050.0,32500,31900,43400,29700
65,16/09/2021,31900,30500.0,31900,30600,38400,28500
66,17/09/2021,32700,31200.0,31850,32600,120400,30300
67,20/09/2021,34850,33500.0,34850,33500,45900,31200
68,21/09/2021,33850,32900.0,33500,33300,19400,31000
69,22/09/2021,33050,32000.0,33050,32800,186300,30500
70,23/09/2021,33500,32800.0,32800,32800,41400,30500
71,24/09/2021,33300,32800.0,33200,33000,27300,30700
72,27/09/2021,33200,32400.0,33000,32700,37100,30400
73,28/09/2021,32800,32400.0,32700,32700,14500,30400
74,29/09/2021,32500,32000.0,32500,32300,16400,30000
75,30/09/2021,32700,32250.0,32450,32250,4800,30000
76,01/10/2021,32250,31500.0,32200,32250,13100,30000
77,04/10/2021,32250,31600.0,31700,32250,19500,30000
78,05/10/2021,32250,31550.0,32250,32000,2600,29800
79,06/10/2021,32000,31500.0,31600,31900,16300,29700
80,07/10/2021,31900,31850.0,31900,31900,11400,29700
81,08/10/2021,31900,31600.0,31600,31900,12600,29700
82,11/10/2021,32000,31500.0,31500,31950,7700,29700
83,12/10/2021,31950,31700.0,31900,31700,5500,29500
84,13/10/2021,31900,31500.0,31900,31800,16700,29600
85,14/10/2021,32200,31500.0,31500,32200,8000,29900
86,15/10/2021,32500,31500.0,31550,32300,8200,30000
87,18/10/2021,32200,31800.0,32200,31850,4800,29600
88,19/10/2021,31800,31500.0,31800,31550,9200,29300
89,20/10/2021,32800,32000.0,32800,32200,19800,29900
90,21/10/2021,33900,32300.0,32300,33900,25400,31500
91,22/10/2021,33900,33700.0,33850,33900,17000,31500
92,25/10/2021,33900,33450.0,33850,33500,9200,31200
93,26/10/2021,33500,33350.0,33500,33400,9400,31100
94,27/10/2021,33700,33000.0,33300,33700,18600,31300
95,28/10/2021,34300,33700.0,33700,34300,7700,31900
96,29/10/2021,36000,34600.0,34750,36000,45700,33500
97,01/11/2021,36200,35800.0,35900,36000,18400,33500
98,02/11/2021,37000,35500.0,36100,37000,19800,34400
99,03/11/2021,39550,37100.0,37100,37100,54800,34500
100,04/11/2021,38000,37800.0,38000,37900,6300,35200
101,05/11/2021,38750,38000.0,38000,38300,38300,35600
102,08/11/2021,38300,36500.0,38300,37900,27800,35200
103,09/11/2021,37900,37300.0,37600,37900,11100,35200
104,10/11/2021,38350,37000.0,38350,37700,9100,35100
105,11/11/2021,38000,36100.0,37400,36800,16900,34200
106,12/11/2021,36850,35400.0,35800,36300,14200,34900
107,15/11/2021,36600,35400.0,36300,36000,9200,34700
108,16/11/2021,35100,34400.0,34400,34900,14500,33600
109,17/11/2021,34700,34400.0,34400,34450,28600,33200
110,18/11/2021,34600,33500.0,33500,33800,6300,32500
111,19/11/2021,35000,34000.0,35000,34200,36500,32900
112,22/11/2021,34800,34250.0,34500,34250,7900,33000
113,23/11/2021,34250,34250.0,34250,34250,3200,33000
114,24/11/2021,34450,34250.0,34250,34250,6200,33000
115,25/11/2021,34600,34250.0,34250,34400,9100,33100
116,26/11/2021,34300,34250.0,34300,34250,7700,33000
117,29/11/2021,34250,33500.0,34250,33650,600,32400
118,30/11/2021,34200,33800.0,33800,33900,12900,32600
119,01/12/2021,34000,33900.0,33900,34000,9300,32700
120,02/12/2021,34300,34100.0,34100,34200,7100,32900
121,03/12/2021,34200,34200.0,34200,34200,5200,32900
122,06/12/2021,35000,34000.0,35000,34000,1100,32700
123,07/12/2021,34100,33900.0,34050,34000,900,32700
124,08/12/2021,34050,33900.0,34050,33950,1300,32700
125,09/12/2021,33950,33950.0,33950,33950,-,32700
126,10/12/2021,35900,35300.0,35900,35300,200,34000
127,13/12/2021,35300,33900.0,35300,34000,11700,32700
128,14/12/2021,34050,33500.0,34000,33500,16200,32300
129,15/12/2021,34900,32700.0,33550,33350,10500,32100
130,16/12/2021,34000,33700.0,34000,33700,400,32400
131,17/12/2021,34000,33700.0,34000,33700,2600,32400
132,20/12/2021,33900,33600.0,33900,33900,1800,32600
133,21/12/2021,34950,34000.0,34000,34600,7200,33300
134,22/12/2021,34500,33700.0,34500,33700,9500,32400
135,23/12/2021,34900,33800.0,34900,33800,10500,32500
136,24/12/2021,34000,33800.0,34000,33800,1000,32500
137,27/12/2021,33850,33750.0,33850,33750,2400,32500
138,28/12/2021,33300,33300.0,33300,33300,1000,32100
139,29/12/2021,34400,34000.0,34000,34200,11900,32900
140,30/12/2021,34450,34000.0,34400,34000,11400,32700
141,31/12/2021,34600,33500.0,33500,34600,1000,33300
142,04/01/2022,34600,34600.0,34600,34600,52000,33300
143,05/01/2022,36000,33650.0,34700,34000,9800,32700
144,06/01/2022,35900,33500.0,33500,35000,10900,33700
145,07/01/2022,34500,34050.0,34500,34050,1700,32800
146,10/01/2022,34600,34000.0,34200,34250,11400,33000
147,11/01/2022,35900,34400.0,34500,34800,26200,33500
148,12/01/2022,34700,34500.0,34700,34500,3500,33200
149,13/01/2022,35500,34000.0,35500,34900,1300,33600
150,14/01/2022,34900,34000.0,34600,34500,6900,33200
151,17/01/2022,34150,34000.0,34150,34000,8000,32700
152,18/01/2022,34000,33900.0,34000,33900,3500,32600
153,19/01/2022,33950,33800.0,33950,33800,3700,32500
154,20/01/2022,34000,33700.0,34000,33700,4200,32400
155,21/01/2022,34700,34000.0,34000,34050,4700,32800
156,24/01/2022,34400,33600.0,34050,34400,10200,33100
157,25/01/2022,34450,33900.0,34000,34450,9800,33200
158,26/01/2022,34450,34450.0,34450,34450,-,33200
159,27/01/2022,34450,33000.0,34450,33000,16400,31800
160,28/01/2022,33900,32800.0,33000,33000,5800,31800
161,07/02/2022,33500,33000.0,33200,33000,14200,31800
162,08/02/2022,34150,33000.0,33000,34150,300,32900
163,09/02/2022,33800,33050.0,33050,33500,2100,32300
164,10/02/2022,33200,33050.0,33050,33100,2500,31900
165,11/02/2022,33600,32900.0,33600,33000,28500,31800
166,14/02/2022,33050,32900.0,33000,33050,4700,31800
167,15/02/2022,33100,33050.0,33100,33100,3100,31900
168,16/02/2022,33400,33100.0,33100,33400,18000,32200
169,17/02/2022,33400,33400.0,33400,33400,-,32200
170,18/02/2022,33600,33100.0,33600,33100,2300,31900
171,21/02/2022,33200,33200.0,33200,33200,3000,32000
172,22/02/2022,33350,33200.0,33200,33200,5800,32000
173,23/02/2022,33600,33200.0,33200,33600,6800,32300
174,24/02/2022,34500,33300.0,34500,33300,8000,32100
175,25/02/2022,33650,33500.0,33500,33650,1200,32400
176,28/02/2022,34350,33500.0,34350,33500,2300,32300
177,01/03/2022,33600,33600.0,33600,33600,700,32300
178,02/03/2022,33850,33500.0,33800,33500,1900,32300
179,03/03/2022,33900,33500.0,33500,33900,1500,32600
180,04/03/2022,33900,33600.0,33900,33650,3100,32400
181,07/03/2022,34200,33500.0,33650,34000,9900,32700
182,08/03/2022,34000,33800.0,33800,34000,5400,32700
183,09/03/2022,34500,34050.0,34050,34500,5800,33200
184,10/03/2022,35500,34300.0,34500,35000,16700,33700
185,11/03/2022,35300,34500.0,34500,35050,14300,33700
186,14/03/2022,35700,35050.0,35050,35600,8300,34300
187,15/03/2022,36100,35000.0,35600,36100,3500,34800
188,16/03/2022,36600,36000.0,36000,36600,4100,35200
189,17/03/2022,37700,36600.0,37700,37050,14200,35700
190,18/03/2022,37200,37000.0,37100,37200,6900,35800
191,21/03/2022,37000,36000.0,37000,36000,14900,34700
192,22/03/2022,36000,36000.0,36000,36000,11000,34700
193,23/03/2022,36000,36000.0,36000,36000,6400,34700
194,24/03/2022,36000,36000.0,36000,36000,2300,34700
195,25/03/2022,38000,36000.0,38000,36000,5300,34700
196,28/03/2022,36200,36000.0,36000,36000,12400,34700
197,29/03/2022,36200,36000.0,36200,36000,3100,34700
198,30/03/2022,36000,36000.0,36000,36000,7500,34700
199,31/03/2022,36900,36000.0,36000,36900,5200,35500
200,01/04/2022,36900,36900.0,36900,36900,64300,35500
201,04/04/2022,36900,36900.0,36900,36900,1200,35500
202,05/04/2022,36900,36900.0,36900,36900,20000,35500
203,06/04/2022,36900,36900.0,36900,36900,-,35500
204,07/04/2022,36500,36500.0,36500,36500,400,35100
205,08/04/2022,36900,36500.0,36900,36500,1600,35100
206,12/04/2022,36500,36000.0,36500,36000,19600,34700
207,13/04/2022,36500,36000.0,36000,36500,15800,35100
208,14/04/2022,36550,36500.0,36550,36500,1400,35100
209,15/04/2022,36500,36500.0,36500,36500,500,35100
210,18/04/2022,36500,36000.0,36500,36000,22800,34700
211,19/04/2022,36000,36000.0,36000,36000,500,34700
212,20/04/2022,36000,36000.0,36000,36000,-,34700
213,21/04/2022,36000,36000.0,36000,36000,-,34700
214,22/04/2022,36000,36000.0,36000,36000,-,34700
215,25/04/2022,36000,36000.0,36000,36000,-,34700
216,26/04/2022,36000,36000.0,36000,36000,-,34700
217,27/04/2022,37900,34000.0,34000,37900,200,36500
218,28/04/2022,37900,37900.0,37900,37900,-,36500
219,29/04/2022,37350,37350.0,37350,37350,500,36000
220,04/05/2022,36950,35500.0,35500,36950,400,35600
221,05/05/2022,36950,36950.0,36950,36950,-,35600
222,06/05/2022,36500,34400.0,36500,36300,700,34900
223,09/05/2022,36300,36300.0,36300,36300,-,34900
224,10/05/2022,36300,36300.0,36300,36300,-,34900
225,11/05/2022,36300,36300.0,36300,36300,-,34900
226,12/05/2022,36300,36300.0,36300,36300,-,34900
227,13/05/2022,36300,36300.0,36300,36300,-,34900
228,16/05/2022,36300,36300.0,36300,36300,-,34900
229,17/05/2022,36300,36300.0,36300,36300,-,34900
230,18/05/2022,35800,35800.0,35800,35800,100,34500
