,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,6850,6550,6550,6700,3978300,6700
1,04/06/2021,6700,6500,6700,6570,3144400,6600
2,07/06/2021,6500,6330,6450,6400,3641000,6400
3,08/06/2021,6640,6330,6330,6370,3362600,6400
4,09/06/2021,6500,6350,6370,6430,2183300,6400
5,10/06/2021,6700,6430,6450,6550,2465300,6600
6,11/06/2021,6950,6600,6600,6860,8066900,6900
7,14/06/2021,6910,6700,6900,6730,3248200,6700
8,15/06/2021,6700,6590,6590,6670,2872300,6700
9,16/06/2021,7130,6490,6650,7120,10548300,7100
10,17/06/2021,7200,7020,7170,7100,4500600,7100
11,18/06/2021,7490,7100,7100,7210,5174500,7200
12,21/06/2021,7560,7110,7220,7370,7173700,7400
13,22/06/2021,7500,7120,7380,7230,5141700,7200
14,23/06/2021,7210,6900,7200,7050,4301300,7100
15,24/06/2021,7300,6860,6960,7220,4210600,7200
16,25/06/2021,7720,7720,7720,7720,5986800,7700
17,28/06/2021,8260,8260,8260,8260,4099700,8300
18,29/06/2021,8830,7900,8830,7900,27598300,7900
19,30/06/2021,8120,7730,7850,7780,8545900,7800
20,01/07/2021,8000,7700,7900,7910,6007500,7900
21,02/07/2021,7960,7650,7800,7670,6625200,7700
22,05/07/2021,7600,7300,7510,7370,9341900,7400
23,06/07/2021,7600,7100,7300,7100,4262200,7100
24,07/07/2021,7150,6900,6990,7000,5029800,7000
25,08/07/2021,7300,6990,7000,7070,3429400,7100
26,09/07/2021,7220,6900,7090,7000,4167000,7000
27,12/07/2021,7000,6510,6950,6510,6455300,6500
28,13/07/2021,6960,6490,6700,6960,4503300,7000
29,14/07/2021,7070,6700,6960,6700,2463800,6700
30,15/07/2021,6960,6700,6710,6910,2825900,6900
31,16/07/2021,6980,6820,6910,6840,2306100,6800
32,19/07/2021,6720,6470,6500,6480,3762900,6500
33,20/07/2021,6930,6480,6520,6930,5840900,6900
34,21/07/2021,7200,6940,6940,7150,3735800,7200
35,22/07/2021,7250,7050,7150,7220,2559000,7200
36,23/07/2021,7230,7030,7150,7040,2820200,7000
37,26/07/2021,7100,6600,6850,7040,2504000,7000
38,27/07/2021,7520,7040,7100,7520,5411000,7500
39,28/07/2021,7530,7260,7510,7260,3006900,7300
40,29/07/2021,7300,7150,7250,7200,2433200,7200
41,30/07/2021,7340,7110,7200,7130,4832100,7100
42,02/08/2021,7300,7010,7050,7160,4225800,7200
43,03/08/2021,7320,7130,7190,7200,3774000,7200
44,04/08/2021,7300,7190,7280,7220,3580500,7200
45,05/08/2021,7290,7140,7220,7240,3256500,7200
