,Date,High,Low,Open,Close,Volume,Adj Close
0,21/06/2021,35800,35400,35600,35700,508800,32400
1,22/06/2021,35850,34500,35700,35450,1525400,32200
2,23/06/2021,35500,34850,35500,35200,1097500,32000
3,24/06/2021,35400,35000,35300,35200,732200,32000
4,25/06/2021,35500,34750,35200,35050,1202100,31800
5,28/06/2021,35150,34750,35000,35100,2281030,31900
6,29/06/2021,36000,35050,35150,35700,1323800,32400
7,30/06/2021,35900,35100,35800,35750,1758100,32500
8,01/07/2021,36000,35700,35750,35800,952900,32500
9,02/07/2021,35850,35200,35850,35350,756800,32100
10,05/07/2021,35700,34950,35350,35400,1135500,32200
11,06/07/2021,35550,35000,35400,35150,748800,31900
12,07/07/2021,35350,34850,35200,35000,1111400,31800
13,08/07/2021,35100,34850,35100,35050,1001000,31800
14,09/07/2021,35050,34600,35050,34750,1083800,31600
15,12/07/2021,34900,34000,34800,34600,1178000,31400
16,13/07/2021,35100,34600,34600,35000,1208200,31800
17,14/07/2021,35650,35100,35100,35500,1500000,32300
18,15/07/2021,35600,35000,35500,35200,1124300,32000
19,16/07/2021,35250,35100,35200,35150,448100,31900
20,19/07/2021,35100,34500,35100,34700,981400,31500
21,20/07/2021,34700,34400,34700,34450,802500,31300
22,21/07/2021,34800,34250,34450,34600,1189400,31400
23,22/07/2021,36000,34200,34550,36000,1105900,32700
24,23/07/2021,36500,34700,35900,35950,1917000,32700
25,26/07/2021,36600,35850,36000,36500,521000,33200
26,27/07/2021,36950,36000,36500,36000,773800,32700
27,28/07/2021,36100,35700,36000,35700,682700,32400
28,29/07/2021,36500,35200,35800,36500,367800,33200
29,30/07/2021,39050,35800,36600,39050,1236900,35500
30,02/08/2021,39550,39050,39050,39250,1319700,35700
31,03/08/2021,40100,38700,38700,39900,903600,36300
32,04/08/2021,40200,39750,39950,40000,1044100,36300
33,05/08/2021,41000,39900,40100,40500,625000,36800
34,06/08/2021,41000,40150,40500,40400,1298600,36700
35,09/08/2021,41100,40000,40350,41100,1438100,37300
36,10/08/2021,41300,41000,41150,41250,720800,37500
37,11/08/2021,41400,41000,41250,41000,636800,37300
38,12/08/2021,41650,40800,41000,41500,696900,37700
39,13/08/2021,42000,41250,41500,42000,665000,38200
40,16/08/2021,42400,41700,42050,41850,809300,38000
41,17/08/2021,42000,41150,41850,41150,965800,37400
42,18/08/2021,41400,40950,41100,41400,570000,37600
43,19/08/2021,42000,40900,41400,42000,579800,38200
44,20/08/2021,42100,41700,42000,41700,539100,37900
45,23/08/2021,41800,40500,41750,41500,895100,37700
46,24/08/2021,41800,40000,41500,41800,3257600,38000
47,25/08/2021,42000,40500,41750,42000,708800,38200
48,26/08/2021,42800,41500,42000,41500,846200,37700
49,27/08/2021,41700,40800,41400,41700,3002500,37900
50,30/08/2021,42100,41700,41750,42050,803200,38200
51,31/08/2021,42450,41900,42050,42000,960100,38200
52,01/09/2021,42600,40250,42100,41800,1153200,38000
53,06/09/2021,42500,41700,41850,42200,1015200,38300
54,07/09/2021,42400,40500,42200,40500,1097400,36800
55,08/09/2021,42000,40100,40350,41800,1521000,38000
56,09/09/2021,42150,41500,41800,42050,893100,38200
57,10/09/2021,42750,42000,42050,42300,4049100,38400
58,13/09/2021,42550,40750,42350,41000,845100,37300
59,14/09/2021,41100,39700,41000,39700,1714600,36100
60,15/09/2021,40600,39800,39800,40550,5365500,36800
61,16/09/2021,40800,40000,40550,40200,669400,36500
62,17/09/2021,41600,40150,40200,41500,996000,37700
63,20/09/2021,42500,40400,41500,40500,2629900,36800
64,21/09/2021,41100,40400,40500,41000,953700,37300
65,22/09/2021,41800,40800,41100,41700,729100,37900
66,23/09/2021,41800,41000,41700,41750,836100,37900
67,24/09/2021,42150,41750,41800,41950,1062200,38100
68,27/09/2021,42200,41800,42000,41950,1345900,38100
69,28/09/2021,42500,41900,41950,42500,608300,38600
70,29/09/2021,42800,41800,42500,42000,470600,38200
71,30/09/2021,42800,41500,42000,42500,1998100,38600
72,01/10/2021,43500,42500,42500,42800,662600,38900
73,04/10/2021,43500,42500,42900,42900,625100,39000
74,05/10/2021,43400,42900,43000,43300,796200,39300
75,06/10/2021,43450,43000,43200,43450,1032400,39500
76,07/10/2021,43800,43450,43500,43450,517000,39500
77,08/10/2021,43900,43200,43450,43500,743000,39500
78,11/10/2021,43800,43300,43500,43700,866700,39700
79,12/10/2021,44000,43100,43700,43900,940100,39900
80,13/10/2021,44000,43000,43750,43000,794900,39100
81,14/10/2021,44400,43000,43000,44300,726500,40300
82,15/10/2021,44700,44300,44300,44400,504100,40300
83,18/10/2021,44450,44000,44400,44450,854300,40400
84,19/10/2021,44700,44000,44450,44000,772500,40000
85,20/10/2021,44200,43000,44000,43000,450800,39100
86,21/10/2021,43300,42800,43100,42900,1597100,39000
87,22/10/2021,43600,42700,42900,43100,771200,39200
88,25/10/2021,43400,43000,43100,43200,676000,39300
89,26/10/2021,43200,42800,43100,43150,1427100,39200
90,27/10/2021,43900,43000,43150,43800,899400,39800
91,28/10/2021,44900,43800,43800,44700,537500,40600
92,29/10/2021,45000,44000,44700,44600,1294800,40500
93,01/11/2021,44600,43200,44600,43200,739400,39300
94,02/11/2021,45600,43000,43200,45100,1632300,41000
95,03/11/2021,46100,44200,45100,44200,654900,40200
96,04/11/2021,47250,44000,44200,47250,934800,42900
97,05/11/2021,50500,48900,49000,49900,1355100,45300
98,08/11/2021,51200,50000,50300,50200,794700,45600
99,09/11/2021,52000,48200,50100,52000,878600,47300
100,10/11/2021,52300,50600,52100,52000,775500,47300
101,11/11/2021,50500,47250,47250,48600,1203700,48600
102,12/11/2021,50500,47000,48100,50500,950400,50500
103,15/11/2021,51000,48600,50700,50500,1314300,50500
104,16/11/2021,50500,48600,50500,49000,1242900,49000
105,17/11/2021,50600,49000,49000,50600,850500,50600
106,18/11/2021,52500,50300,50600,52000,526800,52000
107,19/11/2021,53000,49700,52100,53000,658400,53000
108,22/11/2021,52900,51500,52700,52000,2098200,52000
109,23/11/2021,53100,51000,52100,52700,813000,52700
110,24/11/2021,53100,51300,52800,52300,335300,52300
111,25/11/2021,52300,51400,51500,52000,2297200,52000
112,26/11/2021,53000,51800,51900,51800,762600,51800
113,29/11/2021,53000,50500,50500,52100,1656400,52100
114,30/11/2021,53500,51300,52100,53500,1480300,53500
115,01/12/2021,55200,53400,53400,53600,874100,53600
116,02/12/2021,55000,53500,53700,54000,712600,54000
117,03/12/2021,54200,52400,54100,53400,555500,53400
118,06/12/2021,53100,50600,52800,52000,605100,52000
119,07/12/2021,54000,50900,52300,54000,890900,54000
120,08/12/2021,55100,53900,54100,54200,1109500,54200
121,09/12/2021,55000,53700,54500,54300,739400,54300
122,10/12/2021,54500,54000,54400,54500,470100,54500
123,13/12/2021,58300,55700,55800,57500,1219900,57500
124,14/12/2021,58100,56700,58000,57400,1134900,57400
125,15/12/2021,58100,55000,57400,56900,1172800,56900
126,16/12/2021,57400,54000,57000,56500,1139600,56500
127,17/12/2021,57200,53300,56600,53300,1550900,53300
128,20/12/2021,54100,52800,53300,53700,1033000,53700
129,21/12/2021,54500,51000,53700,54400,1250200,54400
130,22/12/2021,56100,54800,54800,55200,863000,55200
131,23/12/2021,55500,53400,55300,54000,966300,54000
132,24/12/2021,56000,53500,55200,54500,1219100,54500
133,27/12/2021,54800,53600,54600,54600,1489700,54600
134,28/12/2021,55100,53000,54700,54800,1560100,54800
135,29/12/2021,55300,53000,54900,54300,1328600,54300
136,30/12/2021,55000,53900,54500,54800,1209600,54800
