,Date,High,Low,Open,Close,Volume,Adj Close
0,06/12/2023,7900,7700,7800,7900,536923,7900
1,07/12/2023,7900,7800,7900,7900,734312,7900
2,08/12/2023,7900,7800,7900,7900,325602,7900
3,11/12/2023,7900,7700,7900,7800,635047,7800
4,12/12/2023,7900,7700,7800,7700,723597,7700
5,13/12/2023,7900,7700,7800,7800,518136,7800
6,14/12/2023,7900,7700,7700,7800,607028,7800
7,15/12/2023,7900,7700,7700,7700,523464,7700
8,18/12/2023,7900,7700,7800,7700,564466,7700
9,19/12/2023,8000,7600,7800,8000,2759931,8000
10,20/12/2023,8000,7900,8000,8000,420890,8000
11,21/12/2023,8000,7900,7900,8000,480339,8000
12,22/12/2023,8000,7800,8000,7900,402789,7900
13,25/12/2023,8000,7800,7900,8000,775091,8000
14,26/12/2023,8000,7900,8000,8000,537196,8000
15,27/12/2023,8000,7900,8000,7900,263946,7900
16,28/12/2023,8000,7800,7900,7900,776098,7900
17,29/12/2023,8000,7900,7900,8000,623931,8000
18,02/01/2024,8600,7900,8000,8200,5601666,8200
19,03/01/2024,8300,8100,8200,8300,1637046,8300
20,04/01/2024,8500,8200,8300,8300,4633006,8300
21,05/01/2024,8300,8100,8300,8200,1200962,8200
22,08/01/2024,8300,8100,8300,8200,962879,8200
23,09/01/2024,8300,8100,8300,8100,1668752,8100
24,10/01/2024,8400,8100,8100,8300,2748710,8300
25,11/01/2024,8800,8200,8300,8500,6136154,8500
26,12/01/2024,8600,8300,8500,8500,3054970,8500
27,15/01/2024,8500,8200,8500,8300,2271431,8300
28,16/01/2024,8400,8200,8300,8400,1152701,8400
29,17/01/2024,8400,8200,8400,8300,1826651,8300
30,18/01/2024,8300,8100,8200,8300,1447788,8300
31,19/01/2024,8300,8100,8300,8300,2654475,8300
32,22/01/2024,8400,8200,8300,8300,1716804,8300
33,23/01/2024,8300,8200,8300,8200,2264829,8200
34,24/01/2024,8300,8200,8200,8300,1580648,8300
35,25/01/2024,8300,8100,8300,8100,499665,8100
36,26/01/2024,8300,8100,8200,8300,841775,8300
37,29/01/2024,8300,8100,8200,8100,550855,8100
38,30/01/2024,8200,8100,8100,8200,1724142,8200
39,31/01/2024,8200,8000,8100,8100,1194754,8100
