,Date,High,Low,Open,Close,Volume,Adj Close
0,12/01/2022,12900,12400,12900,12600,69915,12600
1,13/01/2022,13000,12500,12600,12600,37100,12600
2,14/01/2022,12500,12000,12400,12500,22583,12500
3,17/01/2022,12400,11600,12400,11700,46333,11700
4,18/01/2022,11700,11100,11600,11200,38805,11200
5,19/01/2022,12000,11200,11200,11200,26200,11200
6,20/01/2022,12000,11300,11400,11900,20501,11900
7,21/01/2022,12400,11700,12000,11700,13117,11700
8,24/01/2022,11900,11400,11900,11500,18909,11500
9,25/01/2022,11600,11200,11200,11600,19600,11600
10,26/01/2022,11500,11000,11500,11300,24824,11300
11,27/01/2022,11300,11000,11100,11300,9107,11300
12,28/01/2022,11000,9600,11000,10800,127200,10800
13,07/02/2022,11300,10900,11000,11200,17745,11200
14,08/02/2022,12000,11300,11400,12000,22913,12000
15,09/02/2022,12300,11800,12000,12200,27710,12200
16,10/02/2022,12200,10300,11700,11700,83426,11700
17,11/02/2022,11700,9200,9600,11000,123360,11000
18,14/02/2022,11000,10000,11000,11000,56426,11000
19,15/02/2022,11200,10700,11000,11000,16800,11000
20,16/02/2022,11000,9300,9300,10800,229204,10800
21,17/02/2022,10900,10500,10800,10900,14802,10900
22,18/02/2022,12500,9300,10000,12300,223450,12300
23,21/02/2022,12300,11600,12300,12100,40491,12100
24,22/02/2022,12100,10300,12000,11600,112521,11600
25,23/02/2022,11900,9200,11400,11800,169616,11800
26,24/02/2022,11700,11600,11600,11700,4600602,11700
27,25/02/2022,13000,12000,12000,12400,86866,12400
28,28/02/2022,12300,11400,12300,11600,116995,11600
29,01/03/2022,12000,11000,11600,11700,93034,11700
30,02/03/2022,11700,10600,11700,11000,75001,11000
31,03/03/2022,11600,11000,11100,11400,33382,11400
32,04/03/2022,11800,11400,11400,11500,27067,11500
33,07/03/2022,11500,11200,11500,11400,31751,11400
34,08/03/2022,11600,11100,11400,11200,29312,11200
35,09/03/2022,11600,11100,11600,11400,51453,11400
36,10/03/2022,11600,11200,11500,11300,51940,11300
37,11/03/2022,11300,11200,11300,11200,26301,11200
38,14/03/2022,11200,11000,11200,11100,18200,11100
39,15/03/2022,11100,11000,11100,11100,10644,11100
40,16/03/2022,11600,11000,11100,11100,25818,11100
41,17/03/2022,11600,11300,11300,11300,34325,11300
42,18/03/2022,11600,11300,11500,11600,42033,11600
43,21/03/2022,11400,11200,11400,11400,26503,11400
44,22/03/2022,11700,11300,11500,11400,35600,11400
45,23/03/2022,11500,11300,11400,11400,24764,11400
46,24/03/2022,11700,11100,11700,11300,52700,11300
47,25/03/2022,11600,11300,11400,11500,61913,11500
48,28/03/2022,11500,11200,11500,11300,19100,11300
49,29/03/2022,11500,11300,11400,11300,27800,11300
50,30/03/2022,11500,11100,11500,11300,43131,11300
51,31/03/2022,11400,11200,11300,11400,18037,11400
52,01/04/2022,11400,11000,11300,11300,23200,11300
53,04/04/2022,12000,11100,12000,11300,37591,11300
54,05/04/2022,11400,10600,11200,10800,78002,10800
55,06/04/2022,10900,10900,10900,10900,-,10900
56,07/04/2022,10900,10900,10900,10900,-,10900
57,08/04/2022,10000,9300,10000,9500,192535,9500
58,12/04/2022,9600,9600,9600,9600,-,9600
59,13/04/2022,9600,9600,9600,9600,-,9600
60,14/04/2022,9600,9600,9600,9600,-,9600
61,15/04/2022,10000,9000,9600,9100,103273,9100
62,18/04/2022,9300,9300,9300,9300,-,9300
63,19/04/2022,9300,9300,9300,9300,-,9300
64,20/04/2022,9300,9300,9300,9300,-,9300
65,21/04/2022,9300,9300,9300,9300,-,9300
66,22/04/2022,8900,8000,8900,8100,105991,8100
67,25/04/2022,8200,8200,8200,8200,-,8200
68,26/04/2022,8200,8200,8200,8200,-,8200
69,27/04/2022,8200,8200,8200,8200,-,8200
70,28/04/2022,8200,8200,8200,8200,-,8200
71,29/04/2022,8600,7600,8200,8200,42133,8200
72,04/05/2022,8100,8100,8100,8100,-,8100
73,05/05/2022,8100,8100,8100,8100,-,8100
74,06/05/2022,8700,8000,8100,8700,45076,8700
75,09/05/2022,8300,8300,8300,8300,-,8300
76,10/05/2022,8300,8300,8300,8300,-,8300
77,11/05/2022,8300,8300,8300,8300,-,8300
78,12/05/2022,8300,8300,8300,8300,-,8300
79,13/05/2022,8300,7800,8300,7900,66613,7900
80,16/05/2022,8100,8100,8100,8100,-,8100
81,17/05/2022,8100,8100,8100,8100,-,8100
82,18/05/2022,8100,8100,8100,8100,-,8100
83,19/05/2022,8100,8100,8100,8100,-,8100
84,20/05/2022,8600,7800,7800,8400,30973,8400
85,23/05/2022,8300,8300,8300,8300,-,8300
86,24/05/2022,8300,8300,8300,8300,-,8300
87,25/05/2022,8300,8300,8300,8300,-,8300
88,26/05/2022,8300,8300,8300,8300,-,8300
89,27/05/2022,8500,8000,8300,8200,300520,8200
90,30/05/2022,8300,8300,8300,8300,-,8300
91,31/05/2022,8300,8300,8300,8300,-,8300
92,01/06/2022,8300,8300,8300,8300,-,8300
93,02/06/2022,8300,8300,8300,8300,-,8300
94,03/06/2022,8600,8100,8100,8500,55829,8500
95,06/06/2022,8400,8400,8400,8400,-,8400
96,07/06/2022,8400,8400,8400,8400,-,8400
97,08/06/2022,8400,8400,8400,8400,-,8400
98,09/06/2022,8400,8400,8400,8400,-,8400
99,10/06/2022,8500,8100,8200,8400,21199,8400
