,Date,High,Low,Open,Close,Volume,Adj Close
0,08/12/2022,400,400,400,400,-,400
1,09/12/2022,400,400,400,400,-,400
2,12/12/2022,400,400,400,400,-,400
3,13/12/2022,400,400,400,400,-,400
4,14/12/2022,400,400,400,400,-,400
5,15/12/2022,400,400,400,400,-,400
6,16/12/2022,400,400,400,400,-,400
7,19/12/2022,400,400,400,400,-,400
8,20/12/2022,400,400,400,400,-,400
9,21/12/2022,400,400,400,400,-,400
10,22/12/2022,400,400,400,400,-,400
11,23/12/2022,400,400,400,400,-,400
12,26/12/2022,400,400,400,400,-,400
13,27/12/2022,400,400,400,400,-,400
14,28/12/2022,400,400,400,400,-,400
15,29/12/2022,400,400,400,400,-,400
16,30/12/2022,400,400,400,400,-,400
17,03/01/2023,400,400,400,400,-,400
18,04/01/2023,400,400,400,400,-,400
19,05/01/2023,400,400,400,400,-,400
20,06/01/2023,400,400,400,400,-,400
21,09/01/2023,400,400,400,400,-,400
22,10/01/2023,400,400,400,400,-,400
23,11/01/2023,400,400,400,400,-,400
24,12/01/2023,400,400,400,400,-,400
25,13/01/2023,400,400,400,400,-,400
26,16/01/2023,400,400,400,400,-,400
27,17/01/2023,400,400,400,400,-,400
28,18/01/2023,400,400,400,400,-,400
29,19/01/2023,400,400,400,400,-,400
30,27/01/2023,400,400,400,400,-,400
31,30/01/2023,400,400,400,400,-,400
32,31/01/2023,400,400,400,400,-,400
33,01/02/2023,400,400,400,400,-,400
34,02/02/2023,400,400,400,400,-,400
35,03/02/2023,400,400,400,400,-,400
36,06/02/2023,400,400,400,400,-,400
37,07/02/2023,400,400,400,400,-,400
38,08/02/2023,400,400,400,400,-,400
39,09/02/2023,400,400,400,400,-,400
40,10/02/2023,400,400,400,400,-,400
41,13/02/2023,400,400,400,400,-,400
42,14/02/2023,400,400,400,400,-,400
43,15/02/2023,400,400,400,400,-,400
44,16/02/2023,400,400,400,400,-,400
45,17/02/2023,400,400,400,400,-,400
46,20/02/2023,400,400,400,400,-,400
47,21/02/2023,400,400,400,400,-,400
48,22/02/2023,400,400,400,400,-,400
49,23/02/2023,400,400,400,400,-,400
50,24/02/2023,400,400,400,400,-,400
51,27/02/2023,400,400,400,400,-,400
52,28/02/2023,400,400,400,400,-,400
53,01/03/2023,400,400,400,400,-,400
