,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,10500,10100,10500,10400,706994,7000
1,18/06/2021,11300,10300,10400,11200,3221125,7500
2,21/06/2021,11300,10800,11200,11000,1091445,7400
3,22/06/2021,11100,10500,11000,10700,1318054,7200
4,23/06/2021,10700,10400,10600,10500,955873,7100
5,24/06/2021,10500,10100,10500,10300,990541,6900
6,25/06/2021,10400,10000,10300,10200,626938,6900
7,28/06/2021,10300,10100,10300,10300,434631,6900
8,29/06/2021,10300,10100,10200,10200,497364,6900
9,30/06/2021,10200,9900,10200,10200,613449,6900
10,01/07/2021,10300,10000,10200,10100,413365,6800
11,02/07/2021,10300,9900,10300,10100,737056,6800
12,05/07/2021,10100,9600,10100,9800,807708,6600
13,06/07/2021,9800,9200,9700,9400,805068,6300
14,07/07/2021,9400,8900,9400,9300,955498,6200
15,08/07/2021,9300,9000,9200,9100,323481,6100
16,09/07/2021,9100,8800,9100,8900,512634,6000
17,12/07/2021,8900,7700,8900,8300,939698,5600
18,13/07/2021,8600,8200,8300,8600,412341,5800
19,14/07/2021,8800,8300,8800,8400,374279,5600
20,15/07/2021,8700,8400,8500,8700,278830,5800
21,16/07/2021,8900,8600,8600,8900,334782,6000
22,19/07/2021,8900,8200,8900,8500,644222,5700
23,20/07/2021,8700,8000,8500,8700,331246,5800
24,21/07/2021,8700,8300,8700,8600,310861,5800
25,22/07/2021,8800,8400,8500,8800,362100,5900
26,23/07/2021,8800,8400,8800,8600,273054,5800
27,26/07/2021,8700,8300,8500,8600,175953,5800
28,27/07/2021,8700,8500,8500,8600,191608,5800
29,28/07/2021,9300,8500,8600,9000,808047,6000
30,29/07/2021,9200,9000,9100,9100,165728,6100
31,30/07/2021,9200,8900,9100,9200,347865,6200
32,02/08/2021,9800,9000,9200,9500,724284,6400
33,03/08/2021,9500,9200,9300,9400,279262,6300
34,04/08/2021,9400,9200,9400,9300,234216,6200
35,05/08/2021,9300,9000,9200,9200,332030,6200
36,06/08/2021,9500,9100,9200,9400,651044,6300
37,09/08/2021,9800,9300,9400,9800,1776436,6600
38,10/08/2021,10200,9600,9700,10200,2080300,6900
39,11/08/2021,10700,10100,10200,10500,3333966,7100
40,12/08/2021,11400,10400,10400,10800,4933789,7300
41,13/08/2021,11300,10300,10800,10700,4851712,7200
42,16/08/2021,11200,10600,10700,10700,2642833,7200
43,17/08/2021,10900,10300,10800,10400,3393961,7000
44,18/08/2021,10500,10200,10300,10300,2793667,6900
45,19/08/2021,10700,10200,10200,10600,2689550,7100
46,20/08/2021,11300,10600,10600,10900,9713905,7300
47,23/08/2021,11500,10900,10900,11200,4216927,7500
48,24/08/2021,11200,10500,11200,10600,2898433,7100
49,25/08/2021,10600,10000,10600,10400,4816368,7000
50,26/08/2021,10700,10200,10400,10600,2911520,7100
51,27/08/2021,11600,10300,10600,11400,4855177,7700
52,30/08/2021,12300,11300,11400,12000,6487301,8100
53,31/08/2021,12100,11500,12000,11600,6806607,7800
54,01/09/2021,12300,11400,11600,12300,10537619,8300
55,06/09/2021,12600,12000,12300,12100,3915259,8100
56,07/09/2021,12300,11600,12300,11800,3659122,7900
57,08/09/2021,11900,11400,11700,11800,2290167,7900
58,09/09/2021,12200,11500,11800,12000,2613171,8100
59,10/09/2021,12000,11600,12000,11600,2321523,7800
60,13/09/2021,11600,10900,11600,11000,5357919,7400
61,14/09/2021,10900,10500,10800,10600,1634911,7500
62,15/09/2021,11800,10600,10600,11700,3601996,8300
63,16/09/2021,11900,11200,11700,11300,1772249,8000
64,17/09/2021,11700,11000,11100,11500,2759807,8100
65,20/09/2021,12400,11500,11500,11900,5461211,8400
66,21/09/2021,12000,11300,11700,11800,2787749,8400
67,22/09/2021,12400,11800,11800,12400,4526596,8800
68,23/09/2021,12900,11800,12400,12000,3672422,8500
69,24/09/2021,12000,11600,12000,11700,1853624,8300
70,27/09/2021,11700,10700,11700,10700,3764881,7600
71,28/09/2021,11200,10500,10700,11200,1794169,7900
72,29/09/2021,11800,10800,10800,11700,1665727,8300
73,30/09/2021,11900,11400,11600,11600,928399,8200
74,01/10/2021,11700,11200,11700,11300,1791694,8000
75,04/10/2021,11600,11000,11300,11600,1919700,8200
76,05/10/2021,11800,11400,11600,11600,1767978,8200
77,06/10/2021,12200,11500,11500,12000,5438567,8500
78,07/10/2021,12300,11900,12000,12000,2959206,8500
79,08/10/2021,12100,11700,12000,11900,2169477,8400
80,11/10/2021,12000,11600,11800,11700,2118221,8300
81,12/10/2021,11800,11300,11800,11700,2616933,8300
82,13/10/2021,11800,11400,11600,11700,1528946,8300
83,14/10/2021,12000,11600,11700,11800,1883159,8400
84,15/10/2021,11900,11500,11800,11700,2258544,8300
85,18/10/2021,11700,11400,11700,11500,1909708,8100
86,19/10/2021,11500,11300,11500,11500,1417757,8100
87,20/10/2021,11700,11200,11600,11500,1890396,8100
88,21/10/2021,11600,11300,11500,11600,1520715,8200
89,22/10/2021,12600,11600,11600,12500,8731778,8800
90,25/10/2021,13300,12400,12400,12900,5046388,9100
91,26/10/2021,13100,12500,13000,13100,3856617,9300
92,27/10/2021,13200,12800,13100,13000,3849700,9200
93,28/10/2021,13100,12700,13000,13100,3222896,9300
94,29/10/2021,14000,12900,13100,13900,4881380,9800
95,01/11/2021,14300,13800,14000,14000,3491284,9900
96,02/11/2021,14300,13800,14100,14200,3992246,10100
97,03/11/2021,14600,13000,14200,13500,5165091,9600
98,04/11/2021,14300,13300,13300,14100,3469746,10000
99,05/11/2021,14600,14000,14100,14400,2086153,10200
100,08/11/2021,15400,14000,14100,15000,5968574,10600
101,09/11/2021,15000,14700,14700,15000,2401188,10600
102,10/11/2021,15700,14800,15000,15600,2332828,11000
103,11/11/2021,16400,14400,14400,16100,2921763,11400
104,12/11/2021,18200,15800,15800,18200,4429362,12900
105,15/11/2021,19700,18000,18000,19700,3949753,13900
106,16/11/2021,20700,18300,19900,19700,2799115,13900
107,17/11/2021,21200,18500,19700,20300,2946523,14400
108,18/11/2021,21900,19700,20300,21700,2027668,15400
109,19/11/2021,22000,18200,21800,20600,3718081,14600
110,22/11/2021,21200,18500,21000,18600,4255722,13200
111,23/11/2021,20100,18100,18500,19900,2425499,14100
112,24/11/2021,21500,19500,19900,20900,9160730,14800
113,25/11/2021,21900,20200,20900,21000,1579384,14900
114,26/11/2021,21900,20300,21000,21000,2546801,14900
115,29/11/2021,24000,19900,20200,22900,3185047,16200
116,30/11/2021,24100,22200,22900,23900,2372595,16900
117,01/12/2021,24400,23100,24000,23600,2012359,16700
118,02/12/2021,24700,23300,23900,24300,2313107,17200
119,03/12/2021,24800,23800,24200,23900,3554271,16900
120,06/12/2021,24100,20800,23900,22000,3302834,15600
121,07/12/2021,23000,20900,22000,22800,3033491,16100
122,08/12/2021,23500,22000,22400,22000,1231747,15600
123,09/12/2021,23600,21900,22000,23100,1005083,16400
124,10/12/2021,23300,22500,23100,22800,967131,16100
125,13/12/2021,25000,22800,22800,24600,1638454,17400
126,14/12/2021,25000,23500,24300,23900,1499130,16900
127,15/12/2021,23800,23000,23400,23200,1247500,16400
128,16/12/2021,24200,22500,23200,23600,1282627,16700
129,17/12/2021,24300,22800,23600,24300,1594864,17200
130,20/12/2021,25000,23900,24200,24500,1927090,17300
131,21/12/2021,25500,24300,24400,25100,2728545,17800
132,22/12/2021,25500,24600,25100,24900,1685734,17600
133,23/12/2021,25200,23000,25000,24200,2389180,17100
134,24/12/2021,24200,23200,24200,23900,1430056,16900
135,27/12/2021,25000,23500,23800,24000,1235865,17000
136,28/12/2021,24500,23000,23900,23400,2114241,16600
137,29/12/2021,23600,22500,23400,22800,1482118,16100
138,30/12/2021,24200,22000,22800,23000,2396682,16300
139,31/12/2021,24300,22900,23500,23700,1656194,16800
140,04/01/2022,27200,23500,23500,27200,8586054,19300
141,05/01/2022,30100,27200,28000,29800,5688234,21100
142,06/01/2022,31500,29500,29800,29600,4743454,21000
143,07/01/2022,30100,28500,29800,29800,4691515,21100
144,10/01/2022,32000,28500,29400,29200,6437366,20700
145,11/01/2022,33100,27000,27000,30000,9366866,21200
146,12/01/2022,32900,29300,30000,30500,4927887,21600
147,13/01/2022,31200,27000,30500,27800,4218274,19700
148,14/01/2022,29300,25600,26100,28000,2528885,19800
149,17/01/2022,29500,26000,28100,27000,3175037,19100
150,18/01/2022,29000,25200,27000,25700,4114074,18200
151,19/01/2022,26300,23200,26000,23400,4975454,16600
152,20/01/2022,19500,17000,17000,19500,3305029,19500
153,21/01/2022,21900,20000,21800,20500,3708912,20500
154,24/01/2022,21000,18500,20900,18900,1546324,18900
155,25/01/2022,21800,18000,18500,19700,3986862,19700
156,26/01/2022,20800,18700,19000,19500,1427773,19500
157,27/01/2022,19800,18600,19600,18900,768505,18900
158,28/01/2022,19000,17900,18800,18700,1699171,18700
159,07/02/2022,20000,18900,19100,19300,1468853,19300
160,08/02/2022,20200,19000,19000,19900,3377142,19900
161,09/02/2022,21400,19900,19900,20400,5475178,20400
162,10/02/2022,21400,20200,20400,20800,5977436,20800
163,11/02/2022,21500,20700,20800,21000,2215056,21000
164,14/02/2022,21300,19800,21000,20000,5426982,20000
165,15/02/2022,20400,19300,20000,20100,2093452,20100
166,16/02/2022,20900,20000,20200,20600,2379499,20600
167,17/02/2022,21800,20400,20600,21600,7236364,21600
168,18/02/2022,22300,21000,21700,21700,4228177,21700
169,21/02/2022,22800,21200,21700,22200,4133444,22200
170,22/02/2022,22000,20500,21900,21200,4867097,21200
171,23/02/2022,21500,20900,21100,21300,2503698,21300
172,24/02/2022,21200,19200,21200,20400,10580143,20400
173,25/02/2022,20900,20000,20000,20500,2056781,20500
174,28/02/2022,20500,19900,20500,20300,2424559,20300
175,01/03/2022,20800,19800,20300,20600,2872671,20600
176,02/03/2022,20800,20100,20600,20500,1819565,20500
177,03/03/2022,20600,20000,20500,20600,2298687,20600
178,04/03/2022,22500,20600,20600,22000,7804937,22000
179,07/03/2022,22900,21200,22000,22400,4190150,22400
180,08/03/2022,23700,21700,22400,22700,6583117,22700
181,09/03/2022,23300,21400,22700,22600,4364229,22600
182,10/03/2022,23400,22500,22600,22700,2029769,22700
183,11/03/2022,23800,22100,22700,22800,6261313,22800
184,14/03/2022,23000,22000,22800,22400,3187517,22400
185,15/03/2022,25500,22300,22500,24400,8015766,24400
186,16/03/2022,25400,24000,24500,24500,3397719,24500
187,17/03/2022,25000,24200,24500,24400,2428127,24400
188,18/03/2022,25000,24100,24400,24600,3389669,24600
189,21/03/2022,25900,24500,24600,25500,3948598,25500
190,22/03/2022,25800,25000,25600,25200,3077757,25200
191,23/03/2022,25500,24200,25200,24400,5219118,24400
192,24/03/2022,24900,23500,24300,24600,3247963,24600
193,25/03/2022,25400,24500,24600,25100,3271916,25100
194,28/03/2022,25200,24200,25000,24800,3864537,24800
195,29/03/2022,25500,24600,24800,25300,3823828,25300
196,30/03/2022,26900,24800,25400,25800,5688022,25800
197,31/03/2022,26500,24800,26000,25300,3153729,25300
198,01/04/2022,25700,24800,25300,25500,2371131,25500
199,04/04/2022,25900,25100,25500,25300,3688703,25300
200,05/04/2022,26500,25100,25300,25900,4645856,25900
201,06/04/2022,26500,25600,26000,26000,4154490,26000
202,07/04/2022,26100,25200,26100,25300,2615489,25300
203,08/04/2022,25500,23900,25300,24000,6465863,24000
204,12/04/2022,24500,22600,24000,23000,3851140,23000
205,13/04/2022,24900,22900,23000,24400,2875242,24400
206,14/04/2022,24400,23600,24300,23800,1302104,23800
207,15/04/2022,24100,23500,24000,23700,1850858,23700
208,18/04/2022,23600,20800,23600,21400,4537225,21400
209,19/04/2022,21800,19800,21400,19900,3461637,19900
210,20/04/2022,20500,19600,19900,19800,2231959,19800
211,21/04/2022,21500,18900,19700,19900,3679330,19900
212,22/04/2022,20900,19300,19900,19900,2050191,19900
213,25/04/2022,19800,17000,19500,17000,6550501,17000
214,26/04/2022,16700,14700,15500,16000,7415017,16000
215,27/04/2022,16400,15300,16000,16300,3436947,16300
216,28/04/2022,17200,16000,16300,16600,2527511,16600
217,29/04/2022,17100,16300,16600,16900,2484662,16900
218,04/05/2022,17800,16800,16900,17000,4021191,17000
219,05/05/2022,17800,16500,17100,17200,4252654,17200
220,06/05/2022,17000,16200,17000,16300,2462232,16300
221,09/05/2022,16200,14200,16100,14200,4987335,14200
222,10/05/2022,14600,12800,14200,14100,2549466,14100
223,11/05/2022,14500,13800,14100,14200,1250139,14200
224,12/05/2022,14400,12300,14100,12700,2428852,12700
225,13/05/2022,13300,11700,12700,12000,4260820,12000
226,16/05/2022,13300,12000,12100,12400,2626314,12400
227,17/05/2022,14000,12300,12700,13900,3370993,13900
228,18/05/2022,14400,13500,13500,13800,3085183,13800
229,19/05/2022,14000,12900,13500,13600,2413982,13600
230,20/05/2022,14200,13600,13600,14000,3454145,14000
231,23/05/2022,14700,13700,14000,13900,3736487,13900
232,24/05/2022,14200,13500,14000,14100,2251143,14100
233,25/05/2022,14800,14000,14100,14600,4786361,14600
234,26/05/2022,15100,14500,14500,14700,4184392,14700
235,27/05/2022,15000,14600,14800,14800,2496182,14800
236,30/05/2022,15000,14600,14700,14900,3268803,14900
237,31/05/2022,15300,14600,14900,15000,4879320,15000
238,01/06/2022,15200,14600,15000,15000,2500494,15000
239,02/06/2022,15200,14700,14900,14700,3502033,14700
240,03/06/2022,14800,14100,14700,14500,2500335,14500
241,06/06/2022,14800,14100,14500,14100,2283402,14100
242,07/06/2022,14100,13100,14100,13600,3112144,13600
243,08/06/2022,14100,13600,13600,13900,2715663,13900
244,09/06/2022,15000,13900,13900,14500,3700654,14500
245,10/06/2022,14800,14000,14500,14000,2358541,14000
246,13/06/2022,14000,12800,14000,12900,4395192,12900
247,14/06/2022,13600,12300,12600,12900,3656867,12900
248,15/06/2022,13500,11700,12900,12400,3382661,12400
249,16/06/2022,13200,12400,12400,12500,1651496,12500
250,17/06/2022,12500,11000,12400,11100,3170954,11100
