,Date,High,Low,Open,Close,Volume,Adj Close
0,10/06/2021,15100,15100,15100,15100,-,15100
1,11/06/2021,15100,15100,15100,15100,-,15100
2,14/06/2021,15100,15100,15100,15100,31,15100
3,15/06/2021,15100,15100,15100,15100,-,15100
4,16/06/2021,15100,15100,15100,15100,-,15100
5,17/06/2021,15100,15100,15100,15100,-,15100
6,18/06/2021,15100,15100,15100,15100,-,15100
7,21/06/2021,15100,15100,15100,15100,-,15100
8,22/06/2021,15100,15100,15100,15100,-,15100
9,23/06/2021,15100,15100,15100,15100,-,15100
10,24/06/2021,15100,15100,15100,15100,-,15100
11,25/06/2021,15100,15100,15100,15100,-,15100
12,28/06/2021,15100,15100,15100,15100,-,15100
13,29/06/2021,15100,15100,15100,15100,-,15100
14,30/06/2021,15100,15100,15100,15100,-,15100
15,01/07/2021,12900,12900,12900,12900,3400,12900
16,02/07/2021,12900,12900,12900,12900,-,12900
17,05/07/2021,12900,12900,12900,12900,-,12900
18,06/07/2021,12900,12900,12900,12900,1600,12900
19,07/07/2021,12900,12900,12900,12900,-,12900
20,08/07/2021,12900,12900,12900,12900,-,12900
21,09/07/2021,12900,12900,12900,12900,-,12900
22,12/07/2021,12900,12900,12900,12900,-,12900
23,13/07/2021,12900,12900,12900,12900,-,12900
24,14/07/2021,12900,12900,12900,12900,-,12900
25,15/07/2021,12900,12900,12900,12900,-,12900
26,16/07/2021,12900,12900,12900,12900,-,12900
27,19/07/2021,12900,12900,12900,12900,-,12900
28,20/07/2021,12000,12000,12000,12000,500,12000
29,21/07/2021,12000,12000,12000,12000,-,12000
30,22/07/2021,12000,12000,12000,12000,-,12000
31,23/07/2021,12000,12000,12000,12000,-,12000
32,26/07/2021,13800,13500,13500,13800,1331,13800
33,27/07/2021,13700,13700,13700,13700,-,13700
34,28/07/2021,14000,14000,14000,14000,100,14000
35,29/07/2021,14000,14000,14000,14000,2000,14000
36,30/07/2021,14000,14000,14000,14000,-,14000
37,02/08/2021,14000,14000,14000,14000,-,14000
38,03/08/2021,14000,14000,14000,14000,1500,14000
39,04/08/2021,14000,14000,14000,14000,400,14000
40,05/08/2021,14000,14000,14000,14000,-,14000
41,06/08/2021,14000,14000,14000,14000,-,14000
42,09/08/2021,14000,14000,14000,14000,-,14000
43,10/08/2021,14000,14000,14000,14000,-,14000
44,11/08/2021,14000,14000,14000,14000,-,14000
45,12/08/2021,14000,14000,14000,14000,-,14000
46,13/08/2021,14000,14000,14000,14000,-,14000
47,16/08/2021,14000,14000,14000,14000,1,14000
48,17/08/2021,14000,14000,14000,14000,-,14000
49,18/08/2021,14000,14000,14000,14000,2000,14000
50,19/08/2021,14000,14000,14000,14000,1100,14000
51,20/08/2021,14000,14000,14000,14000,-,14000
52,23/08/2021,14000,14000,14000,14000,-,14000
53,24/08/2021,14000,14000,14000,14000,-,14000
54,25/08/2021,14000,14000,14000,14000,-,14000
55,26/08/2021,14000,14000,14000,14000,-,14000
56,27/08/2021,14000,14000,14000,14000,-,14000
57,30/08/2021,14000,14000,14000,14000,-,14000
58,31/08/2021,14000,14000,14000,14000,-,14000
59,01/09/2021,14000,14000,14000,14000,-,14000
60,06/09/2021,14000,14000,14000,14000,-,14000
61,07/09/2021,14000,14000,14000,14000,-,14000
62,08/09/2021,14000,14000,14000,14000,-,14000
63,09/09/2021,14000,14000,14000,14000,-,14000
64,10/09/2021,14000,14000,14000,14000,-,14000
65,13/09/2021,14000,14000,14000,14000,-,14000
66,14/09/2021,14000,14000,14000,14000,-,14000
67,15/09/2021,14000,14000,14000,14000,-,14000
68,16/09/2021,14000,14000,14000,14000,-,14000
69,17/09/2021,14000,14000,14000,14000,-,14000
70,20/09/2021,14000,14000,14000,14000,-,14000
71,21/09/2021,14000,14000,14000,14000,-,14000
72,22/09/2021,14000,14000,14000,14000,-,14000
73,23/09/2021,14000,14000,14000,14000,-,14000
74,24/09/2021,14000,14000,14000,14000,-,14000
75,27/09/2021,14000,14000,14000,14000,-,14000
76,28/09/2021,14000,14000,14000,14000,-,14000
77,29/09/2021,14000,14000,14000,14000,-,14000
78,30/09/2021,14000,14000,14000,14000,-,14000
79,01/10/2021,14000,14000,14000,14000,-,14000
80,04/10/2021,14000,14000,14000,14000,-,14000
81,05/10/2021,14000,14000,14000,14000,-,14000
82,06/10/2021,14000,14000,14000,14000,-,14000
83,07/10/2021,14000,14000,14000,14000,-,14000
84,08/10/2021,14000,14000,14000,14000,-,14000
85,11/10/2021,14000,14000,14000,14000,-,14000
86,12/10/2021,14000,14000,14000,14000,-,14000
87,13/10/2021,14000,14000,14000,14000,-,14000
88,14/10/2021,14000,14000,14000,14000,-,14000
89,15/10/2021,14000,14000,14000,14000,-,14000
90,18/10/2021,14000,14000,14000,14000,-,14000
91,19/10/2021,14000,14000,14000,14000,-,14000
92,20/10/2021,14000,14000,14000,14000,-,14000
93,21/10/2021,14000,14000,14000,14000,-,14000
94,22/10/2021,14000,14000,14000,14000,-,14000
95,25/10/2021,14000,14000,14000,14000,-,14000
96,26/10/2021,14000,14000,14000,14000,-,14000
97,27/10/2021,14000,14000,14000,14000,-,14000
98,28/10/2021,14000,14000,14000,14000,-,14000
99,29/10/2021,14000,14000,14000,14000,-,14000
100,01/11/2021,14000,14000,14000,14000,-,14000
101,02/11/2021,14000,14000,14000,14000,-,14000
102,03/11/2021,14000,14000,14000,14000,-,14000
103,04/11/2021,14000,14000,14000,14000,-,14000
104,05/11/2021,14000,14000,14000,14000,-,14000
105,08/11/2021,14000,14000,14000,14000,-,14000
106,09/11/2021,14000,14000,14000,14000,-,14000
107,10/11/2021,14000,14000,14000,14000,-,14000
108,11/11/2021,14000,14000,14000,14000,-,14000
109,12/11/2021,14000,14000,14000,14000,4200,14000
110,15/11/2021,14000,14000,14000,14000,-,14000
111,16/11/2021,14000,14000,14000,14000,-,14000
112,17/11/2021,14000,14000,14000,14000,-,14000
113,18/11/2021,14000,14000,14000,14000,-,14000
114,19/11/2021,14000,14000,14000,14000,-,14000
115,22/11/2021,14000,14000,14000,14000,500,14000
116,23/11/2021,14000,14000,14000,14000,500,14000
117,24/11/2021,14000,14000,14000,14000,400,14000
118,25/11/2021,14000,14000,14000,14000,-,14000
119,26/11/2021,14000,14000,14000,14000,3,14000
120,29/11/2021,14000,14000,14000,14000,2000,14000
121,30/11/2021,15000,14500,14500,15000,2900,15000
122,01/12/2021,16500,15000,15000,16500,3000,16500
123,02/12/2021,15600,15600,15600,15600,-,15600
124,03/12/2021,15600,15600,15600,15600,-,15600
125,06/12/2021,15600,15600,15600,15600,-,15600
126,07/12/2021,15600,15600,15600,15600,-,15600
127,08/12/2021,15600,15600,15600,15600,-,15600
128,09/12/2021,15600,15600,15600,15600,-,15600
129,10/12/2021,15600,15600,15600,15600,-,15600
130,13/12/2021,15600,15600,15600,15600,-,15600
131,14/12/2021,15600,15600,15600,15600,-,15600
132,15/12/2021,15600,15600,15600,15600,-,15600
133,16/12/2021,15600,15600,15600,15600,-,15600
134,17/12/2021,15600,15600,15600,15600,-,15600
135,20/12/2021,15600,15600,15600,15600,200,15600
136,21/12/2021,15600,15500,15500,15600,1600,15600
137,22/12/2021,15600,15500,15500,15600,3200,15600
138,23/12/2021,13400,13400,13400,13400,100,13400
139,24/12/2021,11500,11500,11500,11500,100,11500
140,27/12/2021,13200,10000,13200,13200,1600,13200
141,28/12/2021,12000,12000,12000,12000,1000,12000
142,29/12/2021,12500,12500,12500,12500,6400300,12500
143,30/12/2021,14000,14000,14000,14000,1003,14000
144,31/12/2021,15800,14100,15800,14100,2900,14100
145,04/01/2022,14600,14600,14600,14600,-,14600
146,05/01/2022,12900,12900,12900,12900,100,12900
147,06/01/2022,12200,12200,12200,12200,500,12200
148,07/01/2022,12200,12200,12200,12200,-,12200
149,10/01/2022,12200,12200,12200,12200,-,12200
150,11/01/2022,12200,12200,12200,12200,-,12200
151,12/01/2022,12200,12200,12200,12200,-,12200
152,13/01/2022,12200,12200,12200,12200,-,12200
