,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,20900,20900,20900,20900,-,19000
1,04/06/2021,20900,20900,20900,20900,-,19000
2,07/06/2021,20900,20900,20900,20900,-,19000
3,08/06/2021,20900,20900,20900,20900,-,19000
4,09/06/2021,20900,20900,20900,20900,-,19000
5,10/06/2021,20900,20900,20900,20900,-,19000
6,11/06/2021,20900,20900,20900,20900,-,19000
7,14/06/2021,20900,20900,20900,20900,-,19000
8,15/06/2021,22000,22000,22000,22000,100,20000
9,16/06/2021,22000,22000,22000,22000,-,20000
10,17/06/2021,22000,22000,22000,22000,-,20000
11,18/06/2021,22000,22000,22000,22000,-,20000
12,21/06/2021,22000,22000,22000,22000,-,20000
13,22/06/2021,22000,22000,22000,22000,-,20000
14,23/06/2021,22000,22000,22000,22000,-,20000
15,24/06/2021,22000,22000,22000,22000,2,20000
16,25/06/2021,22000,22000,22000,22000,-,20000
17,28/06/2021,22000,22000,22000,22000,-,20000
18,29/06/2021,22000,22000,22000,22000,384,20000
19,30/06/2021,22000,22000,22000,22000,-,20000
20,01/07/2021,22000,22000,22000,22000,-,20000
21,02/07/2021,22000,22000,22000,22000,-,20000
22,05/07/2021,22000,22000,22000,22000,-,20000
23,06/07/2021,22000,22000,22000,22000,-,20000
24,07/07/2021,22000,22000,22000,22000,-,20000
25,08/07/2021,22000,22000,22000,22000,-,20000
26,09/07/2021,22000,22000,22000,22000,-,20000
27,12/07/2021,22000,22000,22000,22000,-,20000
28,13/07/2021,22000,22000,22000,22000,-,20000
29,14/07/2021,22000,22000,22000,22000,-,20000
30,15/07/2021,22000,22000,22000,22000,-,20000
31,16/07/2021,22000,22000,22000,22000,-,20000
32,19/07/2021,22000,22000,22000,22000,-,20000
33,20/07/2021,22000,22000,22000,22000,-,20000
34,21/07/2021,22000,22000,22000,22000,-,20000
35,22/07/2021,22000,22000,22000,22000,-,20000
36,23/07/2021,22000,22000,22000,22000,-,20000
37,26/07/2021,22000,22000,22000,22000,-,20000
38,27/07/2021,22000,22000,22000,22000,-,20000
39,28/07/2021,22000,22000,22000,22000,-,20000
40,29/07/2021,22000,22000,22000,22000,-,20000
41,30/07/2021,22000,22000,22000,22000,-,20000
42,02/08/2021,22000,22000,22000,22000,-,20000
43,03/08/2021,22000,22000,22000,22000,-,20000
44,04/08/2021,22000,22000,22000,22000,-,20000
45,05/08/2021,22000,22000,22000,22000,-,20000
46,06/08/2021,22000,22000,22000,22000,1,20000
47,09/08/2021,22000,22000,22000,22000,-,20000
48,10/08/2021,22000,22000,22000,22000,-,20000
49,11/08/2021,22000,22000,22000,22000,-,20000
50,12/08/2021,22000,22000,22000,22000,-,20000
51,13/08/2021,22000,22000,22000,22000,-,20000
52,16/08/2021,22000,22000,22000,22000,-,20000
53,17/08/2021,22000,22000,22000,22000,-,20000
54,18/08/2021,22000,22000,22000,22000,-,20000
55,19/08/2021,22000,22000,22000,22000,-,20000
56,20/08/2021,22000,22000,22000,22000,-,20000
57,23/08/2021,22000,22000,22000,22000,-,20000
58,24/08/2021,22000,22000,22000,22000,-,20000
59,25/08/2021,22000,22000,22000,22000,-,20000
60,26/08/2021,22000,22000,22000,22000,-,20000
61,27/08/2021,22000,22000,22000,22000,-,20000
62,30/08/2021,22000,22000,22000,22000,-,20000
63,31/08/2021,22000,22000,22000,22000,-,20000
64,01/09/2021,22000,22000,22000,22000,-,20000
65,06/09/2021,22000,22000,22000,22000,-,20000
66,07/09/2021,22000,22000,22000,22000,-,20000
67,08/09/2021,22000,22000,22000,22000,-,20000
68,09/09/2021,22000,22000,22000,22000,-,20000
69,10/09/2021,22000,22000,22000,22000,-,20000
70,13/09/2021,22000,22000,22000,22000,-,20000
71,14/09/2021,22000,22000,22000,22000,-,20000
72,15/09/2021,22000,22000,22000,22000,-,20000
73,16/09/2021,22000,22000,22000,22000,-,20000
74,17/09/2021,22000,22000,22000,22000,-,20000
75,20/09/2021,22000,22000,22000,22000,-,20000
76,21/09/2021,22000,22000,22000,22000,-,20000
77,22/09/2021,22000,22000,22000,22000,-,20000
78,23/09/2021,22000,22000,22000,22000,-,20000
79,24/09/2021,22000,22000,22000,22000,-,20000
80,27/09/2021,22000,22000,22000,22000,-,20000
81,28/09/2021,22000,22000,22000,22000,-,20000
82,29/09/2021,22000,22000,22000,22000,-,20000
83,30/09/2021,22000,22000,22000,22000,-,20000
84,01/10/2021,22000,22000,22000,22000,-,20000
85,04/10/2021,22000,22000,22000,22000,-,20000
86,05/10/2021,22000,22000,22000,22000,-,20000
87,06/10/2021,22000,22000,22000,22000,-,20000
88,07/10/2021,22000,22000,22000,22000,-,20000
89,08/10/2021,22000,22000,22000,22000,-,20000
90,11/10/2021,22000,22000,22000,22000,-,20000
91,12/10/2021,22000,22000,22000,22000,-,20000
92,13/10/2021,22000,22000,22000,22000,-,20000
93,14/10/2021,22000,22000,22000,22000,-,20000
94,15/10/2021,22000,22000,22000,22000,-,20000
95,18/10/2021,22000,22000,22000,22000,-,20000
96,19/10/2021,22000,22000,22000,22000,-,20000
97,20/10/2021,22000,22000,22000,22000,-,20000
98,21/10/2021,22000,22000,22000,22000,-,20000
99,22/10/2021,22000,22000,22000,22000,-,20000
100,25/10/2021,22000,22000,22000,22000,-,20000
101,26/10/2021,22000,22000,22000,22000,-,20000
102,27/10/2021,22000,22000,22000,22000,-,20000
103,28/10/2021,22000,22000,22000,22000,-,20000
104,29/10/2021,22000,22000,22000,22000,-,20000
105,01/11/2021,22000,22000,22000,22000,-,20000
106,02/11/2021,22000,22000,22000,22000,-,20000
107,03/11/2021,22000,22000,22000,22000,-,20000
108,04/11/2021,22000,22000,22000,22000,-,20000
109,05/11/2021,22000,22000,22000,22000,-,20000
110,08/11/2021,22000,22000,22000,22000,-,20000
111,09/11/2021,22000,22000,22000,22000,-,20000
112,10/11/2021,22000,22000,22000,22000,-,20000
113,11/11/2021,22000,22000,22000,22000,-,20000
114,12/11/2021,22000,22000,22000,22000,-,20000
115,15/11/2021,22000,22000,22000,22000,-,20000
116,16/11/2021,22000,22000,22000,22000,-,20000
117,17/11/2021,22000,22000,22000,22000,-,20000
118,18/11/2021,22000,22000,22000,22000,-,20000
119,19/11/2021,22000,22000,22000,22000,-,20000
120,22/11/2021,22000,22000,22000,22000,-,20000
121,23/11/2021,22000,22000,22000,22000,-,20000
122,24/11/2021,22000,22000,22000,22000,-,20000
123,25/11/2021,30000,30000,30000,30000,500,27300
124,26/11/2021,30000,30000,30000,30000,-,27300
125,29/11/2021,31800,31800,31800,31800,100,28900
126,30/11/2021,36400,36400,36400,36400,100,33100
127,01/12/2021,36400,36400,36400,36400,-,33100
128,02/12/2021,36400,36400,36400,36400,-,33100
129,03/12/2021,36400,36400,36400,36400,-,33100
130,06/12/2021,36400,36400,36400,36400,-,33100
131,07/12/2021,36400,36400,36400,36400,-,33100
132,08/12/2021,36400,36400,36400,36400,-,33100
133,09/12/2021,36400,36400,36400,36400,-,33100
134,10/12/2021,33100,33100,33100,33100,-,33100
135,13/12/2021,33100,33100,33100,33100,-,33100
136,14/12/2021,33100,33100,33100,33100,-,33100
137,15/12/2021,33100,33100,33100,33100,-,33100
138,16/12/2021,33100,33100,33100,33100,-,33100
139,17/12/2021,33100,33100,33100,33100,-,33100
140,20/12/2021,28200,28200,28200,28200,100,28200
141,21/12/2021,24000,24000,24000,24000,100,24000
142,22/12/2021,24000,24000,24000,24000,-,24000
143,23/12/2021,21200,21200,21200,21200,100,21200
144,24/12/2021,21300,21200,21200,21300,600,21300
145,27/12/2021,21200,21200,21200,21200,100,21200
146,28/12/2021,21200,21200,21200,21200,-,21200
147,29/12/2021,21200,21200,21200,21200,-,21200
148,30/12/2021,21200,21200,21200,21200,-,21200
149,31/12/2021,21200,21200,21200,21200,-,21200
150,04/01/2022,21200,21200,21200,21200,-,21200
151,05/01/2022,21200,21200,21200,21200,100,21200
152,06/01/2022,21200,21200,21200,21200,-,21200
153,07/01/2022,21200,21200,21200,21200,30000,21200
154,10/01/2022,18100,18100,18100,18100,100,18100
155,11/01/2022,18100,18100,18100,18100,-,18100
156,12/01/2022,18100,18100,18100,18100,-,18100
157,13/01/2022,18100,18100,18100,18100,-,18100
158,14/01/2022,18100,18100,18100,18100,-,18100
159,17/01/2022,18100,18100,18100,18100,-,18100
160,18/01/2022,18100,18100,18100,18100,-,18100
161,19/01/2022,18100,18100,18100,18100,-,18100
162,20/01/2022,18100,18100,18100,18100,-,18100
163,21/01/2022,18100,18100,18100,18100,-,18100
164,24/01/2022,18100,18100,18100,18100,-,18100
165,25/01/2022,18100,18100,18100,18100,-,18100
