,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,24000,24000,24000,24000,-,23000
1,04/06/2021,26100,26100,26100,26100,100,25000
2,07/06/2021,26100,26100,26100,26100,1,25000
3,08/06/2021,26100,26100,26100,26100,-,25000
4,09/06/2021,26100,26100,26100,26100,-,25000
5,10/06/2021,26600,26600,26600,26600,100,25500
6,11/06/2021,26600,26600,26600,26600,-,25500
7,14/06/2021,26600,26600,26600,26600,-,25500
8,15/06/2021,26600,26600,26600,26600,100,25500
9,16/06/2021,26600,26600,26600,26600,-,25500
10,17/06/2021,26600,26600,26600,26600,-,25500
11,18/06/2021,26600,26600,26600,26600,-,25500
12,21/06/2021,26600,26600,26600,26600,400,25500
13,22/06/2021,26600,26600,26600,26600,-,25500
14,23/06/2021,26600,26600,26600,26600,-,25500
15,24/06/2021,27500,27500,27500,27500,200,26400
16,25/06/2021,27500,27500,27500,27500,-,26400
17,28/06/2021,27500,27500,27500,27500,-,26400
18,29/06/2021,27500,27500,27500,27500,-,26400
19,30/06/2021,27500,27500,27500,27500,-,26400
20,01/07/2021,27500,27500,27500,27500,-,26400
21,02/07/2021,27500,27500,27500,27500,-,26400
22,05/07/2021,27500,27500,27500,27500,-,26400
23,06/07/2021,27500,27500,27500,27500,-,26400
24,07/07/2021,27500,27500,27500,27500,-,26400
25,08/07/2021,27500,27500,27500,27500,-,26400
26,09/07/2021,27500,27500,27500,27500,-,26400
27,12/07/2021,27500,27500,27500,27500,-,26400
28,13/07/2021,27500,27500,27500,27500,-,26400
29,14/07/2021,27500,27500,27500,27500,-,26400
30,15/07/2021,27500,27500,27500,27500,-,26400
31,16/07/2021,27500,27500,27500,27500,-,26400
32,19/07/2021,27500,27500,27500,27500,-,26400
33,20/07/2021,27500,27500,27500,27500,-,26400
34,21/07/2021,27500,27500,27500,27500,-,26400
35,22/07/2021,27500,27500,27500,27500,-,26400
36,23/07/2021,27500,27500,27500,27500,-,26400
37,26/07/2021,27500,27500,27500,27500,-,26400
38,27/07/2021,27500,27500,27500,27500,-,26400
39,28/07/2021,27500,27500,27500,27500,-,26400
40,29/07/2021,27500,27500,27500,27500,-,26400
41,30/07/2021,27500,27500,27500,27500,-,26400
42,02/08/2021,27500,27500,27500,27500,-,26400
43,03/08/2021,27500,27500,27500,27500,-,26400
44,04/08/2021,27400,27400,27400,27400,100,26300
45,05/08/2021,27400,27400,27400,27400,-,26300
46,06/08/2021,27400,27400,27400,27400,-,26300
47,09/08/2021,24700,24700,24700,24700,100,23700
48,10/08/2021,24700,24700,24700,24700,-,23700
49,11/08/2021,24700,24700,24700,24700,-,23700
50,12/08/2021,24700,24700,24700,24700,-,23700
51,13/08/2021,24700,24700,24700,24700,-,23700
52,16/08/2021,24700,24700,24700,24700,-,23700
53,17/08/2021,24700,24700,24700,24700,-,23700
54,18/08/2021,24700,24700,24700,24700,-,23700
55,19/08/2021,24700,24700,24700,24700,-,23700
56,20/08/2021,24700,24700,24700,24700,-,23700
57,23/08/2021,24700,24700,24700,24700,3,23700
58,24/08/2021,24700,24700,24700,24700,-,23700
59,25/08/2021,24700,24700,24700,24700,-,23700
60,26/08/2021,24700,24700,24700,24700,-,23700
61,27/08/2021,28100,26800,26800,28100,300,26900
62,30/08/2021,27700,27700,27700,27700,-,26600
63,31/08/2021,27700,27700,27700,27700,-,26600
64,01/09/2021,27700,27700,27700,27700,-,26600
65,06/09/2021,27700,27700,27700,27700,-,26600
66,07/09/2021,27700,27700,27700,27700,-,26600
67,08/09/2021,27700,27700,27700,27700,-,26600
68,09/09/2021,27700,27700,27700,27700,-,26600
69,10/09/2021,27700,27700,27700,27700,-,26600
70,13/09/2021,27700,27700,27700,27700,-,26600
71,14/09/2021,27700,27700,27700,27700,-,26600
72,15/09/2021,27700,27700,27700,27700,-,26600
73,16/09/2021,27700,27700,27700,27700,-,26600
74,17/09/2021,27700,27700,27700,27700,-,26600
75,20/09/2021,27700,27700,27700,27700,-,26600
76,21/09/2021,27700,27700,27700,27700,-,26600
77,22/09/2021,27700,27700,27700,27700,-,26600
78,23/09/2021,27700,27700,27700,27700,-,26600
79,24/09/2021,27700,27700,27700,27700,15,26600
80,27/09/2021,27700,27700,27700,27700,-,26600
81,28/09/2021,27700,27700,27700,27700,-,26600
82,29/09/2021,25300,25300,25300,25300,100,24300
83,30/09/2021,25300,25300,25300,25300,-,24300
84,01/10/2021,25300,25300,25300,25300,-,24300
85,04/10/2021,25300,25300,25300,25300,-,24300
86,05/10/2021,22800,21600,22800,21600,300,20700
87,06/10/2021,22000,22000,22000,22000,6900,21100
88,07/10/2021,22000,22000,22000,22000,-,21100
89,08/10/2021,22000,22000,22000,22000,-,21100
90,11/10/2021,22000,22000,22000,22000,-,21100
91,12/10/2021,22000,22000,22000,22000,-,21100
92,13/10/2021,22000,22000,22000,22000,-,21100
93,14/10/2021,25300,25000,25000,25300,13700,24300
94,15/10/2021,25300,25300,25300,25300,-,24300
95,18/10/2021,25300,25300,25300,25300,-,24300
96,19/10/2021,25300,25300,25300,25300,-,24300
97,20/10/2021,25300,25300,25300,25300,-,24300
98,21/10/2021,25500,25500,25500,25500,100,24500
99,22/10/2021,25500,25500,25500,25500,-,24500
100,25/10/2021,25500,25500,25500,25500,-,24500
101,26/10/2021,25500,25500,25500,25500,-,24500
102,27/10/2021,25500,25500,25500,25500,-,24500
103,28/10/2021,25500,25500,25500,25500,-,24500
104,29/10/2021,25500,25500,25500,25500,-,24500
105,01/11/2021,25500,25500,25500,25500,-,24500
106,02/11/2021,25500,25500,25500,25500,-,24500
107,03/11/2021,25500,25500,25500,25500,-,24500
108,04/11/2021,25500,25500,25500,25500,-,24500
109,05/11/2021,25500,25500,25500,25500,-,24500
110,08/11/2021,25500,25500,25500,25500,-,24500
111,09/11/2021,25500,25500,25500,25500,-,24500
112,10/11/2021,24000,24000,24000,24000,1100,23000
113,11/11/2021,24000,24000,24000,24000,-,23000
114,12/11/2021,24000,24000,24000,24000,-,23000
115,15/11/2021,24000,24000,24000,24000,-,23000
116,16/11/2021,24000,24000,24000,24000,-,23000
117,17/11/2021,24000,24000,24000,24000,-,23000
118,18/11/2021,27600,27000,27000,27600,400,26500
119,19/11/2021,30000,30000,30000,30000,100,28800
120,22/11/2021,30000,30000,30000,30000,-,28800
121,23/11/2021,30000,30000,30000,30000,-,28800
122,24/11/2021,31000,31000,31000,31000,100,29700
123,25/11/2021,31000,31000,31000,31000,100,29700
124,26/11/2021,32000,30000,30000,32000,1100,30700
125,29/11/2021,32000,32000,32000,32000,100,30700
126,30/11/2021,32000,32000,32000,32000,-,30700
127,01/12/2021,32000,32000,32000,32000,-,30700
128,02/12/2021,32000,32000,32000,32000,-,30700
129,03/12/2021,32000,32000,32000,32000,-,30700
130,06/12/2021,32000,32000,32000,32000,-,30700
131,07/12/2021,32000,32000,32000,32000,-,30700
132,08/12/2021,36600,35900,36600,36000,500,34500
133,09/12/2021,36000,36000,36000,36000,400,34500
134,10/12/2021,36000,36000,36000,36000,-,34500
135,13/12/2021,36000,36000,36000,36000,-,34500
136,14/12/2021,36000,36000,36000,36000,-,34500
137,15/12/2021,36000,36000,36000,36000,-,34500
138,16/12/2021,36000,36000,36000,36000,-,34500
139,17/12/2021,36000,36000,36000,36000,-,34500
140,20/12/2021,36000,36000,36000,36000,1000,34500
141,21/12/2021,36000,35900,35900,36000,600,34500
142,22/12/2021,38000,36000,36000,38000,1100,36400
143,23/12/2021,34700,34700,34700,34700,-,34700
144,24/12/2021,34700,34700,34700,34700,-,34700
145,27/12/2021,29500,29500,29500,29500,100,29500
146,28/12/2021,29500,29500,29500,29500,-,29500
147,29/12/2021,29500,29500,29500,29500,-,29500
148,30/12/2021,29500,29500,29500,29500,-,29500
149,31/12/2021,29500,29500,29500,29500,-,29500
150,04/01/2022,25100,25100,25100,25100,100,25100
151,05/01/2022,28800,28800,28800,28800,1000,28800
152,06/01/2022,28800,28800,28800,28800,-,28800
153,07/01/2022,28800,28800,28800,28800,-,28800
154,10/01/2022,28800,28800,28800,28800,-,28800
155,11/01/2022,28800,28800,28800,28800,-,28800
156,12/01/2022,28800,28800,28800,28800,-,28800
157,13/01/2022,28800,28800,28800,28800,-,28800
158,14/01/2022,28800,28800,28800,28800,-,28800
159,17/01/2022,29000,29000,29000,29000,300,29000
160,18/01/2022,29000,29000,29000,29000,-,29000
161,19/01/2022,29000,29000,29000,29000,-,29000
162,20/01/2022,29000,29000,29000,29000,-,29000
163,21/01/2022,29000,29000,29000,29000,-,29000
164,24/01/2022,29000,29000,29000,29000,-,29000
165,25/01/2022,29000,29000,29000,29000,-,29000
166,26/01/2022,29000,29000,29000,29000,-,29000
167,27/01/2022,29000,29000,29000,29000,-,29000
168,28/01/2022,29000,29000,29000,29000,-,29000
169,07/02/2022,29000,29000,29000,29000,-,29000
170,08/02/2022,29000,29000,29000,29000,-,29000
171,09/02/2022,29000,29000,29000,29000,-,29000
172,10/02/2022,29000,29000,29000,29000,-,29000
173,11/02/2022,29000,29000,29000,29000,-,29000
174,14/02/2022,29000,29000,29000,29000,-,29000
175,15/02/2022,29000,29000,29000,29000,-,29000
176,16/02/2022,29000,29000,29000,29000,-,29000
177,17/02/2022,29000,29000,29000,29000,-,29000
178,18/02/2022,29000,29000,29000,29000,-,29000
179,21/02/2022,29000,29000,29000,29000,-,29000
180,22/02/2022,29000,29000,29000,29000,-,29000
181,23/02/2022,29000,29000,29000,29000,-,29000
182,24/02/2022,29000,29000,29000,29000,-,29000
183,25/02/2022,29000,29000,29000,29000,-,29000
184,28/02/2022,29000,29000,29000,29000,-,29000
185,01/03/2022,29000,29000,29000,29000,-,29000
186,02/03/2022,40600,29500,40600,29500,1300,29500
187,03/03/2022,32200,32200,32200,32200,-,32200
188,04/03/2022,32200,32200,32200,32200,-,32200
189,07/03/2022,32200,32200,32200,32200,3300,32200
190,08/03/2022,30000,30000,30000,30000,100,30000
191,09/03/2022,31500,31500,31500,31500,500,31500
192,10/03/2022,31500,31500,31500,31500,-,31500
193,11/03/2022,31500,31500,31500,31500,-,31500
194,14/03/2022,31500,31500,31500,31500,-,31500
195,15/03/2022,31500,31500,31500,31500,-,31500
196,16/03/2022,31500,31500,31500,31500,-,31500
197,17/03/2022,31500,31500,31500,31500,-,31500
198,18/03/2022,31500,31500,31500,31500,-,31500
199,21/03/2022,31500,31500,31500,31500,-,31500
200,22/03/2022,31500,31500,31500,31500,-,31500
201,23/03/2022,31500,31500,31500,31500,-,31500
202,24/03/2022,31500,31500,31500,31500,-,31500
203,25/03/2022,31500,31500,31500,31500,-,31500
204,28/03/2022,31500,31500,31500,31500,-,31500
205,29/03/2022,30000,30000,30000,30000,3000,30000
