,Date,High,Low,Open,Close,Volume,Adj Close
0,10/06/2021,9400,9000,9400,9000,17800,8500
1,11/06/2021,9100,9000,9000,9000,23100,8500
2,14/06/2021,9500,8500,8500,9500,2603,9000
3,15/06/2021,8500,8500,8500,8500,-,8000
4,16/06/2021,9500,8800,8800,9500,4210,9000
5,17/06/2021,9400,9000,9000,9000,16005,8500
6,18/06/2021,9200,9000,9200,9000,2400,8500
7,21/06/2021,9000,9000,9000,9000,850,8500
8,22/06/2021,9500,9100,9100,9500,13467,9000
9,23/06/2021,10000,9500,9500,9900,15900,9300
10,24/06/2021,9900,8500,9600,9900,500,9300
11,25/06/2021,9900,9300,9900,9800,800,9200
12,28/06/2021,9500,9500,9500,9500,1,9000
13,29/06/2021,8600,8600,8600,8600,150,8100
14,30/06/2021,8600,8600,8600,8600,800,8100
15,01/07/2021,9000,8600,8600,9000,1900,8500
16,02/07/2021,8500,8500,8500,8500,1200,8000
17,05/07/2021,8500,8500,8500,8500,-,8000
18,06/07/2021,8500,8500,8500,8500,600,8000
19,07/07/2021,8500,8500,8500,8500,130,8000
20,08/07/2021,9000,9000,9000,9000,4500,8500
21,09/07/2021,9000,9000,9000,9000,1900,8500
22,12/07/2021,9000,9000,9000,9000,12400,8500
23,13/07/2021,9100,9100,9100,9100,200,8600
24,14/07/2021,9100,9100,9100,9100,-,8600
25,15/07/2021,9100,9100,9100,9100,-,8600
26,16/07/2021,8800,8800,8800,8800,3400,8300
27,19/07/2021,8800,8800,8800,8800,-,8300
28,20/07/2021,8800,8800,8800,8800,2000,8300
29,21/07/2021,8800,8800,8800,8800,2000,8300
30,22/07/2021,8800,8800,8800,8800,1401,8300
31,23/07/2021,8800,8800,8800,8800,-,8300
32,26/07/2021,8000,8000,8000,8000,3500,7500
33,27/07/2021,8000,8000,8000,8000,-,7500
34,28/07/2021,8000,8000,8000,8000,-,7500
35,29/07/2021,8000,8000,8000,8000,400,7500
36,30/07/2021,9000,8400,8400,9000,400,8500
37,02/08/2021,8800,8800,8800,8800,-,8300
38,03/08/2021,9100,9100,9100,9100,100,8600
39,04/08/2021,9100,8100,8100,9100,5405,8600
40,05/08/2021,8700,8700,8700,8700,-,8200
41,06/08/2021,8700,8700,8700,8700,-,8200
42,09/08/2021,8700,8700,8700,8700,-,8200
43,10/08/2021,8700,8700,8700,8700,2400,8200
44,11/08/2021,8700,8700,8700,8700,3027,8200
45,12/08/2021,8700,8700,8700,8700,-,8200
46,13/08/2021,8700,8700,8700,8700,1000,8200
47,16/08/2021,8700,8700,8700,8700,52100,8200
48,17/08/2021,9300,9300,9300,9300,600,8800
49,18/08/2021,9300,9000,9000,9300,6100,8800
50,19/08/2021,9100,9100,9100,9100,105,8600
51,20/08/2021,9100,9100,9100,9100,500,8600
52,23/08/2021,9100,9100,9100,9100,-,8600
53,24/08/2021,9100,9100,9100,9100,2000,8600
54,25/08/2021,9100,9100,9100,9100,-,8600
55,26/08/2021,9100,9100,9100,9100,-,8600
56,27/08/2021,9100,8800,9100,8800,3800,8300
57,30/08/2021,9000,8900,8900,9000,2900,8500
58,31/08/2021,9100,9000,9000,9100,1000,8600
59,01/09/2021,9100,9100,9100,9100,1000,8600
60,06/09/2021,9100,9100,9100,9100,-,8600
61,07/09/2021,9100,9100,9100,9100,-,8600
62,08/09/2021,9100,9100,9100,9100,1000,8600
63,09/09/2021,9100,9100,9100,9100,601,8600
64,10/09/2021,9100,9100,9100,9100,17600,8600
65,13/09/2021,9100,9100,9100,9100,-,8600
66,14/09/2021,9000,9000,9000,9000,500,8500
67,15/09/2021,9100,9100,9100,9100,4200,8600
68,16/09/2021,9100,9100,9100,9100,-,8600
69,17/09/2021,9100,9100,9100,9100,3300,8600
70,20/09/2021,9100,9100,9100,9100,-,8600
71,21/09/2021,8600,8600,8600,8600,100,8100
72,22/09/2021,9100,9000,9100,9000,1300,8500
73,23/09/2021,9200,9100,9100,9200,2650,8700
74,24/09/2021,9100,9100,9100,9100,400,8600
75,27/09/2021,9100,9100,9100,9100,1578,8600
76,28/09/2021,9100,9100,9100,9100,-,8600
77,29/09/2021,9100,9100,9100,9100,-,8600
78,30/09/2021,9500,9500,9500,9500,200,9000
79,01/10/2021,9500,9500,9500,9500,-,9000
80,04/10/2021,9500,9500,9500,9500,-,9000
81,05/10/2021,9000,9000,9000,9000,600,8500
82,06/10/2021,9200,9000,9200,9000,3040,8500
83,07/10/2021,9200,9000,9000,9200,5400,8700
84,08/10/2021,9100,9000,9100,9000,4500,8500
85,11/10/2021,9600,9000,9000,9600,2803,9000
86,12/10/2021,9600,9500,9500,9500,4600,9000
87,13/10/2021,9700,9100,9700,9100,800,8600
88,14/10/2021,10000,9600,9700,10000,900,9400
89,15/10/2021,9700,9700,9700,9700,1000,9100
90,18/10/2021,10300,9700,10000,9700,8600,9100
91,19/10/2021,10200,10200,10200,10200,-,9600
92,20/10/2021,10000,10000,10000,10000,700,9400
93,21/10/2021,10200,10000,10000,10200,8700,9600
94,22/10/2021,11000,10000,10000,10500,407,9900
95,25/10/2021,11200,8900,8900,11200,2700,10600
96,26/10/2021,10500,9600,9600,10500,400,9900
97,27/10/2021,11000,10800,10800,11000,1307,10400
98,28/10/2021,12000,10900,10900,12000,3050,11300
99,29/10/2021,13500,12600,12600,13000,16000,12200
100,01/11/2021,15100,13500,13500,14600,5107,13800
101,02/11/2021,17100,15500,15500,17100,40110,16100
102,03/11/2021,19400,19000,19000,19400,110250,18300
103,04/11/2021,22300,19500,22300,22300,49032,21000
104,05/11/2021,25100,21900,25100,23000,32910,21700
105,08/11/2021,26900,20500,26900,20600,34532,19400
106,09/11/2021,23000,19000,19000,22000,14994,20700
107,10/11/2021,21100,19000,21100,21100,14018,19900
108,11/11/2021,22500,19300,21100,21000,45066,19800
109,12/11/2021,24600,22500,22500,24000,28100,22600
110,15/11/2021,27600,21200,27000,27600,86350,26000
111,16/11/2021,30700,26800,26800,29000,62606,27300
112,17/11/2021,29500,28100,28500,29500,28960,27800
113,18/11/2021,30000,27800,27800,30000,31056,28300
114,19/11/2021,30000,28000,28500,28000,27820,26400
115,22/11/2021,30000,26000,29300,27200,12540,25600
116,23/11/2021,27500,27400,27400,27500,252,25900
117,24/11/2021,29000,26100,26100,27800,5660,26200
118,25/11/2021,26800,26000,26000,26800,13870,25300
119,26/11/2021,27900,25000,26500,25900,15800,24400
