,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,1100,1100,1100,1100,-,1100
1,04/06/2021,1100,1000,1000,1100,19400,1100
2,07/06/2021,1000,1000,1000,1000,-,1000
3,08/06/2021,1000,1000,1000,1000,-,1000
4,09/06/2021,1000,1000,1000,1000,-,1000
5,10/06/2021,1000,1000,1000,1000,-,1000
6,11/06/2021,1100,1000,1100,1000,23300,1000
7,14/06/2021,1100,1100,1100,1100,-,1100
8,15/06/2021,1100,1100,1100,1100,-,1100
9,16/06/2021,1100,1100,1100,1100,-,1100
10,17/06/2021,1100,1100,1100,1100,-,1100
11,18/06/2021,1100,1000,1000,1000,3800,1000
12,21/06/2021,1000,1000,1000,1000,-,1000
13,22/06/2021,1000,1000,1000,1000,-,1000
14,23/06/2021,1000,1000,1000,1000,-,1000
15,24/06/2021,1000,1000,1000,1000,-,1000
16,25/06/2021,1000,900,900,900,2200,900
17,28/06/2021,900,900,900,900,-,900
18,29/06/2021,900,900,900,900,-,900
19,30/06/2021,900,900,900,900,-,900
20,01/07/2021,900,900,900,900,-,900
21,02/07/2021,1000,900,1000,1000,12400,1000
22,05/07/2021,1000,1000,1000,1000,-,1000
23,06/07/2021,1000,1000,1000,1000,-,1000
24,07/07/2021,1000,1000,1000,1000,-,1000
25,08/07/2021,1000,1000,1000,1000,-,1000
26,09/07/2021,1100,900,1100,1000,14100,1000
27,12/07/2021,1000,1000,1000,1000,-,1000
28,13/07/2021,1000,1000,1000,1000,-,1000
29,14/07/2021,1000,1000,1000,1000,-,1000
30,15/07/2021,1000,1000,1000,1000,-,1000
31,16/07/2021,1000,1000,1000,1000,200,1000
32,19/07/2021,1000,1000,1000,1000,-,1000
33,20/07/2021,1000,1000,1000,1000,-,1000
34,21/07/2021,1000,1000,1000,1000,-,1000
35,22/07/2021,1000,1000,1000,1000,-,1000
36,23/07/2021,1000,1000,1000,1000,8500,1000
37,26/07/2021,1000,1000,1000,1000,-,1000
38,27/07/2021,1000,1000,1000,1000,-,1000
39,28/07/2021,1000,1000,1000,1000,-,1000
40,29/07/2021,1000,1000,1000,1000,-,1000
41,30/07/2021,1000,1000,1000,1000,500,1000
42,02/08/2021,1000,1000,1000,1000,-,1000
43,03/08/2021,1000,1000,1000,1000,-,1000
44,04/08/2021,1000,1000,1000,1000,-,1000
45,05/08/2021,1000,1000,1000,1000,-,1000
46,06/08/2021,1100,1000,1000,1100,16200,1100
47,09/08/2021,1100,1100,1100,1100,-,1100
48,10/08/2021,1100,1100,1100,1100,-,1100
49,11/08/2021,1100,1100,1100,1100,-,1100
50,12/08/2021,1100,1100,1100,1100,-,1100
51,13/08/2021,1200,1000,1000,1100,17300,1100
52,16/08/2021,1100,1100,1100,1100,-,1100
53,17/08/2021,1100,1100,1100,1100,-,1100
54,18/08/2021,1100,1100,1100,1100,-,1100
55,19/08/2021,1100,1100,1100,1100,-,1100
56,20/08/2021,1200,1100,1100,1200,2300,1200
57,23/08/2021,1200,1200,1200,1200,-,1200
58,24/08/2021,1200,1200,1200,1200,-,1200
59,25/08/2021,1200,1200,1200,1200,-,1200
60,26/08/2021,1200,1200,1200,1200,-,1200
61,27/08/2021,1200,1100,1200,1200,9700,1200
62,30/08/2021,1200,1200,1200,1200,-,1200
63,31/08/2021,1200,1200,1200,1200,-,1200
64,01/09/2021,1200,1200,1200,1200,-,1200
65,06/09/2021,1200,1200,1200,1200,-,1200
66,07/09/2021,1200,1200,1200,1200,-,1200
67,08/09/2021,1200,1200,1200,1200,-,1200
68,09/09/2021,1200,1200,1200,1200,-,1200
69,10/09/2021,1300,1100,1300,1300,21400,1300
70,13/09/2021,1300,1300,1300,1300,-,1300
71,14/09/2021,1300,1300,1300,1300,-,1300
72,15/09/2021,1300,1300,1300,1300,-,1300
73,16/09/2021,1300,1300,1300,1300,-,1300
74,17/09/2021,1400,1300,1300,1400,3600,1300
75,20/09/2021,1400,1400,1400,1400,-,1300
76,21/09/2021,1400,1400,1400,1400,-,1300
77,22/09/2021,1400,1400,1400,1400,-,1300
78,23/09/2021,1400,1400,1400,1400,-,1300
79,24/09/2021,1600,1500,1600,1500,13800,1400
80,27/09/2021,1500,1500,1500,1500,-,1400
81,28/09/2021,1500,1500,1500,1500,-,1400
82,29/09/2021,1500,1500,1500,1500,-,1400
83,30/09/2021,1500,1500,1500,1500,-,1400
84,01/10/2021,1700,1500,1500,1700,46800,1600
85,04/10/2021,1700,1700,1700,1700,-,1600
86,05/10/2021,1700,1700,1700,1700,-,1600
87,06/10/2021,1700,1700,1700,1700,-,1600
88,07/10/2021,1700,1700,1700,1700,-,1600
89,08/10/2021,1900,1500,1500,1900,87200,1800
90,11/10/2021,1900,1900,1900,1900,-,1800
91,12/10/2021,1900,1900,1900,1900,-,1800
92,13/10/2021,1900,1900,1900,1900,-,1800
93,14/10/2021,1900,1900,1900,1900,-,1800
94,15/10/2021,2100,2000,2100,2100,104400,2000
95,18/10/2021,2100,2100,2100,2100,-,2000
96,19/10/2021,2100,2100,2100,2100,-,2000
97,20/10/2021,2100,2100,2100,2100,-,2000
98,21/10/2021,2100,2100,2100,2100,-,2000
99,22/10/2021,2400,2100,2100,2400,38150,2300
100,25/10/2021,2300,2300,2300,2300,-,2200
101,26/10/2021,2300,2300,2300,2300,-,2200
102,27/10/2021,2300,2300,2300,2300,-,2200
103,28/10/2021,2300,2300,2300,2300,-,2200
104,29/10/2021,2600,2600,2600,2600,32500,2500
105,01/11/2021,2600,2600,2600,2600,-,2500
106,02/11/2021,2600,2600,2600,2600,-,2500
107,03/11/2021,2600,2600,2600,2600,-,2500
108,04/11/2021,2600,2600,2600,2600,-,2500
109,05/11/2021,2800,2400,2600,2800,51806,2700
110,08/11/2021,2800,2800,2800,2800,-,2700
111,09/11/2021,2800,2800,2800,2800,-,2700
112,10/11/2021,2800,2800,2800,2800,-,2700
113,11/11/2021,2800,2800,2800,2800,-,2700
114,12/11/2021,3100,2400,2400,3000,59814,2900
115,15/11/2021,2800,2800,2800,2800,-,2700
116,16/11/2021,2800,2800,2800,2800,-,2700
117,17/11/2021,2800,2800,2800,2800,-,2700
118,18/11/2021,2800,2800,2800,2800,-,2700
119,19/11/2021,3200,2500,3200,3000,87225,2900
120,22/11/2021,3000,3000,3000,3000,-,2900
121,23/11/2021,3000,3000,3000,3000,-,2900
122,24/11/2021,3000,3000,3000,3000,-,2900
123,25/11/2021,3000,3000,3000,3000,-,2900
124,26/11/2021,3000,2600,3000,2900,23569,2800
125,29/11/2021,2700,2700,2700,2700,-,2600
126,30/11/2021,2700,2700,2700,2700,-,2600
127,01/12/2021,2700,2700,2700,2700,-,2600
128,02/12/2021,2700,2700,2700,2700,-,2600
129,03/12/2021,3000,2700,3000,2700,27070,2600
130,06/12/2021,2800,2800,2800,2800,-,2700
131,07/12/2021,2800,2800,2800,2800,-,2700
132,08/12/2021,2800,2800,2800,2800,-,2700
133,09/12/2021,2800,2800,2800,2800,-,2700
134,10/12/2021,2700,2400,2700,2400,36984,2300
135,13/12/2021,2500,2500,2500,2500,-,2400
136,14/12/2021,2500,2500,2500,2500,-,2400
137,15/12/2021,2500,2500,2500,2500,-,2400
138,16/12/2021,2500,2500,2500,2500,-,2400
139,17/12/2021,2500,2200,2200,2400,52700,2300
140,20/12/2021,2300,2300,2300,2300,-,2200
141,21/12/2021,2300,2300,2300,2300,-,2200
142,22/12/2021,2300,2300,2300,2300,-,2200
143,23/12/2021,2300,2300,2300,2300,-,2200
144,24/12/2021,2300,2000,2300,2100,26800,2000
145,27/12/2021,2000,2000,2000,2000,-,1900
146,28/12/2021,2000,2000,2000,2000,-,1900
147,29/12/2021,2000,2000,2000,2000,-,1900
148,30/12/2021,2000,2000,2000,2000,-,1900
149,31/12/2021,2300,2000,2000,2300,52658,2200
150,04/01/2022,2300,2300,2300,2300,-,2200
151,05/01/2022,2300,2300,2300,2300,-,2200
152,06/01/2022,2300,2300,2300,2300,-,2200
153,07/01/2022,2600,2500,2600,2600,39770,2500
154,10/01/2022,2600,2600,2600,2600,-,2500
155,11/01/2022,2600,2600,2600,2600,-,2500
156,12/01/2022,2600,2600,2600,2600,-,2500
157,13/01/2022,2600,2600,2600,2600,-,2500
158,14/01/2022,2900,2700,2800,2900,101005,2800
159,17/01/2022,2900,2900,2900,2900,-,2800
160,18/01/2022,2900,2900,2900,2900,-,2800
161,19/01/2022,2900,2900,2900,2900,-,2800
162,20/01/2022,2900,2900,2900,2900,-,2800
163,21/01/2022,3000,2500,2600,2500,73400,2400
164,24/01/2022,2600,2600,2600,2600,-,2500
165,25/01/2022,2600,2600,2600,2600,-,2500
166,26/01/2022,2600,2600,2600,2600,-,2500
167,27/01/2022,2600,2600,2600,2600,-,2500
168,28/01/2022,2800,2500,2600,2600,55300,2500
169,07/02/2022,2800,2800,2800,2800,-,2700
170,08/02/2022,2800,2800,2800,2800,-,2700
171,09/02/2022,2800,2800,2800,2800,-,2700
172,10/02/2022,2800,2800,2800,2800,-,2700
173,11/02/2022,2800,2400,2800,2400,44020,2300
174,14/02/2022,2400,2400,2400,2400,-,2300
175,15/02/2022,2400,2400,2400,2400,-,2300
176,16/02/2022,2400,2400,2400,2400,-,2300
177,17/02/2022,2400,2400,2400,2400,-,2300
178,18/02/2022,2700,2400,2400,2700,25625,2600
179,21/02/2022,2600,2600,2600,2600,-,2500
180,22/02/2022,2600,2600,2600,2600,-,2600
181,23/02/2022,2600,2600,2600,2600,-,2600
182,24/02/2022,2600,2600,2600,2600,-,2600
183,25/02/2022,2700,2300,2600,2500,10406,2500
184,28/02/2022,2500,2500,2500,2500,-,2500
185,01/03/2022,2500,2500,2500,2500,-,2500
186,02/03/2022,2500,2500,2500,2500,-,2500
187,03/03/2022,2500,2500,2500,2500,-,2500
188,04/03/2022,2500,2400,2400,2500,6800,2500
189,07/03/2022,2500,2500,2500,2500,-,2500
190,08/03/2022,2500,2500,2500,2500,-,2500
191,09/03/2022,2500,2500,2500,2500,-,2500
192,10/03/2022,2500,2500,2500,2500,-,2500
193,11/03/2022,2600,2300,2300,2500,67600,2500
194,14/03/2022,2500,2500,2500,2500,-,2500
195,15/03/2022,2500,2500,2500,2500,-,2500
196,16/03/2022,2500,2500,2500,2500,-,2500
197,17/03/2022,2500,2500,2500,2500,-,2500
198,18/03/2022,2500,2300,2500,2500,8092,2500
199,21/03/2022,2500,2500,2500,2500,-,2500
200,22/03/2022,2500,2500,2500,2500,-,2500
201,23/03/2022,2500,2500,2500,2500,-,2500
202,24/03/2022,2500,2500,2500,2500,-,2500
203,25/03/2022,2600,2300,2300,2600,13149,2600
204,28/03/2022,2500,2500,2500,2500,-,2500
205,29/03/2022,2500,2500,2500,2500,-,2500
206,30/03/2022,2500,2500,2500,2500,-,2500
207,31/03/2022,2500,2500,2500,2500,-,2500
208,01/04/2022,2500,2400,2500,2500,2100,2500
209,04/04/2022,2500,2500,2500,2500,-,2500
210,05/04/2022,2500,2500,2500,2500,-,2500
211,06/04/2022,2500,2500,2500,2500,-,2500
212,07/04/2022,2500,2500,2500,2500,-,2500
213,08/04/2022,2600,2600,2600,2600,800,2600
214,12/04/2022,2600,2600,2600,2600,-,2600
215,13/04/2022,2600,2600,2600,2600,-,2600
216,14/04/2022,2600,2600,2600,2600,-,2600
217,15/04/2022,2700,2600,2600,2600,4700,2600
218,18/04/2022,2600,2600,2600,2600,-,2600
219,19/04/2022,2600,2600,2600,2600,-,2600
220,20/04/2022,2600,2600,2600,2600,-,2600
221,21/04/2022,2600,2600,2600,2600,-,2600
222,22/04/2022,2600,2300,2300,2600,35600,2600
223,25/04/2022,2300,2300,2300,2300,-,2300
224,26/04/2022,2300,2300,2300,2300,-,2300
225,27/04/2022,2300,2300,2300,2300,-,2300
226,28/04/2022,2300,2300,2300,2300,-,2300
227,29/04/2022,2400,2400,2400,2400,2400,2400
