,Date,High,Low,Open,Close,Volume,Adj Close
0,22/06/2021,28000,28000,28000,28000,-,26600
1,23/06/2021,28000,28000,28000,28000,-,26600
2,24/06/2021,32100,32100,32100,32100,100,30500
3,25/06/2021,32100,32100,32100,32100,-,30500
4,28/06/2021,32000,30000,30000,32000,200,30400
5,29/06/2021,35000,26500,35000,26500,1510,25200
6,30/06/2021,26500,23300,23300,26500,1700,25200
7,01/07/2021,26300,26300,26300,26300,-,25000
8,02/07/2021,26000,25500,25500,26000,3000,24700
9,05/07/2021,27300,27300,27300,27300,100,25900
10,06/07/2021,27200,27200,27200,27200,500,25800
11,07/07/2021,27200,27200,27200,27200,-,25800
12,08/07/2021,31000,31000,31000,31000,100,29500
13,09/07/2021,31000,31000,31000,31000,-,29500
14,12/07/2021,26400,26400,26400,26400,700,25100
15,13/07/2021,30300,30300,30300,30300,100,28800
16,14/07/2021,30300,30300,30300,30300,-,28800
17,15/07/2021,30300,30300,30300,30300,-,28800
18,16/07/2021,29000,28800,28800,29000,300,27600
19,19/07/2021,33100,33100,33100,33100,100,31400
20,20/07/2021,33100,33100,33100,33100,-,31400
21,21/07/2021,28200,28200,28200,28200,200,26800
22,22/07/2021,28300,28300,28300,28300,100,26900
23,23/07/2021,28300,28300,28300,28300,-,26900
24,26/07/2021,28300,28300,28300,28300,-,26900
25,27/07/2021,28300,28300,28300,28300,-,26900
26,28/07/2021,28300,28300,28300,28300,-,26900
27,29/07/2021,28300,28300,28300,28300,-,26900
28,30/07/2021,28300,28300,28300,28300,-,26900
29,02/08/2021,28300,28300,28300,28300,-,26900
30,03/08/2021,28300,28300,28300,28300,-,26900
31,04/08/2021,28300,28300,28300,28300,-,26900
32,05/08/2021,28300,28300,28300,28300,-,26900
33,06/08/2021,32000,31100,32000,31100,600,29500
34,09/08/2021,31000,31000,31000,31000,600,29500
35,10/08/2021,32900,32900,32900,32900,121,31300
36,11/08/2021,32900,32900,32900,32900,-,31300
37,12/08/2021,32900,32900,32900,32900,-,31300
38,13/08/2021,32000,32000,32000,32000,1500,30400
39,16/08/2021,36000,36000,36000,36000,100,34200
40,17/08/2021,36000,36000,36000,36000,-,34200
41,18/08/2021,40000,30600,40000,30600,2130,29100
42,19/08/2021,28000,27700,28000,27700,2720,26300
43,20/08/2021,28000,27200,27800,28000,1200,26600
44,23/08/2021,27500,27000,27500,27000,600,25700
45,24/08/2021,27000,27000,27000,27000,200,25700
46,25/08/2021,27000,27000,27000,27000,-,25700
47,26/08/2021,27000,27000,27000,27000,200,25700
48,27/08/2021,27000,27000,27000,27000,200,25700
49,30/08/2021,31000,27100,31000,31000,5900,29500
50,31/08/2021,34300,33000,34300,34000,4700,32300
51,01/09/2021,39300,30500,38000,34000,1227,32300
52,06/09/2021,33200,31200,32000,31200,1900,29600
53,07/09/2021,31200,31000,31200,31000,1000,29500
54,08/09/2021,31200,31200,31200,31200,1000,29600
55,09/09/2021,29000,27100,29000,28000,600,26600
56,10/09/2021,27700,27700,27700,27700,-,26300
57,13/09/2021,27700,27500,27500,27700,1501,26300
58,14/09/2021,31000,28100,30900,30900,903,29400
59,15/09/2021,30100,30100,30100,30100,103,28600
60,16/09/2021,31000,27500,29600,27800,1700,26400
61,17/09/2021,27700,27500,27600,27500,1100,26100
62,20/09/2021,27600,27600,27600,27600,1100,26200
63,21/09/2021,29000,27600,27600,29000,2500,27600
64,22/09/2021,29800,27600,27600,29800,1401,28300
65,23/09/2021,29700,28000,28000,29700,500,28200
66,24/09/2021,28100,28100,28100,28100,200,26700
67,27/09/2021,28100,28100,28100,28100,200,26700
68,28/09/2021,28000,27600,28000,28000,2700,26600
69,29/09/2021,27900,27900,27900,27900,100,26500
70,30/09/2021,28000,28000,28000,28000,100,26600
71,01/10/2021,28000,28000,28000,28000,700,26600
72,04/10/2021,28000,28000,28000,28000,-,26600
73,05/10/2021,28000,28000,28000,28000,-,26600
74,06/10/2021,27500,27500,27500,27500,900,26100
75,07/10/2021,27500,27500,27500,27500,-,26100
76,08/10/2021,27500,27500,27500,27500,-,26100
77,11/10/2021,27500,27500,27500,27500,-,26100
78,12/10/2021,27800,27800,27800,27800,200,26400
79,13/10/2021,27800,27800,27800,27800,-,26400
80,14/10/2021,27800,27800,27800,27800,-,26400
81,15/10/2021,27800,27800,27800,27800,-,26400
82,18/10/2021,27800,27800,27800,27800,300,26400
83,19/10/2021,27800,27800,27800,27800,-,26400
84,20/10/2021,27800,27800,27800,27800,-,26400
85,21/10/2021,28000,28000,28000,28000,900,26600
86,22/10/2021,28000,28000,28000,28000,-,26600
87,25/10/2021,30000,28500,29400,30000,800,28500
88,26/10/2021,30000,29100,29100,30000,400,28500
89,27/10/2021,30000,30000,30000,30000,1200,28500
90,28/10/2021,30000,30000,30000,30000,-,28500
91,29/10/2021,30000,30000,30000,30000,-,28500
92,01/11/2021,30800,27000,27800,30800,2700,29300
93,02/11/2021,29400,29400,29400,29400,-,27900
94,03/11/2021,30500,30500,30500,30500,500,29000
95,04/11/2021,31000,30000,30800,30000,1500,28500
96,05/11/2021,30800,30800,30800,30800,-,29300
97,08/11/2021,31000,31000,31000,31000,1700,29500
98,09/11/2021,31000,31000,31000,31000,100,29500
99,10/11/2021,31300,30900,31000,31300,2200,29700
100,11/11/2021,31000,31000,31000,31000,-,29500
101,12/11/2021,31000,31000,31000,31000,-,29500
102,15/11/2021,31000,31000,31000,31000,-,29500
103,16/11/2021,31000,31000,31000,31000,100,29500
104,17/11/2021,31000,31000,31000,31000,-,29500
105,18/11/2021,33300,33000,33000,33300,1100,31600
106,19/11/2021,33200,33200,33200,33200,-,31500
107,22/11/2021,33200,33200,33200,33200,-,31500
108,23/11/2021,33200,33200,33200,33200,-,31500
109,24/11/2021,33200,33200,33200,33200,-,31500
110,25/11/2021,33200,33200,33200,33200,-,31500
111,26/11/2021,30000,30000,30000,30000,1000,28500
112,29/11/2021,31800,31800,31800,31800,200,30200
113,30/11/2021,31000,31000,31000,31000,107,29500
114,01/12/2021,31000,31000,31000,31000,-,29500
115,02/12/2021,31000,31000,31000,31000,-,29500
116,03/12/2021,31000,31000,31000,31000,700,29500
117,06/12/2021,31000,31000,31000,31000,100,29500
118,07/12/2021,30000,30000,30000,30000,1390,28500
119,08/12/2021,30000,30000,30000,30000,1200,28500
120,09/12/2021,30000,30000,30000,30000,-,28500
121,10/12/2021,30000,30000,30000,30000,-,28500
122,13/12/2021,27000,27000,27000,27000,100,25700
123,14/12/2021,30000,29500,29500,30000,1910,28500
124,15/12/2021,30000,30000,30000,30000,1010,28500
125,16/12/2021,30000,30000,30000,30000,-,28500
126,17/12/2021,30000,30000,30000,30000,-,28500
127,20/12/2021,30000,27000,27000,30000,800,28500
128,21/12/2021,29600,29600,29600,29600,-,28100
129,22/12/2021,30000,30000,30000,30000,100,28500
130,23/12/2021,30000,30000,30000,30000,200,28500
131,24/12/2021,30000,30000,30000,30000,400,28500
132,27/12/2021,30000,30000,30000,30000,10,28500
133,28/12/2021,30000,30000,30000,30000,-,28500
134,29/12/2021,34000,32000,32000,34000,400,32300
135,30/12/2021,33500,33500,33500,33500,-,31800
136,31/12/2021,33500,33500,33500,33500,-,31800
137,04/01/2022,33500,33500,33500,34000,44,31800
138,05/01/2022,33500,33500,33500,33500,-,31800
139,06/01/2022,28500,28500,28500,28500,100,27100
140,07/01/2022,28500,28500,28500,28500,-,27100
141,10/01/2022,31000,31000,31000,31000,1000,29500
142,11/01/2022,31000,31000,31000,31000,800,29500
143,12/01/2022,31000,31000,31000,31000,-,29500
144,13/01/2022,31000,31000,31000,31000,-,29500
145,14/01/2022,31000,31000,31000,31000,-,29500
146,17/01/2022,30000,30000,30000,30000,400,28500
147,18/01/2022,30000,30000,30000,30000,5,28500
148,19/01/2022,30000,30000,30000,30000,-,28500
149,20/01/2022,30000,30000,30000,30000,-,28500
150,21/01/2022,30000,30000,30000,30000,-,28500
151,24/01/2022,30000,30000,30000,30000,-,28500
152,25/01/2022,30000,30000,30000,30000,-,28500
153,26/01/2022,30000,30000,30000,30000,-,28500
154,27/01/2022,30000,30000,30000,30000,-,28500
155,28/01/2022,30000,30000,30000,30000,-,28500
156,07/02/2022,30000,30000,30000,30000,-,28500
157,08/02/2022,27000,27000,27000,27000,100,25700
158,09/02/2022,31000,31000,31000,31000,2002,29500
159,10/02/2022,31000,31000,31000,31000,-,29500
160,11/02/2022,31000,28000,28000,31000,701,29500
161,14/02/2022,30100,30100,30100,31000,1,28600
162,15/02/2022,30100,30100,30100,30100,-,28600
163,16/02/2022,31000,31000,31000,31000,300,29500
164,17/02/2022,31000,31000,31000,31000,4,29500
165,18/02/2022,31000,31000,31000,31000,500,29500
166,21/02/2022,32000,31500,31500,32000,3000,30400
167,22/02/2022,35000,34900,34900,35000,22520,33300
168,23/02/2022,35000,35000,35000,35000,200,33300
169,24/02/2022,30000,30000,30000,30000,500,28500
170,25/02/2022,30000,30000,30000,30000,-,28500
171,28/02/2022,30000,30000,30000,30000,-,28500
172,01/03/2022,30000,30000,30000,30000,-,28500
173,02/03/2022,30000,30000,30000,30000,-,28500
174,03/03/2022,30000,30000,30000,30000,-,28500
