,Date,High,Low,Open,Close,Volume,Adj Close
0,02/06/2021,23000,23000,23000,23000,-,22200
1,03/06/2021,26400,25000,25000,26400,300,25500
2,04/06/2021,25900,25900,25900,25900,-,25000
3,07/06/2021,25900,25900,25900,25900,-,25000
4,08/06/2021,25900,25900,25900,25900,-,25000
5,09/06/2021,25900,25900,25900,25900,-,25000
6,10/06/2021,25900,25900,25900,25900,-,25000
7,11/06/2021,25900,25900,25900,25900,-,25000
8,14/06/2021,25900,25900,25900,25900,-,25000
9,15/06/2021,25900,25900,25900,25900,-,25000
10,16/06/2021,25900,25900,25900,25900,1,25000
11,17/06/2021,25900,25900,25900,25900,-,25000
12,18/06/2021,25900,25900,25900,25900,-,25000
13,21/06/2021,25900,25900,25900,25900,-,25000
14,22/06/2021,25900,25900,25900,25900,2,25000
15,23/06/2021,25900,25900,25900,25900,-,25000
16,24/06/2021,25900,25900,25900,25900,-,25000
17,25/06/2021,25900,25900,25900,25900,-,25000
18,28/06/2021,25900,25900,25900,25900,-,25000
19,29/06/2021,25900,25900,25900,25900,10,25000
20,30/06/2021,25900,25900,25900,25900,-,25000
21,01/07/2021,25900,25900,25900,25900,-,25000
22,02/07/2021,25900,25900,25900,25900,-,25000
23,05/07/2021,25900,25900,25900,25900,-,25000
24,06/07/2021,25900,25900,25900,25900,-,25000
25,07/07/2021,25900,25900,25900,25900,-,25000
26,08/07/2021,25900,25900,25900,25900,-,25000
27,09/07/2021,25900,25900,25900,25900,-,25000
28,12/07/2021,25900,25900,25900,25900,-,25000
29,13/07/2021,25900,25900,25900,25900,-,25000
30,14/07/2021,26400,26400,26400,26400,500,25500
31,15/07/2021,26500,26500,26500,26500,500,25600
32,16/07/2021,26500,26500,26500,26500,-,25600
33,19/07/2021,26500,26500,26500,26500,2000,25600
34,20/07/2021,26500,26500,26500,26500,-,25600
35,21/07/2021,26500,26500,26500,26500,-,25600
36,22/07/2021,26500,26500,26500,26500,-,25600
37,23/07/2021,26500,26500,26500,26500,-,25600
38,26/07/2021,26500,26500,26500,26500,-,25600
39,27/07/2021,26500,26500,26500,26500,-,25600
40,28/07/2021,26500,26500,26500,26500,-,25600
41,29/07/2021,26500,26500,26500,26500,-,25600
42,30/07/2021,26500,26500,26500,26500,100,25600
43,02/08/2021,26500,26500,26500,26500,-,25600
44,03/08/2021,26500,26500,26500,26500,-,25600
45,04/08/2021,26500,26500,26500,26500,-,25600
46,05/08/2021,26500,26500,26500,26500,-,25600
47,06/08/2021,26500,26500,26500,26500,-,25600
48,09/08/2021,26500,26500,26500,26500,-,25600
49,10/08/2021,26500,26500,26500,26500,-,25600
50,11/08/2021,26500,26500,26500,26500,-,25600
51,12/08/2021,26500,26500,26500,26500,-,25600
52,13/08/2021,26500,26500,26500,26500,-,25600
53,16/08/2021,26500,26500,26500,26500,-,25600
54,17/08/2021,26500,26500,26500,26500,-,25600
55,18/08/2021,26500,26500,26500,26500,-,25600
56,19/08/2021,26500,26500,26500,26500,-,25600
57,20/08/2021,26500,26500,26500,26500,-,25600
58,23/08/2021,26500,26500,26500,26500,-,25600
59,24/08/2021,26500,26500,26500,26500,-,25600
60,25/08/2021,26500,26500,26500,26500,-,25600
61,26/08/2021,26500,26500,26500,26500,-,25600
62,27/08/2021,26500,26500,26500,26500,-,25600
63,30/08/2021,26500,26500,26500,26500,-,25600
64,31/08/2021,26500,26500,26500,26500,-,25600
65,01/09/2021,26500,26500,26500,26500,-,25600
66,06/09/2021,26500,26500,26500,26500,-,25600
67,07/09/2021,26500,26500,26500,26500,-,25600
68,08/09/2021,26500,26500,26500,26500,-,25600
69,09/09/2021,26500,26500,26500,26500,-,25600
70,10/09/2021,26500,26500,26500,26500,-,25600
71,13/09/2021,26500,26500,26500,26500,-,25600
72,14/09/2021,26500,26500,26500,26500,-,25600
73,15/09/2021,26500,26500,26500,26500,-,25600
74,16/09/2021,26500,26500,26500,26500,-,25600
75,17/09/2021,26500,26500,26500,26500,11712,25600
76,20/09/2021,26500,26500,26500,26500,-,25600
77,21/09/2021,26500,26500,26500,26500,-,25600
78,22/09/2021,26500,26500,26500,26500,-,25600
79,23/09/2021,26500,26500,26500,26500,-,25600
80,24/09/2021,30400,30400,30400,30400,1800,29400
81,27/09/2021,30400,30400,30400,30400,-,29400
82,28/09/2021,30400,30400,30400,30400,-,29400
83,29/09/2021,30400,30400,30400,30400,-,29400
84,30/09/2021,30400,30400,30400,30400,-,29400
85,01/10/2021,34900,34900,34900,34900,1000,33700
86,04/10/2021,34900,34900,34900,34900,-,33700
87,05/10/2021,34900,34900,34900,34900,-,33700
88,06/10/2021,34900,34900,34900,34900,-,33700
89,07/10/2021,34900,34900,34900,34900,-,33700
90,08/10/2021,34900,34900,34900,34900,983224,33700
91,11/10/2021,34900,34900,34900,34900,-,33700
92,12/10/2021,34900,34900,34900,34900,-,33700
93,13/10/2021,34900,34900,34900,34900,-,33700
94,14/10/2021,34900,34900,34900,34900,-,33700
95,15/10/2021,34900,34900,34900,34900,-,33700
96,18/10/2021,34900,34900,34900,34900,-,33700
97,19/10/2021,34900,34900,34900,34900,-,33700
98,20/10/2021,34900,34900,34900,34900,-,33700
99,21/10/2021,34900,34900,34900,34900,-,33700
100,22/10/2021,34900,34900,34900,34900,-,33700
101,25/10/2021,34900,34900,34900,34900,-,33700
102,26/10/2021,34900,34900,34900,34900,-,33700
103,27/10/2021,34900,34900,34900,34900,-,33700
104,28/10/2021,34900,34900,34900,34900,-,33700
105,29/10/2021,35000,35000,35000,35000,100,33800
106,01/11/2021,35000,35000,35000,35000,-,33800
107,02/11/2021,35000,35000,35000,35000,-,33800
108,03/11/2021,35000,35000,35000,35000,-,33800
109,04/11/2021,35000,35000,35000,35000,-,33800
110,05/11/2021,35000,35000,35000,35000,-,33800
111,08/11/2021,35000,35000,35000,35000,-,33800
112,09/11/2021,35000,35000,35000,35000,-,33800
113,10/11/2021,35000,35000,35000,35000,-,33800
114,11/11/2021,35000,35000,35000,35000,-,33800
115,12/11/2021,29800,29800,29800,29800,706,28800
116,15/11/2021,29800,29800,29800,29800,-,28800
117,16/11/2021,29800,29800,29800,29800,-,28800
118,17/11/2021,29800,29800,29800,29800,-,28800
119,18/11/2021,29800,29800,29800,29800,-,28800
120,19/11/2021,31000,31000,31000,31000,100,29900
121,22/11/2021,31000,31000,31000,31000,-,29900
122,23/11/2021,31000,31000,31000,31000,-,29900
123,24/11/2021,31000,31000,31000,31000,-,29900
124,25/11/2021,31000,31000,31000,31000,-,29900
125,26/11/2021,31200,31000,31000,31200,700,30100
126,29/11/2021,31100,31100,31100,31100,-,30000
127,30/11/2021,31100,31100,31100,31100,-,30000
128,01/12/2021,31100,31100,31100,31100,-,30000
129,02/12/2021,31100,31100,31100,31100,-,30000
130,03/12/2021,31100,31100,31100,31100,-,30000
131,06/12/2021,31100,31100,31100,31100,-,30000
132,07/12/2021,31100,31100,31100,31100,-,30000
133,08/12/2021,31100,31100,31100,31100,-,30000
134,09/12/2021,31100,31100,31100,31100,-,30000
135,10/12/2021,31100,31100,31100,31100,-,30000
136,13/12/2021,31100,31100,31100,31100,-,30000
137,14/12/2021,31100,31100,31100,31100,-,30000
138,15/12/2021,31100,31100,31100,31100,-,30000
139,16/12/2021,31100,31100,31100,31100,-,30000
140,17/12/2021,31100,31100,31100,31100,-,30000
141,20/12/2021,32000,32000,32000,32000,400,30900
142,21/12/2021,32000,32000,32000,32000,-,30900
143,22/12/2021,32000,32000,32000,32000,-,30900
144,23/12/2021,32000,32000,32000,32000,-,30900
145,24/12/2021,34000,32000,32000,34000,2406,32800
146,27/12/2021,32800,32800,32800,32800,-,31700
147,28/12/2021,35300,34500,34500,35300,1600,34100
148,29/12/2021,34800,34800,34800,34800,-,33600
149,30/12/2021,34800,34800,34800,34800,-,33600
150,31/12/2021,33600,33600,33600,33600,-,33600
151,04/01/2022,32000,28800,28800,32000,2500,32000
152,05/01/2022,30500,30500,30500,30500,27,30500
153,06/01/2022,30500,30500,30500,30500,-,30500
154,07/01/2022,30500,30500,30500,30500,-,30500
155,10/01/2022,30500,30500,30500,30500,-,30500
156,11/01/2022,30500,30500,30500,30500,-,30500
157,12/01/2022,30500,30500,30500,30500,-,30500
158,13/01/2022,32000,32000,32000,32000,1000,32000
159,14/01/2022,32000,32000,32000,32000,-,32000
160,17/01/2022,32000,32000,32000,32000,-,32000
161,18/01/2022,32000,32000,32000,32000,-,32000
162,19/01/2022,32000,32000,32000,32000,-,32000
163,20/01/2022,32000,31900,32000,31900,2000,31900
164,21/01/2022,33000,33000,33000,33000,206,33000
165,24/01/2022,33000,33000,33000,33000,-,33000
166,25/01/2022,33000,33000,33000,33000,-,33000
167,26/01/2022,33000,33000,33000,33000,-,33000
168,27/01/2022,33000,33000,33000,33000,-,33000
169,28/01/2022,33000,33000,33000,33000,-,33000
170,07/02/2022,33000,33000,33000,33000,-,33000
171,08/02/2022,33000,33000,33000,33000,-,33000
172,09/02/2022,33000,33000,33000,33000,227,33000
173,10/02/2022,33000,33000,33000,33000,-,33000
174,11/02/2022,33200,33000,33200,33000,800,33000
175,14/02/2022,33000,33000,33000,33000,1003,33000
176,15/02/2022,33000,33000,33000,33000,500,33000
177,16/02/2022,33000,33000,33000,33000,1,33000
178,17/02/2022,33000,33000,33000,33000,2900,33000
179,18/02/2022,33000,33000,33000,33000,500,33000
180,21/02/2022,33000,33000,33000,33000,200,33000
181,22/02/2022,33000,33000,33000,33000,-,33000
182,23/02/2022,33000,33000,33000,33000,-,33000
183,24/02/2022,33000,33000,33000,33000,1000,33000
184,25/02/2022,33000,33000,33000,33000,100,33000
185,28/02/2022,33000,33000,33000,33000,-,33000
186,01/03/2022,33000,33000,33000,33000,-,33000
187,02/03/2022,33000,33000,33000,33000,-,33000
188,03/03/2022,33000,33000,33000,33000,-,33000
189,04/03/2022,33000,33000,33000,33000,-,33000
190,07/03/2022,33000,33000,33000,33000,-,33000
191,08/03/2022,33000,33000,33000,33000,-,33000
192,09/03/2022,33000,33000,33000,33000,-,33000
193,10/03/2022,33000,33000,33000,33000,-,33000
194,11/03/2022,33000,33000,33000,33000,18,33000
195,14/03/2022,33000,33000,33000,33000,-,33000
196,15/03/2022,33000,33000,33000,33000,-,33000
197,16/03/2022,33000,33000,33000,33000,-,33000
198,17/03/2022,33000,33000,33000,33000,8,33000
199,18/03/2022,33000,33000,33000,33000,-,33000
200,21/03/2022,33000,33000,33000,33000,10,33000
201,22/03/2022,33000,33000,33000,33000,200,33000
202,23/03/2022,33000,33000,33000,33000,-,33000
203,24/03/2022,33000,33000,33000,33000,-,33000
204,25/03/2022,33000,33000,33000,33000,-,33000
205,28/03/2022,33000,33000,33000,33000,20,33000
206,29/03/2022,33000,33000,33000,33000,-,33000
207,30/03/2022,33000,33000,33000,33000,-,33000
208,31/03/2022,33000,33000,33000,33000,-,33000
209,01/04/2022,33000,33000,33000,33000,-,33000
210,04/04/2022,33000,33000,33000,33000,-,33000
211,05/04/2022,33000,33000,33000,33000,-,33000
212,06/04/2022,33000,33000,33000,33000,-,33000
213,07/04/2022,33000,33000,33000,33000,-,33000
214,08/04/2022,33000,33000,33000,33000,-,33000
215,12/04/2022,33000,33000,33000,33000,-,33000
216,13/04/2022,33000,33000,33000,33000,-,33000
217,14/04/2022,33000,33000,33000,33000,-,33000
218,15/04/2022,33000,33000,33000,33000,10,33000
219,18/04/2022,33000,33000,33000,33000,-,33000
220,19/04/2022,33000,33000,33000,33000,-,33000
221,20/04/2022,33000,33000,33000,33000,-,33000
222,21/04/2022,33000,33000,33000,33000,-,33000
223,22/04/2022,33000,33000,33000,33000,-,33000
224,25/04/2022,33000,33000,33000,33000,-,33000
225,26/04/2022,33000,33000,33000,33000,-,33000
226,27/04/2022,33000,33000,33000,33000,-,33000
227,28/04/2022,33000,33000,33000,33000,-,33000
228,29/04/2022,33000,33000,33000,33000,-,33000
229,04/05/2022,33000,33000,33000,33000,-,33000
230,05/05/2022,33000,33000,33000,33000,-,33000
231,06/05/2022,33000,33000,33000,33000,-,33000
232,09/05/2022,33000,33000,33000,33000,-,33000
233,10/05/2022,33000,33000,33000,33000,-,33000
234,11/05/2022,33000,33000,33000,33000,-,33000
235,12/05/2022,33000,33000,33000,33000,-,33000
236,13/05/2022,33000,33000,33000,33000,-,33000
237,16/05/2022,33000,33000,33000,33000,-,33000
238,17/05/2022,33000,33000,33000,33000,-,33000
239,18/05/2022,33000,33000,33000,33000,-,33000
240,19/05/2022,33000,33000,33000,33000,-,33000
241,20/05/2022,33000,33000,33000,33000,-,33000
242,23/05/2022,33000,33000,33000,33000,-,33000
243,24/05/2022,33000,33000,33000,33000,-,33000
244,25/05/2022,33000,33000,33000,33000,-,33000
245,26/05/2022,33000,33000,33000,33000,-,33000
246,27/05/2022,33000,33000,33000,33000,-,33000
247,30/05/2022,33000,33000,33000,33000,-,33000
248,31/05/2022,33000,33000,33000,33000,-,33000
249,01/06/2022,33000,33000,33000,33000,-,33000
250,02/06/2022,33000,33000,33000,33000,-,33000
