,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,22000,22000,22000,22000,-,19000
1,18/06/2021,22000,22000,22000,22000,-,19000
2,21/06/2021,22000,22000,22000,22000,-,19000
3,22/06/2021,22000,22000,22000,22000,7200,19000
4,23/06/2021,22000,22000,22000,22000,-,19000
5,24/06/2021,22000,22000,22000,22000,-,19000
6,25/06/2021,22000,22000,22000,22000,-,19000
7,28/06/2021,22000,22000,22000,22000,1102,19000
8,29/06/2021,22000,22000,22000,22000,-,19000
9,30/06/2021,22000,22000,22000,22000,-,19000
10,01/07/2021,22000,22000,22000,22000,445,19000
11,02/07/2021,22000,22000,22000,22000,100,19000
12,05/07/2021,22000,22000,22000,22000,-,19000
13,06/07/2021,22000,22000,22000,22000,-,19000
14,07/07/2021,22000,22000,22000,22000,-,19000
15,08/07/2021,21000,21000,21000,21000,1100,18100
16,09/07/2021,21000,21000,21000,21000,-,18100
17,12/07/2021,21000,21000,21000,21000,-,18100
18,13/07/2021,22000,22000,22000,22000,300,19000
19,14/07/2021,22000,22000,22000,22000,-,19000
20,15/07/2021,22000,22000,22000,22000,400,19000
21,16/07/2021,22000,22000,22000,22000,6630,19000
22,19/07/2021,22000,22000,22000,22000,-,19000
23,20/07/2021,22000,22000,22000,22000,-,19000
24,21/07/2021,22000,22000,22000,22000,-,19000
25,22/07/2021,22000,22000,22000,22000,-,19000
26,23/07/2021,22000,22000,22000,22000,56,19000
27,26/07/2021,21000,21000,21000,21000,-,19000
28,27/07/2021,21000,21000,21000,21000,-,19000
29,28/07/2021,21000,21000,21000,21000,-,19000
30,29/07/2021,21000,21000,21000,21000,-,19000
31,30/07/2021,21000,21000,21000,21000,-,19000
32,02/08/2021,21000,21000,21000,21000,-,19000
33,03/08/2021,21000,21000,21000,21000,-,19000
34,04/08/2021,21000,21000,21000,21000,-,19000
35,05/08/2021,21000,21000,21000,21000,-,19000
36,06/08/2021,21000,21000,21000,21000,-,19000
37,09/08/2021,21000,21000,21000,21000,-,19000
38,10/08/2021,21000,21000,21000,21000,-,19000
39,11/08/2021,21000,21000,21000,21000,-,19000
40,12/08/2021,23000,21500,23000,21500,610,19400
41,13/08/2021,21800,21800,21800,21800,-,19700
42,16/08/2021,21800,21800,21800,21800,-,19700
43,17/08/2021,21800,21800,21800,21800,-,19700
44,18/08/2021,21800,21800,21800,21800,-,19700
45,19/08/2021,21800,21800,21800,21800,-,19700
46,20/08/2021,21800,21800,21800,21800,-,19700
47,23/08/2021,21800,21800,21800,21800,500,19700
48,24/08/2021,21800,21800,21800,21800,-,19700
49,25/08/2021,21800,21800,21800,21800,-,19700
50,26/08/2021,21800,21800,21800,21800,100,19700
51,27/08/2021,21800,21800,21800,21800,1400,19700
52,30/08/2021,21800,21800,21800,21800,-,19700
53,31/08/2021,21800,21800,21800,21800,-,19700
54,01/09/2021,21800,21800,21800,21800,-,19700
55,06/09/2021,21800,21800,21800,21800,-,19700
56,07/09/2021,21800,21800,21800,21800,-,19700
57,08/09/2021,21800,21800,21800,21800,-,19700
58,09/09/2021,21800,21800,21800,21800,-,19700
59,10/09/2021,21800,21800,21800,21800,-,19700
60,13/09/2021,21800,21800,21800,21800,-,19700
61,14/09/2021,21800,21800,21800,21800,-,19700
62,15/09/2021,24000,24000,24000,24000,119,21700
63,16/09/2021,24000,24000,24000,24000,-,21700
64,17/09/2021,24000,24000,24000,24000,-,21700
65,20/09/2021,24000,24000,24000,24000,150,21700
66,21/09/2021,24000,24000,24000,24000,-,21700
67,22/09/2021,24000,24000,24000,24000,-,21700
68,23/09/2021,24000,24000,24000,24000,10,21700
69,24/09/2021,23500,23500,23500,23500,200,21300
70,27/09/2021,23000,23000,23000,23000,200,20800
71,28/09/2021,23000,23000,23000,23000,-,20800
72,29/09/2021,23000,23000,23000,23000,-,20800
73,30/09/2021,23000,23000,23000,23000,-,20800
74,01/10/2021,23000,23000,23000,23000,-,20800
75,04/10/2021,22500,22500,22500,22500,600,20400
76,05/10/2021,22500,22500,22500,22500,-,20400
77,06/10/2021,22500,22500,22500,22500,600,20400
78,07/10/2021,22500,22500,22500,22500,-,20400
79,08/10/2021,21400,21400,21400,21400,-,20400
80,11/10/2021,21400,21400,21400,21400,-,20400
81,12/10/2021,21400,21400,21400,21400,-,20400
82,13/10/2021,21400,21400,21400,21400,-,20400
83,14/10/2021,21400,21400,21400,21400,-,20400
84,15/10/2021,21400,21400,21400,21400,-,21400
85,18/10/2021,21400,21400,21400,22500,40,21400
86,19/10/2021,21400,21400,21400,21400,-,21400
87,20/10/2021,21400,21400,21400,21400,-,21400
88,21/10/2021,21400,21400,21400,21400,-,21400
89,22/10/2021,21400,21400,21400,21400,1500,21400
90,25/10/2021,21400,21400,21400,21400,-,21400
91,26/10/2021,21400,21400,21400,21400,-,21400
92,27/10/2021,21000,21000,21000,21000,441,21000
93,28/10/2021,21500,21000,21000,21500,26100,21500
94,29/10/2021,21000,21000,21000,21500,5,21000
95,01/11/2021,22500,21500,21500,22500,5415,22500
96,02/11/2021,22500,22500,22500,22500,-,22500
97,03/11/2021,22500,22500,22500,22500,-,22500
98,04/11/2021,22500,22500,22500,22500,-,22500
99,05/11/2021,22500,22500,22500,22500,20000,22500
100,08/11/2021,22500,22500,22500,22500,-,22500
101,09/11/2021,22500,22500,22500,22500,10,22500
102,10/11/2021,22500,22500,22500,22500,-,22500
103,11/11/2021,24000,23000,23000,24000,11500,24000
104,12/11/2021,23900,23900,23900,24000,1,23900
105,15/11/2021,23900,23900,23900,23900,-,23900
106,16/11/2021,24100,23500,23500,24100,700,24100
107,17/11/2021,23800,23800,23800,23800,-,23800
108,18/11/2021,23800,23800,23800,23800,-,23800
109,19/11/2021,23800,23800,23800,23800,-,23800
110,22/11/2021,23000,23000,23000,23000,3500,23000
111,23/11/2021,23000,23000,23000,23000,-,23000
112,24/11/2021,23000,23000,23000,23000,-,23000
113,25/11/2021,23000,23000,23000,23000,-,23000
114,26/11/2021,23000,23000,23000,23000,-,23000
115,29/11/2021,23000,23000,23000,23000,-,23000
116,30/11/2021,23000,23000,23000,23000,-,23000
117,01/12/2021,23000,23000,23000,23000,-,23000
118,02/12/2021,23000,23000,23000,23000,-,23000
119,03/12/2021,23000,23000,23000,23000,-,23000
120,06/12/2021,23000,23000,23000,23000,-,23000
121,07/12/2021,23000,23000,23000,23000,-,23000
122,08/12/2021,23000,23000,23000,23000,-,23000
123,09/12/2021,23000,23000,23000,23000,-,23000
124,10/12/2021,23000,23000,23000,23000,-,23000
125,13/12/2021,23000,23000,23000,23000,-,23000
126,14/12/2021,23000,23000,23000,23000,-,23000
127,15/12/2021,22500,22500,22500,22500,401,22500
128,16/12/2021,22500,22500,22500,22500,600,22500
129,17/12/2021,22500,22500,22500,22500,-,22500
130,20/12/2021,22500,22500,22500,22500,-,22500
131,21/12/2021,22500,22500,22500,22500,-,22500
132,22/12/2021,22500,22500,22500,22500,-,22500
133,23/12/2021,22500,22500,22500,22500,30,22500
134,24/12/2021,22500,22500,22500,22500,-,22500
135,27/12/2021,22500,22500,22500,22500,-,22500
136,28/12/2021,22500,22500,22500,22500,-,22500
137,29/12/2021,22500,22500,22500,22500,-,22500
138,30/12/2021,22500,22500,22500,22500,-,22500
139,31/12/2021,23500,23500,23500,23500,200,23500
140,04/01/2022,23500,23500,23500,23500,-,23500
141,05/01/2022,23500,23500,23500,23500,11100,23500
142,06/01/2022,23500,23500,23500,23500,3200,23500
143,07/01/2022,23500,23500,23500,23500,-,23500
144,10/01/2022,23500,23500,23500,23500,2600,23500
145,11/01/2022,23500,23500,23500,23500,-,23500
146,12/01/2022,23500,23500,23500,23500,-,23500
147,13/01/2022,25000,23500,25000,23500,12500,23500
148,14/01/2022,23500,23500,23500,23500,4000,23500
149,17/01/2022,23500,23500,23500,23500,-,23500
150,18/01/2022,23500,23500,23500,23500,-,23500
151,19/01/2022,23500,23500,23500,23500,10000,23500
152,20/01/2022,23500,23500,23500,23500,-,23500
153,21/01/2022,23500,23500,23500,23500,-,23500
154,24/01/2022,23500,23500,23500,23500,-,23500
155,25/01/2022,23500,23500,23500,23500,-,23500
156,26/01/2022,23500,23500,23500,23500,-,23500
157,27/01/2022,23500,23500,23500,23500,-,23500
158,28/01/2022,23500,23500,23500,23500,-,23500
159,07/02/2022,23500,23500,23500,23500,-,23500
160,08/02/2022,23500,23500,23500,23500,-,23500
161,09/02/2022,23500,23500,23500,23500,1900,23500
162,10/02/2022,23500,23500,23500,23500,-,23500
163,11/02/2022,23500,23500,23500,23500,-,23500
164,14/02/2022,23500,23500,23500,23500,-,23500
165,15/02/2022,23500,23500,23500,23500,-,23500
166,16/02/2022,23500,23500,23500,23500,-,23500
167,17/02/2022,23500,23500,23500,23500,45,23500
168,18/02/2022,23500,23500,23500,23500,-,23500
169,21/02/2022,23500,23500,23500,23500,-,23500
170,22/02/2022,23500,23500,23500,23500,-,23500
171,23/02/2022,23500,23500,23500,23500,-,23500
172,24/02/2022,23500,23500,23500,23500,-,23500
173,25/02/2022,23500,23500,23500,23500,-,23500
174,28/02/2022,23500,23500,23500,23500,-,23500
175,01/03/2022,23500,23500,23500,23500,-,23500
176,02/03/2022,23500,23500,23500,23500,100,23500
177,03/03/2022,23500,23500,23500,23500,-,23500
178,04/03/2022,23500,23500,23500,23500,-,23500
179,07/03/2022,23500,23500,23500,23500,-,23500
180,08/03/2022,23500,23500,23500,23500,100,23500
181,09/03/2022,23500,23500,23500,23500,-,23500
182,10/03/2022,23500,23500,23500,23500,-,23500
183,11/03/2022,23500,23500,23500,23500,-,23500
184,14/03/2022,23500,23500,23500,23500,-,23500
185,15/03/2022,23500,23500,23500,23500,-,23500
186,16/03/2022,23500,23500,23500,23500,-,23500
187,17/03/2022,23500,23500,23500,23500,-,23500
188,18/03/2022,23500,23500,23500,23500,-,23500
189,21/03/2022,23500,23500,23500,23500,-,23500
190,22/03/2022,23500,23500,23500,23500,-,23500
191,23/03/2022,23500,23500,23500,23500,-,23500
192,24/03/2022,23500,23500,23500,23500,-,23500
193,25/03/2022,23500,23500,23500,23500,-,23500
194,28/03/2022,23500,23500,23500,23500,-,23500
195,29/03/2022,23500,23500,23500,23500,3009,23500
196,30/03/2022,23500,23500,23500,23500,-,23500
197,31/03/2022,23500,23500,23500,23500,54,23500
198,01/04/2022,23500,23500,23500,23500,-,23500
199,04/04/2022,23500,23500,23500,23500,-,23500
200,05/04/2022,23500,23500,23500,23500,-,23500
201,06/04/2022,23500,23500,23500,23500,-,23500
202,07/04/2022,23500,23500,23500,23500,-,23500
203,08/04/2022,23500,23500,23500,23500,-,23500
204,12/04/2022,23500,23500,23500,23500,-,23500
205,13/04/2022,23500,23500,23500,23500,-,23500
206,14/04/2022,23500,23500,23500,23500,-,23500
207,15/04/2022,24000,24000,24000,24000,5000,24000
208,18/04/2022,24000,24000,24000,24000,-,24000
209,19/04/2022,24000,24000,24000,24000,-,24000
210,20/04/2022,24000,24000,24000,24000,-,24000
211,21/04/2022,24000,24000,24000,24000,-,24000
212,22/04/2022,24000,24000,24000,24000,-,24000
213,25/04/2022,24000,24000,24000,24000,-,24000
214,26/04/2022,24000,24000,24000,24000,-,24000
215,27/04/2022,23000,20500,20500,23000,1520,23000
216,28/04/2022,22300,22300,22300,22300,-,22300
217,29/04/2022,22300,22300,22300,22300,-,22300
218,04/05/2022,22300,22300,22300,22300,-,22300
219,05/05/2022,24800,24800,24800,24800,100,24800
220,06/05/2022,24800,24800,24800,24800,-,24800
221,09/05/2022,24800,24800,24800,24800,-,24800
222,10/05/2022,27000,24200,24200,27000,16300,27000
223,11/05/2022,26900,26900,26900,26900,-,26900
224,12/05/2022,26900,26900,26900,26900,-,26900
225,13/05/2022,26900,26900,26900,26900,-,26900
226,16/05/2022,26900,26900,26900,26900,-,26900
227,17/05/2022,26900,26900,26900,26900,-,26900
228,18/05/2022,26900,26900,26900,26900,-,26900
229,19/05/2022,26900,26900,26900,26900,-,26900
230,20/05/2022,26900,26900,26900,26900,-,26900
231,23/05/2022,27000,26900,26900,27000,22300,27000
232,24/05/2022,27000,27000,27000,27000,100,27000
233,25/05/2022,27000,27000,27000,27000,-,27000
234,26/05/2022,27000,27000,27000,27000,26,27000
235,27/05/2022,27000,27000,27000,27000,-,27000
236,30/05/2022,27000,27000,27000,27000,-,27000
237,31/05/2022,27000,27000,27000,27000,-,27000
238,01/06/2022,27000,27000,27000,27000,-,27000
239,02/06/2022,27000,27000,27000,27000,-,27000
240,03/06/2022,24500,24500,24500,24500,100,24500
241,06/06/2022,24500,24500,24500,24500,-,24500
242,07/06/2022,25000,25000,25000,25000,100,25000
243,08/06/2022,25000,25000,25000,25000,-,25000
244,09/06/2022,25000,25000,25000,25000,-,25000
245,10/06/2022,25000,25000,25000,25000,-,25000
246,13/06/2022,25000,25000,25000,25000,500,25000
247,14/06/2022,25000,25000,25000,25000,-,25000
248,15/06/2022,25000,25000,25000,25000,-,25000
249,16/06/2022,25000,25000,25000,25000,-,25000
250,17/06/2022,25000,25000,25000,25000,-,25000
