,Date,High,Low,Open,Close,Volume,Adj Close
0,08/06/2021,12000,12000,12000,12000,-,11700
1,09/06/2021,12000,12000,12000,12000,-,11700
2,10/06/2021,12000,12000,12000,12000,-,11700
3,11/06/2021,12000,12000,12000,12000,-,11700
4,14/06/2021,12000,12000,12000,12000,-,11700
5,15/06/2021,12000,12000,12000,12000,-,11700
6,16/06/2021,12000,12000,12000,12000,-,11700
7,17/06/2021,12000,12000,12000,12000,-,11700
8,18/06/2021,12000,12000,12000,12000,-,11700
9,21/06/2021,12000,12000,12000,12000,-,11700
10,22/06/2021,12000,12000,12000,12000,-,11700
11,23/06/2021,12000,12000,12000,12000,-,11700
12,24/06/2021,12000,12000,12000,12000,-,11700
13,25/06/2021,12000,12000,12000,12000,-,11700
14,28/06/2021,12000,12000,12000,12000,-,11700
15,29/06/2021,12000,12000,12000,12000,-,11700
16,30/06/2021,12000,12000,12000,12000,-,11700
17,01/07/2021,12000,12000,12000,12000,-,11700
18,02/07/2021,12000,12000,12000,12000,1000,11700
19,05/07/2021,12000,12000,12000,12000,-,11700
20,06/07/2021,12000,12000,12000,12000,-,11700
21,07/07/2021,12000,12000,12000,12000,-,11700
22,08/07/2021,12000,12000,12000,12000,-,11700
23,09/07/2021,12000,12000,12000,12000,-,11700
24,12/07/2021,12000,12000,12000,12000,-,11700
25,13/07/2021,12000,12000,12000,12000,-,11700
26,14/07/2021,12000,12000,12000,12000,-,11700
27,15/07/2021,12000,12000,12000,12000,-,11700
28,16/07/2021,12000,12000,12000,12000,-,11700
29,19/07/2021,12000,12000,12000,12000,-,11700
30,20/07/2021,12000,12000,12000,12000,-,11700
31,21/07/2021,12000,12000,12000,12000,-,11700
32,22/07/2021,12000,12000,12000,12000,-,11700
33,23/07/2021,12000,12000,12000,12000,-,11700
34,26/07/2021,12000,12000,12000,12000,-,11700
35,27/07/2021,13800,13800,13800,13800,100,13500
36,28/07/2021,13800,13800,13800,13800,-,13500
37,29/07/2021,13800,13800,13800,13800,-,13500
38,30/07/2021,13800,13800,13800,13800,-,13500
39,02/08/2021,13800,13800,13800,13800,200,13500
40,03/08/2021,13800,13800,13800,13800,-,13500
41,04/08/2021,13800,13800,13800,13800,-,13500
42,05/08/2021,13800,13800,13800,13800,-,13500
43,06/08/2021,13800,13800,13800,13800,-,13500
44,09/08/2021,13800,13800,13800,13800,-,13500
45,10/08/2021,13800,13800,13800,13800,-,13500
46,11/08/2021,13800,13800,13800,13800,-,13500
47,12/08/2021,13800,13800,13800,13800,-,13500
48,13/08/2021,13800,13800,13800,13800,-,13500
49,16/08/2021,13800,13800,13800,13800,-,13500
50,17/08/2021,13800,13800,13800,13800,-,13500
51,18/08/2021,13800,13800,13800,13800,-,13500
52,19/08/2021,13800,13800,13800,13800,-,13500
53,20/08/2021,13800,13800,13800,13800,-,13500
54,23/08/2021,13800,13800,13800,13800,-,13500
55,24/08/2021,13800,13800,13800,13800,-,13500
56,25/08/2021,13800,13800,13800,13800,-,13500
57,26/08/2021,13800,13800,13800,13800,-,13500
58,27/08/2021,13800,13800,13800,13800,-,13500
59,30/08/2021,13800,13800,13800,13800,-,13500
60,31/08/2021,13800,13800,13800,13800,-,13500
