,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,21500,18300,18300,21500,3900,21500
1,04/06/2021,21500,16100,16100,21400,2100,21400
2,07/06/2021,15600,15500,15600,15500,3000,15500
3,08/06/2021,17700,15500,15600,17700,900,17700
4,09/06/2021,16000,15000,16000,15300,1200,15300
5,10/06/2021,15500,15500,15500,15500,-,15500
6,11/06/2021,15400,15400,15400,15400,1900,15400
7,14/06/2021,15400,15400,15400,15400,-,15400
8,15/06/2021,15400,15400,15400,15400,300,15400
9,16/06/2021,15500,15500,15500,15500,100,15500
10,17/06/2021,15500,15500,15500,15500,-,15500
11,18/06/2021,15500,15500,15500,15500,110,15500
12,21/06/2021,15500,15500,15500,15500,-,15500
13,22/06/2021,15500,15500,15500,15500,-,15500
14,23/06/2021,15400,15400,15400,15400,100,15400
15,24/06/2021,15100,15100,15100,15100,200,15100
16,25/06/2021,14100,14100,14100,14100,500,14100
17,28/06/2021,14100,14100,14100,14100,200,14100
18,29/06/2021,15000,13300,13300,15000,200,15000
19,30/06/2021,15000,15000,15000,15000,500,15000
20,01/07/2021,15500,15100,15100,15500,200,15500
21,02/07/2021,16000,15500,15500,16000,200,16000
22,05/07/2021,15800,15800,15800,15800,-,15800
23,06/07/2021,15800,15800,15800,15800,-,15800
24,07/07/2021,15800,15800,15800,15800,-,15800
25,08/07/2021,16000,16000,16000,16000,200,16000
26,09/07/2021,16200,15000,16200,15000,400,15000
27,12/07/2021,14100,14000,14100,14000,1900,14000
28,13/07/2021,14000,14000,14000,14000,-,14000
29,14/07/2021,14000,14000,14000,14000,-,14000
30,15/07/2021,14000,14000,14000,14000,-,14000
31,16/07/2021,14000,14000,14000,14000,-,14000
32,19/07/2021,13200,13000,13200,13000,600,13000
33,20/07/2021,14000,14000,14000,14000,100,14000
34,21/07/2021,14000,13000,14000,14000,700,14000
35,22/07/2021,13900,13900,13900,13900,-,13900
36,23/07/2021,15200,15200,15200,15200,200,15200
37,26/07/2021,13500,13100,13500,13100,300,13100
38,27/07/2021,14600,14000,14000,14600,800,14600
39,28/07/2021,14300,14300,14300,14300,-,14300
40,29/07/2021,14300,14300,14300,14300,-,14300
41,30/07/2021,14400,14200,14400,14200,200,14200
42,02/08/2021,15000,15000,15000,15000,400,15000
43,03/08/2021,15500,15500,15500,15500,1000,15500
44,04/08/2021,15500,15500,15500,15500,-,15500
45,05/08/2021,15500,15000,15000,15500,200,15500
46,06/08/2021,15500,15300,15300,15500,1000,15500
47,09/08/2021,15500,15500,15500,15500,-,15500
48,10/08/2021,15500,15500,15500,15500,-,15500
49,11/08/2021,16000,15500,15500,16000,200,16000
50,12/08/2021,15800,15800,15800,15800,-,15800
51,13/08/2021,14000,13600,14000,13600,1600,13600
52,16/08/2021,15100,15000,15000,15000,601,15000
53,17/08/2021,16000,16000,16000,16000,100,16000
54,18/08/2021,15800,15500,15800,15500,400,15500
55,19/08/2021,15600,15600,15600,15600,-,15600
56,20/08/2021,15600,15600,15600,15600,-,15600
57,23/08/2021,15600,15600,15600,15600,-,15600
58,24/08/2021,15600,15600,15600,15600,-,15600
59,25/08/2021,15600,15600,15600,15600,-,15600
60,26/08/2021,17000,15000,15000,17000,2000,17000
61,27/08/2021,16400,16400,16400,16400,-,16400
