,Date,High,Low,Open,Close,Volume,Adj Close
0,14/06/2021,12400,12400,12400,12400,-,11500
1,15/06/2021,12400,12400,12400,12400,-,11500
2,16/06/2021,12400,12400,12400,12400,-,11500
3,17/06/2021,12400,12400,12400,12400,-,11500
4,18/06/2021,12400,12400,12400,12400,-,11500
5,21/06/2021,14200,14200,14200,14200,945,13100
6,22/06/2021,14200,14200,14200,14200,-,13100
7,23/06/2021,14200,14200,14200,14200,-,13100
8,24/06/2021,14200,14200,14200,14200,-,13100
9,25/06/2021,14200,14200,14200,14200,-,13100
10,28/06/2021,14200,14200,14200,14200,-,13100
11,29/06/2021,14200,14200,14200,14200,-,13100
12,30/06/2021,14200,14200,14200,14200,-,13100
13,01/07/2021,14200,14200,14200,14200,-,13100
14,02/07/2021,14200,14200,14200,14200,-,13100
15,05/07/2021,14200,14200,14200,14200,-,13100
16,06/07/2021,14200,14200,14200,14200,-,13100
17,07/07/2021,14200,14200,14200,14200,-,13100
18,08/07/2021,14200,14200,14200,14200,-,13100
19,09/07/2021,14200,14200,14200,14200,-,13100
20,12/07/2021,14200,14200,14200,14200,-,13100
21,13/07/2021,14200,14200,14200,14200,-,13100
22,14/07/2021,14200,14200,14200,14200,-,13100
23,15/07/2021,14200,14200,14200,14200,-,13100
24,16/07/2021,14200,14200,14200,14200,-,13100
25,19/07/2021,14200,14200,14200,14200,-,13100
26,20/07/2021,14200,14200,14200,14200,-,13100
27,21/07/2021,14200,14200,14200,14200,-,13100
28,22/07/2021,14200,14200,14200,14200,-,13100
29,23/07/2021,14200,14200,14200,14200,-,13100
30,26/07/2021,14200,14200,14200,14200,-,13100
31,27/07/2021,14200,14200,14200,14200,-,13100
32,28/07/2021,14200,14200,14200,14200,700,13100
33,29/07/2021,14200,14200,14200,14200,56,13100
34,30/07/2021,14200,14200,14200,14200,-,13100
35,02/08/2021,14200,14200,14200,14200,-,13100
36,03/08/2021,14200,14200,14200,14200,-,13100
37,04/08/2021,14200,14200,14200,14200,-,13100
38,05/08/2021,14200,14200,14200,14200,-,13100
39,06/08/2021,14200,14200,14200,14200,-,13100
40,09/08/2021,14200,14200,14200,14200,-,13100
41,10/08/2021,14200,14200,14200,14200,-,13100
42,11/08/2021,14200,14200,14200,14200,-,13100
43,12/08/2021,14200,14200,14200,14200,-,13100
44,13/08/2021,14200,14200,14200,14200,-,13100
45,16/08/2021,14200,14200,14200,14200,-,13100
46,17/08/2021,14200,14200,14200,14200,-,13100
47,18/08/2021,14200,14200,14200,14200,-,13100
48,19/08/2021,14200,14200,14200,14200,-,13100
49,20/08/2021,14200,14200,14200,14200,-,13100
50,23/08/2021,14200,14200,14200,14200,-,13100
51,24/08/2021,14200,14200,14200,14200,-,13100
52,25/08/2021,14200,14200,14200,14200,-,13100
53,26/08/2021,14200,14200,14200,14200,-,13100
54,27/08/2021,14200,14200,14200,14200,-,13100
55,30/08/2021,14200,14200,14200,14200,-,13100
56,31/08/2021,14200,14200,14200,14200,-,13100
57,01/09/2021,14200,14200,14200,14200,-,13100
58,06/09/2021,14200,14200,14200,14200,-,13100
59,07/09/2021,14200,14200,14200,14200,-,13100
60,08/09/2021,14200,14200,14200,14200,-,13100
61,09/09/2021,14200,14200,14200,14200,-,13100
62,10/09/2021,14200,14200,14200,14200,-,13100
63,13/09/2021,14200,14200,14200,14200,-,13100
64,14/09/2021,14200,14200,14200,14200,-,13100
65,15/09/2021,14200,14200,14200,14200,-,13100
66,16/09/2021,14200,14200,14200,14200,-,13100
67,17/09/2021,14200,14200,14200,14200,-,13100
68,20/09/2021,14200,14200,14200,14200,-,13100
69,21/09/2021,14200,14200,14200,14200,-,13100
70,22/09/2021,14200,14200,14200,14200,-,13100
71,23/09/2021,14200,14200,14200,14200,-,13100
72,24/09/2021,14200,14200,14200,14200,-,13100
73,27/09/2021,14200,14200,14200,14200,-,13100
74,28/09/2021,14200,14200,14200,14200,-,13100
75,29/09/2021,14200,14200,14200,14200,-,13100
76,30/09/2021,14200,14200,14200,14200,-,13100
77,01/10/2021,14200,14200,14200,14200,-,13100
78,04/10/2021,14200,14200,14200,14200,-,13100
79,05/10/2021,14200,14200,14200,14200,-,13100
80,06/10/2021,14200,14200,14200,14200,-,13100
81,07/10/2021,14200,14200,14200,14200,-,13100
82,08/10/2021,14200,14200,14200,14200,-,13100
83,11/10/2021,14200,14200,14200,14200,-,13100
84,12/10/2021,14200,14200,14200,14200,-,13100
85,13/10/2021,14200,14200,14200,14200,-,13100
86,14/10/2021,14200,14200,14200,14200,-,13100
87,15/10/2021,14200,14200,14200,14200,-,13100
88,18/10/2021,14200,14200,14200,14200,-,13100
89,19/10/2021,14200,14200,14200,14200,-,13100
90,20/10/2021,14200,14200,14200,14200,-,13100
91,21/10/2021,14200,14200,14200,14200,-,13100
92,22/10/2021,14200,14200,14200,14200,-,13100
93,25/10/2021,14200,14200,14200,14200,-,13100
94,26/10/2021,14200,14200,14200,14200,-,13100
95,27/10/2021,14200,14200,14200,14200,-,13100
96,28/10/2021,14200,14200,14200,14200,-,13100
97,29/10/2021,14200,14200,14200,14200,-,13100
98,01/11/2021,14200,14200,14200,14200,-,13100
99,02/11/2021,14200,14200,14200,14200,-,13100
100,03/11/2021,14200,14200,14200,14200,-,13100
101,04/11/2021,14200,14200,14200,14200,-,13100
102,05/11/2021,14200,14200,14200,14200,-,13100
103,08/11/2021,14200,14200,14200,14200,-,13100
104,09/11/2021,14200,14200,14200,14200,-,13100
105,10/11/2021,14200,14200,14200,14200,-,13100
106,11/11/2021,14200,14200,14200,14200,-,13100
107,12/11/2021,14200,14200,14200,14200,-,13100
108,15/11/2021,14200,14200,14200,14200,-,13100
109,16/11/2021,14200,14200,14200,14200,-,13100
110,17/11/2021,14200,14200,14200,14200,-,13100
111,18/11/2021,14200,14200,14200,14200,-,13100
