,Date,High,Low,Open,Close,Volume,Adj Close
0,03/06/2021,11100,11100,11100,11100,-,5400
1,04/06/2021,11100,11100,11100,11100,-,5400
2,07/06/2021,11100,11100,11100,11100,-,5400
3,08/06/2021,11100,11100,11100,11100,-,5400
4,09/06/2021,11100,11100,11100,11100,-,5400
5,10/06/2021,11100,11100,11100,11100,-,5400
6,11/06/2021,11100,11100,11100,11100,-,5400
7,14/06/2021,11100,11100,11100,11100,-,5400
8,15/06/2021,11100,11100,11100,11100,-,5400
9,16/06/2021,11100,11100,11100,11100,-,5400
10,17/06/2021,11100,11100,11100,11100,-,5400
11,18/06/2021,11100,11100,11100,11100,-,5400
12,21/06/2021,15500,15500,15500,15500,3600,7600
13,22/06/2021,15500,15500,15500,15500,-,7600
14,23/06/2021,15500,15500,15500,15500,31,7600
15,24/06/2021,15500,15500,15500,15500,-,7600
16,25/06/2021,15500,15500,15500,15500,-,7600
17,28/06/2021,15500,15500,15500,15500,-,7600
18,29/06/2021,15500,15500,15500,15500,-,7600
19,30/06/2021,15500,15500,15500,15500,-,7600
20,01/07/2021,15500,15500,15500,15500,-,7600
21,02/07/2021,15500,15500,15500,15500,-,7600
22,05/07/2021,15500,15500,15500,15500,3000,7600
23,06/07/2021,15500,15500,15500,15500,1000,7600
24,07/07/2021,15500,15500,15500,15500,-,7600
25,08/07/2021,15500,15500,15500,15500,-,7600
26,09/07/2021,15500,15500,15500,15500,-,7600
27,12/07/2021,15500,15500,15500,15500,-,7600
28,13/07/2021,15500,15500,15500,15500,-,7600
29,14/07/2021,15500,15500,15500,15500,-,7600
30,15/07/2021,15500,15500,15500,15500,-,7600
31,16/07/2021,15500,15500,15500,15500,-,7600
32,19/07/2021,15500,15500,15500,15500,-,7600
33,20/07/2021,15500,15500,15500,15500,-,7600
34,21/07/2021,15500,15500,15500,15500,-,7600
35,22/07/2021,15500,15500,15500,15500,-,7600
36,23/07/2021,15500,15500,15500,15500,-,7600
37,26/07/2021,15500,15500,15500,15500,-,7600
38,27/07/2021,15500,15500,15500,15500,-,7600
39,28/07/2021,15500,15500,15500,15500,-,7600
40,29/07/2021,15500,15500,15500,15500,-,7600
41,30/07/2021,15500,15500,15500,15500,-,7600
42,02/08/2021,15500,15500,15500,15500,-,7600
43,03/08/2021,15500,15500,15500,15500,-,7600
44,04/08/2021,15500,15500,15500,15500,-,7600
45,05/08/2021,15500,15500,15500,15500,-,7600
46,06/08/2021,15500,15500,15500,15500,-,7600
47,09/08/2021,15500,15500,15500,15500,-,7600
48,10/08/2021,15500,15500,15500,15500,-,7600
49,11/08/2021,15500,15500,15500,15500,-,7600
50,12/08/2021,15500,15500,15500,15500,-,7600
51,13/08/2021,15500,15500,15500,15500,-,7600
52,16/08/2021,15500,15500,15500,15500,-,7600
53,17/08/2021,15500,15500,15500,15500,-,7600
54,18/08/2021,15500,15500,15500,15500,-,7600
55,19/08/2021,15500,15500,15500,15500,-,7600
56,20/08/2021,15500,15500,15500,15500,-,7600
57,23/08/2021,15500,15500,15500,15500,-,7600
58,24/08/2021,15500,15500,15500,15500,-,7600
59,25/08/2021,15500,15500,15500,15500,-,7600
60,26/08/2021,15500,15500,15500,15500,-,7600
61,27/08/2021,15500,15500,15500,15500,-,7600
62,30/08/2021,15500,15500,15500,15500,-,7600
63,31/08/2021,15500,15500,15500,15500,-,7600
64,01/09/2021,15500,15500,15500,15500,-,7600
65,06/09/2021,15500,15500,15500,15500,-,7600
66,07/09/2021,15500,15500,15500,15500,-,7600
67,08/09/2021,15500,15500,15500,15500,-,7600
68,09/09/2021,15500,15500,15500,15500,-,7600
69,10/09/2021,15500,15500,15500,15500,-,7600
70,13/09/2021,15500,15500,15500,15500,-,7600
71,14/09/2021,15500,15500,15500,15500,-,7600
72,15/09/2021,15500,15500,15500,15500,-,7600
