,Date,High,Low,Open,Close,Volume,Adj Close
0,14/06/2021,9700,9600,9600,9700,2200,8900
1,15/06/2021,9600,9400,9600,9500,8500,8800
2,16/06/2021,9600,9600,9600,9600,200,8900
3,17/06/2021,9600,9600,9600,9600,-,8900
4,18/06/2021,9500,9400,9500,9400,52400,8700
5,21/06/2021,9500,9500,9500,9500,100,8800
6,22/06/2021,9500,9400,9500,9400,17000,8700
7,23/06/2021,9400,9400,9400,9400,400,8700
8,24/06/2021,9500,9500,9500,9500,1000,8800
9,25/06/2021,9600,9500,9500,9600,200,8900
10,28/06/2021,9400,9400,9400,9400,1000,8700
11,29/06/2021,9500,9400,9500,9400,800,8700
12,30/06/2021,9500,9500,9500,9500,500,8800
13,01/07/2021,9500,9500,9500,9500,500,8800
14,02/07/2021,9500,9500,9500,9500,100,8800
15,05/07/2021,9500,9500,9500,9500,500,8800
16,06/07/2021,9500,9400,9500,9500,4000,8800
17,07/07/2021,9500,9500,9500,9500,2000,8800
18,08/07/2021,9500,9000,9000,9400,10100,8700
19,09/07/2021,9400,9400,9400,9400,-,8700
20,12/07/2021,9400,9000,9400,9000,2100,8300
21,13/07/2021,9200,9200,9200,9200,900,8500
22,14/07/2021,9500,9500,9500,9500,5000,8800
23,15/07/2021,9500,9500,9500,9500,-,8800
24,16/07/2021,9500,9400,9400,9500,1410,8800
25,19/07/2021,9200,9200,9200,9200,4100,8500
26,20/07/2021,9200,9200,9200,9200,200,8500
27,21/07/2021,9200,9200,9200,9200,-,8500
28,22/07/2021,9200,9200,9200,9200,-,8500
29,23/07/2021,9400,9400,9400,9400,510,8700
30,26/07/2021,9100,9100,9100,9100,1405,8400
31,27/07/2021,9100,9100,9100,9100,-,8400
32,28/07/2021,9100,9100,9100,9100,-,8400
33,29/07/2021,9100,9100,9100,9100,-,8400
34,30/07/2021,9300,9100,9200,9300,2000,8600
35,02/08/2021,9500,9500,9500,9500,500,8800
36,03/08/2021,9500,9500,9500,9500,-,8800
37,04/08/2021,9500,9500,9500,9500,-,8800
38,05/08/2021,9400,9400,9400,9400,1001,8700
39,06/08/2021,9500,9500,9500,9500,10000,8800
