,Date,High,Low,Open,Close,Volume,Adj Close
0,17/06/2021,33000,32900,33000,33000,400,32100
1,18/06/2021,31000,31000,31000,31000,3200,30200
2,21/06/2021,31000,31000,31000,31000,-,30200
3,22/06/2021,34000,33900,34000,33900,300,33000
4,23/06/2021,34000,32000,34000,32000,700,31200
5,24/06/2021,30000,30000,30000,30000,200,29200
6,25/06/2021,30000,30000,30000,30000,100,29200
7,28/06/2021,30100,30000,30000,30000,1000,29200
8,29/06/2021,32100,30000,32000,32100,2300,31300
9,30/06/2021,31900,31900,31900,31900,-,31100
10,01/07/2021,33500,32200,32200,32500,2300,31600
11,02/07/2021,32400,32400,32400,32400,-,31500
12,05/07/2021,32400,32400,32400,32400,-,31500
13,06/07/2021,32400,32400,32400,32400,-,31500
14,07/07/2021,32400,32400,32400,32400,-,31500
15,08/07/2021,32400,32400,32400,32400,-,31500
16,09/07/2021,28000,28000,28000,28000,100,27300
17,12/07/2021,29000,28100,29000,28100,1000,27400
18,13/07/2021,32400,32400,32400,32400,100,31500
19,14/07/2021,32400,32400,32400,32400,-,31500
20,15/07/2021,32400,32400,32400,32400,-,31500
21,16/07/2021,37200,34900,37200,34900,200,34000
22,19/07/2021,36100,36100,36100,36100,-,35100
23,20/07/2021,36100,36100,36100,36100,-,35100
24,21/07/2021,36100,36100,36100,36100,-,35100
25,22/07/2021,36100,36100,36100,36100,-,35100
26,23/07/2021,36100,36100,36100,36100,-,35100
27,26/07/2021,36100,36100,36100,36100,-,35100
28,27/07/2021,36100,36100,36100,36100,-,35100
29,28/07/2021,38000,38000,38000,38000,100,37000
30,29/07/2021,38000,38000,38000,38000,-,37000
31,30/07/2021,33000,32300,33000,32300,1000,31400
32,02/08/2021,32000,32000,32000,32000,100,31200
33,03/08/2021,32300,32300,32300,32300,100,31400
34,04/08/2021,32300,32300,32300,32300,-,31400
35,05/08/2021,32300,32300,32300,32300,700,31400
36,06/08/2021,32300,32300,32300,32300,-,31400
37,09/08/2021,32300,32300,32300,32300,-,31400
38,10/08/2021,32300,32300,32300,32300,100,31400
39,11/08/2021,32000,32000,32000,32000,100,31200
40,12/08/2021,36800,31000,36800,31000,700,30200
41,13/08/2021,33000,33000,33000,33000,-,32100
42,16/08/2021,33000,33000,33000,33000,-,32100
43,17/08/2021,33000,32500,33000,32500,400,31600
44,18/08/2021,28600,28600,28600,28600,500,27800
45,19/08/2021,28600,28600,28600,28600,-,27800
46,20/08/2021,28600,28600,28600,28600,500,27800
47,23/08/2021,28600,28600,28600,28600,-,27800
48,24/08/2021,28600,28600,28600,28600,300,27800
49,25/08/2021,32600,32100,32100,32600,2200,31700
50,26/08/2021,32600,32600,32600,32600,-,31700
51,27/08/2021,32600,32600,32600,32600,-,31700
52,30/08/2021,32600,32600,32600,32600,-,31700
53,31/08/2021,32600,32600,32600,32600,1200,31700
54,01/09/2021,32600,32600,32600,32600,-,31700
55,06/09/2021,32600,32600,32600,32600,-,31700
56,07/09/2021,32600,32600,32600,32600,-,31700
57,08/09/2021,32500,32500,32500,32500,100,31600
58,09/09/2021,32400,32400,32400,32400,100,31500
59,10/09/2021,37200,32500,37200,32500,400,31600
60,13/09/2021,39300,33000,39300,33000,400,32100
61,14/09/2021,34000,34000,34000,34000,100,33100
62,15/09/2021,34000,34000,34000,34000,-,33100
63,16/09/2021,33000,31000,33000,31000,1300,30200
64,17/09/2021,32200,32200,32200,32200,-,31400
65,20/09/2021,32200,32200,32200,32200,-,31400
66,21/09/2021,32200,32200,32200,32200,-,31400
67,22/09/2021,32200,32200,32200,32200,-,31400
68,23/09/2021,37000,37000,37000,37000,100,36000
69,24/09/2021,37000,37000,37000,37000,-,36000
70,27/09/2021,42500,42500,42500,42500,100,41400
71,28/09/2021,42500,42500,42500,42500,-,41400
72,29/09/2021,42500,42500,42500,42500,-,41400
73,30/09/2021,36800,36800,36800,36800,1200,35800
74,01/10/2021,36800,36800,36800,36800,-,35800
75,04/10/2021,36800,36800,36800,36800,400,35800
76,05/10/2021,36800,36800,36800,36800,-,35800
77,06/10/2021,36000,33600,36000,33600,1000,32700
78,07/10/2021,36500,33000,33000,36500,1500,35500
79,08/10/2021,35500,35500,35500,35500,-,34600
80,11/10/2021,35500,35500,35500,35500,-,34600
81,12/10/2021,35500,35500,35500,35500,-,34600
82,13/10/2021,35500,35500,35500,35500,-,34600
83,14/10/2021,35500,35500,35500,35500,-,34600
84,15/10/2021,35500,35500,35500,35500,-,34600
85,18/10/2021,35500,30300,30300,35500,200,34600
86,19/10/2021,32900,32900,32900,32900,-,32000
87,20/10/2021,32900,32900,32900,32900,-,32000
88,21/10/2021,32900,32900,32900,32900,-,32000
89,22/10/2021,32900,32900,32900,32900,-,32000
90,25/10/2021,32900,32900,32900,32900,-,32000
91,26/10/2021,32000,32000,32000,32000,300,31200
92,27/10/2021,32000,32000,32000,32000,-,31200
93,28/10/2021,36800,36500,36800,36700,400,35700
94,29/10/2021,36000,36000,36000,36000,300,35100
95,01/11/2021,36000,36000,36000,36000,1200,35100
96,02/11/2021,31000,30700,31000,30700,1600,29900
97,03/11/2021,30700,30700,30700,30700,-,29900
98,04/11/2021,30700,30700,30700,30700,-,29900
99,05/11/2021,30700,30700,30700,30700,-,29900
100,08/11/2021,34700,34700,34700,34700,1100,33800
101,09/11/2021,34700,34700,34700,34700,-,33800
102,10/11/2021,34700,34700,34700,34700,-,33800
103,11/11/2021,29600,29600,29600,29600,1400,28800
104,12/11/2021,29600,29600,29600,29600,-,28800
105,15/11/2021,30500,30500,30500,30500,100,29700
106,16/11/2021,30500,30500,30500,30500,-,29700
107,17/11/2021,31500,31500,31500,31500,100,30700
108,18/11/2021,31500,31500,31500,31500,-,30700
109,19/11/2021,30600,30600,30600,30600,100,29800
110,22/11/2021,30700,30700,30700,30700,300,29900
111,23/11/2021,30600,30600,30600,30600,100,29800
112,24/11/2021,30600,30600,30600,30600,-,29800
113,25/11/2021,30600,30600,30600,30600,-,29800
114,26/11/2021,30600,30600,30600,30600,-,29800
115,29/11/2021,30600,30600,30600,30600,-,29800
116,30/11/2021,35100,35100,35100,35100,800,34200
117,01/12/2021,30000,30000,30000,30000,500,29200
118,02/12/2021,34000,30100,30100,31000,1500,30200
119,03/12/2021,32100,32100,32100,32100,-,31300
120,06/12/2021,32100,32100,32100,32100,-,31300
121,07/12/2021,32100,32100,32100,32100,-,31300
122,08/12/2021,31000,31000,31000,31000,500,30200
123,09/12/2021,31000,31000,31000,31000,-,30200
124,10/12/2021,31000,31000,31000,31000,-,30200
125,13/12/2021,31000,31000,31000,31000,500,30200
126,14/12/2021,31000,31000,31000,31000,-,30200
127,15/12/2021,31000,31000,31000,31000,1000,30200
128,16/12/2021,31000,31000,31000,31000,-,30200
129,17/12/2021,31000,31000,31000,31000,-,30200
130,20/12/2021,31000,31000,31000,31000,-,30200
131,21/12/2021,33000,31000,31000,33000,2100,32100
132,22/12/2021,32400,32400,32400,32400,-,31500
133,23/12/2021,32400,32400,32400,32400,-,31500
134,24/12/2021,32400,32400,32400,32400,-,31500
135,27/12/2021,32400,32400,32400,32400,-,31500
136,28/12/2021,32400,32400,32400,32400,-,31500
137,29/12/2021,28000,28000,28000,28000,500,27300
138,30/12/2021,28000,28000,28000,28000,-,27300
139,31/12/2021,28000,28000,28000,28000,-,27300
140,04/01/2022,32200,32200,32200,32200,2700,31400
141,05/01/2022,32200,32200,32200,32200,-,31400
142,06/01/2022,32200,32200,32200,32200,-,31400
143,07/01/2022,32300,32300,32300,32300,800,31400
144,10/01/2022,32300,32300,32300,32300,-,31400
145,11/01/2022,32000,32000,32000,32000,800,31200
146,12/01/2022,32000,32000,32000,32000,300,31200
147,13/01/2022,32200,32100,32200,32100,800,31300
148,14/01/2022,32200,32200,32200,32200,-,31400
149,17/01/2022,32200,30000,32200,30000,700,29200
150,18/01/2022,30600,30600,30600,30600,-,29800
151,19/01/2022,32000,32000,32000,32000,700,31200
152,20/01/2022,32000,32000,32000,32000,500,31200
153,21/01/2022,32000,32000,32000,32000,600,31200
154,24/01/2022,32000,32000,32000,32000,-,31200
155,25/01/2022,32100,32100,32100,32100,200,31300
156,26/01/2022,32100,32100,32100,32100,-,31300
157,27/01/2022,32100,32100,32100,32100,-,31300
158,28/01/2022,32100,32100,32100,32100,-,31300
159,07/02/2022,32100,32100,32100,32100,-,31300
160,08/02/2022,32100,32100,32100,32100,-,31300
161,09/02/2022,32000,32000,32000,32000,900,31200
162,10/02/2022,33000,33000,33000,33000,500,32100
163,11/02/2022,36000,36000,36000,36000,2100,35100
164,14/02/2022,38000,36000,36000,38000,200,37000
165,15/02/2022,37000,37000,37000,37000,-,37000
166,16/02/2022,36000,36000,36000,36000,1700,36000
167,17/02/2022,37000,37000,37000,37000,3300,37000
168,18/02/2022,37000,36600,37000,36600,2500,36600
169,21/02/2022,32000,31300,32000,31300,6200,31300
170,22/02/2022,31900,31000,31800,31000,4100,31000
171,23/02/2022,35900,30100,35900,30200,11300,30200
172,24/02/2022,30100,30100,30100,30100,300,30100
173,25/02/2022,31500,31500,31500,31500,100,31500
174,28/02/2022,31000,30000,30000,31000,7900,31000
175,01/03/2022,34000,34000,34000,34000,200,34000
176,02/03/2022,34000,34000,34000,34000,-,34000
177,03/03/2022,34000,34000,34000,34000,-,34000
178,04/03/2022,34000,34000,34000,34000,-,34000
179,07/03/2022,34000,34000,34000,34000,-,34000
180,08/03/2022,32900,32900,32900,32900,100,32900
181,09/03/2022,32000,32000,32000,32000,1100,32000
182,10/03/2022,31100,31000,31000,31100,1000,31100
183,11/03/2022,33000,33000,33000,33000,100,33000
184,14/03/2022,33000,33000,33000,33000,-,33000
185,15/03/2022,30200,30100,30200,30100,1000,30100
186,16/03/2022,30200,30200,30200,30200,-,30200
187,17/03/2022,30200,30200,30200,30200,-,30200
188,18/03/2022,30200,30200,30200,30200,-,30200
189,21/03/2022,30200,30200,30200,30200,-,30200
190,22/03/2022,30200,30200,30200,30200,-,30200
191,23/03/2022,30200,30200,30200,30200,-,30200
192,24/03/2022,30200,30200,30200,30200,-,30200
193,25/03/2022,30200,30200,30200,30200,-,30200
194,28/03/2022,33900,31500,31500,33900,200,33900
195,29/03/2022,32700,32700,32700,32700,-,32700
196,30/03/2022,32700,32700,32700,32700,-,32700
197,31/03/2022,32700,32700,32700,32700,-,32700
198,01/04/2022,32700,32700,32700,32700,-,32700
199,04/04/2022,32700,32700,32700,32700,-,32700
200,05/04/2022,32700,32700,32700,32700,-,32700
201,06/04/2022,32200,32200,32200,32200,200,32200
202,07/04/2022,32200,32200,32200,32200,-,32200
203,08/04/2022,32200,32200,32200,32200,-,32200
204,12/04/2022,29100,29100,29100,29100,100,29100
205,13/04/2022,29100,29100,29100,29100,-,29100
206,14/04/2022,32100,32100,32100,32100,700,32100
207,15/04/2022,32100,32100,32100,32100,-,32100
208,18/04/2022,30000,30000,30000,30000,200,30000
209,19/04/2022,30000,30000,30000,30000,-,30000
210,20/04/2022,30000,30000,30000,30000,-,30000
211,21/04/2022,30000,30000,30000,30000,200,30000
212,22/04/2022,30000,30000,30000,30000,-,30000
213,25/04/2022,28000,27000,28000,27000,2000,27000
214,26/04/2022,27100,27100,27100,27100,-,27100
215,27/04/2022,27100,27100,27100,27100,-,27100
216,28/04/2022,27100,27100,27100,27100,-,27100
217,29/04/2022,27100,27100,27100,27100,-,27100
218,04/05/2022,27100,27100,27100,27100,-,27100
219,05/05/2022,27100,27100,27100,27100,-,27100
220,06/05/2022,31000,31000,31000,31000,100,31000
221,09/05/2022,31000,31000,31000,31000,-,31000
222,10/05/2022,31000,31000,31000,31000,-,31000
223,11/05/2022,35500,30000,31000,35500,1300,35500
224,12/05/2022,34000,34000,34000,34000,100,34000
225,13/05/2022,34000,34000,34000,34000,-,34000
226,16/05/2022,29000,29000,29000,29000,400,29000
227,17/05/2022,29000,29000,29000,29000,200,29000
228,18/05/2022,29000,29000,29000,29000,200,29000
229,19/05/2022,29000,29000,29000,29000,-,29000
230,20/05/2022,26000,26000,26000,26000,100,26000
231,23/05/2022,26000,26000,26000,26000,-,26000
232,24/05/2022,29800,29800,29800,29800,100,29800
233,25/05/2022,29800,29800,29800,29800,-,29800
234,26/05/2022,29800,29800,29800,29800,-,29800
235,27/05/2022,32500,28000,32500,28000,300,28000
236,30/05/2022,29000,28000,29000,28000,600,28000
237,31/05/2022,30000,28700,28700,30000,300,30000
238,01/06/2022,29200,29200,29200,29200,-,29200
239,02/06/2022,29900,29700,29800,29700,500,29700
240,03/06/2022,29800,29800,29800,29800,-,29800
241,06/06/2022,30000,30000,30000,30000,300,30000
242,07/06/2022,30000,30000,30000,30000,-,30000
243,08/06/2022,30000,30000,30000,30000,100,30000
244,09/06/2022,30000,29700,30000,29700,200,29700
245,10/06/2022,30000,29700,30000,29700,200,29700
246,13/06/2022,30500,29900,30500,29900,800,29900
247,14/06/2022,30300,30300,30300,30300,-,30300
248,15/06/2022,26000,26000,26000,26000,100,26000
249,16/06/2022,24300,24100,24100,24300,800,24300
250,17/06/2022,27800,24300,24400,27800,900,27800
